cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 3.5500000E+001, 8.1576145E+002, 1.5237835E-001, 2.7672125E-002, 4.0393410E-003, 3.5550931E-003, 6.6039310E-002, 4.0393410E-003, 7.4227644E-001, 0.0000000E+000,NaN,NaN,NaN, 4.8165138E+001, 4.3737111E-001, 5.5538846E+001, 1.4376534E-001
 3.6500000E+001, 8.0127621E+002, 1.5473918E-001, 2.6728057E-002, 3.6618084E-003, 3.1209032E-003, 6.3501776E-002, 3.6618084E-003, 7.4458646E-001, 0.0000000E+000,NaN,NaN,NaN, 4.9541284E+001, 4.3048223E-001, 5.6664538E+001, 1.3578331E-001
 3.7500000E+001, 7.8695441E+002, 1.5698462E-001, 2.5826812E-002, 3.3022828E-003, 2.7398859E-003, 6.1080753E-002, 3.3022828E-003, 7.4676336E-001, 0.0000000E+000,NaN,NaN,NaN, 5.0917431E+001, 4.2352569E-001, 5.7790236E+001, 1.3112859E-001
 3.8500000E+001, 7.7248783E+002, 1.5913333E-001, 2.4954577E-002, 2.9660824E-003, 2.4050468E-003, 5.8757963E-002, 2.9660824E-003, 7.4881692E-001, 0.0000000E+000,NaN,NaN,NaN, 5.2293578E+001, 4.0945344E-001, 5.8915941E+001, 1.2405871E-001
 3.9500000E+001, 7.5802373E+002, 1.6120203E-001, 2.4109871E-002, 2.6457621E-003, 2.1018399E-003, 5.6517568E-002, 2.6457621E-003, 7.5077717E-001, 0.0000000E+000,NaN,NaN,NaN, 5.3669725E+001, 4.0237889E-001, 6.0036656E+001, 1.1991202E-001
 4.0500000E+001, 7.4366320E+002, 1.6318505E-001, 2.3300209E-002, 2.3364439E-003, 1.8266498E-003, 5.4366082E-002, 2.3364439E-003, 7.5264912E-001, 0.0000000E+000,NaN,NaN,NaN, 5.5045872E+001, 3.8830562E-001,NaN,NaN
 4.1500000E+001, 7.2953055E+002, 1.6507209E-001, 2.2517119E-002, 2.0553945E-003, 1.5803135E-003, 5.2316633E-002, 2.0553945E-003, 7.5440305E-001, 0.0000000E+000,NaN,NaN,NaN, 5.6422018E+001, 3.8136210E-001,NaN,NaN
 4.2500000E+001, 7.1604381E+002, 1.6682378E-001, 2.1774089E-002, 1.8126889E-003, 1.3629773E-003, 5.0413641E-002, 1.8126889E-003, 7.5600014E-001, 0.0000000E+000,NaN,NaN,NaN, 5.7798165E+001, 3.7450252E-001,NaN,NaN
 4.3500000E+001, 7.0295873E+002, 1.6847640E-001, 2.1058713E-002, 1.5991649E-003, 1.1733829E-003, 4.8616436E-002, 1.5991649E-003, 7.5747674E-001, 0.0000000E+000,NaN,NaN,NaN, 5.9174312E+001, 3.6104247E-001,NaN,NaN
 4.4500000E+001, 6.8994204E+002, 1.7005981E-001, 2.0357498E-002, 1.4105752E-003, 1.0158299E-003, 4.6890706E-002, 1.4105752E-003, 7.5885501E-001, 0.0000000E+000,NaN,NaN,NaN, 6.0550459E+001, 3.5442914E-001,NaN,NaN
 4.5500000E+001, 6.7759278E+002, 1.7149465E-001, 1.9698543E-002, 1.2660095E-003, 8.9127167E-004, 4.5325683E-002, 1.2660095E-003, 7.6005783E-001, 0.0000000E+000,NaN,NaN,NaN, 6.1926606E+001, 3.4788105E-001,NaN,NaN
 4.6500000E+001, 6.6612943E+002, 1.7280606E-001, 1.9088646E-002, 1.1426254E-003, 7.8181770E-004, 4.3895267E-002, 1.1426254E-003, 7.6114295E-001, 0.0000000E+000,NaN,NaN,NaN, 6.3302752E+001, 3.3494226E-001,NaN,NaN
 4.7500000E+001, 6.5518945E+002, 1.7404340E-001, 1.8509811E-002, 1.0303503E-003, 6.7870989E-004, 4.2546092E-002, 1.0303503E-003, 7.6216129E-001, 0.0000000E+000,NaN,NaN,NaN, 6.4678899E+001, 3.2853381E-001,NaN,NaN
 4.8500000E+001, 6.4442738E+002, 1.7523707E-001, 1.7950950E-002, 9.2212706E-004, 5.8250838E-004, 4.1243768E-002, 9.2212706E-004, 7.6314144E-001, 0.0000000E+000,NaN,NaN,NaN, 6.6055046E+001, 3.1582455E-001,NaN,NaN
 4.9500000E+001, 6.3380407E+002, 1.7639100E-001, 1.7412257E-002, 8.1508976E-004, 4.9309824E-004, 3.9983699E-002, 8.1508976E-004, 7.6408977E-001, 0.0000000E+000,NaN,NaN,NaN, 6.7431193E+001, 3.0953624E-001,NaN,NaN
 5.0500000E+001, 6.2348896E+002, 1.7749571E-001, 1.6894658E-002, 7.1378751E-004, 4.1550578E-004, 3.8775623E-002, 7.1378751E-004, 7.6499093E-001, 0.0000000E+000,NaN,NaN,NaN, 6.8807339E+001, 3.0330838E-001,NaN,NaN
 5.1500000E+001, 6.1359994E+002, 1.7853491E-001, 1.6402995E-002, 6.2305426E-004, 3.5160195E-004, 3.7637598E-002, 6.2305426E-004, 7.6582679E-001, 0.0000000E+000,NaN,NaN,NaN, 7.0183486E+001, 2.9109074E-001,NaN,NaN
 5.2500000E+001, 6.0426655E+002, 1.7949112E-001, 1.5945149E-002, 5.4519227E-004, 3.0028677E-004, 3.6589345E-002, 5.4519227E-004, 7.6658371E-001, 0.0000000E+000,NaN,NaN,NaN, 7.1559633E+001, 2.8512124E-001,NaN,NaN
 5.3500000E+001, 5.9554156E+002, 1.8035558E-001, 1.5526949E-002, 4.7941002E-004, 2.5856516E-004, 3.5641126E-002, 4.7941002E-004, 7.6725896E-001, 0.0000000E+000,NaN,NaN,NaN, 7.2935780E+001, 2.7924942E-001,NaN,NaN
