cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
 4.4923469E+001, 1.0753059E+003, 1.0825573E+003, 4.3135370E+000, 2.0015119E+002, 2.9963119E+002, 1.3197005E+000, 9.6195241E-002, 4.8420870E-002, 1.5089388E-002, 4.6548032E-003, 8.8940628E-002, 1.1834814E-002, 7.3190555E-001, 1.1982323E-003
 4.6954082E+001, 1.0542312E+003, 1.0576830E+003, 4.3308743E+000, 2.0880269E+002, 3.1077156E+002, 1.3854557E+000, 1.0134519E-001, 4.7149829E-002, 1.3431313E-002, 3.9606359E-003, 8.5007398E-002, 1.0534363E-002, 7.3593768E-001, 1.0658411E-003
 4.8984694E+001, 1.0322722E+003, 1.0322732E+003, 4.3415448E+000, 2.1590054E+002, 3.1931317E+002, 1.4472877E+000, 1.0633773E-001, 4.5808260E-002, 1.1934503E-002, 3.3683850E-003, 8.1198239E-002, 9.3603947E-003, 7.3965239E-001, 9.4642308E-004
 5.1015306E+001, 1.0100333E+003, 1.0070224E+003, 4.3637308E+000, 2.2116390E+002, 3.2510068E+002, 1.5175829E+000, 1.1111685E-001, 4.4445034E-002, 1.0580993E-002, 2.8640936E-003, 7.7553913E-002, 8.2988182E-003, 7.4306559E-001, 8.3849480E-004
 5.3045918E+001, 9.8710304E+002, 9.8144562E+002, 4.3677344E+000, 2.2471634E+002, 3.2848797E+002, 1.5436466E+000, 1.1582979E-001, 4.3015271E-002, 9.3326040E-003, 2.4296546E-003, 7.3963088E-002, 7.3196894E-003, 7.4627998E-001, 7.3902905E-004
 5.5076531E+001, 9.6344742E+002, 9.5543831E+002, 4.3659573E+000, 2.2676744E+002, 3.3007452E+002, 1.5634777E+000, 1.2052345E-001, 4.1501126E-002, 8.1818619E-003, 2.0532820E-003, 7.0391948E-002, 6.4171466E-003, 7.4932690E-001, 6.4740103E-004
 5.7107143E+001, 9.3883510E+002, 9.2859914E+002, 4.3564444E+000, 2.2785567E+002, 3.3027189E+002, 1.5830357E+000, 1.2516789E-001, 3.9900608E-002, 7.1504388E-003, 1.7260458E-003, 6.6867222E-002, 5.6081873E-003, 7.5217756E-001, 5.6539565E-004
 5.9137755E+001, 9.1367687E+002, 9.0140795E+002, 4.3392149E+000, 2.2790645E+002, 3.2911084E+002, 1.6036152E+000, 1.2974280E-001, 3.8250490E-002, 6.2109743E-003, 1.4412284E-003, 6.3400825E-002, 4.8713524E-003, 7.5486449E-001, 4.9076055E-004
 6.1168367E+001, 8.8822608E+002, 8.7415591E+002, 4.3160543E+000, 2.2673878E+002, 3.2645440E+002, 1.6231051E+000, 1.3423372E-001, 3.6568850E-002, 5.3529884E-003, 1.1937092E-003, 6.0002644E-002, 4.1984223E-003, 7.5740006E-001, 4.2264040E-004
 6.3198980E+001, 8.6266391E+002, 8.4694984E+002, 4.2873332E+000, 2.2442633E+002, 3.2267473E+002, 1.6341417E+000, 1.3859770E-001, 3.4873118E-002, 4.5839382E-003, 9.8005103E-004, 5.6705980E-002, 3.5952457E-003, 7.5976515E-001, 3.6160408E-004
 6.5229592E+001, 8.3693594E+002, 8.1998438E+002, 4.2601591E+000, 2.2090221E+002, 3.1719952E+002, 1.6349894E+000, 1.4285001E-001, 3.3164589E-002, 3.8937514E-003, 7.9479640E-004, 5.3498945E-002, 3.0539226E-003, 7.6198050E-001, 3.0680944E-004
 6.7260204E+001, 8.1159132E+002, 7.9376280E+002, 4.2234324E+000, 2.1597548E+002, 3.0997732E+002, 1.6327276E+000, 1.4694229E-001, 3.1491119E-002, 3.2596695E-003, 6.3363056E-004, 5.0414419E-002, 2.5566035E-003, 7.6406312E-001, 2.5643427E-004
 6.9290816E+001, 7.8600807E+002, 7.6771080E+002, 4.1897227E+000, 2.0965439E+002, 3.0082184E+002, 1.6195560E+000, 1.5092737E-001, 2.9818121E-002, 2.6875986E-003, 4.9655297E-004, 4.7414379E-002, 2.1079205E-003, 7.6602108E-001, 2.1107129E-004
 7.1321429E+001, 7.6068389E+002, 7.4226087E+002, 4.1448361E+000, 2.0248883E+002, 2.9036669E+002, 1.6047872E+000, 1.5472611E-001, 2.8173142E-002, 2.1952959E-003, 3.8526853E-004, 4.4559509E-002, 1.7218007E-003, 7.6780842E-001, 1.7212868E-004
 7.3352041E+001, 7.3599191E+002, 7.1764332E+002, 4.0964910E+000, 1.9512744E+002, 2.7955952E+002, 1.5896991E+000, 1.5830112E-001, 2.6582384E-002, 1.7773364E-003, 2.9471060E-004, 4.1877354E-002, 1.3939893E-003, 7.6942460E-001, 1.3910116E-004
 7.5382653E+001, 7.1257850E+002, 6.9432977E+002, 4.0340516E+000, 1.8768221E+002, 2.6892710E+002, 1.5865857E+000, 1.6160723E-001, 2.5068669E-002, 1.4362753E-003, 2.2385191E-004, 3.9401742E-002, 1.1264904E-003, 7.7085412E-001, 1.1220668E-004
 7.7413265E+001, 6.9084925E+002, 6.7275374E+002, 3.9718766E+000, 1.8064363E+002, 2.5891806E+002, 1.5907334E+000, 1.6458678E-001, 2.3675257E-002, 1.1600428E-003, 1.6895203E-004, 3.7173910E-002, 9.0983751E-004, 7.7209776E-001, 9.0460970E-005
 7.9443878E+001, 6.7102956E+002, 6.5307546E+002, 3.9134670E+000, 1.7407811E+002, 2.4969637E+002, 1.5821122E+000, 1.6723356E-001, 2.2420637E-002, 9.3235821E-004, 1.2732853E-004, 3.5196428E-002, 7.3126134E-004, 7.7317562E-001, 7.2549102E-005
 8.1474490E+001, 6.5314201E+002, 6.3557084E+002, 3.8631997E+000, 1.6762319E+002, 2.4061624E+002, 1.5624765E+000, 1.6954561E-001, 2.1309965E-002, 7.4901714E-004, 9.6597542E-005, 3.3470473E-002, 5.8746442E-004, 7.7409401E-001, 5.8161706E-005
 8.3505102E+001, 6.3649696E+002, 6.1951358E+002, 3.8136087E+000, 1.6113992E+002, 2.3136739E+002, 1.5427911E+000, 1.7163356E-001, 2.0290371E-002, 6.0118315E-004, 7.3456250E-005, 3.1913748E-002, 4.7151619E-004, 7.7489829E-001, 4.6598996E-005
 8.5535714E+001, 6.2124797E+002, 6.0491175E+002, 3.7656048E+000, 1.5508119E+002, 2.2255038E+002, 1.5291548E+000, 1.7349073E-001, 1.9366981E-002, 4.8745433E-004, 5.6493478E-005, 3.0531182E-002, 3.8231712E-004, 7.7558926E-001, 3.7733788E-005
 8.7566327E+001, 6.0659188E+002, 5.9107667E+002, 3.7196500E+000, 1.4912722E+002, 2.1370719E+002, 1.5117198E+000, 1.7521476E-001, 1.8493944E-002, 3.9902753E-004, 4.3633132E-005, 2.9249853E-002, 3.1296277E-004, 7.7620758E-001, 3.0862558E-005
 8.9596939E+001, 5.9276376E+002, 5.7807786E+002, 3.6789540E+000, 1.4294881E+002, 2.0470019E+002, 1.4870582E+000, 1.7682512E-001, 1.7670758E-002, 3.2467446E-004, 3.3780221E-005, 2.8053899E-002, 2.5464664E-004, 7.7677346E-001, 2.5074177E-005
 9.1627551E+001, 5.7967655E+002, 5.6578084E+002, 3.6336470E+000, 1.3649800E+002, 1.9569379E+002, 1.4719064E+000, 1.7834496E-001, 1.6888359E-002, 2.6034607E-004, 2.6240689E-005, 2.6925777E-002, 2.0419300E-004, 7.7729908E-001, 2.0067874E-005
 9.3658163E+001, 5.6737325E+002, 5.5423272E+002, 3.5886520E+000, 1.2986972E+002, 1.8672580E+002, 1.4564359E+000, 1.7976487E-001, 1.6153066E-002, 2.0489251E-004, 2.0343596E-005, 2.5872344E-002, 1.6070000E-004, 7.7778361E-001, 1.5765635E-005
 9.5688776E+001, 5.5569725E+002, 5.4328715E+002, 3.5435582E+000, 1.2341496E+002, 1.7814360E+002, 1.4443295E+000, 1.8109993E-001, 1.5456448E-002, 1.5847575E-004, 1.5547744E-005, 2.4882602E-002, 1.2429470E-004, 7.7823163E-001, 1.2179315E-005
 9.7719388E+001, 5.4493375E+002, 5.3324642E+002, 3.4959347E+000, 1.1724280E+002, 1.6996469E+002, 1.4387638E+000, 1.8231357E-001, 1.4818782E-002, 1.2107110E-004, 1.1805155E-005, 2.3983499E-002, 9.4957725E-005, 7.7863258E-001, 9.2900857E-006
 9.9750000E+001, 5.3441985E+002, 5.2346679E+002, 3.4492500E+000, 1.1132259E+002, 1.6195113E+002, 1.4294502E+000, 1.8347336E-001, 1.4203101E-002, 9.2201275E-005, 8.9617126E-006, 2.3125200E-002, 7.2314726E-005, 7.7900678E-001, 7.0618794E-006
