cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
 3.6160377E+001, 1.2457932E+003, 1.6658098E+002, 2.8428571E+001, 4.5127649E+002, 1.7820632E+002, 4.2268552E+002, 1.6539444E+002, 4.2239911E+002, 1.7110257E+002, 4.1429355E+002, 1.5270291E+002, 4.0664941E+002, 1.1613349E+002
 4.0122642E+001, 1.2409203E+003, 1.7849418E+002, 3.2642857E+001, 3.9490397E+002, 1.3394832E+002, 3.7671616E+002, 1.2336743E+002, 3.8486005E+002, 1.4009922E+002, 3.8683721E+002, 1.3208943E+002, 3.8175615E+002, 9.6483947E+001
 4.4084906E+001, 1.2317921E+003, 1.9209145E+002, 3.6857143E+001, 3.5708576E+002, 9.7034196E+001, 3.4295457E+002, 8.9662824E+001, 3.5432099E+002, 1.1041952E+002, 3.6394905E+002, 1.1243788E+002, 3.6170286E+002, 8.1471579E+001
 4.8047170E+001, 1.2194795E+003, 2.0695499E+002, 4.1071429E+001, 3.2571798E+002, 5.7608470E+001, 3.1940322E+002, 5.2983821E+001, 3.3156854E+002, 8.5664631E+001, 3.4180806E+002, 8.8698440E+001, 3.4548178E+002, 7.0056470E+001
 5.2009434E+001, 1.2046537E+003, 2.2231367E+002, 4.5285714E+001, 3.0872568E+002, 2.7114751E+001, 3.0742047E+002, 2.8390579E+001, 3.1816577E+002, 6.7833176E+001, 3.2398422E+002, 6.4292873E+001, 3.3253424E+002, 5.8699627E+001
 5.5971698E+001, 1.2046537E+003, 2.2231367E+002, 4.9500000E+001, 3.0222188E+002, 4.8770525E+000, 3.0223243E+002, 9.2419660E+000, 3.0886815E+002, 4.5914958E+001, 3.1290445E+002, 4.4430057E+001, 3.2103646E+002, 4.8144887E+001
 5.9933962E+001, 1.1883025E+003, 2.3744765E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.3896226E+001, 1.1705934E+003, 2.5101153E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.7858491E+001, 1.1509881E+003, 2.6300155E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1820755E+001, 1.1295489E+003, 2.7431271E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5783019E+001, 1.1069866E+003, 2.8441079E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9745283E+001, 1.0832291E+003, 2.9335773E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3707547E+001, 1.0584188E+003, 3.0138191E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7669811E+001, 1.0330188E+003, 3.0794293E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1632075E+001, 1.0079238E+003, 3.1297183E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.5594340E+001, 9.8246097E+002, 3.1701540E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.9556604E+001, 9.5713052E+002, 3.2015253E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0351887E+002, 9.3190653E+002, 3.2233455E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0748113E+002, 9.0745149E+002, 3.2290274E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1144340E+002, 8.8349473E+002, 3.2194881E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1540566E+002, 8.5998967E+002, 3.1983856E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1936792E+002, 8.3700988E+002, 3.1671942E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2333019E+002, 8.1423368E+002, 3.1272365E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2729245E+002, 7.9217202E+002, 3.0785865E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3125472E+002, 7.7132023E+002, 3.0272059E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3521698E+002, 7.5172488E+002, 2.9687061E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3917925E+002, 7.3302271E+002, 2.9068058E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4314151E+002, 7.1558364E+002, 2.8372912E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4710377E+002, 6.9850290E+002, 2.7623821E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5106604E+002, 6.8244456E+002, 2.6791926E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5502830E+002, 6.6633377E+002, 2.5875394E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5899057E+002, 6.5064071E+002, 2.4933287E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6295283E+002, 6.3548018E+002, 2.4027260E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6691509E+002, 6.2159625E+002, 2.3108699E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7087736E+002, 6.0844514E+002, 2.2192622E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7483962E+002, 5.9588300E+002, 2.1294523E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7880189E+002, 5.8422275E+002, 2.0447791E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8276415E+002, 5.7288635E+002, 1.9647069E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8672642E+002, 5.6258539E+002, 1.8904386E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9068868E+002, 5.5231112E+002, 1.8172011E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9465094E+002, 5.4255090E+002, 1.7443490E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9861321E+002, 5.3287983E+002, 1.6760768E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0257547E+002, 5.2423464E+002, 1.6082166E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0653774E+002, 5.1527554E+002, 1.5394607E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1050000E+002, 5.0832557E+002, 1.4755895E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
