cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 4.7487374E+001, 7.2136469E+002, 1.6309438E-001, 2.4217489E-002, 1.4600256E-003, 2.7846125E-004, 3.8301094E-002, 1.1451181E-003, 7.7121715E-001, 1.1418182E-004
 4.8492424E+001, 7.0811729E+002, 1.6490587E-001, 2.3407954E-002, 1.2524497E-003, 2.2983437E-004, 3.6943095E-002, 9.8231351E-004, 7.7203291E-001, 9.7808845E-005
 4.9497475E+001, 6.9466719E+002, 1.6666693E-001, 2.2607153E-002, 1.0650938E-003, 1.8886332E-004, 3.5624061E-002, 8.3536769E-004, 7.7280368E-001, 8.3083105E-005
 5.0502525E+001, 6.8131506E+002, 1.6835653E-001, 2.1821644E-002, 9.0371768E-004, 1.5463464E-004, 3.4360521E-002, 7.0879818E-004, 7.7351696E-001, 7.0429998E-005
 5.1507576E+001, 6.6824963E+002, 1.6997286E-001, 2.1054707E-002, 7.6589569E-004, 1.2628385E-004, 3.3153557E-002, 6.0070250E-004, 7.7417581E-001, 5.9639870E-005
 5.2512626E+001, 6.5550246E+002, 1.7150524E-001, 2.0312039E-002, 6.5192726E-004, 1.0343008E-004, 3.2011159E-002, 5.1131550E-004, 7.7477706E-001, 5.0730218E-005
 5.3517677E+001, 6.4302338E+002, 1.7297112E-001, 1.9590687E-002, 5.5458609E-004, 8.4565427E-005, 3.0919618E-002, 4.3496948E-004, 7.7533571E-001, 4.3122207E-005
 5.4522727E+001, 6.3105283E+002, 1.7435160E-001, 1.8902669E-002, 4.7227380E-004, 6.8728013E-005, 2.9892766E-002, 3.7041082E-004, 7.7584894E-001, 3.6687248E-005
 5.5527778E+001, 6.1988392E+002, 1.7561103E-001, 1.8270226E-002, 4.0228274E-004, 5.5515133E-005, 2.8956533E-002, 3.1551588E-004, 7.7631002E-001, 3.1210101E-005
 5.6532828E+001, 6.0939185E+002, 1.7677149E-001, 1.7685689E-002, 3.3966546E-004, 4.4161160E-005, 2.8094019E-002, 2.6640428E-004, 7.7673197E-001, 2.6313028E-005
