x (m),Y He,Y He rms,W (m/s),W rms (m/s),U (m/s),U rms (m/s)
0.39899,0.00571,0.04634,0.17542,0.36073,-0.16908,0.33371
0.40909,0.00409,0.04469,0.13603,0.33596,-0.16943,0.31863
0.41919,0.00285,0.0434,0.10203,0.31117,-0.17158,0.30236
0.42929,0.00194,0.04241,0.0731,0.28667,-0.17482,0.2855
0.43939,0.00131,0.04169,0.04898,0.26276,-0.17848,0.26862
0.44949,8.94E-04,0.04117,0.02936,0.23974,-0.18186,0.25233
0.4596,6.34E-04,0.04082,0.01396,0.21791,-0.18429,0.23722
0.4697,4.72E-04,0.04057,0.00249,0.19755,-0.18508,0.22388
0.4798,3.51E-04,0.04039,-0.00536,0.17898,-0.18353,0.2129
0.4899,2.13E-04,0.04022,-0.00986,0.16248,-0.17897,0.20488
0.5,4.10E-07,0.04,-0.0113,0.14836,-0.17071,0.20042
