x (m),Y He,Y He rms,W (m/s),W rms (m/s),U (m/s),U rms (m/s)
-0.23737,0.08662,0.08905,1.53888,0.82432,0.11162,0.53198
-0.22727,0.09056,0.09224,1.62739,0.86485,0.11872,0.52655
-0.21717,0.0946,0.0952,1.71031,0.90378,0.12684,0.52057
-0.20707,0.09888,0.09767,1.78687,0.93877,0.13465,0.51583
-0.19697,0.10356,0.09942,1.85629,0.96744,0.14081,0.51413
-0.18687,0.1087,0.10037,1.91883,0.98885,0.14461,0.51609
-0.17677,0.11423,0.10077,1.97647,1.00438,0.14645,0.52033
-0.16667,0.12006,0.10093,2.03135,1.01564,0.1468,0.52528
-0.15657,0.12612,0.10111,2.08562,1.02425,0.14614,0.52937
-0.14646,0.13234,0.1016,2.14141,1.03181,0.14495,0.53105
-0.13636,0.13863,0.10247,2.19933,1.03921,0.1434,0.52961
-0.12626,0.14496,0.1035,2.25776,1.04626,0.14121,0.52555
-0.11616,0.15129,0.10441,2.3149,1.05268,0.13808,0.51949
-0.10606,0.15758,0.10494,2.36894,1.05821,0.13367,0.51205
-0.09596,0.16379,0.10486,2.41816,1.06259,0.1277,0.50384
-0.08586,0.16994,0.10445,2.46324,1.06703,0.12011,0.4952
-0.07576,0.17618,0.10466,2.50805,1.07457,0.11126,0.48614
-0.06566,0.18263,0.10652,2.55666,1.08839,0.10148,0.47665
-0.05556,0.18942,0.11103,2.61312,1.11165,0.09115,0.46671
-0.04545,0.19668,0.11915,2.68131,1.14736,0.0806,0.45632
-0.03535,0.2041,0.13036,2.75887,1.19345,0.06992,0.44598
-0.02525,0.21087,0.1424,2.83638,1.24205,0.05892,0.43676
-0.01515,0.21619,0.15292,2.90403,1.285,0.04736,0.42974
-0.00505,0.21923,0.1596,2.95201,1.31414,0.03502,0.42603
0.00505,0.21921,0.16018,2.97091,1.32161,0.02171,0.42667
0.01515,0.21613,0.15469,2.96004,1.3072,0.00762,0.43154
0.02525,0.2108,0.1454,2.92746,1.27829,-0.00666,0.43941
0.03535,0.20406,0.13468,2.88162,1.24257,-0.02049,0.44896
0.04545,0.19675,0.12492,2.83096,1.20778,-0.03328,0.4589
0.05556,0.18968,0.11838,2.78363,1.18131,-0.04441,0.46797
0.06566,0.18322,0.11555,2.74201,1.16498,-0.05373,0.47596
0.07576,0.17734,0.11536,2.70346,1.15569,-0.06142,0.48359
0.08586,0.17202,0.11668,2.66517,1.15017,-0.06769,0.49158
0.09596,0.1672,0.11836,2.62431,1.14517,-0.07277,0.50067
0.10606,0.16285,0.11932,2.57817,1.13753,-0.07685,0.5115
0.11616,0.15865,0.11921,2.5252,1.12576,-0.08021,0.52346
0.12626,0.15415,0.11823,2.46481,1.10968,-0.08319,0.53497
0.13636,0.14884,0.11658,2.39642,1.08913,-0.0861,0.54441
0.14646,0.14225,0.11449,2.31946,1.06394,-0.08928,0.55017
0.15657,0.13394,0.11217,2.23351,1.03401,-0.093,0.55081
0.16667,0.12424,0.10971,2.14027,1.00009,-0.09686,0.547
0.17677,0.11393,0.10717,2.04284,0.96347,-0.10001,0.54085
0.18687,0.10385,0.10459,1.94435,0.92546,-0.10159,0.53447
0.19697,0.09481,0.10201,1.84792,0.88736,-0.10075,0.53
0.20707,0.08753,0.09946,1.75635,0.85043,-0.09678,0.52935
0.21717,0.08192,0.09696,1.66916,0.81534,-0.09046,0.5324
0.22727,0.07736,0.09449,1.58387,0.78245,-0.08347,0.53782
0.23737,0.07325,0.09204,1.49801,0.75211,-0.07749,0.54427
0.24747,0.06896,0.0896,1.4091,0.72465,-0.07422,0.5504
0.25758,0.06396,0.08716,1.31506,0.70037,-0.07512,0.55493
0.26768,0.05831,0.08475,1.21738,0.67901,-0.07977,0.55736
0.27778,0.05238,0.08243,1.11937,0.66003,-0.08677,0.55755
0.28788,0.04653,0.08025,1.02436,0.64291,-0.09474,0.55536
0.29798,0.04114,0.07825,0.93568,0.6271,-0.10226,0.55066
0.30808,0.03654,0.07648,0.85618,0.61209,-0.10808,0.54337
0.31818,0.03267,0.07484,0.7851,0.59736,-0.11213,0.53377
0.32828,0.02931,0.07316,0.72003,0.58242,-0.11482,0.52229
0.33838,0.02625,0.0713,0.6586,0.56679,-0.11657,0.50939
0.34848,0.02325,0.06909,0.59842,0.54998,-0.1178,0.49551
0.35859,0.02015,0.06641,0.53747,0.53153,-0.11889,0.48102
0.36869,0.017,0.0633,0.47616,0.51121,-0.11984,0.46594
0.37879,0.01394,0.05988,0.41585,0.48887,-0.12048,0.45014
0.38889,0.01114,0.05626,0.3579,0.46436,-0.12068,0.43347
0.39899,0.00875,0.05258,0.30367,0.43755,-0.12029,0.41579
0.40909,0.00688,0.04893,0.25432,0.40846,-0.11923,0.39705
0.41919,0.0055,0.04541,0.21008,0.3781,-0.11778,0.3776
0.42929,0.00452,0.0421,0.17082,0.34782,-0.11636,0.35795
0.43939,0.00383,0.03906,0.13644,0.31896,-0.11539,0.3386
0.44949,0.00336,0.03639,0.10682,0.29286,-0.11527,0.32005
0.4596,0.003,0.03416,0.08185,0.27086,-0.11643,0.30281
0.4697,0.00266,0.03244,0.06141,0.2543,-0.11927,0.28736
0.4798,0.00225,0.03133,0.0454,0.24452,-0.12421,0.27423
0.4899,0.00167,0.03088,0.03369,0.24286,-0.13166,0.2639
0.5,8.36E-04,0.03119,0.02617,0.25067,-0.14203,0.25688
