s,m/s
Time,"w"
 1.0634930E+000, 2.9024585E+000
 1.0645437E+000, 2.9049020E+000
 1.0655944E+000, 2.9257794E+000
 1.0666452E+000, 2.9564753E+000
 1.0676959E+000, 2.9872616E+000
 1.0687466E+000, 3.0519363E+000
 1.0697973E+000, 3.0681033E+000
 1.0708480E+000, 3.0715436E+000
 1.0718987E+000, 3.0625940E+000
 1.0729494E+000, 3.0099926E+000
 1.0740001E+000, 2.9808734E+000
 1.0750508E+000, 2.9417552E+000
 1.0761016E+000, 2.9106953E+000
 1.0771523E+000, 2.8888252E+000
 1.0782030E+000, 2.8798518E+000
 1.0792537E+000, 2.8880319E+000
 1.0803044E+000, 2.9452214E+000
 1.0813551E+000, 2.9994219E+000
 1.0824058E+000, 3.0688522E+000
 1.0834565E+000, 3.1521552E+000
 1.0845072E+000, 3.2376807E+000
 1.0855580E+000, 3.3271867E+000
 1.0866087E+000, 3.4066358E+000
 1.0876594E+000, 3.4724125E+000
 1.0887101E+000, 3.5033248E+000
 1.0897608E+000, 3.4992445E+000
 1.0908115E+000, 3.4687522E+000
 1.0918622E+000, 3.4156171E+000
 1.0929129E+000, 3.3452181E+000
 1.0939637E+000, 3.2614508E+000
 1.0950144E+000, 3.1872116E+000
 1.0960651E+000, 3.1196290E+000
 1.0971158E+000, 3.0686555E+000
 1.0981665E+000, 3.0531793E+000
 1.0992172E+000, 3.0660309E+000
 1.1002679E+000, 3.1020775E+000
 1.1013186E+000, 3.1684012E+000
 1.1023693E+000, 3.2473918E+000
 1.1034201E+000, 3.3359193E+000
 1.1044708E+000, 3.4167853E+000
 1.1055215E+000, 3.5114971E+000
 1.1065722E+000, 3.6009219E+000
 1.1076229E+000, 3.6710561E+000
 1.1086736E+000, 3.7286479E+000
 1.1097243E+000, 3.7584981E+000
 1.1107750E+000, 3.7619272E+000
 1.1118257E+000, 3.7483462E+000
 1.1128765E+000, 3.7192722E+000
 1.1139272E+000, 3.6868416E+000
 1.1149779E+000, 3.6601051E+000
 1.1160286E+000, 3.6369350E+000
 1.1170793E+000, 3.6188577E+000
 1.1181300E+000, 3.5999850E+000
 1.1191807E+000, 3.5949056E+000
 1.1202314E+000, 3.6240973E+000
 1.1212822E+000, 3.5792584E+000
 1.1223329E+000, 3.5707871E+000
 1.1233836E+000, 3.5462429E+000
 1.1244343E+000, 3.5370454E+000
 1.1254850E+000, 3.5313132E+000
 1.1265357E+000, 3.5271379E+000
 1.1275864E+000, 3.5180815E+000
 1.1286371E+000, 3.5270670E+000
 1.1296878E+000, 3.5485175E+000
 1.1307386E+000, 3.5768559E+000
 1.1318943E+000, 3.5672999E+000
 1.1330501E+000, 3.6006117E+000
 1.1342059E+000, 3.6250020E+000
 1.1353617E+000, 3.6309998E+000
 1.1365175E+000, 3.6590773E+000
 1.1376733E+000, 3.6111712E+000
 1.1388290E+000, 3.5379296E+000
 1.1399848E+000, 3.4670479E+000
 1.1411406E+000, 3.3868041E+000
 1.1422964E+000, 3.2912711E+000
 1.1434522E+000, 3.2154855E+000
 1.1446080E+000, 3.1408406E+000
 1.1457637E+000, 3.1282461E+000
 1.1469195E+000, 3.0896155E+000
 1.1480753E+000, 3.0803176E+000
 1.1492311E+000, 3.0548749E+000
 1.1503869E+000, 3.0909458E+000
 1.1515426E+000, 3.1417744E+000
 1.1526984E+000, 3.2241014E+000
 1.1538542E+000, 3.3206083E+000
 1.1550100E+000, 3.4059121E+000
 1.1561658E+000, 3.4759587E+000
 1.1573216E+000, 3.5247751E+000
 1.1584773E+000, 3.5444352E+000
 1.1596331E+000, 3.5439457E+000
 1.1607889E+000, 3.5172806E+000
 1.1619447E+000, 3.4654193E+000
 1.1631005E+000, 3.4067325E+000
 1.1642563E+000, 3.3391741E+000
 1.1654120E+000, 3.2749372E+000
 1.1665678E+000, 3.2147372E+000
 1.1677236E+000, 3.1660342E+000
 1.1688794E+000, 3.1249220E+000
 1.1700352E+000, 3.0981693E+000
 1.1711910E+000, 3.0855698E+000
