Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
   25,-2.896E+02, 1.018E+04, 4.971E+03, 6.424E+03, 6.644E+03, 1.407E+03, 1.133E+03, 1.855E+01, 3.236E+05, 7.620E+02, 1.192E+05, 0.000E+00, 0.000E+00, 4.598E+03, 0.000E+00, 4.787E+05
   26,-2.875E+02, 1.037E+04, 4.992E+03, 6.363E+03, 6.614E+03, 1.415E+03, 1.080E+03, 1.874E+01, 3.226E+05, 8.130E+02, 1.201E+05, 0.000E+00, 0.000E+00, 4.605E+03, 0.000E+00, 4.787E+05
   27, 6.879E+02, 1.030E+04, 4.949E+03, 6.631E+03, 6.667E+03, 1.399E+03, 9.120E+02, 1.942E+01, 3.238E+05, 2.107E+02, 1.185E+05, 0.000E+00, 0.000E+00, 4.665E+03, 0.000E+00, 4.787E+05
   28, 1.173E+03, 1.024E+04, 4.842E+03, 6.102E+03, 6.414E+03, 1.110E+03, 3.374E+03, 2.071E+01, 3.219E+05, 2.002E+02, 1.190E+05, 0.000E+00, 0.000E+00, 4.331E+03, 0.000E+00, 4.787E+05
   29, 9.252E+02, 1.036E+04, 4.916E+03, 6.424E+03, 6.634E+03, 1.257E+03, 1.962E+03, 2.095E+01, 3.215E+05, 2.118E+02, 1.200E+05, 0.000E+00, 0.000E+00, 4.530E+03, 0.000E+00, 4.787E+05
   30, 9.559E+02, 1.013E+04, 4.772E+03, 6.297E+03, 6.582E+03, 1.262E+03, 1.996E+03, 2.057E+01, 3.205E+05, 2.041E+02, 1.216E+05, 0.000E+00, 0.000E+00, 4.461E+03, 0.000E+00, 4.787E+05
   31, 9.538E+02, 1.038E+04, 4.879E+03, 6.399E+03, 6.490E+03, 1.243E+03, 1.648E+03, 2.055E+01, 3.208E+05, 2.046E+02, 1.212E+05, 0.000E+00, 0.000E+00, 4.516E+03, 0.000E+00, 4.787E+05
   32, 1.305E+03, 9.914E+03, 4.719E+03, 5.988E+03, 6.533E+03, 1.100E+03, 3.440E+03, 2.047E+01, 3.182E+05, 2.013E+02, 1.230E+05, 0.000E+00, 0.000E+00, 4.313E+03, 0.000E+00, 4.787E+05
   33, 1.129E+03, 1.006E+04, 4.707E+03, 6.252E+03, 6.614E+03, 1.232E+03, 2.159E+03, 2.040E+01, 3.199E+05, 2.009E+02, 1.221E+05, 0.000E+00, 0.000E+00, 4.399E+03, 0.000E+00, 4.787E+05
   34, 1.117E+03, 1.016E+04, 4.745E+03, 6.227E+03, 6.583E+03, 1.266E+03, 2.122E+03, 2.044E+01, 3.183E+05, 2.033E+02, 1.236E+05, 0.000E+00, 0.000E+00, 4.401E+03, 0.000E+00, 4.787E+05
   35, 4.075E+02, 1.019E+04, 4.642E+03, 6.142E+03, 6.478E+03, 1.238E+03, 1.455E+03, 1.927E+01, 3.167E+05, 1.945E+02, 1.269E+05, 0.000E+00, 0.000E+00, 4.384E+03, 0.000E+00, 4.787E+05
   36, 1.058E+03, 1.007E+04, 4.534E+03, 5.966E+03, 6.552E+03, 1.219E+03, 1.851E+03, 1.977E+01, 3.086E+05, 1.964E+02, 1.344E+05, 0.000E+00, 0.000E+00, 4.290E+03, 0.000E+00, 4.787E+05
   37, 8.939E+02, 9.980E+03, 4.755E+03, 6.248E+03, 6.484E+03, 1.382E+03, 1.182E+03, 1.916E+01, 3.204E+05, 8.235E+02, 1.220E+05, 0.000E+00, 0.000E+00, 4.504E+03, 0.000E+00, 4.787E+05
   38, 8.945E+02, 1.018E+04, 4.789E+03, 6.276E+03, 6.455E+03, 1.399E+03, 1.172E+03, 1.859E+01, 3.183E+05, 8.424E+02, 1.239E+05, 0.000E+00, 0.000E+00, 4.419E+03, 0.000E+00, 4.787E+05
   39, 2.890E+02, 9.919E+03, 4.647E+03, 6.250E+03, 6.531E+03, 1.369E+03, 6.119E+02, 1.674E+01, 3.169E+05, 1.996E+02, 1.275E+05, 0.000E+00, 0.000E+00, 4.493E+03, 0.000E+00, 4.787E+05
   40, 8.945E+02, 1.058E+04, 5.129E+03, 6.817E+03, 6.820E+03, 1.258E+03, 1.683E+03, 2.134E+01, 3.267E+05, 2.105E+02, 1.140E+05, 0.000E+00, 0.000E+00, 4.629E+03, 0.000E+00, 4.787E+05
   41, 7.650E+02, 1.052E+04, 5.034E+03, 6.765E+03, 6.588E+03, 1.427E+03, 1.154E+03, 1.921E+01, 3.264E+05, 8.139E+02, 1.145E+05, 0.000E+00, 0.000E+00, 4.680E+03, 0.000E+00, 4.787E+05
   42, 7.545E+02, 1.053E+04, 5.115E+03, 6.776E+03, 6.591E+03, 1.436E+03, 1.094E+03, 1.905E+01, 3.286E+05, 8.606E+02, 1.122E+05, 0.000E+00, 0.000E+00, 4.723E+03, 0.000E+00, 4.787E+05
   43, 7.454E+02, 1.054E+04, 5.119E+03, 7.072E+03, 6.697E+03, 1.423E+03, 9.179E+02, 1.891E+01, 3.284E+05, 2.159E+02, 1.127E+05, 0.000E+00, 0.000E+00, 4.869E+03, 0.000E+00, 4.787E+05
   44, 1.118E+03, 1.038E+04, 4.890E+03, 6.325E+03, 6.670E+03, 1.110E+03, 3.246E+03, 2.144E+01, 3.198E+05, 1.991E+02, 1.205E+05, 0.000E+00, 0.000E+00, 4.441E+03, 0.000E+00, 4.787E+05
   45, 8.781E+02, 1.072E+04, 5.076E+03, 6.879E+03, 6.872E+03, 1.264E+03, 1.939E+03, 2.155E+01, 3.249E+05, 2.056E+02, 1.153E+05, 0.000E+00, 0.000E+00, 4.709E+03, 0.000E+00, 4.787E+05
   46, 9.025E+02, 1.084E+04, 5.101E+03, 6.845E+03, 6.860E+03, 1.266E+03, 1.969E+03, 2.150E+01, 3.246E+05, 2.059E+02, 1.154E+05, 0.000E+00, 0.000E+00, 4.679E+03, 0.000E+00, 4.787E+05
   47, 9.146E+02, 1.042E+04, 4.945E+03, 6.709E+03, 6.731E+03, 1.258E+03, 1.639E+03, 2.103E+01, 3.239E+05, 2.080E+02, 1.173E+05, 0.000E+00, 0.000E+00, 4.619E+03, 0.000E+00, 4.787E+05
   48, 1.626E+03, 1.001E+04, 4.777E+03, 5.778E+03, 6.330E+03, 9.661E+02, 4.120E+03, 1.996E+01, 3.161E+05, 1.903E+02, 1.246E+05, 0.000E+00, 0.000E+00, 4.267E+03, 0.000E+00, 4.787E+05
   49, 1.476E+03, 1.015E+04, 4.764E+03, 5.994E+03, 6.476E+03, 1.119E+03, 2.999E+03, 1.966E+01, 3.174E+05, 2.004E+02, 1.237E+05, 0.000E+00, 0.000E+00, 4.402E+03, 0.000E+00, 4.787E+05
   50, 1.449E+03, 1.022E+04, 4.725E+03, 6.005E+03, 6.485E+03, 1.126E+03, 2.997E+03, 1.965E+01, 3.165E+05, 1.988E+02, 1.245E+05, 0.000E+00, 0.000E+00, 4.419E+03, 0.000E+00, 4.787E+05
   51, 1.429E+03, 1.024E+04, 4.688E+03, 5.956E+03, 6.329E+03, 1.120E+03, 2.714E+03, 1.960E+01, 3.159E+05, 1.975E+02, 1.257E+05, 0.000E+00, 0.000E+00, 4.405E+03, 0.000E+00, 4.787E+05
   52, 1.446E+03, 1.010E+04, 4.751E+03, 5.908E+03, 6.477E+03, 1.092E+03, 2.900E+03, 1.953E+01, 3.142E+05, 1.931E+02, 1.273E+05, 0.000E+00, 0.000E+00, 4.341E+03, 0.000E+00, 4.787E+05
   53, 1.320E+03, 1.015E+04, 4.748E+03, 6.055E+03, 6.538E+03, 1.325E+03, 2.232E+03, 1.792E+01, 3.109E+05, 6.877E+02, 1.304E+05, 0.000E+00, 0.000E+00, 4.340E+03, 0.000E+00, 4.787E+05
   54, 1.291E+03, 1.049E+04, 4.810E+03, 6.120E+03, 6.575E+03, 1.268E+03, 2.181E+03, 1.806E+01, 3.163E+05, 7.319E+02, 1.245E+05, 0.000E+00, 0.000E+00, 4.413E+03, 0.000E+00, 4.787E+05
   55, 1.264E+03, 1.009E+04, 4.669E+03, 5.965E+03, 6.332E+03, 1.246E+03, 2.010E+03, 1.737E+01, 3.174E+05, 1.967E+02, 1.251E+05, 0.000E+00, 0.000E+00, 4.414E+03, 0.000E+00, 4.787E+05
   56, 1.173E+03, 1.015E+04, 4.887E+03, 5.994E+03, 6.739E+03, 1.093E+03, 2.581E+03, 1.986E+01, 3.176E+05, 1.951E+02, 1.240E+05, 0.000E+00, 0.000E+00, 4.331E+03, 0.000E+00, 4.787E+05
   57, 1.037E+03, 1.017E+04, 4.881E+03, 6.210E+03, 6.747E+03, 1.324E+03, 1.920E+03, 1.925E+01, 3.099E+05, 6.793E+02, 1.314E+05, 0.000E+00, 0.000E+00, 4.366E+03, 0.000E+00, 4.787E+05
   58, 1.013E+03, 1.030E+04, 4.929E+03, 6.213E+03, 6.818E+03, 1.275E+03, 1.883E+03, 1.887E+01, 3.179E+05, 7.131E+02, 1.233E+05, 0.000E+00, 0.000E+00, 4.375E+03, 0.000E+00, 4.787E+05
   59, 9.466E+02, 1.035E+04, 4.869E+03, 6.234E+03, 6.773E+03, 1.245E+03, 1.686E+03, 1.839E+01, 3.170E+05, 1.981E+02, 1.250E+05, 0.000E+00, 0.000E+00, 4.416E+03, 0.000E+00, 4.787E+05
   60, 1.431E+03, 1.011E+04, 4.444E+03, 5.466E+03, 6.409E+03, 9.551E+02, 4.009E+03, 2.022E+01, 2.979E+05, 1.859E+02, 1.437E+05, 0.000E+00, 0.000E+00, 4.089E+03, 0.000E+00, 4.787E+05
   61, 1.192E+03, 1.014E+04, 4.798E+03, 6.044E+03, 6.786E+03, 1.122E+03, 2.713E+03, 2.005E+01, 3.164E+05, 1.943E+02, 1.250E+05, 0.000E+00, 0.000E+00, 4.332E+03, 0.000E+00, 4.787E+05
   62, 1.176E+03, 1.036E+04, 4.824E+03, 6.061E+03, 6.775E+03, 1.131E+03, 2.726E+03, 2.041E+01, 3.161E+05, 1.930E+02, 1.250E+05, 0.000E+00, 0.000E+00, 4.352E+03, 0.000E+00, 4.787E+05
   63, 1.173E+03, 1.027E+04, 4.814E+03, 6.034E+03, 6.710E+03, 1.115E+03, 2.580E+03, 2.023E+01, 3.150E+05, 1.936E+02, 1.264E+05, 0.000E+00, 0.000E+00, 4.324E+03, 0.000E+00, 4.787E+05
   64, 1.464E+03, 9.946E+03, 4.667E+03, 5.925E+03, 6.449E+03, 1.147E+03, 2.761E+03, 1.987E+01, 3.153E+05, 1.959E+02, 1.266E+05, 0.000E+00, 0.000E+00, 4.282E+03, 0.000E+00, 4.787E+05
   65, 1.512E+03, 9.908E+03, 4.639E+03, 5.952E+03, 6.482E+03, 1.148E+03, 3.001E+03, 1.945E+01, 3.152E+05, 1.932E+02, 1.265E+05, 0.000E+00, 0.000E+00, 4.212E+03, 0.000E+00, 4.787E+05
   66, 1.483E+03, 1.001E+04, 4.649E+03, 5.961E+03, 6.470E+03, 1.135E+03, 2.923E+03, 1.983E+01, 3.156E+05, 1.936E+02, 1.260E+05, 0.000E+00, 0.000E+00, 4.234E+03, 0.000E+00, 4.787E+05
   67, 1.733E+03, 1.013E+04, 4.497E+03, 5.598E+03, 6.430E+03, 9.821E+02, 4.231E+03, 1.974E+01, 3.040E+05, 1.953E+02, 1.368E+05, 0.000E+00, 0.000E+00, 4.036E+03, 0.000E+00, 4.787E+05
   68, 1.324E+03, 1.001E+04, 4.669E+03, 5.959E+03, 6.302E+03, 1.254E+03, 1.947E+03, 1.793E+01, 3.160E+05, 2.003E+02, 1.267E+05, 0.000E+00, 0.000E+00, 4.319E+03, 0.000E+00, 4.787E+05
   69, 1.326E+03, 9.830E+03, 4.686E+03, 6.053E+03, 6.556E+03, 1.279E+03, 2.091E+03, 1.754E+01, 3.163E+05, 1.988E+02, 1.261E+05, 0.000E+00, 0.000E+00, 4.298E+03, 0.000E+00, 4.787E+05
   70, 1.321E+03, 9.927E+03, 4.696E+03, 6.091E+03, 6.542E+03, 1.269E+03, 2.116E+03, 1.770E+01, 3.162E+05, 2.005E+02, 1.260E+05, 0.000E+00, 0.000E+00, 4.327E+03, 0.000E+00, 4.787E+05
   71, 1.501E+03, 1.001E+04, 4.631E+03, 5.901E+03, 6.536E+03, 1.120E+03, 2.832E+03, 1.971E+01, 3.162E+05, 1.914E+02, 1.256E+05, 0.000E+00, 0.000E+00, 4.162E+03, 0.000E+00, 4.787E+05
   72, 1.085E+03, 9.946E+03, 4.804E+03, 5.997E+03, 6.261E+03, 1.297E+03, 1.909E+03, 2.009E+01, 3.187E+05, 1.986E+02, 1.241E+05, 0.000E+00, 0.000E+00, 4.407E+03, 0.000E+00, 4.787E+05
   73, 1.286E+03, 1.029E+04, 4.814E+03, 6.215E+03, 6.711E+03, 1.272E+03, 2.085E+03, 2.026E+01, 3.156E+05, 2.017E+02, 1.258E+05, 0.000E+00, 0.000E+00, 4.393E+03, 0.000E+00, 4.787E+05
   74, 1.274E+03, 1.037E+04, 4.864E+03, 6.278E+03, 6.751E+03, 1.278E+03, 2.058E+03, 1.999E+01, 3.158E+05, 2.045E+02, 1.254E+05, 0.000E+00, 0.000E+00, 4.404E+03, 0.000E+00, 4.787E+05
   75, 1.438E+03, 1.016E+04, 4.759E+03, 5.993E+03, 6.722E+03, 1.119E+03, 2.787E+03, 2.000E+01, 3.178E+05, 1.963E+02, 1.234E+05, 0.000E+00, 0.000E+00, 4.231E+03, 0.000E+00, 4.787E+05
   76, 1.200E+03, 1.032E+04, 4.788E+03, 6.004E+03, 6.608E+03, 1.151E+03, 2.717E+03, 2.017E+01, 3.168E+05, 1.967E+02, 1.246E+05, 0.000E+00, 0.000E+00, 4.299E+03, 0.000E+00, 4.787E+05
   77, 1.462E+03, 1.022E+04, 4.733E+03, 6.006E+03, 6.669E+03, 1.101E+03, 2.992E+03, 1.992E+01, 3.149E+05, 1.966E+02, 1.261E+05, 0.000E+00, 0.000E+00, 4.278E+03, 0.000E+00, 4.787E+05
   78, 1.467E+03, 1.002E+04, 4.571E+03, 5.911E+03, 6.681E+03, 1.102E+03, 3.040E+03, 1.993E+01, 3.138E+05, 1.968E+02, 1.276E+05, 0.000E+00, 0.000E+00, 4.210E+03, 0.000E+00, 4.787E+05
   79, 1.631E+03, 1.026E+04, 4.827E+03, 5.789E+03, 6.587E+03, 9.519E+02, 4.148E+03, 2.035E+01, 3.171E+05, 1.978E+02, 1.230E+05, 0.000E+00, 0.000E+00, 4.195E+03, 0.000E+00, 4.787E+05
   80, 3.781E+02, 9.995E+03, 4.761E+03, 6.280E+03, 6.973E+03, 1.261E+03, 1.418E+03, 2.043E+01, 3.210E+05, 2.020E+02, 1.219E+05, 0.000E+00, 0.000E+00, 4.551E+03, 0.000E+00, 4.787E+05
   81, 4.890E+02, 1.017E+04, 4.789E+03, 6.340E+03, 7.006E+03, 1.260E+03, 1.893E+03, 2.050E+01, 3.183E+05, 2.034E+02, 1.237E+05, 0.000E+00, 0.000E+00, 4.545E+03, 0.000E+00, 4.787E+05
   82, 4.996E+02, 1.010E+04, 4.812E+03, 6.317E+03, 6.983E+03, 1.234E+03, 1.869E+03, 2.059E+01, 3.167E+05, 2.036E+02, 1.254E+05, 0.000E+00, 0.000E+00, 4.560E+03, 0.000E+00, 4.787E+05
   83, 6.838E+02, 1.026E+04, 4.809E+03, 6.072E+03, 6.875E+03, 1.104E+03, 3.339E+03, 2.058E+01, 3.206E+05, 2.002E+02, 1.204E+05, 0.000E+00, 0.000E+00, 4.372E+03, 0.000E+00, 4.787E+05
   84, 2.638E+02, 9.917E+03, 4.672E+03, 6.400E+03, 6.995E+03, 1.378E+03, 5.893E+02, 1.701E+01, 3.203E+05, 2.081E+02, 1.234E+05, 0.000E+00, 0.000E+00, 4.547E+03, 0.000E+00, 4.787E+05
   85, 3.388E+02, 1.010E+04, 4.738E+03, 6.464E+03, 7.049E+03, 1.376E+03, 8.269E+02, 1.807E+01, 3.202E+05, 2.073E+02, 1.229E+05, 0.000E+00, 0.000E+00, 4.560E+03, 0.000E+00, 4.787E+05
   86, 2.980E+02, 1.020E+04, 4.717E+03, 6.452E+03, 7.051E+03, 1.373E+03, 8.827E+02, 1.821E+01, 3.177E+05, 2.078E+02, 1.253E+05, 0.000E+00, 0.000E+00, 4.544E+03, 0.000E+00, 4.787E+05
   87, 5.150E+02, 1.020E+04, 4.725E+03, 6.249E+03, 7.052E+03, 1.224E+03, 1.500E+03, 2.021E+01, 3.188E+05, 2.007E+02, 1.237E+05, 0.000E+00, 0.000E+00, 4.430E+03, 0.000E+00, 4.787E+05
   88, 1.069E+03, 9.878E+03, 4.596E+03, 6.323E+03, 6.584E+03, 1.374E+03, 1.093E+03, 1.924E+01, 3.162E+05, 2.028E+02, 1.268E+05, 0.000E+00, 0.000E+00, 4.566E+03, 0.000E+00, 4.787E+05
   89, 1.181E+03, 9.797E+03, 4.629E+03, 6.361E+03, 6.686E+03, 1.368E+03, 1.299E+03, 1.929E+01, 3.186E+05, 2.036E+02, 1.240E+05, 0.000E+00, 0.000E+00, 4.545E+03, 0.000E+00, 4.787E+05
   90, 1.175E+03, 9.880E+03, 4.645E+03, 6.349E+03, 6.689E+03, 1.357E+03, 1.319E+03, 1.905E+01, 3.179E+05, 2.060E+02, 1.246E+05, 0.000E+00, 0.000E+00, 4.509E+03, 0.000E+00, 4.787E+05
   91, 1.320E+03, 1.026E+04, 4.696E+03, 6.210E+03, 6.697E+03, 1.209E+03, 1.810E+03, 1.994E+01, 3.166E+05, 2.021E+02, 1.253E+05, 0.000E+00, 0.000E+00, 4.378E+03, 0.000E+00, 4.787E+05
   92, 1.272E+03, 1.014E+04, 4.634E+03, 6.215E+03, 6.689E+03, 1.235E+03, 1.732E+03, 1.973E+01, 3.161E+05, 1.970E+02, 1.260E+05, 0.000E+00, 0.000E+00, 4.467E+03, 0.000E+00, 4.787E+05
   93, 1.378E+03, 1.021E+04, 4.701E+03, 6.328E+03, 6.745E+03, 1.223E+03, 2.245E+03, 2.022E+01, 3.165E+05, 2.091E+02, 1.246E+05, 0.000E+00, 0.000E+00, 4.469E+03, 0.000E+00, 4.787E+05
   94, 1.387E+03, 1.016E+04, 4.700E+03, 6.317E+03, 6.746E+03, 1.204E+03, 2.208E+03, 2.007E+01, 3.173E+05, 2.060E+02, 1.240E+05, 0.000E+00, 0.000E+00, 4.453E+03, 0.000E+00, 4.787E+05
   95, 1.524E+03, 1.020E+04, 4.628E+03, 5.954E+03, 6.616E+03, 1.072E+03, 3.556E+03, 2.027E+01, 3.103E+05, 2.007E+02, 1.304E+05, 0.000E+00, 0.000E+00, 4.258E+03, 0.000E+00, 4.787E+05
   96, 8.278E+01, 1.151E+04, 5.979E+03, 7.512E+03, 8.014E+03, 1.330E+03, 1.310E+03, 2.342E+01, 3.200E+05, 2.059E+02, 1.173E+05, 0.000E+00, 0.000E+00, 5.456E+03, 0.000E+00, 4.787E+05
   97, 1.152E+02, 1.147E+04, 5.903E+03, 7.364E+03, 7.917E+03, 1.323E+03, 1.759E+03, 2.329E+01, 3.190E+05, 2.031E+02, 1.183E+05, 0.000E+00, 0.000E+00, 5.383E+03, 0.000E+00, 4.787E+05
   98, 9.299E+01, 1.085E+04, 5.903E+03, 7.391E+03, 8.021E+03, 1.342E+03, 1.728E+03, 2.302E+01, 3.341E+05, 1.957E+02, 1.037E+05, 0.000E+00, 0.000E+00, 5.369E+03, 0.000E+00, 4.787E+05
   99, 3.131E+02, 1.158E+04, 5.945E+03, 7.081E+03, 7.815E+03, 1.158E+03, 3.183E+03, 2.431E+01, 3.179E+05, 1.996E+02, 1.182E+05, 0.000E+00, 0.000E+00, 5.245E+03, 0.000E+00, 4.787E+05
  100,-2.322E+01, 1.149E+04, 5.916E+03, 7.579E+03, 7.966E+03, 1.438E+03, 6.284E+02, 1.909E+01, 3.183E+05, 2.156E+02, 1.197E+05, 0.000E+00, 0.000E+00, 5.505E+03, 0.000E+00, 4.787E+05
  101,-5.028E+01, 1.138E+04, 5.944E+03, 7.486E+03, 7.925E+03, 1.449E+03, 8.058E+02, 2.082E+01, 3.215E+05, 2.066E+02, 1.167E+05, 0.000E+00, 0.000E+00, 5.430E+03, 0.000E+00, 4.787E+05
  102,-6.612E+01, 1.135E+04, 5.993E+03, 7.606E+03, 7.969E+03, 1.459E+03, 8.549E+02, 2.193E+01, 3.201E+05, 2.076E+02, 1.177E+05, 0.000E+00, 0.000E+00, 5.484E+03, 0.000E+00, 4.787E+05
  103, 1.199E+02, 1.172E+04, 5.964E+03, 7.348E+03, 8.010E+03, 1.292E+03, 1.345E+03, 2.365E+01, 3.141E+05, 2.036E+02, 1.233E+05, 0.000E+00, 0.000E+00, 5.273E+03, 0.000E+00, 4.787E+05
  104, 2.489E+02, 9.889E+03, 4.634E+03, 6.233E+03, 6.848E+03, 1.364E+03, 6.619E+02, 1.924E+01, 3.164E+05, 2.038E+02, 1.277E+05, 0.000E+00, 0.000E+00, 4.548E+03, 0.000E+00, 4.787E+05
