cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 1.0351887E+002, 9.3115160E+002, 2.3850966E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6848000E+002, 5.2740000E+000, 1.5420523E+000, 4.8737861E+000, 5.1354322E+000, 5.1618493E+000, 1.1700000E+002, 3.2080389E+000
 1.0748113E+002, 9.3115160E+002, 2.3850966E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7296000E+002, 5.4730000E+000, 1.5420523E+000, 4.8737861E+000, 5.1354322E+000, 5.1618493E+000, 1.2150000E+002, 3.2080389E+000
 1.1144340E+002, 8.6798086E+002, 2.3391576E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7744000E+002, 5.6720000E+000, 1.5420523E+000, 4.8737861E+000, 5.1354322E+000, 5.1618493E+000, 1.2600000E+002, 3.2080389E+000
 1.1540566E+002, 8.6798086E+002, 2.3391576E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8192000E+002, 5.8710000E+000, 1.2203157E+000, 3.9826325E+000, 4.1883662E+000, 4.2171724E+000, 1.3050000E+002, 2.9668016E+000
 1.1936792E+002, 8.6798086E+002, 2.3391576E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 1.2203157E+000, 3.9826325E+000, 4.1883662E+000, 4.2171724E+000, 1.3500000E+002, 2.9668016E+000
 1.2333019E+002, 8.6798086E+002, 2.3391576E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 1.2203157E+000, 3.9826325E+000, 4.1883662E+000, 4.2171724E+000, 1.3950000E+002, 2.9668016E+000
 1.2729245E+002, 8.6798086E+002, 2.3391576E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 1.2203157E+000, 3.9826325E+000, 4.1883662E+000, 4.2171724E+000, 1.4400000E+002, 2.9668016E+000
 1.3125472E+002, 8.0958348E+002, 2.2097551E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 1.2203157E+000, 3.9826325E+000, 4.1883662E+000, 4.2171724E+000, 1.4850000E+002, 2.9668016E+000
 1.3521698E+002, 8.0958348E+002, 2.2097551E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 9.7559333E-001, 3.2927257E+000, 3.4556418E+000, 3.4834684E+000, 1.5300000E+002, 2.6985378E+000
 1.3917925E+002, 8.0958348E+002, 2.2097551E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 9.7559333E-001, 3.2927257E+000, 3.4556418E+000, 3.4834684E+000, 1.5750000E+002, 2.6985378E+000
 1.4314151E+002, 8.0958348E+002, 2.2097551E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 9.7559333E-001, 3.2927257E+000, 3.4556418E+000, 3.4834684E+000, 1.6200000E+002, 2.6985378E+000
 1.4710377E+002, 8.0958348E+002, 2.2097551E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 9.7559333E-001, 3.2927257E+000, 3.4556418E+000, 3.4834684E+000, 1.6650000E+002, 2.6985378E+000
 1.5106604E+002, 7.5561473E+002, 2.0249038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 7.8751759E-001, 2.7508374E+000, 2.8809770E+000, 2.9063711E+000, 1.7100000E+002, 2.4265241E+000
 1.5502830E+002, 7.5561473E+002, 2.0249038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 7.8751759E-001, 2.7508374E+000, 2.8809770E+000, 2.9063711E+000, 1.7550000E+002, 2.4265241E+000
 1.5899057E+002, 7.5561473E+002, 2.0249038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 7.8751759E-001, 2.7508374E+000, 2.8809770E+000, 2.9063711E+000, 1.8000000E+002, 2.4265241E+000
 1.6295283E+002, 7.5561473E+002, 2.0249038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 7.8751759E-001, 2.7508374E+000, 2.8809770E+000, 2.9063711E+000,NaN,NaN
 1.6691509E+002, 7.5561473E+002, 2.0249038E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 6.4123993E-001, 2.3189319E+000, 2.4237833E+000, 2.4462086E+000,NaN,NaN
 1.7087736E+002, 7.0833862E+002, 1.8315007E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 6.4123993E-001, 2.3189319E+000, 2.4237833E+000, 2.4462086E+000,NaN,NaN
 1.7483962E+002, 7.0833862E+002, 1.8315007E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 6.4123993E-001, 2.3189319E+000, 2.4237833E+000, 2.4462086E+000,NaN,NaN
 1.7880189E+002, 7.0833862E+002, 1.8315007E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 6.4123993E-001, 2.3189319E+000, 2.4237833E+000, 2.4462086E+000,NaN,NaN
