cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 5.7107143E+001, 7.5466253E+002, 7.4841519E+002, 3.9164796E+000, 3.2244158E+002, 3.5572255E+002, 1.4394711E+000, 1.5485945E-001, 2.3845676E-002, 8.8832986E-004, 2.7819468E-003, 5.2360336E-002, 9.3508406E-004, 7.6428242E-001, 9.2089442E-004, 2.0783080E-005
 5.9137755E+001, 7.2974316E+002, 7.2328631E+002, 3.9017665E+000, 3.1106366E+002, 3.4288244E+002, 1.4111085E+000, 1.5815458E-001, 2.2520981E-002, 7.2674948E-004, 2.1596393E-003, 4.9549669E-002, 7.6499945E-004, 7.6608513E-001, 7.5251887E-004, 1.6983119E-005
 6.1168367E+001, 7.0713743E+002, 7.0073878E+002, 3.8850032E+000, 2.9977472E+002, 3.2999860E+002, 1.3843609E+000, 1.6106028E-001, 2.1341905E-002, 5.8695484E-004, 1.7073823E-003, 4.7051779E-002, 6.1784720E-004, 7.6760296E-001, 6.0704449E-004, 1.3700000E-005
 6.3198980E+001, 6.8663234E+002, 6.8042573E+002, 3.8685749E+000, 2.8768742E+002, 3.1620867E+002, 1.3564751E+000, 1.6363587E-001, 2.0280619E-002, 4.7628865E-004, 1.3838191E-003, 4.4818946E-002, 5.0135647E-004, 7.6887803E-001, 4.9227532E-004, 1.1109848E-005
 6.5229592E+001, 6.6815376E+002, 6.6210603E+002, 3.8488045E+000, 2.7695712E+002, 3.0402570E+002, 1.3330178E+000, 1.6591748E-001, 1.9324706E-002, 3.9855283E-004, 1.1207657E-003, 4.2830615E-002, 4.1952929E-004, 7.6996738E-001, 4.1171524E-004, 9.2917390E-006
 6.7260204E+001, 6.5120869E+002, 6.4542737E+002, 3.8268990E+000, 2.6707187E+002, 2.9279482E+002, 1.3151764E+000, 1.6798122E-001, 1.8455714E-002, 3.3297917E-004, 8.9544585E-004, 4.1028349E-002, 3.5050439E-004, 7.7093826E-001, 3.4375459E-004, 7.7579784E-006
 6.9290816E+001, 6.3535151E+002, 6.2978893E+002, 3.8035662E+000, 2.5677643E+002, 2.8132205E+002, 1.2997837E+000, 1.6990595E-001, 1.7643506E-002, 2.7007100E-004, 7.1608479E-004, 3.9342041E-002, 2.8428526E-004, 7.7182384E-001, 2.7859062E-004, 6.2873342E-006
 7.1321429E+001, 6.2084390E+002, 6.1544380E+002, 3.7843306E+000, 2.4650875E+002, 2.7002321E+002, 1.2769303E+000, 1.7164785E-001, 1.6901034E-002, 2.2089411E-004, 5.7751012E-004, 3.7809121E-002, 2.3252012E-004, 7.7259945E-001, 2.2777663E-004, 5.1405456E-006
 7.3352041E+001, 6.0728401E+002, 6.0199789E+002, 3.7646367E+000, 2.3688422E+002, 2.5943021E+002, 1.2582926E+000, 1.7325249E-001, 1.6209886E-002, 1.8311945E-004, 4.7263244E-004, 3.6390431E-002, 1.9275732E-004, 7.7328904E-001, 1.8881848E-004, 4.2613241E-006
 7.5382653E+001, 5.9515750E+002, 5.8995776E+002, 3.7446500E+000, 2.2836435E+002, 2.5010199E+002, 1.2453043E+000, 1.7467087E-001, 1.5593392E-002, 1.5713891E-004, 3.8662277E-004, 3.5133008E-002, 1.6540938E-004, 7.7388529E-001, 1.6209888E-004, 3.6583063E-006
 7.7413265E+001, 5.8385524E+002, 5.7879124E+002, 3.7267326E+000, 2.2013034E+002, 2.4108965E+002, 1.2344619E+000, 1.7598787E-001, 1.5018248E-002, 1.3557569E-004, 3.1739254E-004, 3.3962676E-002, 1.4271125E-004, 7.7442839E-001, 1.3983275E-004, 3.1557963E-006
 7.9443878E+001, 5.7292295E+002, 5.6803192E+002, 3.7083221E+000, 2.1195653E+002, 2.3215739E+002, 1.2184129E+000, 1.7726108E-001, 1.4460754E-002, 1.1728728E-004, 2.4800959E-004, 3.2830996E-002, 1.2346029E-004, 7.7495224E-001, 1.2081147E-004, 2.7265170E-006
 8.1474490E+001, 5.6236157E+002, 5.5766120E+002, 3.6825263E+000, 2.0406081E+002, 2.2355078E+002, 1.2087029E+000, 1.7849361E-001, 1.3924467E-002, 9.4710156E-005, 1.7935117E-004, 3.1737167E-002, 9.9694902E-005, 7.7546602E-001, 9.7221759E-005, 2.1941359E-006
 8.3505102E+001, 5.5218904E+002, 5.4771870E+002, 3.6407057E+000, 1.9555711E+002, 2.1433978E+002, 1.1974565E+000, 1.7968338E-001, 1.3409748E-002, 6.7210258E-005, 1.2188403E-004, 3.0681206E-002, 7.0747640E-005, 7.7596229E-001, 6.8695710E-005, 1.5503497E-006
 8.5535714E+001, 5.4213082E+002, 5.3798932E+002, 3.6139370E+000, 1.8547394E+002, 2.0334366E+002, 1.1836014E+000, 1.8085116E-001, 1.2897896E-002, 4.7981270E-005, 8.1011065E-005, 2.9639543E-002, 5.0506600E-005, 7.7642937E-001, 4.8971625E-005, 1.1052094E-006
 8.7566327E+001, 5.3259326E+002, 5.2875892E+002, 3.5852881E+000, 1.7514224E+002, 1.9217674E+002, 1.1738201E+000, 1.8195227E-001, 1.2410107E-002, 3.5989030E-005, 5.3765675E-005, 2.8653419E-002, 3.7883189E-005, 7.7685467E-001, 3.6716862E-005, 8.2863948E-007
 8.9596939E+001, 5.2362134E+002, 5.2001740E+002, 3.5553615E+000, 1.6539522E+002, 1.8182273E+002, 1.1678541E+000, 1.8298766E-001, 1.1949840E-002, 2.6016495E-005, 3.5771721E-005, 2.7724308E-002, 2.7385784E-005, 7.7724765E-001, 2.6487512E-005, 5.9777978E-007
 9.1627551E+001, 5.1535598E+002, 5.1194156E+002, 3.5256741E+000, 1.5701949E+002, 1.7298645E+002, 1.1628034E+000, 1.8393001E-001, 1.1529584E-002, 1.8445086E-005, 2.3011493E-005, 2.6877553E-002, 1.9415880E-005, 7.7760101E-001, 1.8730080E-005, 4.2270725E-007
 9.3658163E+001, 5.0781771E+002, 5.0457716E+002, 3.4986274E+000, 1.4961216E+002, 1.6510124E+002, 1.1531276E+000, 1.8477920E-001, 1.1150112E-002, 1.2380184E-005, 1.4231741E-005, 2.6113766E-002, 1.3031772E-005, 7.7791663E-001, 1.2519874E-005, 2.8255306E-007
 9.5688776E+001, 5.0091982E+002, 4.9778222E+002, 3.4731354E+000, 1.4292202E+002, 1.5794445E+002, 1.1458462E+000, 1.8555623E-001, 1.0802082E-002, 7.6735365E-006, 8.7458592E-006, 2.5414148E-002, 8.0774069E-006, 7.7820264E-001, 7.7177157E-006, 1.7417621E-007
 9.7719388E+001, 4.9431482E+002, 4.9131205E+002, 3.4503590E+000, 1.3673363E+002, 1.5127905E+002, 1.1383160E+000, 1.8628918E-001, 1.0472612E-002, 4.7210830E-006, 5.5888577E-006, 2.4753404E-002, 4.9695611E-006, 7.7846928E-001, 4.7241052E-006, 1.0661532E-007
 9.9750000E+001, 4.8758881E+002, 4.8477566E+002, 3.4281792E+000, 1.3053365E+002, 1.4459518E+002, 1.1276107E+000, 1.8702691E-001, 1.0140064E-002, 2.9744973E-006, 3.5911653E-006, 2.4087770E-002, 3.1310498E-006, 7.7873540E-001, 2.9649003E-006, 6.6912945E-008
