s,m/s
Time,"w"
 1.7996428E+000, 2.5991558E+000
 1.8016892E+000, 2.5911385E+000
 1.8037357E+000, 2.5815170E+000
 1.8057821E+000, 2.5708619E+000
 1.8078286E+000, 2.5585579E+000
 1.8098750E+000, 2.5450034E+000
 1.8119215E+000, 2.5313774E+000
 1.8139679E+000, 2.5183037E+000
 1.8160143E+000, 2.5039789E+000
 1.8180608E+000, 2.4890846E+000
 1.8201072E+000, 2.4752313E+000
 1.8221537E+000, 2.4624765E+000
 1.8242001E+000, 2.4505687E+000
 1.8262466E+000, 2.4400781E+000
 1.8282930E+000, 2.4290465E+000
 1.8303394E+000, 2.4186815E+000
 1.8323859E+000, 2.4096919E+000
 1.8344323E+000, 2.4023090E+000
 1.8364788E+000, 2.3943409E+000
 1.8385252E+000, 2.3875172E+000
 1.8405717E+000, 2.3815295E+000
 1.8426181E+000, 2.3753494E+000
 1.8446645E+000, 2.3686275E+000
 1.8467110E+000, 2.3623449E+000
 1.8487574E+000, 2.3563320E+000
 1.8508039E+000, 2.3506413E+000
 1.8528503E+000, 2.3438543E+000
 1.8548967E+000, 2.3362887E+000
 1.8569432E+000, 2.3281521E+000
 1.8589896E+000, 2.3202823E+000
 1.8610361E+000, 2.3138401E+000
 1.8630825E+000, 2.3076308E+000
 1.8651290E+000, 2.2998215E+000
 1.8671754E+000, 2.2931008E+000
 1.8692218E+000, 2.2868995E+000
 1.8712683E+000, 2.2798347E+000
 1.8733147E+000, 2.2742905E+000
 1.8753612E+000, 2.2701382E+000
 1.8774076E+000, 2.2688056E+000
 1.8794541E+000, 2.2672575E+000
 1.8815005E+000, 2.2667019E+000
 1.8835469E+000, 2.2694412E+000
 1.8855934E+000, 2.2718737E+000
 1.8876398E+000, 2.2746352E+000
 1.8896863E+000, 2.2790296E+000
 1.8917327E+000, 2.2856366E+000
 1.8937792E+000, 2.2902178E+000
 1.8958256E+000, 2.2957612E+000
 1.8978720E+000, 2.3036125E+000
 1.8996958E+000, 2.3128663E+000
 1.9015196E+000, 2.3267144E+000
 1.9033434E+000, 2.3385362E+000
 1.9051672E+000, 2.3586708E+000
 1.9069910E+000, 2.3788868E+000
 1.9088148E+000, 2.3990930E+000
 1.9106386E+000, 2.4218236E+000
 1.9124624E+000, 2.4469015E+000
 1.9142862E+000, 2.4766811E+000
 1.9161100E+000, 2.5085414E+000
 1.9179337E+000, 2.5392064E+000
 1.9197575E+000, 2.5702750E+000
 1.9215813E+000, 2.6020735E+000
 1.9234051E+000, 2.6270638E+000
 1.9254113E+000, 2.6453889E+000
 1.9274175E+000, 2.6539031E+000
 1.9294236E+000, 2.6617927E+000
 1.9314298E+000, 2.6643632E+000
 1.9334360E+000, 2.6604880E+000
 1.9354421E+000, 2.6495385E+000
 1.9374483E+000, 2.6319738E+000
 1.9394545E+000, 2.6102983E+000
 1.9414607E+000, 2.5849783E+000
 1.9434668E+000, 2.5582289E+000
 1.9454730E+000, 2.5308197E+000
 1.9474792E+000, 2.5065380E+000
 1.9494853E+000, 2.4850147E+000
 1.9514915E+000, 2.4656758E+000
 1.9534977E+000, 2.4504307E+000
 1.9555038E+000, 2.4369564E+000
 1.9575100E+000, 2.4256532E+000
 1.9595162E+000, 2.4172841E+000
 1.9615224E+000, 2.4126310E+000
 1.9635285E+000, 2.4106813E+000
 1.9655347E+000, 2.4084041E+000
 1.9675409E+000, 2.4062906E+000
 1.9695470E+000, 2.4045024E+000
 1.9715532E+000, 2.4015316E+000
 1.9735594E+000, 2.3995832E+000
 1.9755655E+000, 2.3952376E+000
 1.9775717E+000, 2.3881428E+000
 1.9795779E+000, 2.3766574E+000
 1.9815841E+000, 2.3603246E+000
 1.9835902E+000, 2.3429270E+000
 1.9855964E+000, 2.3213956E+000
 1.9876026E+000, 2.2969538E+000
