cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 7.3000000E+001, 5.6327490E+002, 5.6320135E+002, 3.0946932E+000, 2.5397274E+002, 2.6485893E+002, 1.4479463E+000, 1.7776806E-001, 1.6846364E-002, 8.3622923E-004, 4.8058865E-004, 3.8266198E-002, 8.3622923E-004, 7.6496633E-001, 0.0000000E+000,NaN,NaN,NaN, 9.1525424E+001, 2.7683152E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5000000E+001, 5.5067943E+002, 5.5033266E+002, 3.0634113E+000, 2.4368100E+002, 2.5406080E+002, 1.4377505E+000, 1.7941662E-001, 1.6030827E-002, 6.9583507E-004, 3.5831385E-004, 3.6501252E-002, 6.9583507E-004, 7.6630131E-001, 0.0000000E+000,NaN,NaN,NaN, 9.4067797E+001, 2.5741565E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.7000000E+001, 5.3873278E+002, 5.3819137E+002, 3.0355203E+000, 2.3349590E+002, 2.4341567E+002, 1.4233891E+000, 1.8095796E-001, 1.5263897E-002, 5.6814678E-004, 2.6495737E-004, 3.4845713E-002, 5.6814678E-004, 7.6753117E-001, 0.0000000E+000,NaN,NaN,NaN, 9.6610169E+001, 2.4805318E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.9000000E+001, 5.2711852E+002, 5.2645068E+002, 3.0094635E+000, 2.2281711E+002, 2.3227207E+002, 1.4077573E+000, 1.8243468E-001, 1.4524503E-002, 4.5006064E-004, 1.9480810E-004, 3.3254507E-002, 4.5006064E-004, 7.6869138E-001, 0.0000000E+000,NaN,NaN,NaN, 9.9152542E+001, 2.3890187E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.1000000E+001, 5.1605082E+002, 5.1529861E+002, 2.9820743E+000, 2.1233366E+002, 2.2132208E+002, 1.3918100E+000, 1.8380134E-001, 1.3827693E-002, 3.5985700E-004, 1.4511006E-004, 3.1775758E-002, 3.5985700E-004, 7.6973039E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0169492E+002, 2.2992372E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.3000000E+001, 5.0592494E+002, 5.0510561E+002, 2.9538139E+000, 2.0279550E+002, 2.1135382E+002, 1.3777977E+000, 1.8503385E-001, 1.3192502E-002, 2.8877867E-004, 1.0877303E-004, 3.0438785E-002, 2.8877867E-004, 7.7064853E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0423729E+002, 2.1234839E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.5000000E+001, 4.9667748E+002, 4.9581418E+002, 2.9229825E+000, 1.9395761E+002, 2.0212972E+002, 1.3649018E+000, 1.8614997E-001, 1.2614067E-002, 2.2892228E-004, 8.1839707E-005, 2.9226073E-002, 2.2892228E-004, 7.7147020E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0677966E+002, 2.0374387E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7000000E+001, 4.8786982E+002, 4.8698198E+002, 2.8934729E+000, 1.8523889E+002, 1.9304546E+002, 1.3514270E+000, 1.8720251E-001, 1.2063114E-002, 1.8102519E-004, 6.2038609E-005, 2.8079982E-002, 1.8102519E-004, 7.7223030E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0932203E+002, 1.9529340E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.9000000E+001, 4.7947534E+002, 4.7855671E+002, 2.8934729E+000, 1.7674364E+002, 1.8421456E+002, 1.3514270E+000, 1.8819463E-001, 1.1539544E-002, 1.4257341E-004, 4.7438320E-005, 2.6997836E-002, 1.4257341E-004, 7.7293541E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1186441E+002, 1.8703648E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.1000000E+001, 4.7156563E+002, 4.7064559E+002, 2.8386626E+000, 1.6864402E+002, 1.7579794E+002, 1.3195232E+000, 1.8911895E-001, 1.1049354E-002, 1.1050549E-004, 3.6253581E-005, 2.5988565E-002, 1.1050549E-004, 7.7358587E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1440678E+002, 1.7119794E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
