cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 5.7000000E+001, 1.0318102E+003, 1.0274992E+003, 4.4617959E+000, 1.5382126E+002, 3.1142095E+002, 1.4228306E+000, 1.1294530E-001, 5.2988865E-002, 4.0627513E-003, 3.3169228E-003, 8.7724062E-002, 3.1727077E-003, 7.3475720E-001, 4.0523883E-003, 4.3904498E-004
 5.9000000E+001, 9.9749099E+002, 9.8783561E+002, 4.4194819E+000, 1.5640451E+002, 3.1249506E+002, 1.4676764E+000, 1.1903621E-001, 5.0068075E-002, 3.2117609E-003, 2.5404246E-003, 8.2623099E-002, 2.5028019E-003, 7.3907567E-001, 3.2015299E-003, 4.0018205E-004
 6.1000000E+001, 9.6225949E+002, 9.4821000E+002, 4.3742263E+000, 1.5683407E+002, 3.1033377E+002, 1.4993602E+000, 1.2495966E-001, 4.7127021E-002, 2.5191525E-003, 1.9364015E-003, 7.7614405E-002, 1.9579478E-003, 7.4302568E-001, 2.5094637E-003, 3.6481489E-004
 6.3000000E+001, 9.2705431E+002, 9.0954568E+002, 4.3245993E+000, 1.5572737E+002, 3.0538410E+002, 1.5180211E+000, 1.3059940E-001, 4.4246387E-002, 1.9695445E-003, 1.4728091E-003, 7.2808716E-002, 1.5259489E-003, 7.4659121E-001, 1.9607369E-003, 3.3313656E-004
 6.5000000E+001, 8.9252416E+002, 8.7254742E+002, 4.2739695E+000, 1.5380700E+002, 2.9830017E+002, 1.5316661E+000, 1.3586543E-001, 4.1496060E-002, 1.5398815E-003, 1.1198246E-003, 6.8294353E-002, 1.1885572E-003, 7.4977531E-001, 1.5322271E-003, 3.0508793E-004
 6.7000000E+001, 8.5920537E+002, 8.3770254E+002, 4.2218019E+000, 1.5110544E+002, 2.8935499E+002, 1.5360991E+000, 1.4073686E-001, 3.8907344E-002, 1.2036031E-003, 8.5263690E-004, 6.4098239E-002, 9.2478347E-004, 7.5261393E-001, 1.1970788E-003, 2.8025803E-004
 6.9000000E+001, 8.2750212E+002, 8.0521978E+002, 4.1740529E+000, 1.4749408E+002, 2.7896531E+002, 1.5380266E+000, 1.4522685E-001, 3.6486511E-002, 9.4182185E-004, 6.5149046E-004, 6.0215227E-002, 7.1971239E-004, 7.5514723E-001, 9.3627390E-004, 2.5825069E-004
 7.1000000E+001, 7.9776784E+002, 7.7538933E+002, 4.1275602E+000, 1.4316692E+002, 2.6774730E+002, 1.5346082E+000, 1.4931981E-001, 3.4256680E-002, 7.3493377E-004, 4.9882548E-004, 5.6665204E-002, 5.5785189E-004, 7.5740112E-001, 7.3018577E-004, 2.3877016E-004
 7.3000000E+001, 7.6941490E+002, 7.4743878E+002, 4.0797474E+000, 1.3870173E+002, 2.5600874E+002, 1.5341685E+000, 1.5311099E-001, 3.2172657E-002, 5.6967250E-004, 3.7827543E-004, 5.3369185E-002, 4.2875836E-004, 7.5944601E-001, 5.6567442E-004, 2.2121703E-004
 7.5000000E+001, 7.4283622E+002, 7.2155790E+002, 4.0322578E+000, 1.3364590E+002, 2.4402042E+002, 1.5334324E+000, 1.5658721E-001, 3.0246925E-002, 4.3901088E-004, 2.8532683E-004, 5.0340666E-002, 3.2687583E-004, 7.6128637E-001, 4.3563366E-004, 2.0550857E-004
 7.7000000E+001, 7.1800022E+002, 6.9746245E+002, 3.9874521E+000, 1.2769961E+002, 2.3205620E+002, 1.5331537E+000, 1.5979483E-001, 2.8456565E-002, 3.3748202E-004, 2.1456618E-004, 4.7540566E-002, 2.4790346E-004, 7.6295367E-001, 3.3467139E-004, 1.9137005E-004
 7.9000000E+001, 6.9492058E+002, 6.7523032E+002, 3.9510286E+000, 1.2112662E+002, 2.2020076E+002, 1.5134498E+000, 1.6273173E-001, 2.6806610E-002, 2.5999010E-004, 1.6035348E-004, 4.4972575E-002, 1.8781491E-004, 7.6445626E-001, 2.5768465E-004, 1.7871693E-004
 8.1000000E+001, 6.7333453E+002, 6.5467833E+002, 3.9143478E+000, 1.1440221E+002, 2.0839697E+002, 1.4876383E+000, 1.6542841E-001, 2.5283556E-002, 2.0048023E-004, 1.1842656E-004, 4.2611454E-002, 1.4183893E-004, 7.6581798E-001, 1.9859351E-004, 1.6731904E-004
 8.3000000E+001, 6.5310328E+002, 6.3561278E+002, 3.8748704E+000, 1.0766699E+002, 1.9683586E+002, 1.4612699E+000, 1.6791178E-001, 2.3875176E-002, 1.5384942E-004, 8.6662141E-005, 4.0434640E-002, 1.0595492E-004, 7.6705846E-001, 1.5228480E-004, 1.5697698E-004
 8.5000000E+001, 6.3440856E+002, 6.1805861E+002, 3.8318299E+000, 1.0113210E+002, 1.8593581E+002, 1.4377398E+000, 1.7017540E-001, 2.2586636E-002, 1.1811459E-004, 6.3148463E-005, 3.8448446E-002, 7.8593879E-005, 7.6817811E-001, 1.1680410E-004, 1.4767976E-004
 8.7000000E+001, 6.1719820E+002, 6.0186643E+002, 3.7881413E+000, 9.4986038E+001, 1.7582572E+002, 1.4175622E+000, 1.7224110E-001, 2.1406801E-002, 9.1154731E-005, 4.5943575E-005, 3.6634295E-002, 5.8088673E-005, 7.6919084E-001, 9.0047048E-005, 1.3930409E-004
 8.9000000E+001, 6.0155259E+002, 5.8717856E+002, 3.7881413E+000, 8.9348802E+001, 1.6649512E+002, 1.4175622E+000, 1.7410176E-001, 2.0341255E-002, 7.0894874E-005, 3.3463678E-005, 3.4999063E-002, 4.2797492E-005, 7.7009663E-001, 6.9945044E-005, 1.3183737E-004
 9.1000000E+001, 5.8702022E+002, 5.7361848E+002, 3.7010113E+000, 8.4126527E+001, 1.5758235E+002, 1.3870606E+000, 1.7581282E-001, 1.9359380E-002, 5.5110142E-005, 2.4221393E-005, 3.3494479E-002, 3.0984064E-005, 7.7092498E-001, 5.4283696E-005, 1.2502595E-004
 9.3000000E+001, 5.7337772E+002, 5.6097341E+002, 3.6599398E+000, 7.9301909E+001, 1.4897554E+002, 1.3706664E+000, 1.7740695E-001, 1.8442820E-002, 4.2983158E-005, 1.7370360E-005, 3.2092012E-002, 2.2015212E-005, 7.7169272E-001, 4.2264529E-005, 1.1873038E-004
 9.5000000E+001, 5.6061110E+002, 5.4918810E+002, 3.6216002E+000, 7.4930943E+001, 1.4085314E+002, 1.3536192E+000, 1.7888818E-001, 1.7589463E-002, 3.4216254E-005, 1.2504022E-005, 3.0788220E-002, 1.5657329E-005, 7.7240236E-001, 3.3593030E-005, 1.1293026E-004
 9.7000000E+001, 5.4893404E+002, 5.3844569E+002, 3.5863706E+000, 7.1062487E+001, 1.3336950E+002, 1.3348588E+000, 1.8022983E-001, 1.6815288E-002, 2.8087427E-005, 9.1470437E-006, 2.9606828E-002, 1.1329863E-005, 7.7304246E-001, 2.7542036E-005, 1.0771325E-004
 9.9000000E+001, 5.3806791E+002, 5.2842447E+002, 3.5863706E+000, 6.7691016E+001, 1.2668767E+002, 1.3348588E+000, 1.8146747E-001, 1.6100292E-002, 2.3676913E-005, 6.7744444E-006, 2.8516716E-002, 8.3198912E-006, 7.7363108E-001, 2.3193941E-005, 1.0292697E-004
