cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 9.1632075E+001, 1.0506859E+003, 2.1088549E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5504000E+002, 4.6770000E+000, 3.3223120E-001, 1.6768373E+000, 1.6179701E+000, 1.4933276E+000, 1.0350000E+002, 7.9279163E-001
 9.5594340E+001, 1.0180829E+003, 2.0746442E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5952000E+002, 4.8760000E+000, 3.3223120E-001, 1.6768373E+000, 1.6179701E+000, 1.4933276E+000, 1.0800000E+002, 7.7692963E-001
 9.9556604E+001, 1.0180829E+003, 2.0746442E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+002, 5.0750000E+000, 3.0482889E-001, 1.5462486E+000, 1.4953389E+000, 1.3835515E+000, 1.1250000E+002, 7.6049035E-001
 1.0351887E+002, 9.8386349E+002, 2.0261818E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6848000E+002, 5.2740000E+000, 2.8135359E-001, 1.4493645E+000, 1.4075102E+000, 1.3071030E+000, 1.1700000E+002, 7.4356480E-001
 1.0748113E+002, 9.4862774E+002, 1.9702379E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7296000E+002, 5.4730000E+000, 2.6012494E-001, 1.3603269E+000, 1.3263321E+000, 1.2359792E+000, 1.2150000E+002, 7.2627220E-001
 1.1144340E+002, 9.1372149E+002, 1.9145462E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7744000E+002, 5.6720000E+000, 2.4088113E-001, 1.2783696E+000, 1.2511675E+000, 1.1697348E+000, 1.2600000E+002, 7.0872763E-001
 1.1540566E+002, 8.8049050E+002, 1.8531381E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8192000E+002, 5.8710000E+000, 2.2339616E-001, 1.2028196E+000, 1.1814467E+000, 1.1079685E+000, 1.3050000E+002, 6.9102778E-001
 1.1936792E+002, 8.8049050E+002, 1.8531381E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 2.0747452E-001, 1.1330833E+000, 1.1166598E+000, 1.0503201E+000, 1.3500000E+002, 6.7325035E-001
 1.2333019E+002, 8.4909437E+002, 1.7870725E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 1.9294605E-001, 1.0686353E+000, 1.0563500E+000, 9.9646388E-001, 1.3950000E+002, 6.7325035E-001
 1.2729245E+002, 8.1968254E+002, 1.7181989E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 1.7966239E-001, 1.0090090E+000, 1.0001077E+000, 9.4610397E-001, 1.4400000E+002, 6.5546161E-001
 1.3125472E+002, 7.9215815E+002, 1.6412293E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 1.7966239E-001, 1.0090090E+000, 1.0001077E+000, 9.4610397E-001, 1.4850000E+002, 6.3771580E-001
 1.3521698E+002, 7.6758026E+002, 1.5742542E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 1.6744605E-001, 9.5373457E-001, 9.4749382E-001, 8.9887424E-001, 1.5300000E+002, 6.1994686E-001
 1.3917925E+002, 7.6758026E+002, 1.5742542E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 1.5628127E-001, 9.0254772E-001, 8.9832675E-001, 8.5472897E-001, 1.5750000E+002, 6.0240186E-001
 1.4314151E+002, 7.4412354E+002, 1.5024887E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1328000E+002, 7.2640000E+000, 1.4601734E-001, 8.5505731E-001, 8.5223597E-001, 8.1333961E-001, 1.6200000E+002, 5.8501091E-001
 1.4710377E+002, 7.2306571E+002, 1.4485922E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.1776000E+002, 7.4630000E+000, 1.3656593E-001, 8.1096041E-001, 8.0895782E-001, 7.7449933E-001, 1.6650000E+002, 5.6779954E-001
 1.5106604E+002, 7.0327970E+002, 1.3893181E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2224000E+002, 7.6620000E+000, 1.2784894E-001, 7.6998233E-001, 7.6825662E-001, 7.3801747E-001, 1.7100000E+002, 5.5079294E-001
 1.5502830E+002, 6.8555544E+002, 1.3343749E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2672000E+002, 7.8610000E+000, 1.1979712E-001, 7.3187326E-001, 7.2992197E-001, 7.0371779E-001, 1.7550000E+002, 5.3401756E-001
 1.5899057E+002, 6.8555544E+002, 1.3343749E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3120000E+002, 8.0600000E+000, 1.1234894E-001, 6.9640513E-001, 6.9376629E-001, 6.7143699E-001, 1.8000000E+002, 5.1749992E-001
 1.6295283E+002, 6.6816071E+002, 1.2681479E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.3568000E+002, 8.2590000E+000, 1.0544958E-001, 6.6336917E-001, 6.5962249E-001, 6.4102343E-001,NaN,NaN
 1.6691509E+002, 6.5118448E+002, 1.2020873E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4016000E+002, 8.4580000E+000, 9.9050173E-002, 6.3257375E-001, 6.2734177E-001, 6.1233611E-001,NaN,NaN
 1.7087736E+002, 6.3462717E+002, 1.1332448E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 9.9050173E-002, 6.3257375E-001, 6.2734177E-001, 6.1233611E-001,NaN,NaN
 1.7483962E+002, 6.3462717E+002, 1.1332448E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 9.3106973E-002, 6.0384258E-001, 5.9679178E-001, 5.8524392E-001,NaN,NaN
 1.7880189E+002, 6.1920203E+002, 1.0668301E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 8.7580767E-002, 5.7701322E-001, 5.6785468E-001, 5.5962490E-001,NaN,NaN
 1.8276415E+002, 6.0507543E+002, 1.0080815E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 8.2436321E-002, 5.5193576E-001, 5.4042553E-001, 5.3536576E-001,NaN,NaN
 1.8672642E+002, 5.9208900E+002, 9.5102561E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 7.7641938E-002, 5.2847174E-001, 5.1441069E-001, 5.1236140E-001,NaN,NaN
 1.9068868E+002, 5.8066242E+002, 9.0641412E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 7.3169155E-002, 5.0649321E-001, 4.8972647E-001, 4.9051464E-001,NaN,NaN
 1.9465094E+002, 5.8066242E+002, 9.0641412E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 6.8992132E-002, 4.8588187E-001, 4.6629774E-001, 4.6973581E-001,NaN,NaN
 1.9861321E+002, 5.7040401E+002, 8.6796226E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 7.0404559E-002, 4.8665605E-001, 4.6421531E-001, 4.6802876E-001,NaN,NaN
 2.0257547E+002, 5.6088233E+002, 8.3718615E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 6.6788644E-002, 4.6936336E-001, 4.4417214E-001, 4.5002489E-001,NaN,NaN
 2.0653774E+002, 5.5209811E+002, 8.0841497E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 6.6788644E-002, 4.6936336E-001, 4.4417214E-001, 4.5002489E-001,NaN,NaN
 2.1050000E+002, 5.4364172E+002, 7.8186069E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 6.3391666E-002, 4.5305922E-001, 4.2512950E-001, 4.3279347E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 6.0197257E-002, 4.3766080E-001, 4.0703770E-001, 4.1627548E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 5.7190508E-002, 4.2309190E-001, 3.8985078E-001, 4.0041794E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 5.4338988E-002, 4.0925034E-001, 3.7348283E-001, 3.8512968E-001,NaN,NaN
