s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 1.520E+02, 2.737E+03,-9.353E+02,-1.734E+03,-4.651E+01, 1.400E-01, 0.000E+00, 0.000E+00, 1.091E+01, 2.132E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.085E-01
 1.540E+02, 2.759E+03,-9.621E+02,-1.751E+03,-4.513E+01, 1.460E-01, 0.000E+00, 0.000E+00,-9.844E+00, 2.643E-01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.083E-01
 1.560E+02, 2.760E+03,-9.476E+02,-1.741E+03,-4.697E+01, 1.417E-01, 0.000E+00, 0.000E+00, 1.156E+01, 2.433E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.085E-01
 1.580E+02, 2.773E+03,-9.518E+02,-1.773E+03,-4.565E+01, 1.496E-01, 0.000E+00, 0.000E+00,-7.825E+00, 2.610E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.111E-01
 1.600E+02, 2.808E+03,-9.564E+02,-1.800E+03,-4.347E+01, 1.506E-01, 0.000E+00, 0.000E+00,-4.721E-03, 8.490E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.157E-01
 1.620E+02, 2.884E+03,-1.001E+03,-1.779E+03,-5.080E+01, 1.524E-01, 0.000E+00, 0.000E+00, 3.553E+01, 5.285E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.137E-01
 1.640E+02, 2.804E+03,-9.650E+02,-1.798E+03,-4.267E+01, 1.554E-01, 0.000E+00, 0.000E+00,-9.222E+00,-1.542E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.170E-01
 1.660E+02, 2.869E+03,-9.831E+02,-1.841E+03,-4.720E+01, 1.343E-01, 0.000E+00, 0.000E+00,-1.481E+01,-2.558E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.152E-01
 1.680E+02, 2.777E+03,-9.645E+02,-1.741E+03,-4.317E+01, 1.370E-01, 0.000E+00, 0.000E+00, 2.103E+01, 2.847E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.148E-01
 1.700E+02, 2.931E+03,-1.013E+03,-1.875E+03,-4.443E+01, 1.314E-01, 0.000E+00, 0.000E+00,-9.875E+00,-2.132E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.192E-01
 1.720E+02, 2.890E+03,-9.912E+02,-1.866E+03,-4.380E+01, 1.240E-01, 0.000E+00, 0.000E+00,-1.877E+01,-1.099E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.182E-01
 1.740E+02, 2.827E+03,-9.925E+02,-1.770E+03,-4.669E+01, 1.306E-01, 0.000E+00, 0.000E+00, 1.425E+00, 1.801E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.209E-01
 1.760E+02, 2.908E+03,-9.958E+02,-1.854E+03,-4.436E+01, 1.341E-01, 0.000E+00, 0.000E+00, 6.999E+00, 1.394E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.197E-01
 1.780E+02, 2.902E+03,-1.002E+03,-1.851E+03,-4.482E+01, 1.467E-01, 0.000E+00, 0.000E+00,-4.344E+00, 4.396E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.210E-01
 1.800E+02, 2.979E+03,-1.022E+03,-1.886E+03,-4.447E+01, 1.315E-01, 0.000E+00, 0.000E+00, 1.351E+01, 2.577E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.242E-01
 1.820E+02, 2.947E+03,-1.012E+03,-1.873E+03,-4.505E+01, 1.204E-01, 0.000E+00, 0.000E+00, 7.769E+00, 1.734E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.209E-01
 1.840E+02, 2.928E+03,-1.016E+03,-1.874E+03,-4.562E+01, 1.192E-01, 0.000E+00, 0.000E+00,-1.767E+01,-6.356E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.226E-01
 1.860E+02, 2.893E+03,-1.005E+03,-1.826E+03,-4.355E+01, 1.016E-01, 0.000E+00, 0.000E+00, 9.416E+00, 1.838E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.208E-01
 1.880E+02, 2.884E+03,-9.982E+02,-1.851E+03,-4.395E+01, 1.141E-01, 0.000E+00, 0.000E+00,-1.513E+01,-8.667E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.209E-01
 1.900E+02, 2.963E+03,-1.024E+03,-1.862E+03,-4.497E+01, 1.195E-01, 0.000E+00, 0.000E+00, 2.113E+01, 3.190E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.228E-01
 1.920E+02, 2.921E+03,-1.005E+03,-1.866E+03,-4.366E+01, 1.067E-01, 0.000E+00, 0.000E+00,-2.465E+00, 6.635E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.217E-01
 1.940E+02, 2.897E+03,-9.945E+02,-1.846E+03,-4.465E+01, 9.240E-02, 0.000E+00, 0.000E+00, 1.822E+00, 1.192E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.209E-01
 1.960E+02, 2.903E+03,-1.004E+03,-1.855E+03,-4.418E+01, 1.076E-01, 0.000E+00, 0.000E+00,-9.134E+00, 9.088E-02, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.222E-01
 1.980E+02, 2.998E+03,-1.040E+03,-1.893E+03,-4.236E+01, 9.164E-02, 0.000E+00, 0.000E+00, 1.449E+01, 2.292E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.252E-01
 2.000E+02, 2.970E+03,-1.031E+03,-1.896E+03,-4.334E+01, 7.921E-02, 0.000E+00, 0.000E+00,-1.195E+01,-5.168E-01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.253E-01
 2.020E+02, 2.976E+03,-1.022E+03,-1.889E+03,-4.448E+01, 9.322E-02, 0.000E+00, 0.000E+00, 1.321E+01, 1.985E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.227E-01
 2.040E+02, 2.999E+03,-1.051E+03,-1.908E+03,-4.757E+01, 9.585E-02, 0.000E+00, 0.000E+00,-2.887E+01,-8.251E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.274E-01
 2.060E+02, 3.038E+03,-1.048E+03,-1.889E+03,-4.444E+01, 8.998E-02, 0.000E+00, 0.000E+00, 4.831E+01, 5.692E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.255E-01
 2.080E+02, 2.994E+03,-1.032E+03,-1.931E+03,-4.468E+01, 5.253E-02, 0.000E+00, 0.000E+00,-2.389E+01,-1.326E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.248E-01
 2.100E+02, 3.003E+03,-1.032E+03,-1.923E+03,-4.423E+01, 3.878E-02, 0.000E+00, 0.000E+00,-6.916E+00, 3.874E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.252E-01
 2.120E+02, 2.910E+03,-1.012E+03,-1.810E+03,-4.457E+01, 3.967E-02, 0.000E+00, 0.000E+00, 3.228E+01, 4.258E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.248E-01
 2.140E+02, 3.038E+03,-1.065E+03,-1.954E+03,-4.161E+01, 2.627E-02, 0.000E+00, 0.000E+00,-2.893E+01,-2.207E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.301E-01
 2.160E+02, 3.114E+03,-1.084E+03,-1.968E+03,-4.553E+01,-2.316E-02, 0.000E+00, 0.000E+00, 6.589E+00, 1.671E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.272E-01
 2.180E+02, 3.022E+03,-1.040E+03,-1.936E+03,-4.139E+01, 2.661E-03, 0.000E+00, 0.000E+00,-5.488E+00, 4.767E+00, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.324E-01
 2.200E+02, 3.076E+03,-1.073E+03,-1.945E+03,-4.527E+01,-3.808E-02, 0.000E+00, 0.000E+00,-5.888E+00, 1.229E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.330E-01
 2.220E+02, 3.116E+03,-1.072E+03,-1.968E+03,-4.395E+01,-3.648E-02, 0.000E+00, 0.000E+00, 2.066E+01, 3.210E+01, 0.000E+00, 6.586E-04, 0.000E+00, 0.000E+00, 1.322E-01
