s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 2.5000170E+001, 9.1138405E+000, 0.0000000E+000,-1.6987362E+000,-7.0557622E+000,-4.4963175E-002, 6.3201513E-003, 0.0000000E+000,-8.9221919E-002, 2.2342746E-001, 2.3147718E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.6848341E-001, 0.0000000E+000, 2.1951872E-005
 2.6000233E+001, 9.0418115E+000, 0.0000000E+000,-1.6251877E+000,-7.3975708E+000,-4.1038281E-002, 6.1660367E-003, 0.0000000E+000,-8.3992290E-002,-1.0965582E-001,-9.9811594E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.7712334E-001, 0.0000000E+000, 2.1951872E-005
 2.7000040E+001, 9.1722524E+000, 0.0000000E+000,-1.5788199E+000,-7.6344856E+000,-3.8316157E-002, 6.1591820E-003, 0.0000000E+000,-7.4580419E-002,-1.6172267E-001,-1.4779047E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.8576267E-001, 0.0000000E+000, 2.1951872E-005
 2.8000099E+001, 9.0874866E+000, 0.0000000E+000,-1.5016343E+000,-7.3163275E+000,-3.4848463E-002, 5.9403421E-003, 0.0000000E+000,-6.7855360E-002, 1.5804742E-001, 1.7276128E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.9440201E-001, 0.0000000E+000, 2.1951872E-005
 2.9000395E+001, 9.0906151E+000, 0.0000000E+000,-1.4317130E+000,-7.4608014E+000,-3.3340695E-002, 5.9336549E-003, 0.0000000E+000,-5.6728666E-002, 9.7847726E-002, 1.1396499E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.0304385E-001, 0.0000000E+000, 2.1951872E-005
 3.0000166E+001, 9.1338408E+000, 0.0000000E+000,-1.3961161E+000,-7.6829795E+000,-3.0250215E-002, 5.8695726E-003, 0.0000000E+000,-4.6170288E-002,-3.6887298E-002,-1.5805831E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.1168414E-001, 0.0000000E+000, 2.1951872E-005
 3.1000006E+001, 9.0889142E+000, 0.0000000E+000,-1.3122061E+000,-7.1482794E+000,-2.8224100E-002, 5.7589518E-003, 0.0000000E+000,-3.8293351E-002, 5.4667821E-001, 5.6767022E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.2032233E-001, 0.0000000E+000, 2.1951872E-005
 3.2000225E+001, 9.1082309E+000, 0.0000000E+000,-1.2620359E+000,-8.5117755E+000,-2.5947472E-002, 5.6597265E-003, 0.0000000E+000,-2.6282551E-002,-7.3289498E-001,-7.1215080E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.2896265E-001, 0.0000000E+000, 2.1951872E-005
 3.3000080E+001, 9.0100527E+000, 0.0000000E+000,-1.1692962E+000,-7.3398743E+000,-2.2310227E-002, 5.5987574E-003, 0.0000000E+000,-1.8995437E-002, 4.4063782E-001, 4.6517530E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.3760282E-001, 0.0000000E+000, 2.1951872E-005
 3.4000198E+001, 9.0046099E+000, 0.0000000E+000,-1.1173675E+000,-7.8176088E+000,-1.8331508E-002, 5.4048038E-003, 0.0000000E+000,-1.3303714E-002, 1.8887959E-002, 4.3403105E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.4624286E-001, 0.0000000E+000, 2.1951872E-005
 3.5000046E+001, 9.1295646E+000, 0.0000000E+000,-1.0691512E+000,-8.4571803E+000,-1.7119304E-002, 5.1801194E-003, 0.0000000E+000,-1.0649066E-002,-4.4306856E-001,-4.1935519E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.5488265E-001, 0.0000000E+000, 2.1951872E-005
 3.6000378E+001, 9.0100255E+000, 0.0000000E+000,-9.8549471E-001,-7.7188079E+000,-1.4226741E-002, 4.9508034E-003, 0.0000000E+000,-9.2241793E-003, 2.5745219E-001, 2.8722276E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.6352354E-001, 0.0000000E+000, 2.1951872E-005
 3.7000210E+001, 9.0535755E+000, 0.0000000E+000,-9.2275701E-001,-7.7269406E+000,-1.2847739E-002, 4.7775661E-003, 0.0000000E+000,-8.1881070E-003, 3.5973543E-001, 3.8761956E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.7216434E-001, 0.0000000E+000, 2.1951872E-005
 3.8000031E+001, 8.9802294E+000, 0.0000000E+000,-8.7093507E-001,-8.8597472E+000,-1.0941376E-002, 4.5404284E-003, 0.0000000E+000,-6.8357538E-003,-7.9357506E-001,-7.6368961E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.8080258E-001, 0.0000000E+000, 2.1951872E-005
 3.9000286E+001, 9.1110968E+000, 0.0000000E+000,-7.8216212E-001,-7.6534523E+000,-8.3658378E-003, 4.4300247E-003, 0.0000000E+000,-6.3055866E-003, 6.3807273E-001, 6.6524097E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.8944317E-001, 0.0000000E+000, 2.1951872E-005
 4.0000195E+001, 8.9061741E+000, 0.0000000E+000,-7.2981833E-001,-8.3041656E+000,-6.2868030E-003, 4.1795381E-003, 0.0000000E+000,-5.5982384E-003,-1.6232197E-001,-1.3551534E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 2.9808379E-001, 0.0000000E+000, 2.1951872E-005
 4.1000042E+001, 9.0966685E+000, 0.0000000E+000,-6.8332273E-001,-8.7277840E+000,-6.2684857E-003, 3.9889815E-003, 0.0000000E+000,-4.8846879E-003,-3.4549272E-001,-3.2160241E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.0672277E-001, 0.0000000E+000, 2.1951872E-005
 4.2000053E+001, 8.7720825E+000, 0.0000000E+000,-5.9575013E-001,-7.7429983E+000,-4.6260220E-003, 3.6831308E-003, 0.0000000E+000,-4.1272315E-003, 3.9977439E-001, 4.2826398E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.1536214E-001, 0.0000000E+000, 2.1951872E-005
 4.3000145E+001, 8.7085922E+000, 0.0000000E+000,-4.8732138E-001,-8.0024541E+000,-3.1930746E-003, 3.3342451E-003, 0.0000000E+000,-2.5824082E-003, 1.8553893E-001, 2.1637549E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.2400271E-001, 0.0000000E+000, 2.1951872E-005
 4.4000134E+001, 8.5607632E+000, 0.0000000E+000,-3.5204586E-001,-8.0182875E+000,-2.2083540E-003, 3.0975796E-003, 0.0000000E+000,-1.3652976E-003, 1.5386126E-001, 1.8995375E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.3264311E-001, 0.0000000E+000, 2.1951872E-005
 4.5000233E+001, 7.3415704E+000, 0.0000000E+000,-2.1833481E-001,-7.8901941E+000,-1.3218018E-003, 2.7209011E-003, 0.0000000E+000,-8.3649990E-004,-8.0004895E-001,-7.6639595E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.4128373E-001, 0.0000000E+000, 2.1951872E-005
 4.6000492E+001, 7.2722297E+000, 0.0000000E+000,-1.8407698E-001,-6.7279258E+000, 4.5299433E-005, 2.8514572E-003, 0.0000000E+000,-6.8891042E-004, 3.2882804E-001, 3.6243473E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.4992571E-001, 0.0000000E+000, 2.1951872E-005
 4.7000793E+001, 4.1330771E+000, 0.0000000E+000,-7.7307170E-002,-6.3389906E+000,-3.3850555E-004, 2.5920983E-003, 0.0000000E+000,-7.0245927E-004,-2.3064965E+000,-2.2816695E+000, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.5856871E-001, 0.0000000E+000, 2.1951872E-005
 4.8000366E+001, 5.2289995E+000, 0.0000000E+000,-7.1743539E-002,-5.1671683E+000, 1.6122987E-003, 2.8764323E-003, 0.0000000E+000,-6.3481115E-004,-3.9679285E-002,-6.0583683E-003, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.6720948E-001, 0.0000000E+000, 2.1951872E-005
 4.9000740E+001, 3.1241138E+000, 0.0000000E+000,-1.8892286E-002,-5.0210248E+000, 2.3731114E-003, 2.9555421E-003, 0.0000000E+000,-3.3314652E-004,-1.9278945E+000,-1.9108078E+000, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.7585259E-001, 0.0000000E+000, 2.1951872E-005
 5.0002499E+001, 9.0323841E-001, 0.0000000E+000,-6.9943533E-004,-1.4283762E+000, 2.6919216E-003, 2.9085422E-003, 0.0000000E+000,-2.9903725E-004,-5.3331825E-001,-5.2053574E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.8450754E-001, 0.0000000E+000, 2.1951872E-005
 5.1001076E+001, 9.3196552E-004, 0.0000000E+000, 1.0978201E-003,-6.6841577E-003, 2.6251231E-003, 2.6837033E-003, 0.0000000E+000,-2.9202036E-004,-1.2582884E-002, 3.6243390E-004, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.9314994E-001, 0.0000000E+000, 2.1951872E-005
 5.2002926E+001, 0.0000000E+000, 0.0000000E+000, 1.0582995E-003, 7.5485196E-003, 2.4227433E-003, 2.5109562E-003, 0.0000000E+000,-2.8301941E-004, 4.2474748E-004, 1.3257499E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.0179055E-001, 0.0000000E+000, 2.1951872E-005
