s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 2.7500465E+001, 1.4554982E+001, 0.0000000E+000,-4.9381764E+000,-8.3516078E+000,-6.8395065E-001, 1.7751415E-003, 0.0000000E+000, 0.0000000E+000, 4.8216028E-001, 5.8302189E-001, 7.0570674E-002, 3.1603143E-004,-1.5557208E-028,-3.9594218E-022
 2.8000055E+001, 1.4857692E+001, 0.0000000E+000,-5.0425547E+000,-8.7979982E+000,-7.0540331E-001, 1.7396830E-003, 0.0000000E+000, 0.0000000E+000, 2.1716899E-001, 3.1347585E-001, 7.0570674E-002, 3.1603143E-004,-1.0309992E-028,-3.1316421E-022
 2.8500298E+001, 1.4001873E+001, 0.0000000E+000,-4.7552320E+000,-8.5866351E+000,-7.1429440E-001, 1.7535339E-003, 0.0000000E+000, 0.0000000E+000,-1.7177519E-001,-5.2534596E-002, 7.0570674E-002, 3.1603143E-004,-8.5900034E-029,-2.9605308E-022
 2.9000130E+001, 1.4791738E+001, 0.0000000E+000,-5.0156973E+000,-8.9714032E+000,-7.2952639E-001, 1.7561869E-003, 0.0000000E+000, 0.0000000E+000, 2.3735148E-002, 7.6867235E-002, 7.0570674E-002, 3.1603143E-004,-7.8653502E-029,-3.0131435E-022
 2.9500242E+001, 1.4048264E+001, 0.0000000E+000,-4.7646449E+000,-7.2471894E+000,-6.6453469E-001, 1.7504278E-003, 0.0000000E+000, 0.0000000E+000, 1.2692802E+000, 1.3736459E+000, 7.0570674E-002, 3.1603143E-004,-7.6295343E-029,-3.1458788E-022
 3.0000216E+001, 1.4697896E+001, 0.0000000E+000,-4.9942709E+000,-8.6994325E+000,-7.1271349E-001, 1.7515763E-003, 0.0000000E+000, 0.0000000E+000, 2.2036832E-001, 2.9323081E-001, 7.0570674E-002, 3.1603143E-004,-7.3449631E-029,-3.4362662E-022
 3.0500109E+001, 1.4082281E+001, 0.0000000E+000,-4.7808171E+000,-8.5354869E+000,-7.0692286E-001, 1.7511146E-003, 0.0000000E+000, 0.0000000E+000,-3.5312142E-002, 6.0805607E-002, 7.0570674E-002, 3.1603143E-004,-7.2210146E-029,-5.0205708E-022
 3.1000410E+001, 1.5082044E+001, 0.0000000E+000,-5.1011258E+000,-8.0197196E+000,-6.9242022E-001, 1.7761937E-003, 0.0000000E+000, 0.0000000E+000, 1.1397297E+000, 1.2705547E+000, 7.0570674E-002, 3.1603143E-004,-8.2696660E-029,-8.6192374E-022
 3.1500097E+001, 1.4522750E+001, 0.0000000E+000,-4.9316568E+000,-8.7827149E+000,-7.2438340E-001, 1.8016513E-003, 0.0000000E+000, 0.0000000E+000, 1.2624584E-002, 8.5796189E-002, 7.0570674E-002, 3.1603143E-004,-1.1141051E-028,-1.1781106E-021
 3.2000465E+001, 1.3570948E+001, 0.0000000E+000,-4.6124249E+000,-8.4003801E+000,-7.0238249E-001, 1.7945485E-003, 0.0000000E+000, 0.0000000E+000,-2.0974837E-001,-1.4244528E-001, 7.0570674E-002, 3.1603143E-004,-1.4717442E-028,-1.1526230E-021
 3.2500252E+001, 1.4964245E+001, 0.0000000E+000,-5.0717710E+000,-8.4985667E+000,-7.1287840E-001, 1.7841923E-003, 0.0000000E+000, 0.0000000E+000, 5.8836003E-001, 6.8281353E-001, 7.0570674E-002, 3.1603143E-004,-1.6576231E-028,-8.6674568E-022
 3.3000271E+001, 1.4458598E+001, 0.0000000E+000,-4.9074886E+000,-8.1487778E+000,-6.9651629E-001, 1.8061068E-003, 0.0000000E+000, 0.0000000E+000, 6.4374016E-001, 7.0762181E-001, 7.0570674E-002, 3.1603143E-004,-1.5513461E-028,-5.6221417E-022
 3.3500267E+001, 1.4381598E+001, 0.0000000E+000,-4.8796112E+000,-7.8654236E+000,-7.3110880E-001, 1.8100088E-003, 0.0000000E+000, 0.0000000E+000, 8.6043204E-001, 9.0726419E-001, 7.0570674E-002, 3.1603143E-004,-1.2283436E-028,-3.3856455E-022
 3.4000137E+001, 1.4384709E+001, 0.0000000E+000,-4.8772806E+000,-8.5144601E+000,-7.3969885E-001, 1.7842566E-003, 0.0000000E+000, 0.0000000E+000, 2.2276105E-001, 2.5505378E-001, 7.0570674E-002, 3.1603143E-004,-8.4361105E-029,-1.7933377E-022
 3.4500008E+001, 1.4534052E+001, 0.0000000E+000,-4.9326493E+000,-7.8175375E+000,-7.3903343E-001, 1.7995025E-003, 0.0000000E+000, 0.0000000E+000, 1.0089892E+000, 1.0466317E+000, 7.0570674E-002, 3.1603143E-004,-5.1245640E-029,-8.7972679E-023
 3.5000072E+001, 1.6646497E+001, 0.0000000E+000,-5.6496676E+000,-9.2974544E+000,-7.8176230E-001, 2.0701867E-003, 0.0000000E+000, 0.0000000E+000, 7.0651250E-001, 9.1968330E-001, 7.0570674E-002, 3.1603143E-004,-2.8290648E-029,-4.4312292E-023
 3.5500011E+001, 1.3413576E+001, 0.0000000E+000,-4.5397524E+000,-7.9937350E+000,-7.6503947E-001, 1.7634779E-003, 0.0000000E+000, 0.0000000E+000, 2.6800215E-001, 1.1681248E-001, 7.0570674E-002, 3.1603143E-004,-1.4526644E-029,-2.3386231E-023
 3.6000008E+001, 1.4018976E+001, 0.0000000E+000,-4.7536408E+000,-8.1951290E+000,-7.6051630E-001, 1.8422448E-003, 0.0000000E+000, 0.0000000E+000, 3.2552491E-001, 3.1153216E-001, 7.0570674E-002, 3.1603143E-004,-7.3604739E-030,-1.4622854E-023
 3.6500050E+001, 1.4386689E+001, 0.0000000E+000,-4.8774086E+000,-7.8458790E+000,-7.6955774E-001, 1.8678051E-003, 0.0000000E+000, 0.0000000E+000, 9.1254906E-001, 8.9571160E-001, 7.0570674E-002, 3.1603143E-004,-3.9946450E-030,-1.2117564E-023
 3.7000183E+001, 1.4596912E+001, 0.0000000E+000,-4.9501956E+000,-7.7274333E+000,-7.9171758E-001, 1.8518000E-003, 0.0000000E+000, 0.0000000E+000, 1.0066498E+000, 1.1294175E+000, 7.0570674E-002, 3.1603143E-004,-2.7468830E-030,-1.5319795E-023
 3.7500008E+001, 1.4303458E+001, 0.0000000E+000,-4.8522701E+000,-8.0961358E+000,-8.0054724E-001, 1.8311394E-003, 0.0000000E+000, 0.0000000E+000, 6.0109960E-001, 5.5633654E-001, 7.0570674E-002, 3.1603143E-004,-2.8431601E-030,-2.2719249E-023
 3.8000069E+001, 1.4343402E+001, 0.0000000E+000,-4.8569683E+000,-8.2731566E+000,-7.5073192E-001, 1.8264467E-003, 0.0000000E+000, 0.0000000E+000, 4.5668752E-001, 4.6437172E-001, 7.0570674E-002, 3.1603143E-004,-3.8645188E-030,-3.1179366E-023
 3.8500481E+001, 1.4600378E+001, 0.0000000E+000,-4.9611379E+000,-8.3935960E+000,-7.3790935E-001, 1.8279861E-003, 0.0000000E+000, 0.0000000E+000, 4.2843226E-001, 5.0956283E-001, 7.0570674E-002, 3.1603143E-004,-5.2440941E-030,-3.8590931E-023
 3.9000328E+001, 1.4562969E+001, 0.0000000E+000,-4.9395954E+000,-8.5579217E+000,-7.4203439E-001, 1.8035160E-003, 0.0000000E+000, 0.0000000E+000, 3.0648848E-001, 3.2522115E-001, 7.0570674E-002, 3.1603143E-004,-6.1519028E-030,-4.2628732E-023
 3.9500294E+001, 1.4253137E+001, 0.0000000E+000,-4.8417446E+000,-8.0655030E+000,-7.0212407E-001, 1.7943382E-003, 0.0000000E+000, 0.0000000E+000, 7.1231875E-001, 6.4555931E-001, 7.0570674E-002, 3.1603143E-004,-6.2201577E-030,-4.3009979E-023
 4.0000000E+001, 1.4472852E+001, 0.0000000E+000,-4.9221497E+000,-8.8081779E+000,-7.4046135E-001, 1.8053506E-003, 0.0000000E+000, 0.0000000E+000, 1.7808434E-002, 3.8684980E-003, 7.0570674E-002, 3.1603143E-004,-5.6538807E-030,-4.1574839E-023
