s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 2.8000761E+001, 8.5327303E+000, 0.0000000E+000,-3.5490001E-001,-8.9392892E+000,-4.9258864E-004, 1.5297282E-003, 0.0000000E+000,-1.5306962E-002,-8.4644712E-001,-7.7572873E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9442041E-001, 1.7893443E-004, 2.1951872E-005
 2.9001749E+001, 8.8741114E+000, 0.0000000E+000,-3.2211274E-001,-8.0271633E+000,-1.0556275E-003, 1.4616776E-003, 0.0000000E+000,-1.5706380E-002, 4.6500258E-001, 5.0953500E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0306088E-001, 1.7893443E-004, 2.1951872E-005
 3.0000631E+001, 8.8499407E+000, 0.0000000E+000,-2.9264279E-001,-8.6430534E+000,-7.3046809E-004, 1.4076959E-003, 0.0000000E+000,-1.5805675E-002,-1.5611327E-001,-1.0088397E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1169998E-001, 1.7893443E-004, 2.1951872E-005
 3.1000050E+001, 8.7022660E+000, 0.0000000E+000,-2.5154053E-001,-8.3686553E+000,-9.4119116E-004, 1.3301682E-003, 0.0000000E+000,-1.6114340E-002, 4.1936571E-002, 6.6344755E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2033218E-001, 1.7893443E-004, 2.1951872E-005
 3.2000336E+001, 8.1167674E+000, 0.0000000E+000,-1.9481913E-001,-8.1746342E+000,-5.1505936E-004, 1.2290005E-003, 0.0000000E+000,-1.6936077E-002,-2.9094000E-001,-2.6890809E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2897278E-001, 1.7893443E-004, 2.1951872E-005
 3.3002575E+001, 7.8236171E+000, 0.0000000E+000,-1.3744474E-001,-7.5344698E+000,-1.8095984E-004, 1.0539594E-003, 0.0000000E+000,-1.8843147E-002, 1.0835982E-001, 1.3373243E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3762413E-001, 1.7893443E-004, 2.1951872E-005
 3.4000484E+001, 8.6795982E+000, 0.0000000E+000,-1.1961722E-001,-8.4395018E+000,-8.6253019E-005, 9.8916604E-004, 0.0000000E+000,-1.9684490E-002, 5.6706223E-002, 1.0169761E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4626431E-001, 1.7893443E-004, 2.1951872E-005
 3.5001183E+001, 8.5945129E+000, 0.0000000E+000,-8.5647466E-002,-8.9005342E+000,-5.5986153E-004, 1.0285923E-003, 0.0000000E+000,-1.9006863E-002,-4.5481497E-001,-4.1020686E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5489922E-001, 1.7893443E-004, 2.1951872E-005
 3.6000061E+001, 8.0568356E+000, 0.0000000E+000,-5.4034764E-002,-8.7186004E+000,-1.0361652E-004, 1.0281514E-003, 0.0000000E+000,-1.9012147E-002,-7.4051472E-001,-7.3388720E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6353811E-001, 1.7893443E-004, 2.1951872E-005
 3.7003559E+001, 6.8380660E+000, 0.0000000E+000,-2.7212519E-002,-7.5221807E+000, 4.6886358E-005, 9.9408873E-004, 0.0000000E+000,-1.8702117E-002,-7.5116582E-001,-7.2898835E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7218957E-001, 1.7893443E-004, 2.1951872E-005
 3.8005676E+001, 4.1342369E+000, 0.0000000E+000,-1.1467300E-002,-5.2857732E+000, 9.7726299E-005, 9.3574923E-004, 0.0000000E+000,-1.9071595E-002,-1.1878454E+000,-1.1810418E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8086025E-001, 1.7893443E-004, 2.1951872E-005
 3.9001614E+001, 1.8099587E+000, 0.0000000E+000,-4.8524481E-003,-2.3948289E+000, 1.2170268E-004, 8.0779074E-004, 0.0000000E+000,-1.8987396E-002,-6.1717657E-001,-6.0778064E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8949776E-001, 1.7893443E-004, 2.1951872E-005
