z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
33.0,     3.30,     1.02,    -0.01,     0.25,  1098.16,   249.91
34.0,     3.34,     1.04,    -0.01,     0.25,  1090.56,   255.49
35.0,     3.37,     1.06,    -0.01,     0.26,  1082.68,   260.90
36.0,     3.40,     1.08,    -0.01,     0.26,  1074.45,   266.26
37.0,     3.43,     1.10,    -0.01,     0.27,  1065.88,   271.68
38.0,     3.46,     1.11,    -0.01,     0.27,  1057.04,   277.12
39.0,     3.48,     1.13,    -0.01,     0.28,  1047.96,   282.66
40.0,     3.50,     1.15,    -0.01,     0.28,  1038.65,   288.32
41.0,     3.52,     1.17,    -0.01,     0.28,  1029.15,   294.05
42.0,     3.54,     1.18,    -0.01,     0.29,  1019.50,   299.77
43.0,     3.55,     1.20,    -0.01,     0.29,  1009.72,   305.40
44.0,     3.57,     1.21,    -0.01,     0.30,   999.88,   310.87
45.0,     3.58,     1.23,    -0.01,     0.30,   989.93,   316.14
46.0,     3.58,     1.24,    -0.01,     0.31,   979.91,   321.17
47.0,     3.59,     1.25,    -0.01,     0.31,   969.81,   325.94
48.0,     3.60,     1.27,    -0.01,     0.32,   959.62,   330.38
49.0,     3.60,     1.28,    -0.01,     0.32,   949.35,   334.42
50.0,     3.60,     1.29,    -0.01,     0.33,   938.96,   338.04
51.0,     3.60,     1.30,    -0.01,     0.33,   928.35,   341.16
52.0,     3.60,     1.31,    -0.01,     0.34,   917.50,   343.83
53.0,     3.60,     1.32,    -0.01,     0.34,   906.41,   346.03
54.0,     3.59,     1.33,    -0.01,     0.35,   895.13,   347.77
55.0,     3.59,     1.34,    -0.01,     0.35,   883.64,   349.09
56.0,     3.58,     1.35,    -0.01,     0.36,   872.01,   349.99
57.0,     3.57,     1.36,    -0.01,     0.36,   860.28,   350.48
58.0,     3.56,     1.37,    -0.01,     0.36,   848.49,   350.56
59.0,     3.55,     1.37,    -0.01,     0.37,   836.70,   350.21
60.0,     3.54,     1.38,    -0.01,     0.37,   824.96,   349.45
61.0,     3.53,     1.39,    -0.01,     0.37,   813.31,   348.24
62.0,     3.51,     1.39,    -0.01,     0.38,   801.77,   346.64
63.0,     3.50,     1.40,    -0.01,     0.38,   790.40,   344.69
64.0,     3.49,     1.40,    -0.01,     0.38,   779.17,   342.34
65.0,     3.47,     1.40,    -0.01,     0.39,   768.14,   339.63
66.0,     3.46,     1.40,    -0.01,     0.39,   757.25,   336.56
67.0,     3.44,     1.41,    -0.01,     0.39,   746.53,   333.13
68.0,     3.43,     1.41,    -0.01,     0.40,   735.99,   329.40
69.0,     3.42,     1.40,    -0.01,     0.40,   725.59,   325.39
70.0,     3.40,     1.40,    -0.01,     0.40,   715.32,   321.13
71.0,     3.38,     1.40,    -0.01,     0.40,   705.21,   316.63
72.0,     3.37,     1.40,    -0.01,     0.41,   695.24,   311.93
73.0,     3.35,     1.40,    -0.01,     0.41,   685.43,   307.04
74.0,     3.33,     1.39,    -0.01,     0.41,   675.81,   302.01
75.0,     3.32,     1.39,    -0.01,     0.41,   666.37,   296.79
76.0,     3.30,     1.38,    -0.01,     0.42,   657.17,   291.43
77.0,     3.29,     1.39,    -0.01,     0.42,   648.11,   285.88
78.0,     3.27,     1.37,    -0.01,     0.42,   639.15,   279.80
79.0,     3.25,     1.39,    -0.01,     0.44,   632.23,   278.04
80.0,     3.23,     1.38,    -0.01,     0.44,   616.66,   265.51
82.0,     3.09,     1.18,    -0.01,     0.42,   583.61,   228.91
84.0,     3.06,     1.17,    -0.01,     0.42,   570.32,   217.02
86.0,     3.03,     1.17,    -0.01,     0.43,   557.89,   206.04
88.0,     3.00,     1.16,    -0.01,     0.43,   546.31,   195.88
90.0,     2.98,     1.15,    -0.01,     0.43,   535.42,   186.40
92.0,     2.95,     1.14,    -0.01,     0.43,   525.20,   177.61
94.0,     2.93,     1.13,    -0.01,     0.43,   515.57,   169.46
96.0,     2.90,     1.13,    -0.01,     0.43,   506.57,   161.90
98.0,     2.87,     1.12,    -0.01,     0.43,   498.13,   154.76
100.0,     2.84,     1.11,    -0.01,     0.43,   490.23,   148.01
102.0,     2.82,     1.10,    -0.01,     0.43,   482.83,   141.65
104.0,     2.79,     1.10,    -0.01,     0.43,   475.87,   135.64
106.0,     2.77,     1.09,    -0.01,     0.43,   469.34,   130.04
108.0,     2.74,     1.08,    -0.01,     0.43,   463.19,   124.83
110.0,     2.72,     1.07,    -0.01,     0.43,   457.37,   119.96
112.0,     2.69,     1.06,    -0.01,     0.44,   451.91,   115.40
114.0,     2.67,     1.05,    -0.01,     0.44,   446.75,   111.14
116.0,     2.65,     1.04,    -0.01,     0.44,   441.83,   107.10
118.0,     2.63,     1.03,    -0.01,     0.44,   437.17,   103.26
120.0,     2.60,     1.02,    -0.00,     0.44,   432.77,    99.60
