m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,,,,,,,,,,,
-0.193877551,1.260324685,1.510135185,1.74446175,0.552200764,0.209122687,0.103224928,0.178117167,0.094017335,0.080213526,0.776174848,0.838562749,0.855245881,0.375567313,0.440444594,0.522773985,0.144077136,0.094183024,0.083931649,,,,,,,,,,,
-0.173469388,1.374801597,1.718583729,1.963447368,0.554606066,0.214214983,0.093362822,0.211408096,0.112292373,0.089841814,0.790028286,0.918439267,0.935604643,0.38905344,0.437325348,0.522118383,0.151337243,0.103728285,0.090827421,,,,,,,,,,,
-0.153061224,1.438721688,1.920133535,2.181156843,0.528239581,0.211757572,0.089856953,0.239104411,0.133358871,0.101321857,0.793793607,0.985573914,0.997468695,0.401127906,0.436614421,0.520858784,0.151331953,0.113075963,0.096267074,,,,,,,,,,,
-0.132653061,1.463581157,2.105531913,2.393786488,0.488467177,0.205676283,0.083736893,0.259987895,0.154510413,0.113929189,0.783505918,1.032272264,1.052306706,0.409372164,0.429078767,0.51102403,0.145881207,0.118698388,0.100356861,,,,,,,,,,,
-0.112244898,1.469810075,2.274445856,2.576410377,0.437628851,0.192714603,0.083892753,0.27703943,0.175390158,0.127830513,0.76613901,1.055915073,1.101291444,0.415192574,0.422122774,0.49007827,0.138391273,0.118770631,0.102883901,,,,,,,,,,,
-0.091836735,1.469685961,2.405918453,2.761550758,0.372210373,0.172365714,0.077317282,0.292050771,0.196181101,0.14501782,0.749677863,1.084131355,1.149885293,0.415605466,0.420078006,0.479710564,0.134005899,0.116800858,0.102826635,,,,,,,,,,,
-0.071428571,1.473489252,2.519137402,2.936184926,0.29496919,0.138214804,0.066042105,0.305328714,0.215851812,0.162783318,0.720916415,1.116023407,1.210927991,0.412767305,0.42165618,0.476910067,0.128152134,0.114127943,0.101668178,,,,,,,,,,,
-0.051020408,1.468564907,2.589484304,3.050303222,0.214001371,0.095507157,0.059026921,0.315076957,0.230316136,0.176139036,0.680619881,1.130585698,1.278492973,0.400780986,0.416949483,0.467577944,0.120372256,0.1093369,0.099807524,,,,,,,,,,,
-0.030612245,1.481571515,2.648569461,3.114738773,0.132407426,0.057901092,0.052526332,0.324479725,0.242285547,0.184153523,0.652863271,1.125851822,1.320390342,0.381507457,0.403714857,0.449425664,0.11519992,0.104576214,0.097379356,,,,,,,,,,,
-0.010204082,1.473324219,2.679162037,3.152572332,0.049561957,0.019802252,0.035654546,0.327935894,0.249245051,0.188187045,0.632400178,1.11898872,1.329171256,0.375714665,0.398405335,0.437690989,0.111535069,0.099976207,0.094044216,,,,,,,,,,,
0.010204082,1.442207425,2.666965202,3.161284919,-0.031825776,-0.014278521,0.019121406,0.322929967,0.248371636,0.189326166,0.636425628,1.117935447,1.326716294,0.378656309,0.405559836,0.435741144,0.111831859,0.099009838,0.092993272,,,,,,,,,,,
0.030612245,1.427638764,2.629551758,3.141503504,-0.126552733,-0.0440013,-0.002447093,0.314505476,0.241858347,0.186656698,0.654313715,1.120484185,1.313741883,0.375569494,0.406843442,0.447201646,0.114604065,0.101444577,0.093727512,,,,,,,,,,,
0.051020408,1.435544988,2.595083602,3.063718863,-0.214446556,-0.082259236,-0.027489154,0.307740355,0.232179881,0.17745415,0.678266055,1.113742289,1.270587437,0.375900131,0.409074003,0.458116712,0.119541064,0.105143318,0.094787327,,,,,,,,,,,
0.071428571,1.464920508,2.553462773,2.950378081,-0.287090703,-0.105664103,-0.046385478,0.302792137,0.221092995,0.164589921,0.713196745,1.10651327,1.202360667,0.387467322,0.417617572,0.465456551,0.125953103,0.110092428,0.09575317,,,,,,,,,,,
0.091836735,1.485151827,2.471574198,2.807641801,-0.348889559,-0.125993401,-0.053209209,0.294213842,0.205707555,0.15030081,0.747309067,1.076613331,1.154177766,0.409200803,0.421350181,0.473694189,0.130298293,0.114200729,0.09791548,,,,,,,,,,,
0.112244898,1.488587959,2.347783517,2.635957608,-0.402864262,-0.154624287,-0.058909838,0.281330016,0.185887183,0.134610821,0.779334099,1.03808659,1.092418391,0.409809248,0.43569678,0.482811972,0.134089322,0.11591297,0.097393262,,,,,,,,,,,
0.132653061,1.471729805,2.187816641,2.444877492,-0.455199855,-0.175025636,-0.064597856,0.262369921,0.163217623,0.119546884,0.805586636,0.988741094,1.021429324,0.4005729,0.441217702,0.489144772,0.139259905,0.114863656,0.095113975,,,,,,,,,,,
0.153061224,1.446527898,2.015706994,2.247415091,-0.502198517,-0.184770955,-0.070342066,0.241474044,0.142507826,0.106403511,0.824480583,0.928709821,0.954029752,0.392810608,0.443892495,0.493163782,0.145009269,0.113334848,0.093064864,,,,,,,,,,,
0.173469388,1.390921352,1.824739897,2.029465618,-0.54083693,-0.18702822,-0.075281531,0.216346292,0.123794577,0.09458094,0.826770368,0.876725237,0.901627492,0.386899616,0.4368168,0.491778059,0.148183853,0.108457065,0.089615867,,,,,,,,,,,
0.193877551,1.295517525,1.60258058,1.779855514,-0.551910029,-0.18979702,-0.088379283,0.187095826,0.103738745,0.08276684,0.801793999,0.812162865,0.832030401,0.37464929,0.426641164,0.502340017,0.145931439,0.099404881,0.083142398,,,,,,,,,,,
0.214285714,1.168666066,1.361693117,1.503966952,-0.540764554,-0.195366039,-0.105469646,0.156026975,0.084522897,0.071976651,0.751489605,0.739041566,0.75550809,0.356670128,0.420272345,0.503874875,0.136515859,0.087337164,0.076561567,,,,,,,,,,,
0.234693878,1.034998884,1.12679232,1.256867879,-0.516282752,-0.196716862,-0.112024381,0.128438111,0.070637185,0.063241749,0.685146125,0.677894689,0.706323874,0.347077957,0.420145752,0.497990135,0.124692542,0.076443555,0.071731079,,,,,,,,,,,
0.255102041,0.899932012,0.915202809,1.055723925,-0.478786938,-0.189725329,-0.114177886,0.107343086,0.060717795,0.055725227,0.611735937,0.611805886,0.662842841,0.345077593,0.408190642,0.481814352,0.111550852,0.067833946,0.066853935,,,,,,,,,,,
0.275510204,0.751147687,0.721095647,0.875969813,-0.437950871,-0.189834762,-0.116184193,0.089291251,0.050713811,0.049385066,0.552066906,0.5488664,0.607011762,0.34147067,0.392809227,0.459710563,0.099016156,0.058850239,0.061892167,,,,,,,,,,,
0.295918367,0.601338631,0.554695838,0.707912235,-0.399579339,-0.19573035,-0.122797099,0.073708926,0.04169583,0.042901817,0.506490734,0.483167764,0.568796763,0.337416301,0.376690947,0.434995642,0.087052574,0.051732766,0.057271767,,,,,,,,,,,
0.316326531,0.456462771,0.424058767,0.555590122,-0.353152122,-0.198728748,-0.133584717,0.059193398,0.033994198,0.035335386,0.452844514,0.442236726,0.528995125,0.338006393,0.364620071,0.407899772,0.073799794,0.046137149,0.05189105,,,,,,,,,,,
0.336734694,0.313478037,0.328228834,0.426342406,-0.306988888,-0.19735497,-0.142971833,0.046934792,0.027873643,0.028093266,0.388039023,0.415962616,0.472643474,0.335999123,0.35078361,0.384007758,0.062192533,0.042323515,0.045600766,,,,,,,,,,,
0.357142857,0.195724986,0.241209042,0.320147717,-0.277540323,-0.19190767,-0.147492365,0.036697195,0.021970051,0.022362029,0.329904354,0.381274053,0.418644281,0.323345799,0.325703014,0.35833861,0.053653775,0.038441676,0.040639178,,,,,,,,,,,
0.37755102,0.098421286,0.157436542,0.235795487,-0.256688624,-0.18933409,-0.150122026,0.026477554,0.016269526,0.017676876,0.288875922,0.328798707,0.363500576,0.298732189,0.295402831,0.327943632,0.045655567,0.033341584,0.036356221,,,,,,,,,,,
0.397959184,0.031464383,0.083363215,0.162516978,-0.240627152,-0.189177286,-0.150605681,0.017620623,0.010994695,0.013169128,0.25287191,0.268306643,0.299764002,0.267750654,0.258318603,0.300698011,0.037342869,0.026535842,0.030960689,,,,,,,,,,,
0.418367347,-0.011103597,0.027599817,0.11149367,-0.231289367,-0.183879268,-0.151579234,0.011068503,0.006498378,0.009609072,0.21222684,0.219963891,0.250720237,0.229791014,0.226424126,0.274937721,0.028577758,0.019339322,0.026239986,,,,,,,,,,,
0.43877551,-0.04711943,-0.007012134,0.067020153,-0.224760752,-0.179387413,-0.154479129,0.00557261,0.003341451,0.006666765,0.170967195,0.177271053,0.209585356,0.192347088,0.19784511,0.250707608,0.018633841,0.012888655,0.02159878,,,,,,,,,,,
0.459183673,-0.068972463,-0.027790482,0.032005359,-0.216809156,-0.174010132,-0.158446043,0.001951325,0.001318072,0.004100337,0.135453425,0.153407754,0.182756613,0.157371475,0.173035858,0.223311791,0.009815993,0.00699832,0.016564459,,,,,,,,,,,
0.479591837,-0.072419091,-0.036864912,0.008179209,-0.208610942,-0.170738904,-0.160068351,0.000467904,0.000425101,0.002319081,0.111110015,0.134512978,0.157530993,0.129580134,0.150155613,0.192874375,0.004119322,0.003601003,0.011719662,,,,,,,,,,,
0.5,-0.070937426,-0.037738251,-0.007610258,-0.202103852,-0.168253315,-0.158406353,2.79278E-05,5.82716E-05,0.000984559,0.092708151,0.114787778,0.131082839,0.105367118,0.129138245,0.163476058,0.000453087,0.00090438,0.006592528,,,,,,,,,,,
