s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
 1.0000167E+001, 2.4883010E+000, 3.9262925E+000, 9.0423503E+000, 3.9866747E+000, 2.4205507E+000, 7.6422423E-001, 9.0573337E-001, 2.0560795E+000, 9.8800931E-001, 7.5675108E-001, 3.1710683E-001, 4.7826794E-001, 1.1053106E+000, 5.8550779E-001, 2.9606212E-001, 2.3653892E-001, 4.0400459E-001, 7.3877267E-001, 5.6174475E-001, 3.0489818E-001
 1.0500707E+001, 2.7405780E+000, 4.2861486E+000, 1.1050724E+001, 4.4054281E+000, 2.6813035E+000, 8.4428793E-001, 1.1469663E+000, 2.3812020E+000, 1.1870219E+000, 8.1319724E-001, 4.4075920E-001, 6.3074213E-001, 9.2109994E-001, 6.1764781E-001, 3.6126970E-001, 3.1992383E-001, 4.3331485E-001, 5.3363081E-001, 3.9573203E-001, 2.7423243E-001
 1.1000634E+001, 2.9746093E+000, 4.6202065E+000, 1.1074161E+001, 4.6389953E+000, 2.8370390E+000, 9.1819285E-001, 1.2672410E+000, 2.2332859E+000, 1.5972553E+000, 9.7229243E-001, 6.8603996E-001, 1.0514116E+000, 9.9664590E-001, 6.2753984E-001, 3.6831225E-001, 3.9222217E-001, 5.6675701E-001, 6.3123959E-001, 5.1066763E-001, 3.9210734E-001
 1.1500324E+001, 3.2195673E+000, 4.8930975E+000, 1.3644004E+001, 5.0452363E+000, 3.0650290E+000, 9.6790147E-001, 1.2987959E+000, 2.3225526E+000, 1.3478559E+000, 9.5935800E-001, 5.9435651E-001, 8.9043778E-001, 1.0482731E+000, 6.8406263E-001, 5.7313262E-001, 3.7702866E-001, 5.2299576E-001, 7.2841552E-001, 5.6520118E-001, 4.3813565E-001
 1.2000561E+001, 3.2884546E+000, 5.0365302E+000, 1.6469285E+001, 5.2923397E+000, 3.2871866E+000, 9.9956862E-001, 1.1924945E+000, 2.3942639E+000, 1.3339071E+000, 9.9011501E-001, 4.7820105E-001, 4.9169796E-001, 9.8635864E-001, 6.7829719E-001, 4.8932469E-001, 3.7282335E-001, 6.2456434E-001, 6.1139611E-001, 4.3467492E-001, 2.9661475E-001
 1.2500838E+001, 3.5246678E+000, 5.5186000E+000, 1.7657300E+001, 5.6372263E+000, 3.5268356E+000, 1.0351861E+000, 1.2716693E+000, 3.5772848E+000, 1.7907982E+000, 1.0490861E+000, 4.7331775E-001, 6.4165234E-001, 1.1708481E+000, 7.6336374E-001, 4.8963559E-001, 3.9207446E-001, 4.5935519E-001, 8.9541665E-001, 7.2279800E-001, 4.9363437E-001
 1.3000819E+001, 3.8063956E+000, 5.8554506E+000, 1.6882270E+001, 5.8791980E+000, 3.6988810E+000, 1.1091036E+000, 1.6280493E+000, 2.6521417E+000, 1.3692877E+000, 1.0966493E+000, 4.5953500E-001, 6.2200843E-001, 1.1341645E+000, 6.6335301E-001, 5.4013236E-001, 3.4109658E-001, 5.1405433E-001, 8.5300225E-001, 6.3298470E-001, 4.8033575E-001
 1.3501212E+001, 4.0580211E+000, 6.2127760E+000, 2.0738050E+001, 6.0418949E+000, 3.7667946E+000, 1.1851466E+000, 1.4582842E+000, 3.7828049E+000, 1.4551453E+000, 1.1385791E+000, 7.1003382E-001, 7.8535379E-001, 1.6144165E+000, 8.3460632E-001, 5.5985169E-001, 5.5221046E-001, 5.8630252E-001, 8.3604349E-001, 5.5157901E-001, 3.1360778E-001
 1.4000139E+001, 4.1918535E+000, 6.3833933E+000, 2.2863005E+001, 6.4363426E+000, 4.0100433E+000, 1.2215458E+000, 1.6083972E+000, 4.3014558E+000, 1.6282825E+000, 1.2219986E+000, 5.3884728E-001, 7.8225817E-001, 1.5717006E+000, 6.8792709E-001, 5.0717285E-001, 5.7822941E-001, 6.8526169E-001, 6.9264020E-001, 4.2056573E-001, 2.8413103E-001
 1.4501078E+001, 4.4411866E+000, 6.8897682E+000, 2.4284553E+001, 6.8405691E+000, 4.2852038E+000, 1.3261305E+000, 1.6901421E+000, 5.4774856E+000, 1.7653584E+000, 1.3175326E+000, 5.7224072E-001, 7.8708357E-001, 1.7760398E+000, 6.4682966E-001, 5.7136188E-001, 5.7371029E-001, 8.8183105E-001, 1.1436773E+000, 5.2502079E-001, 3.0569104E-001
 1.5000597E+001, 4.5709152E+000, 6.9885967E+000, 2.6375128E+001, 7.1484337E+000, 4.4183457E+000, 1.4065443E+000, 1.8544949E+000, 6.6273655E+000, 1.9030260E+000, 1.3597850E+000, 5.4412235E-001, 8.3935298E-001, 1.6617616E+000, 8.5443787E-001, 6.4134637E-001, 3.2188575E-001, 3.8509905E-001, 7.9246299E-001, 6.5337086E-001, 4.0923395E-001
 1.5500224E+001, 4.9919269E+000, 7.7560486E+000, 2.4627254E+001, 7.6802396E+000, 4.7046522E+000, 1.4670759E+000, 1.9281928E+000, 5.1922213E+000, 1.8422418E+000, 1.4340493E+000, 6.3591099E-001, 8.7885329E-001, 1.5211178E+000, 9.7533557E-001, 6.8086814E-001, 3.2990918E-001, 7.2379879E-001, 9.4290948E-001, 6.6516656E-001, 4.1333270E-001
 1.6000778E+001, 5.0581767E+000, 7.9960501E+000, 2.2025247E+001, 7.5706470E+000, 4.8586821E+000, 1.6998140E+000, 2.1483462E+000, 4.2462318E+000, 1.9270512E+000, 1.4007741E+000, 6.3229096E-001, 7.8443372E-001, 1.9781444E+000, 6.8937223E-001, 6.3039022E-001, 5.5506658E-001, 7.5205894E-001, 1.0367895E+000, 4.9769360E-001, 4.1201163E-001
 1.6501212E+001, 5.1453670E+000, 7.9075095E+000, 2.3244632E+001, 7.7492691E+000, 4.9118382E+000, 1.5647229E+000, 2.0299647E+000, 5.1271571E+000, 2.0695842E+000, 1.4403111E+000, 9.7895442E-001, 1.1846640E+000, 1.9707291E+000, 9.9645863E-001, 7.3963437E-001, 6.9429291E-001, 8.1306570E-001, 9.9723289E-001, 5.1837009E-001, 3.3255405E-001
 1.7000186E+001, 5.3853479E+000, 8.3913151E+000, 2.5845221E+001, 8.5920907E+000, 5.2615808E+000, 1.6318922E+000, 2.7867871E+000, 6.2755983E+000, 2.1167550E+000, 1.5869602E+000, 1.0170296E+000, 1.7076550E+000, 2.0595052E+000, 9.0221434E-001, 6.5827523E-001, 7.0728801E-001, 1.0559819E+000, 1.0070125E+000, 5.5715896E-001, 4.2340890E-001
 1.7500923E+001, 5.3582130E+000, 8.5485009E+000, 2.5929461E+001, 8.6793776E+000, 5.4145475E+000, 1.5855442E+000, 2.1002700E+000, 5.5697819E+000, 2.2403477E+000, 1.6076572E+000, 8.1642892E-001, 1.2292968E+000, 1.4001181E+000, 1.0032954E+000, 8.6374688E-001, 4.8472690E-001, 7.1323331E-001, 9.8484038E-001, 9.2493529E-001, 5.7223971E-001
 1.8000123E+001, 5.6816406E+000, 9.0722075E+000, 2.6511367E+001, 9.6921646E+000, 5.5918190E+000, 1.7215481E+000, 2.3431045E+000, 5.2838967E+000, 2.2559736E+000, 1.6792412E+000, 1.0926129E+000, 1.3524243E+000, 1.7043449E+000, 1.1605463E+000, 7.2602764E-001, 6.6729460E-001, 1.2723560E+000, 8.9410006E-001, 6.1440985E-001, 5.1672786E-001
 1.8500569E+001, 5.9471733E+000, 9.3138878E+000, 2.9318129E+001, 9.8245230E+000, 6.1439302E+000, 1.8846913E+000, 2.5262642E+000, 5.5462273E+000, 2.6208667E+000, 1.8833920E+000, 8.4262928E-001, 1.0655406E+000, 2.2219084E+000, 1.2625230E+000, 8.0800675E-001, 5.2815681E-001, 7.6774698E-001, 1.1499504E+000, 7.0663397E-001, 6.3496151E-001
 1.9000782E+001, 6.1952390E+000, 9.8686547E+000, 3.3347145E+001, 1.0001328E+001, 5.9855491E+000, 1.9272459E+000, 2.6575333E+000, 9.4663889E+000, 2.6745876E+000, 1.8844447E+000, 9.6173183E-001, 1.6268485E+000, 3.0711957E+000, 9.0697638E-001, 8.3206276E-001, 5.8168866E-001, 9.6584753E-001, 1.3795270E+000, 7.0400807E-001, 4.5729346E-001
 1.9500934E+001, 6.3198797E+000, 1.0106092E+001, 3.5782651E+001, 1.0068273E+001, 6.0731397E+000, 2.0589483E+000, 2.6666854E+000, 9.8892663E+000, 3.3016567E+000, 1.9747967E+000, 8.7134514E-001, 1.3751625E+000, 2.1963895E+000, 1.9438539E+000, 1.0272670E+000, 5.9242735E-001, 9.6794107E-001, 1.4419061E+000, 8.6096107E-001, 6.4595051E-001
 2.0000518E+001, 6.5771757E+000, 1.0489199E+001, 3.5452503E+001, 1.0643272E+001, 6.2739555E+000, 2.0663609E+000, 2.7288734E+000, 7.8126125E+000, 2.9798525E+000, 2.0529573E+000, 1.0553341E+000, 1.1387458E+000, 2.2259919E+000, 1.5004102E+000, 1.0364296E+000, 6.0242753E-001, 7.2288914E-001, 1.2294062E+000, 1.1750592E+000, 9.4793529E-001
 2.0500709E+001, 6.5474872E+000, 1.0397215E+001, 3.2369444E+001, 1.0869352E+001, 6.4195210E+000, 2.0478189E+000, 2.9761830E+000, 7.7663237E+000, 2.7775791E+000, 2.0367675E+000, 1.0142501E+000, 1.4269612E+000, 2.8039101E+000, 1.3993471E+000, 1.1604008E+000, 9.3465506E-001, 1.1497128E+000, 1.4483621E+000, 7.3079097E-001, 6.7160968E-001
 2.1000245E+001, 6.9008303E+000, 1.1126901E+001, 3.5410311E+001, 1.1621598E+001, 6.7062046E+000, 2.2892222E+000, 3.2035990E+000, 8.9685205E+000, 3.1648889E+000, 2.3376327E+000, 1.1376864E+000, 1.3643371E+000, 2.3414999E+000, 1.5877892E+000, 1.1116534E+000, 7.1296480E-001, 9.9450204E-001, 1.3564277E+000, 1.1625655E+000, 7.7780597E-001
 2.1500057E+001, 6.8676710E+000, 1.0863465E+001, 3.9362446E+001, 1.1319773E+001, 6.7550605E+000, 2.4076063E+000, 3.2608313E+000, 1.2372012E+001, 3.2741871E+000, 2.3048367E+000, 1.1913381E+000, 1.7959947E+000, 4.5013719E+000, 1.5122180E+000, 1.0924407E+000, 8.5769735E-001, 1.2683406E+000, 1.9703742E+000, 1.4634203E+000, 8.9019197E-001
 2.2000684E+001, 7.0295116E+000, 1.1582592E+001, 3.4022916E+001, 1.2798865E+001, 6.9271268E+000, 2.4763228E+000, 3.4250560E+000, 1.0687717E+001, 3.5209691E+000, 2.3379111E+000, 1.2775050E+000, 1.8120226E+000, 4.4986870E+000, 1.5926318E+000, 1.1354903E+000, 7.0324333E-001, 1.3647101E+000, 1.8889553E+000, 1.1330532E+000, 7.5293934E-001
 2.2500260E+001, 7.4979866E+000, 1.4359102E+001, 3.6323908E+001, 1.5947011E+001, 7.3023069E+000, 2.5324866E+000, 3.8389801E+000, 7.5197208E+000, 3.4358009E+000, 2.5143583E+000, 1.2227751E+000, 1.4039511E+000, 2.1806137E+000, 1.4656659E+000, 9.9317103E-001, 8.7304457E-001, 1.3611905E+000, 1.6129726E+000, 8.4656273E-001, 6.0024561E-001
 2.3000343E+001, 7.5619496E+000, 1.5755159E+001, 3.0943072E+001, 1.4752631E+001, 7.3805423E+000, 2.3397658E+000, 3.1032290E+000, 5.6607055E+000, 3.0136748E+000, 2.3094142E+000, 1.0779861E+000, 1.4894603E+000, 2.7197904E+000, 1.2240705E+000, 9.8049141E-001, 6.3672903E-001, 9.5974011E-001, 1.6412966E+000, 9.3311066E-001, 5.9326077E-001
 2.3500690E+001, 7.7279006E+000, 1.3633476E+001, 3.4935093E+001, 1.4313545E+001, 7.4323843E+000, 2.6391873E+000, 3.6651354E+000, 1.0023176E+001, 3.9178305E+000, 2.6761969E+000, 1.5026713E+000, 1.9741676E+000, 3.0906665E+000, 1.5751449E+000, 1.1747529E+000, 6.4388707E-001, 9.6426224E-001, 1.7731773E+000, 1.0854938E+000, 6.1787616E-001
 2.4000829E+001, 9.8234454E+000, 1.7554549E+001, 3.3228037E+001, 1.8756474E+001, 8.4974588E+000, 3.1477905E+000, 3.7937263E+000, 7.5788858E+000, 4.1620014E+000, 3.0856745E+000, 1.1637010E+000, 1.3764985E+000, 2.2188987E+000, 1.4483380E+000, 1.1660399E+000, 8.5645177E-001, 9.4301866E-001, 1.1476166E+000, 8.6357665E-001, 6.1879695E-001
 2.4500999E+001, 1.1954389E+001, 1.9244489E+001, 3.6111717E+001, 2.0542066E+001, 1.1568216E+001, 2.7129025E+000, 3.7146166E+000, 8.9778448E+000, 4.4626074E+000, 2.7583849E+000, 1.0866122E+000, 1.3916724E+000, 2.5969825E+000, 1.5142587E+000, 1.1557137E+000, 7.6573187E-001, 1.0935305E+000, 1.5712808E+000, 1.3266002E+000, 6.9439246E-001
 2.5000732E+001, 9.9280162E+000, 1.6061047E+001, 3.0484282E+001, 1.5109078E+001, 9.5147014E+000, 2.6470349E+000, 3.8154803E+000, 6.0873936E+000, 3.7416225E+000, 2.8261919E+000, 1.5014115E+000, 1.8800407E+000, 2.2512054E+000, 1.7095405E+000, 1.5387448E+000, 9.1804835E-001, 1.0066266E+000, 1.5265231E+000, 1.0161174E+000, 8.7916308E-001
 2.5501007E+001, 1.4768740E+001, 2.1203390E+001, 2.5837733E+001, 2.4299321E+001, 1.7372316E+001, 2.9798058E+000, 3.6000509E+000, 5.8578323E+000, 3.8865395E+000, 2.8646014E+000, 9.9007971E-001, 1.2147582E+000, 2.0568058E+000, 1.4416762E+000, 1.1752472E+000, 8.7312805E-001, 9.3234883E-001, 1.0537194E+000, 8.5001807E-001, 6.6495015E-001
 2.6000645E+001, 9.0346499E+000, 2.4126326E+001, 2.4420486E+001, 2.1266437E+001, 1.1303133E+001, 2.8623166E+000, 3.8924533E+000, 6.3266186E+000, 4.1559760E+000, 2.9988668E+000, 1.2543856E+000, 1.6380410E+000, 2.7372512E+000, 1.6495391E+000, 1.5235447E+000, 7.9777957E-001, 9.8733307E-001, 1.6174182E+000, 1.3477573E+000, 1.0241525E+000
 2.6500373E+001, 1.0650590E+001, 2.4206555E+001, 2.6355725E+001, 2.8056914E+001, 1.1873242E+001, 3.0983961E+000, 4.3487807E+000, 6.5452743E+000, 4.5147168E+000, 3.3384031E+000, 1.1578495E+000, 1.5692025E+000, 2.3352665E+000, 1.6685760E+000, 1.2036322E+000, 6.8963154E-001, 1.0174010E+000, 1.1055925E+000, 8.0571151E-001, 5.3512841E-001
 2.7001042E+001, 1.1494450E+001, 2.4677501E+001, 2.5213757E+001, 1.6013447E+001, 1.5100307E+001, 2.8599405E+000, 3.6519924E+000, 4.7398753E+000, 3.4415507E+000, 2.8563274E+000, 1.1949695E+000, 1.5110544E+000, 2.0434237E+000, 1.3414484E+000, 1.1914249E+000, 6.6253904E-001, 8.9328194E-001, 1.4539257E+000, 1.3799535E+000, 7.4478966E-001
 2.7500064E+001, 1.1274767E+001, 2.2919163E+001, 3.2264129E+001, 2.1369910E+001, 1.1302837E+001, 3.5715646E+000, 4.9551828E+000, 1.0559175E+001, 5.1951355E+000, 3.9742662E+000, 1.4499451E+000, 1.9710215E+000, 3.7490910E+000, 2.1059562E+000, 1.6677644E+000, 8.2711092E-001, 1.2676944E+000, 1.8933586E+000, 1.2191352E+000, 7.6873613E-001
 2.8000401E+001, 9.5071344E+000, 2.0677387E+001, 3.0188097E+001, 2.9597867E+001, 1.0205447E+001, 2.9166401E+000, 4.0294383E+000, 6.8781206E+000, 4.9889330E+000, 3.1729470E+000, 1.1236985E+000, 1.4447200E+000, 2.6252959E+000, 1.5385917E+000, 1.2542348E+000, 7.6728830E-001, 1.1776191E+000, 1.7332336E+000, 1.2350986E+000, 7.9753944E-001
 2.8500719E+001, 9.4613526E+000, 2.3224731E+001, 2.9916446E+001, 2.4278217E+001, 1.0198053E+001, 3.1060856E+000, 4.2355625E+000, 6.9469248E+000, 4.7237133E+000, 3.2685532E+000, 1.1621980E+000, 1.5674550E+000, 2.7409100E+000, 2.1636751E+000, 1.3442518E+000, 7.8643540E-001, 1.1535060E+000, 1.5585237E+000, 1.2606704E+000, 7.0184997E-001
 2.9000856E+001, 9.4341140E+000, 2.5623529E+001, 2.7321998E+001, 2.5239361E+001, 2.0456262E+001, 3.4549980E+000, 4.8072236E+000, 8.7197879E+000, 5.0109073E+000, 3.6094641E+000, 1.4595111E+000, 1.7531674E+000, 2.5022814E+000, 1.6279161E+000, 1.5381193E+000, 8.2606531E-001, 1.4054437E+000, 1.5951408E+000, 1.1576651E+000, 8.4153301E-001
 2.9500286E+001, 9.8340748E+000, 2.6533541E+001, 3.4555002E+001, 2.8850765E+001, 1.6649670E+001, 3.4691933E+000, 4.9160449E+000, 8.3271416E+000, 5.0041536E+000, 4.0134069E+000, 1.5395037E+000, 2.0545058E+000, 2.7773976E+000, 1.8717920E+000, 1.6700981E+000, 7.3739953E-001, 1.1904420E+000, 1.4497532E+000, 1.4422882E+000, 1.0805496E+000
 3.0000579E+001, 1.3251758E+001, 2.3943668E+001, 2.8830196E+001, 2.7958996E+001, 1.5556958E+001, 3.1532151E+000, 4.3868848E+000, 6.5134344E+000, 4.8275681E+000, 3.5460195E+000, 1.2518220E+000, 1.7206125E+000, 2.4100073E+000, 1.8029807E+000, 1.4070624E+000, 7.2705608E-001, 1.1855132E+000, 1.3572802E+000, 1.4945926E+000, 1.0938434E+000
 3.0500293E+001, 1.1672898E+001, 2.7536649E+001, 3.4307064E+001, 2.7468346E+001, 1.0374492E+001, 3.9426923E+000, 5.0517996E+000, 7.6630317E+000, 5.0225098E+000, 3.6050881E+000, 1.5904438E+000, 2.0639258E+000, 2.9451723E+000, 2.0732143E+000, 1.5793220E+000, 9.5017875E-001, 1.2578944E+000, 1.6652219E+000, 1.2181540E+000, 7.9821480E-001
 3.1000478E+001, 1.4124007E+001, 2.7719559E+001, 3.0015924E+001, 2.6407472E+001, 1.3087557E+001, 3.5011570E+000, 5.3890174E+000, 7.9847929E+000, 5.3598308E+000, 3.5039152E+000, 1.4459782E+000, 1.8427465E+000, 2.5585444E+000, 2.0199252E+000, 1.5516541E+000, 7.7787798E-001, 1.2311489E+000, 1.4918211E+000, 1.2076281E+000, 8.6647897E-001
 3.1500082E+001, 1.3646410E+001, 3.4385236E+001, 3.1829921E+001, 3.4341353E+001, 2.0028172E+001, 3.6912835E+000, 5.6160538E+000, 8.6531922E+000, 5.6456551E+000, 3.4496710E+000, 1.5774122E+000, 2.0867391E+000, 3.1990264E+000, 1.8265533E+000, 1.3633348E+000, 8.6134943E-001, 1.3236530E+000, 2.0611235E+000, 1.2063510E+000, 7.6843598E-001
