cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.2500000E+001, 1.1778163E+003, 1.3030568E+002, 4.3396552E+001, 4.0548223E+002, 1.4516550E+002, 3.6578027E+002, 8.9740318E+001, 3.6017452E+002, 7.8282428E+001, 3.6677639E+002, 7.8277300E+001, 3.7321695E+002, 6.9180973E+001, 1.6848000E+002, 5.2740000E+000, 4.1049459E-001, 1.7350359E+000, 1.7646896E+000, 1.6899354E+000, 1.1700000E+002, 1.0448798E+000
 5.4500000E+001, 1.1802707E+003, 1.3060399E+002, 4.5431034E+001, 3.5863342E+002, 9.0220054E+001, 3.5488397E+002, 8.4699540E+001, 3.4996840E+002, 7.3370912E+001, 3.5459542E+002, 7.0357745E+001, 3.6302163E+002, 6.2675861E+001, 1.7296000E+002, 5.4730000E+000, 3.8674774E-001, 1.6505308E+000, 1.6842516E+000, 1.6147399E+000, 1.2150000E+002, 1.0297312E+000
 5.6500000E+001, 1.1824938E+003, 1.3138459E+002, 4.7465517E+001, 3.2750293E+002, 4.7071325E+001, 3.4639890E+002, 8.0639787E+001, 3.4194766E+002, 6.8160422E+001, 3.4465371E+002, 6.5359526E+001, 3.5320954E+002, 5.9191554E+001, 1.7744000E+002, 5.6720000E+000, 3.6465910E-001, 1.5714627E+000, 1.6083498E+000, 1.5438325E+000, 1.2600000E+002, 1.0138798E+000
 5.8500000E+001, 1.1836176E+003, 1.3229925E+002, 4.9500000E+001, 3.1335337E+002, 2.0402668E+001, 3.3961791E+002, 7.3685167E+001, 3.3541769E+002, 6.4149576E+001, 3.3655870E+002, 5.8827929E+001, 3.4400547E+002, 5.3585779E+001, 1.8192000E+002, 5.8710000E+000, 3.4518888E-001, 1.4953422E+000, 1.5246133E+000, 1.4660397E+000, 1.3050000E+002, 9.9745022E-001
 6.0500000E+001, 1.1836700E+003, 1.3357630E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8640000E+002, 6.0700000E+000, 3.2600985E-001, 1.4262220E+000, 1.4573295E+000, 1.4034933E+000, 1.3500000E+002, 9.8041963E-001
 6.2500000E+001, 1.1834585E+003, 1.3574601E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9088000E+002, 6.2690000E+000, 3.0810160E-001, 1.3614832E+000, 1.3935263E+000, 1.3444448E+000, 1.3950000E+002, 9.6279323E-001
 6.4500000E+001, 1.1826448E+003, 1.3869932E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9536000E+002, 6.4680000E+000, 2.9136159E-001, 1.3008315E+000, 1.3329363E+000, 1.2886753E+000, 1.4400000E+002, 9.3158961E-001
 6.6500000E+001, 1.1813761E+003, 1.4217587E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.9984000E+002, 6.6670000E+000, 2.7569756E-001, 1.2439935E+000, 1.2753203E+000, 1.2359772E+000, 1.4850000E+002, 8.9656351E-001
 6.8500000E+001, 1.1796219E+003, 1.4614542E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0432000E+002, 6.8660000E+000, 2.4727056E-001, 1.1407557E+000, 1.1681778E+000, 1.1390123E+000, 1.5300000E+002, 8.7853277E-001
 7.0500000E+001, 1.1775204E+003, 1.5017624E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0880000E+002, 7.0650000E+000, 2.3436291E-001, 1.0938943E+000, 1.1182913E+000, 1.0943767E+000, 1.5750000E+002, 8.6026587E-001
