s,kW,kW
Time,HRR,HRR_rad_loss
5.041800E+00,1.527888E+01,8.479479E+00
5.053210E+00,1.524984E+01,7.361046E+00
5.064870E+00,1.521640E+01,6.367521E+00
5.077070E+00,1.502453E+01,4.994235E+00
5.088940E+00,1.520271E+01,3.766065E+00
5.100630E+00,1.563993E+01,9.037829E+00
5.111550E+00,1.591188E+01,7.539976E+00
5.120930E+00,1.600321E+01,6.583346E+00
5.130240E+00,1.570056E+01,5.450223E+00
5.139590E+00,1.515471E+01,4.460895E+00
5.149270E+00,1.492447E+01,8.309241E+00
5.158720E+00,1.449491E+01,7.193554E+00
5.168060E+00,1.433629E+01,6.482543E+00
5.177840E+00,1.445275E+01,5.674810E+00
5.187600E+00,1.476522E+01,4.815839E+00
5.196890E+00,1.527864E+01,8.197109E+00
5.205910E+00,1.530718E+01,7.481227E+00
5.215370E+00,1.556023E+01,6.957835E+00
5.225850E+00,1.558538E+01,6.116250E+00
5.236560E+00,1.562041E+01,5.287737E+00
5.247290E+00,1.583005E+01,8.203469E+00
5.257670E+00,1.602720E+01,7.487466E+00
5.267920E+00,1.613120E+01,6.938804E+00
5.277810E+00,1.606395E+01,6.075999E+00
5.287070E+00,1.591365E+01,5.083342E+00
5.296570E+00,1.591011E+01,8.136392E+00
5.306270E+00,1.573531E+01,7.192177E+00
5.315640E+00,1.549389E+01,6.458347E+00
5.325660E+00,1.499440E+01,5.388969E+00
5.336780E+00,1.393149E+01,4.337826E+00
5.348440E+00,1.286941E+01,7.443895E+00
5.360070E+00,1.223276E+01,6.325071E+00
5.371400E+00,1.185216E+01,5.533165E+00
5.383880E+00,1.205143E+01,4.566221E+00
5.396420E+00,1.270091E+01,3.717296E+00
5.408470E+00,1.353747E+01,8.112560E+00
5.419790E+00,1.426573E+01,7.004067E+00
5.430630E+00,1.514805E+01,6.259110E+00
5.441900E+00,1.583904E+01,5.330969E+00
5.452230E+00,1.595668E+01,4.564675E+00
5.462770E+00,1.600347E+01,8.646607E+00
5.473100E+00,1.568547E+01,7.594346E+00
5.482980E+00,1.549067E+01,6.823553E+00
5.492480E+00,1.540403E+01,5.912747E+00
5.502160E+00,1.568433E+01,5.001052E+00
5.515140E+00,1.605608E+01,7.814125E+00
5.528720E+00,1.641829E+01,6.892870E+00
5.541520E+00,1.646062E+01,5.485386E+00
5.553320E+00,1.622348E+01,4.613080E+00
5.563390E+00,1.543079E+01,4.160230E+00
5.573520E+00,1.474219E+01,6.891645E+00
5.584210E+00,1.425989E+01,6.504666E+00
5.596350E+00,1.431476E+01,6.000622E+00
5.608680E+00,1.465924E+01,5.349633E+00
5.620120E+00,1.504996E+01,4.795385E+00
5.630580E+00,1.565820E+01,7.915275E+00
5.640180E+00,1.636730E+01,7.351005E+00
5.649610E+00,1.704779E+01,6.999968E+00
5.658860E+00,1.731425E+01,6.434449E+00
5.667650E+00,1.722843E+01,5.817541E+00
5.676100E+00,1.667948E+01,7.905184E+00
5.684260E+00,1.583523E+01,7.364681E+00
5.692320E+00,1.501643E+01,6.757051E+00
5.700360E+00,1.429344E+01,5.894348E+00
5.708240E+00,1.382873E+01,5.054831E+00
5.715840E+00,1.375323E+01,6.739965E+00
5.724050E+00,1.361012E+01,6.217118E+00
5.733080E+00,1.317791E+01,5.560794E+00
5.742450E+00,1.259649E+01,4.774084E+00
5.752190E+00,1.240075E+01,4.093448E+00
5.762380E+00,1.265010E+01,5.889880E+00
5.772540E+00,1.307903E+01,5.740687E+00
5.782870E+00,1.362446E+01,5.562588E+00
5.793130E+00,1.427480E+01,5.158743E+00
5.803360E+00,1.504998E+01,4.662837E+00
