D,m,cm,m/s,m/s
height_over_D,z,x,UMean_x,UMean_z
2.000000E+00,5.300000E-01,-1.292000E+01,5.177560E-02,9.017250E-02
2.000000E+00,5.300000E-01,-1.260000E+01,5.335570E-02,9.206790E-02
2.000000E+00,5.300000E-01,-1.220000E+01,5.409070E-02,9.420510E-02
2.000000E+00,5.300000E-01,-1.180000E+01,5.506920E-02,9.618380E-02
2.000000E+00,5.300000E-01,-1.140000E+01,5.625800E-02,9.817400E-02
2.000000E+00,5.300000E-01,-1.100000E+01,5.782070E-02,1.005720E-01
2.000000E+00,5.300000E-01,-1.060000E+01,5.952230E-02,1.040480E-01
2.000000E+00,5.300000E-01,-1.020000E+01,6.114910E-02,1.095860E-01
2.000000E+00,5.300000E-01,-9.800000E+00,6.311760E-02,1.202610E-01
2.000000E+00,5.300000E-01,-9.400000E+00,6.390190E-02,1.374780E-01
2.000000E+00,5.300000E-01,-9.000000E+00,6.482710E-02,1.619680E-01
2.000000E+00,5.300000E-01,-8.600000E+00,6.463370E-02,1.971380E-01
2.000000E+00,5.300000E-01,-8.200000E+00,6.425910E-02,2.452040E-01
2.000000E+00,5.300000E-01,-7.800000E+00,6.211710E-02,3.086090E-01
2.000000E+00,5.300000E-01,-7.400000E+00,5.766290E-02,3.893480E-01
2.000000E+00,5.300000E-01,-7.000000E+00,4.977860E-02,4.869860E-01
2.000000E+00,5.300000E-01,-6.600000E+00,3.817430E-02,5.995800E-01
2.000000E+00,5.300000E-01,-6.200000E+00,2.596160E-02,7.249030E-01
2.000000E+00,5.300000E-01,-5.800000E+00,1.320150E-02,8.613240E-01
2.000000E+00,5.300000E-01,-5.400000E+00,2.610670E-03,1.000900E+00
2.000000E+00,5.300000E-01,-5.000000E+00,-6.505670E-03,1.141010E+00
2.000000E+00,5.300000E-01,-4.600000E+00,-1.242200E-02,1.278630E+00
2.000000E+00,5.300000E-01,-4.200000E+00,-1.889910E-02,1.404350E+00
2.000000E+00,5.300000E-01,-3.800000E+00,-2.114730E-02,1.518680E+00
2.000000E+00,5.300000E-01,-3.400000E+00,-2.265090E-02,1.639370E+00
2.000000E+00,5.300000E-01,-3.000000E+00,-2.020600E-02,1.779160E+00
2.000000E+00,5.300000E-01,-2.600000E+00,-1.656830E-02,1.944090E+00
2.000000E+00,5.300000E-01,-2.200000E+00,-7.918490E-03,2.140430E+00
2.000000E+00,5.300000E-01,-1.800000E+00,1.793970E-03,2.405450E+00
2.000000E+00,5.300000E-01,-1.400000E+00,1.101360E-02,2.689370E+00
2.000000E+00,5.300000E-01,-1.000000E+00,1.717590E-02,2.914880E+00
2.000000E+00,5.300000E-01,-6.000000E-01,1.428470E-02,3.032370E+00
2.000000E+00,5.300000E-01,-2.200000E-01,7.222970E-03,3.071110E+00
2.000000E+00,5.300000E-01,-2.000000E-02,5.826330E-03,3.074870E+00
2.000000E+00,5.300000E-01,2.000000E-01,-3.981200E-03,3.084440E+00
2.000000E+00,5.300000E-01,6.000000E-01,-1.559560E-02,3.052130E+00
