cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.9384848E+001, 8.0968582E+000, 7.8057503E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7289157E+000, 4.7749675E-001, 4.3181566E-001, 3.7786452E-001, 2.4422803E-001, 1.6248850E-001, 1.1992595E-001, 1.4681572E-001, 1.5632142E-001, 1.4656151E-001, 1.0227190E-001
 1.9881818E+001, 8.0884813E+000, 7.7851394E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2349398E+000, 5.4872913E-001, 4.8997141E-001, 4.1491923E-001, 2.5670679E-001, 1.6495036E-001, 6.0563297E-002, 1.1767409E-001, 1.4465928E-001, 1.4831430E-001, 1.0332943E-001
 2.0378788E+001, 8.0755383E+000, 7.7642967E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.4096386E-001, 5.5666960E-001, 5.1341481E-001, 4.3413738E-001, 2.6637724E-001, 1.6634135E-001, 2.8070974E-002, 1.0280243E-001, 1.3733398E-001, 1.5207799E-001, 1.0417398E-001
 2.0875758E+001, 8.0613395E+000, 7.7507844E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4698795E-001, 5.4531676E-001, 5.1731824E-001, 4.3677129E-001, 2.6999732E-001, 1.6586812E-001, 2.3221677E-002, 9.6808626E-002, 1.3863501E-001, 1.5364661E-001, 1.0275837E-001
 2.1372727E+001, 8.0449937E+000, 7.7270001E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4698795E-001, 5.4881530E-001, 5.1942879E-001, 4.2583386E-001, 2.6487453E-001, 1.6407599E-001, 1.9804571E-002, 8.4825953E-002, 1.3854628E-001, 1.5118529E-001, 1.0122627E-001
 2.1869697E+001, 8.0324330E+000, 7.7020766E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.4096386E-001, 5.6132619E-001, 5.0899971E-001, 3.9979626E-001, 2.4999599E-001, 1.5943498E-001, 1.8054019E-002, 8.5130376E-002, 1.4408486E-001, 1.4768536E-001, 9.8086910E-002
 2.2366667E+001, 8.0179738E+000, 7.6724353E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2349398E+000, 5.4322700E-001, 4.4696870E-001, 3.5489883E-001, 2.3163014E-001, 1.5415649E-001, 5.2473854E-002, 1.3545382E-001, 1.5895282E-001, 1.4252143E-001, 9.4633107E-002
 2.2863636E+001, 8.0229898E+000, 7.6772352E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7289157E+000, 4.5228007E-001, 3.5355793E-001, 3.0176312E-001, 2.1165637E-001, 1.4792789E-001, 1.2693792E-001, 1.7138193E-001, 1.6621590E-001, 1.3822137E-001, 9.1512729E-002
 2.3360606E+001, 7.9606982E+000, 7.5544403E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2228916E+000, 3.2049040E-001, 2.6934274E-001, 2.4926651E-001, 1.8878698E-001, 1.4197225E-001, 1.6964295E-001, 1.7776085E-001, 1.6270142E-001, 1.3227409E-001, 8.9746239E-002
 2.3857576E+001, 7.9295624E+000, 7.5079877E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7168675E+000, 2.1823022E-001, 2.1047900E-001, 2.0752224E-001, 1.6739243E-001, 1.3530763E-001, 1.6217304E-001, 1.7109157E-001, 1.5353822E-001, 1.2467120E-001, 8.7179835E-002
