XO2                    ,eta
0.209664844,1.00202449
0.209658743,1.003422806
0.209652599,1.004937782
0.209646411,1.006637119
0.209640178,1.008423442
0.2096339,1.010277843
0.209627573,1.012146357
0.209621203,1.013992263
0.209614791,1.015757613
0.209608332,1.017464402
0.209601826,1.019012469
0.209595277,1.020400162
0.209588685,1.021596493
0.209582047,1.022512818
0.209575366,1.023168209
0.209568635,1.023549749
0.209561859,1.02368314
0.20955504,1.023554015
0.209548177,1.02322301
0.20954127,1.022662018
0.209534319,1.02186937
0.209527324,1.020882964
0.209520279,1.019662531
0.209513191,1.018228792
0.209506058,1.016573114
0.209498881,1.014832322
0.209491659,1.013021029
0.209484393,1.01114744
0.209477083,1.009350526
0.209469725,1.0076954
0.209462325,1.006220397
0.20945488,1.00498231
0.20944739,1.004015848
0.209439853,1.003309781
0.209432271,1.002922842
0.209424645,1.002817642
0.209416977,1.003002729
0.209409262,1.003442706
0.209401503,1.004125836
0.209393698,1.005018799
0.209385846,1.00609425
0.209377953,1.007335849
0.209370013,1.008728323
0.209362026,1.01024756
0.209353996,1.011852835
0.209345924,1.013528127
0.209337804,1.015210119
0.209329641,1.016863049
0.209321434,1.01845076
0.209313183,1.019991305
0.209304883,1.021489249
0.209296538,1.022973964
0.209288152,1.024438556
0.209279718,1.025805656
0.209271238,1.027091107
0.209262716,1.028313781
0.209254151,1.029510436
0.209245537,1.030679821
0.20923688,1.031880414
0.20922818,1.033103123
0.209219432,1.03433645
0.209210642,1.035541185
0.209201804,1.036717798
0.209192923,1.037858914
0.209183995,1.038957305
0.209175024,1.039964626
0.20916601,1.040868361
0.209156952,1.041708069
0.209147843,1.042447241
0.209138691,1.043106338
0.209129498,1.043703669
0.209120258,1.044272226
0.209110971,1.044790793
0.209101642,1.04527255
0.209092268,1.045665336
0.209082848,1.045919505
0.209073383,1.046046564
0.209063873,1.045981424
0.209054321,1.045789077
0.209044723,1.045418662
0.20903508,1.044863976
0.209026063,1.044117739
0.209017049,1.043286695
0.209008032,1.042358012
0.208999017,1.041306935
0.20899,1.040086828
0.208980984,1.038672448
0.208971966,1.037154514
0.208962948,1.035596059
0.208953933,1.034057505
0.208944914,1.032512129
0.208935902,1.031056789
0.208926888,1.029739415
0.208917872,1.028493445
0.208908852,1.027314745
0.208899839,1.026196092
0.208890822,1.025170779
0.208881807,1.024168559
0.20887279,1.02323456
0.208863777,1.0223437
0.20885476,1.021496232
0.208845746,1.020703496
0.208836732,1.019961934
0.208827716,1.019246262
0.208818698,1.018626828
0.208809683,1.018003928
0.208800668,1.017476359
0.208791657,1.017066203
0.208782637,1.016765062
0.20877362,1.016566668
0.208764601,1.016488923
0.208755582,1.016490297
0.208746567,1.016597527
0.20873755,1.016818515
0.208728533,1.017115529
0.208719518,1.01758423
0.208710501,1.018151788
0.208701486,1.018831493
0.208692475,1.019597267
0.208683459,1.020368612
0.208674439,1.021101699
0.208665421,1.021760747
0.208656401,1.022348231
0.208647385,1.022830253
0.208638366,1.023192868
0.208629352,1.023385233
0.208620335,1.023455361
0.208611321,1.023374039
0.208602307,1.023067732
0.208593296,1.022602103
0.208584285,1.02193744
0.208575273,1.021078728
0.208566259,1.020045651
0.208557244,1.018869583
0.208548228,1.017610202
0.208539214,1.016298505
0.208530197,1.01498799
0.208521182,1.013616063
0.208512165,1.012235105
0.208503151,1.010850035
0.208494133,1.009509059
0.208485112,1.008219745
0.208476096,1.007024756
0.208467081,1.005914941
0.208458064,1.004917245
