r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,,
15.78,9.96E-10,6.44E-08,7.92E-08,2.09E-07,,,
16.22,8.42E-10,5.42E-08,5.42E-08,9.88E-08,,,
16.67,6.89E-10,4.41E-08,4.38E-08,5.39E-08,,,
17.11,5.35E-10,3.39E-08,3.46E-08,3.74E-08,,,
17.56,3.51E-10,2.25E-08,2.66E-08,2.97E-08,,,
18,2.89E-10,1.84E-08,1.98E-08,2.27E-08,,,
18.44,2.27E-10,1.42E-08,1.42E-08,1.67E-08,,,
18.89,1.65E-10,1.01E-08,9.90E-09,1.18E-08,,,
19.33,1.03E-10,5.89E-09,6.29E-09,8.09E-09,,,
19.78,1.92E-11,9.52E-10,3.50E-09,5.60E-09,,,
20.22,7.06E-12,3.47E-10,1.53E-09,3.56E-09,,,
20.67,5.54E-12,2.69E-10,3.75E-10,2.23E-09,,,
21.11,4.01E-12,1.91E-10,1.90E-10,1.11E-09,,,
21.56,2.49E-12,1.14E-10,1.51E-10,3.17E-10,,,
22,7.41E-13,2.93E-11,1.11E-10,1.90E-10,,,
