r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,,
-9.11,4.01E-04,5.90E-03,6.08E-03,6.12E-03,,,
-8.67,6.19E-04,7.45E-03,7.30E-03,7.41E-03,,,
-8.22,8.97E-04,8.59E-03,8.63E-03,8.74E-03,,,
-7.78,1.41E-03,9.87E-03,1.00E-02,1.01E-02,,,
-7.33,2.13E-03,1.13E-02,1.14E-02,1.14E-02,,,
-6.89,3.23E-03,1.28E-02,1.28E-02,1.26E-02,,,
-6.44,6.53E-03,1.43E-02,1.41E-02,1.35E-02,,,
-6.00,1.36E-02,1.57E-02,1.52E-02,1.41E-02,,,
-5.56,1.93E-02,1.65E-02,1.57E-02,1.47E-02,,,
-5.11,1.88E-02,1.65E-02,1.57E-02,1.69E-02,,,
-4.67,1.33E-02,1.56E-02,1.57E-02,2.42E-02,,,
-4.22,6.20E-03,1.43E-02,1.86E-02,3.89E-02,,,
-3.78,1.91E-02,1.57E-02,3.09E-02,6.17E-02,,,
-3.33,2.02E-01,3.11E-02,5.71E-02,9.19E-02,,,
-2.89,6.85E-01,7.78E-02,9.85E-02,1.32E-01,,,
-2.44,1.11E+00,1.47E-01,1.53E-01,1.83E-01,,,
-2.00,1.32E+00,2.21E-01,2.22E-01,2.42E-01,,,
-1.56,1.44E+00,2.88E-01,3.01E-01,3.07E-01,,,
-1.11,1.54E+00,3.79E-01,3.81E-01,3.73E-01,,,
-0.67,1.47E+00,4.73E-01,4.57E-01,4.31E-01,,,
-0.22,1.13E+00,5.43E-01,5.25E-01,4.73E-01,,,
0.22,6.37E-01,6.05E-01,5.69E-01,4.94E-01,,,
0.67,1.83E-01,6.27E-01,5.79E-01,4.93E-01,,,
1.11,3.24E-02,6.00E-01,5.52E-01,4.72E-01,,,
1.56,4.73E-02,5.23E-01,4.88E-01,4.35E-01,,,
2.00,4.36E-02,4.06E-01,4.00E-01,3.86E-01,,,
2.44,2.56E-02,2.84E-01,3.08E-01,3.25E-01,,,
2.89,1.59E-02,1.87E-01,2.24E-01,2.57E-01,,,
3.33,1.27E-02,1.41E-01,1.53E-01,1.92E-01,,,
3.78,1.03E-02,1.02E-01,1.00E-01,1.36E-01,,,
4.22,1.25E-02,5.15E-02,6.58E-02,9.20E-02,,,
4.67,1.34E-02,2.09E-02,4.05E-02,6.21E-02,,,
5.11,1.17E-02,1.39E-02,2.28E-02,4.32E-02,,,
5.56,1.04E-02,1.39E-02,1.55E-02,2.97E-02,,,
6.00,1.06E-02,1.41E-02,1.47E-02,2.08E-02,,,
6.44,1.12E-02,1.48E-02,1.58E-02,1.80E-02,,,
6.89,1.26E-02,1.68E-02,1.75E-02,1.86E-02,,,
7.33,1.34E-02,1.94E-02,1.98E-02,2.01E-02,,,
7.78,1.34E-02,2.24E-02,2.22E-02,2.15E-02,,,
8.22,1.36E-02,2.55E-02,2.43E-02,2.27E-02,,,
8.67,1.23E-02,2.70E-02,2.57E-02,2.35E-02,,,
9.11,1.07E-02,2.71E-02,2.61E-02,2.37E-02,,,
9.56,9.07E-03,2.64E-02,2.55E-02,2.31E-02,,,
10.00,7.77E-03,2.47E-02,2.38E-02,2.17E-02,,,
10.44,6.46E-03,2.21E-02,2.12E-02,1.95E-02,,,
10.89,4.73E-03,1.86E-02,1.79E-02,1.68E-02,,,
11.33,3.18E-03,1.43E-02,1.41E-02,1.39E-02,,,
11.78,2.19E-03,9.63E-03,1.02E-02,1.10E-02,,,
12.22,1.39E-03,5.60E-03,6.72E-03,8.32E-03,,,
12.67,7.49E-04,2.85E-03,3.93E-03,5.86E-03,,,
13.11,3.54E-04,1.20E-03,2.03E-03,3.80E-03,,,
13.56,1.47E-04,3.94E-04,9.20E-04,2.21E-03,,,
14.00,6.65E-05,1.18E-04,3.53E-04,1.14E-03,,,
14.44,3.28E-05,3.94E-05,1.15E-04,5.15E-04,,,
14.89,1.66E-05,1.60E-05,3.80E-05,1.99E-04,,,
15.33,1.02E-05,8.97E-06,1.57E-05,6.66E-05,,,
15.78,9.03E-06,7.73E-06,8.88E-06,2.32E-05,,,
16.22,7.86E-06,6.49E-06,6.51E-06,1.04E-05,,,
16.67,6.69E-06,5.24E-06,5.33E-06,6.22E-06,,,
17.11,5.45E-06,4.14E-06,4.28E-06,4.59E-06,,,
17.56,4.24E-06,3.07E-06,3.36E-06,3.67E-06,,,
18.00,3.49E-06,2.48E-06,2.57E-06,2.84E-06,,,
18.44,2.74E-06,1.88E-06,1.89E-06,2.13E-06,,,
18.89,1.99E-06,1.29E-06,1.32E-06,1.56E-06,,,
19.33,1.19E-06,7.45E-07,8.56E-07,1.11E-06,,,
19.78,3.94E-07,2.19E-07,5.02E-07,7.77E-07,,,
20.22,2.71E-07,1.47E-07,2.60E-07,5.03E-07,,,
20.67,2.05E-07,1.12E-07,1.20E-07,3.31E-07,,,
21.11,1.39E-07,7.80E-08,7.95E-08,1.95E-07,,,
21.56,7.73E-08,4.57E-08,6.27E-08,1.03E-07,,,
22.00,1.83E-08,1.45E-08,4.61E-08,7.95E-08,,,
