r (cm),fvSoot (ppm),fvSootMean (ppm),fvSootMean w/ 2cm filter (ppm),fvSootMean w/ 4cm filter (ppm),,
-8.22,6.13E-11,4.02E-11,5.75E-09,1.67E-07,,
-7.78,2.09E-09,1.65E-09,4.38E-08,9.97E-07,,
-7.33,2.85E-08,2.71E-08,3.01E-07,4.08E-06,,
-6.89,1.44E-07,1.90E-07,1.80E-06,1.10E-05,,
-6.44,6.15E-07,1.28E-06,7.34E-06,2.08E-05,,
-6,2.13E-06,7.47E-06,1.98E-05,3.03E-05,,
-5.56,7.12E-06,2.77E-05,3.73E-05,3.42E-05,,
-5.11,2.07E-05,6.26E-05,5.42E-05,3.70E-05,,
-4.67,4.66E-05,8.76E-05,5.98E-05,2.37E-02,,
-4.22,6.11E-05,8.56E-05,5.92E-05,1.70E-01,,
-3.78,2.84E-05,3.53E-05,4.27E-02,4.04E-01,,
-3.33,1.47E-05,2.50E-05,3.06E-01,6.45E-01,,
-2.89,2.12E-01,2.13E-01,7.26E-01,8.68E-01,,
-2.44,1.35E+00,1.32E+00,1.16E+00,1.08E+00,,
-2,2.09E+00,2.10E+00,1.56E+00,1.29E+00,,
-1.56,2.09E+00,2.17E+00,1.90E+00,1.51E+00,,
-1.11,1.95E+00,2.01E+00,2.02E+00,1.74E+00,,
-0.67,1.89E+00,1.91E+00,1.99E+00,1.96E+00,,
-0.22,1.89E+00,1.90E+00,1.97E+00,2.07E+00,,
0.22,1.98E+00,1.96E+00,2.01E+00,2.07E+00,,
0.67,2.10E+00,2.08E+00,2.09E+00,1.96E+00,,
1.11,2.23E+00,2.21E+00,2.13E+00,1.75E+00,,
1.56,2.28E+00,2.30E+00,1.97E+00,1.54E+00,,
2,1.98E+00,2.10E+00,1.58E+00,1.33E+00,,
2.44,9.18E-01,1.16E+00,1.14E+00,1.11E+00,,
2.89,7.00E-02,1.31E-01,6.78E-01,8.78E-01,,
3.33,4.27E-06,6.56E-06,2.58E-01,6.32E-01,,
3.78,5.30E-05,4.60E-05,2.62E-02,3.77E-01,,
4.22,1.16E-04,1.19E-04,7.95E-05,1.43E-01,,
4.67,1.06E-04,1.27E-04,9.14E-05,1.46E-02,,
5.11,5.89E-05,9.99E-05,8.83E-05,5.60E-05,,
5.56,2.46E-05,6.56E-05,6.63E-05,5.53E-05,,
6,8.96E-06,3.09E-05,4.13E-05,5.02E-05,,
6.44,2.62E-06,8.43E-06,2.13E-05,3.70E-05,,
6.89,6.57E-07,1.53E-06,8.22E-06,2.30E-05,,
7.33,1.36E-07,2.16E-07,2.04E-06,1.19E-05,,
7.78,1.29E-08,1.56E-08,3.52E-07,4.57E-06,,
8.22,5.51E-10,4.56E-10,4.64E-08,1.13E-06,,
8.67,2.20E-11,1.33E-11,3.21E-09,1.96E-07,,
9.11,7.20E-13,3.24E-13,9.40E-11,2.58E-08,,
9.56,2.32E-14,8.98E-15,2.73E-12,1.78E-09,,
10,8.49E-16,2.86E-16,6.67E-14,5.22E-11,,
10.44,1.57E-17,4.68E-18,1.85E-15,1.52E-12,,
10.89,7.21E-19,1.98E-19,5.82E-17,3.70E-14,,
11.33,2.15E-20,5.47E-21,9.77E-19,1.03E-15,,
11.78,3.87E-22,9.02E-23,4.06E-20,3.24E-17,,
12.22,1.47E-23,3.16E-24,1.11E-21,5.43E-19,,
12.67,4.72E-25,9.44E-26,1.87E-23,2.26E-20,,
13.11,1.17E-26,2.20E-27,6.52E-25,6.18E-22,,
13.56,1.38E-28,2.40E-29,1.93E-26,1.04E-23,,
14,3.62E-30,5.92E-31,4.46E-28,3.62E-25,,
14.44,1.05E-31,1.62E-32,4.92E-30,1.07E-26,,
14.89,2.87E-33,4.19E-34,1.22E-31,2.48E-28,,
15.33,1.20E-34,1.68E-35,3.34E-33,2.73E-30,,
15.78,9.26E-35,1.28E-35,9.26E-35,6.76E-32,,
16.22,6.49E-35,8.90E-36,9.34E-36,1.85E-33,,
16.67,4.08E-35,5.55E-36,6.00E-36,5.18E-35,,
17.11,1.98E-35,2.69E-36,3.44E-36,5.20E-36,,
17.56,1.64E-37,2.16E-38,1.66E-36,3.34E-36,,
18,1.27E-37,1.67E-38,5.50E-37,1.91E-36,,
18.44,9.07E-38,1.18E-38,1.23E-38,9.22E-37,,
18.89,5.77E-38,7.44E-39,8.03E-39,3.06E-37,,
19.33,3.00E-38,3.87E-39,4.69E-39,6.87E-39,,
19.78,2.30E-39,2.96E-40,2.33E-39,4.47E-39,,
20.22,1.33E-40,1.67E-41,8.40E-40,2.61E-39,,
20.67,9.64E-41,1.20E-41,6.73E-41,1.46E-39,,
21.11,6.18E-41,7.58E-42,8.23E-42,6.01E-40,,
21.56,3.41E-41,4.18E-42,6.12E-42,5.62E-41,,
22,6.28E-42,7.70E-43,4.18E-42,8.23E-42,,
