cm,K,K,K,K,K,K,K,K,K,K
34,422.9580877,479.0346253,462.6443578,418.2697906,390.0619452,261.2009549,320.2358233,283.9695284,192.7764509,124.8761952
35,407.8188371,467.5604188,457.7013665,412.5295507,386.1750133,245.4485818,310.8980979,281.1696642,187.6949828,122.2733232
36,391.7975386,455.0604049,452.038419,406.5348497,382.2562713,227.2305544,300.4161202,276.7139828,181.3340538,119.4726855
37,376.0058837,442.3214966,445.9528543,400.606676,377.9597584,208.0052776,289.9551786,270.2188638,174.8222849,114.8735693
38,362.3485637,429.341115,439.7668774,394.7513144,373.6617675,190.7167436,277.9834665,263.0609884,169.2789619,110.0924932
39,351.0024713,416.0331222,433.2185502,388.8211868,369.3528253,176.3610486,263.7693817,255.8424912,163.0139623,105.1718612
40,340.627544,402.504124,426.3893133,382.8805144,365.033738,160.0824957,248.3920584,248.3466111,156.1718313,100.1501378
41,330.3087984,388.3549653,419.312963,377.3799503,360.6270941,138.6846305,231.9154234,240.8579374,151.1196643,96.13566974
42,321.4719737,374.3219754,411.5870883,372.4791699,356.2658261,118.8393675,214.3908169,233.0352555,145.4150832,92.06646687
43,314.8680486,361.4048687,402.912806,367.8163331,352.1771654,104.9183634,196.1507256,224.7419362,137.3086042,88.56340014
44,309.3465187,350.6105604,393.5983715,363.1211171,348.139402,91.85044566,179.116966,216.0223857,128.7406882,84.94027631
45,304.3436752,342.5265988,384.1343927,357.9138887,344.443313,75.30059128,165.1993223,207.3741285,119.9058392,81.32632591
46,300.3134803,336.1091205,375.3323751,352.5723342,340.8432158,56.80153271,152.7206821,200.0608106,111.7181338,77.58224229
47,297.3881456,330.3026405,367.5873411,347.9287667,337.7237146,38.16983495,140.5022778,193.8701722,106.108854,73.84875108
48,295.3535897,324.7774144,360.7511993,344.2290304,334.6796277,21.49733292,128.1456355,187.8019856,102.8917374,70.060837
49,294.0923159,319.6575683,354.2695437,341.2050974,332.0461062,9.434800219,115.489098,180.8631088,100.5947942,66.88529445
50,293.5410526,314.8875778,348.0518657,338.3837783,329.5315987,2.783881183,102.3564786,173.0520425,97.98482388,63.80404938
51,293.3813236,310.325017,342.5032182,335.5500315,327.5235917,0.587635831,88.69253006,165.9393245,94.75369147,61.68691438
52,293.3340846,306.5756531,337.7205345,332.4853561,325.5967665,0.11870409,76.2687216,159.626483,90.45662528,59.70918709
53,293.310623,303.8727755,333.0973236,328.976717,323.9962909,0.077147669,66.33456124,151.7181247,85.10687212,58.54897027
54,293.2917283,301.9072078,328.0491262,325.4800835,322.4704011,0.070202137,58.22959924,140.9666545,79.99322914,57.53718689
55,293.2746806,300.4542695,323.0315446,322.2949128,321.1591093,0.066142647,51.16026957,129.0732428,75.45267611,57.00790773
56,293.2586587,299.3431321,318.6317368,319.3401326,319.8438428,0.062426853,44.46947265,118.4203337,71.27529132,56.42660815
57,293.2435794,298.284894,314.9106549,316.6519962,318.5177535,0.058829186,36.80505592,109.6295662,67.47415733,55.70956824
58,293.2295298,297.211829,311.8937363,314.3295993,317.2080449,0.055406586,28.38034996,103.4331849,63.89832225,54.84089468
59,293.2163987,296.3575629,309.642801,312.1670753,315.9322694,0.052176411,22.24410659,100.0831881,60.13617409,53.65744524
60,293.2039602,295.7116453,308.1431276,309.8892968,314.6815439,0.049100282,18.81964098,98.47188046,55.40923009,52.3231123
