cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
113.4146341,471.003339,3.037558018,139.1458749,1.084004476,0.190535657,0.010820929,9.00E-06,0.014427905,0.78420651
115.2439024,465.907266,3.017255589,133.5211606,1.077417956,0.191131555,0.010491422,7.02E-06,0.013988562,0.784381446
117.0731707,461.5595866,3.002985961,128.8346007,1.068793469,0.191631754,0.010214622,5.65E-06,0.013619496,0.784528476
118.902439,457.6008108,2.993333082,124.6925432,1.057802067,0.192083825,0.00996446,4.60E-06,0.013285946,0.784661166
120.7317073,453.6894803,2.983666108,120.6443414,1.046310082,0.192528644,0.009718287,3.69E-06,0.012957716,0.78479166
122.5609756,449.6793304,2.97172544,116.2273288,1.03483723,0.192985553,0.0094654,2.89E-06,0.012620533,0.784925619
124.3902439,445.556852,2.957087704,111.5236577,1.023283965,0.193454689,0.009205722,2.24E-06,0.012274296,0.785063054
126.2195122,441.4829257,2.940463716,107.0508509,1.011113263,0.193915281,0.008950761,1.73E-06,0.011934348,0.785197883
128.0487805,437.5645589,2.922949529,103.0735936,0.99847455,0.194355755,0.008706929,1.33E-06,0.011609239,0.785326746
129.8780488,433.864649,2.904609043,99.54118944,0.986716595,0.194770784,0.008477186,1.04E-06,0.011302914,0.785448074
131.7073171,430.4509236,2.885587594,96.58595182,0.977529571,0.195152371,0.008265934,8.36E-07,0.011021245,0.785559614
133.5365854,427.3388699,2.869566234,94.03478096,0.966874811,0.195499144,0.008073954,6.94E-07,0.010765272,0.785660937
135.3658537,424.3511521,2.855963798,91.37828058,0.954446828,0.195832978,0.007889121,5.92E-07,0.010518828,0.78575848
137.195122,421.434498,2.841983974,88.8100929,0.942221313,0.196158685,0.00770877,5.14E-07,0.01027836,0.78585367
139.0243902,418.5371145,2.827295223,86.47022128,0.930344608,0.196480982,0.007530315,4.52E-07,0.01004042,0.785947832
140.8536585,415.7785928,2.811789595,84.34372636,0.919507971,0.196786687,0.007361045,3.98E-07,0.009814727,0.786037144
142.6829268,413.2802543,2.79709376,82.39518548,0.90979639,0.197062775,0.007208198,3.43E-07,0.009610931,0.786117753
144.5121951,410.9482383,2.784798941,80.53124749,0.90008843,0.197319926,0.007065839,2.87E-07,0.009421119,0.786192828
146.3414634,408.7120209,2.775395845,78.61606835,0.889199111,0.197566738,0.006929157,2.35E-07,0.009238876,0.786264994
148.1707317,406.5764595,2.767632616,76.4899056,0.877687346,0.197803419,0.006798097,1.87E-07,0.00906413,0.786334167
150,404.482479,2.75924413,74.16299845,0.865558997,0.198036304,0.006669142,1.45E-07,0.008892189,0.78640222
151.8292683,402.4122541,2.748558004,71.7708025,0.854926692,0.198266963,0.006541416,1.11E-07,0.008721887,0.786469623
153.6585366,400.3371586,2.73576358,69.39775854,0.846110144,0.198498426,0.006413245,8.46E-08,0.008550994,0.78653725
155.4878049,398.2593624,2.721169634,67.16765057,0.840176006,0.198729881,0.006285072,6.40E-08,0.008380097,0.786604886
157.3170732,396.1380512,2.70644091,65.07612141,0.834527025,0.198965803,0.006154425,4.81E-08,0.008205899,0.786673825
159.1463415,394.031293,2.693089242,63.06578079,0.827121379,0.199200113,0.006024668,3.64E-08,0.00803289,0.786742293
160.9756098,392.0317707,2.680170499,61.13328208,0.819830807,0.1994226,0.005901459,2.78E-08,0.007868612,0.786807301
162.804878,390.189073,2.668024609,59.30225404,0.812529014,0.199627201,0.005788161,2.14E-08,0.007717548,0.786867069
164.6341463,388.5225412,2.657913896,57.54249651,0.804621403,0.199811756,0.005685966,1.66E-08,0.007581289,0.786920972
166.4634146,386.9648346,2.64902058,55.82006043,0.798029374,0.199983972,0.005590602,1.28E-08,0.007454136,0.786971278
168.2926829,385.431471,2.641165489,54.18598944,0.792338713,0.200153223,0.005496878,9.85E-09,0.00732917,0.787020719
170.1219512,383.8646546,2.632482218,52.67095699,0.787634472,0.200325663,0.005401377,7.54E-09,0.007201835,0.787071118
171.9512195,382.2925487,2.621862295,51.23436641,0.785075781,0.200498313,0.00530576,5.78E-09,0.007074346,0.787121575
173.7804878,380.7674828,2.611696568,49.90976981,0.783162676,0.20066554,0.005213146,4.49E-09,0.006950862,0.787170448
175.6097561,379.3465352,2.603680484,48.76039744,0.780833882,0.200821021,0.005127041,3.51E-09,0.006836054,0.78721588
177.4390244,377.9929524,2.597292663,47.7829186,0.779448835,0.200968927,0.005045144,2.77E-09,0.006726859,0.787259067
179.2682927,376.7160473,2.593330197,46.8756677,0.777313392,0.201108162,0.004968002,2.20E-09,0.006624003,0.78729983
181.097561,375.4656124,2.590395984,45.96889481,0.775061773,0.201244606,0.004892433,1.73E-09,0.006523245,0.787339714
182.9268293,374.1860892,2.586138235,45.03345706,0.773203743,0.201384303,0.004815067,1.34E-09,0.006420089,0.78738054
184.7560976,372.8731245,2.579300816,44.06298039,0.771505902,0.201527663,0.004735671,1.02E-09,0.006314228,0.787422436
186.5853659,371.5852291,2.570366375,43.07887297,0.769554039,0.201668213,0.00465783,7.78E-10,0.00621044,0.787463517
188.4146341,370.3637443,2.560846242,42.16118464,0.766795647,0.201801328,0.004584102,5.90E-10,0.006112136,0.787502433
190.2439024,369.1703198,2.550185246,41.32991421,0.765159446,0.201931288,0.004512124,4.49E-10,0.006016166,0.787540421
