cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
90,525.6723464,3.112078033,212.0785042,1.079224032,0.181411563,0.014562859,0.000213365,0.021844288,0.781967925
91,522.3000245,3.107210717,208.5560139,1.076885847,0.181860205,0.014336838,0.00019359,0.021505258,0.782104109
92,519.0321027,3.103191935,205.0500961,1.073763879,0.18229594,0.014117212,0.000175312,0.021175819,0.782235717
93,515.8636456,3.099969263,201.5319216,1.070127087,0.182716482,0.013905141,0.000158614,0.020857712,0.782362051
94,512.7611255,3.096711527,197.9226584,1.065910732,0.183127908,0.013697663,0.000143051,0.020546495,0.782484882
95,509.7069777,3.094170981,194.2793714,1.06187844,0.183535206,0.013492155,0.00012855,0.020238233,0.782605856
96,506.7182425,3.091427322,190.701425,1.057897633,0.183933578,0.013290988,0.000115045,0.019936482,0.782723908
97,503.7687932,3.088497904,187.1177328,1.054177617,0.184326514,0.013092502,0.000102441,0.019638753,0.78283979
98,500.8651178,3.085539958,183.5107662,1.050295733,0.184712975,0.012897224,9.09E-05,0.019345836,0.782953101
99,498.0233591,3.082228755,179.8943987,1.046583056,0.185090824,0.01270623,8.01E-05,0.019059345,0.783063457
100,495.2290484,3.078593218,176.292476,1.042808355,0.185461225,0.012518914,7.04E-05,0.018778372,0.783171107
101,492.4346226,3.074922602,172.7120899,1.038072577,0.185829754,0.012332441,6.17E-05,0.018498661,0.783277466
102,489.6270815,3.070634616,169.1627169,1.033631965,0.186198119,0.012145933,5.40E-05,0.0182189,0.783383038
103,486.8162703,3.065741431,165.6983976,1.029269273,0.186564897,0.011960111,4.74E-05,0.017940166,0.783487433
104,484.0146579,3.060136142,162.3268976,1.025690936,0.186928837,0.011775643,4.16E-05,0.017663465,0.783590443
105,481.2462867,3.053992814,159.0836477,1.022416341,0.187286855,0.011594115,3.65E-05,0.017391172,0.783691388
106,478.5190263,3.047456086,155.9621419,1.020087124,0.187638154,0.011415939,3.18E-05,0.017123908,0.783790152
107,475.8575346,3.041073923,152.9506452,1.017901353,0.187979983,0.011242525,2.77E-05,0.016863788,0.783886046
108,473.2751424,3.035175384,150.0923408,1.015736739,0.188310316,0.011074914,2.39E-05,0.01661237,0.783978506
109,470.759876,3.029272792,147.3184185,1.013769313,0.188631312,0.010912001,2.05E-05,0.016368001,0.784068225
110,468.3042464,3.023733661,144.5536774,1.01090042,0.188944314,0.010753122,1.73E-05,0.016129683,0.784155555
111,465.9018433,3.017392935,141.8059247,1.008806173,0.189249851,0.010597994,1.46E-05,0.015896991,0.784240556
112,463.5237829,3.011111921,139.0432647,1.005583483,0.189551644,0.010444727,1.23E-05,0.01566709,0.784324202
113,461.1236263,3.004527831,136.2857971,1.00212584,0.189855193,0.010290523,1.05E-05,0.015435784,0.784408021
114,458.7372934,2.996900483,133.627706,0.998679883,0.190155718,0.010137822,8.99E-06,0.015206733,0.784490737
115,456.3867006,2.989092323,131.0874342,0.99422356,0.19045056,0.009987976,7.81E-06,0.014981964,0.784571695
116,454.0830563,2.979900391,128.6207029,0.990958791,0.190738705,0.009841516,6.84E-06,0.014762274,0.784650665
117,451.8097648,2.970057814,126.1701432,0.987629447,0.191022732,0.009697125,6.01E-06,0.014545688,0.784728444
118,449.5703563,2.959030721,123.7334859,0.985580199,0.191303366,0.009554498,5.27E-06,0.014331747,0.784805115
119,447.3935179,2.948240263,121.298409,0.982614294,0.191575293,0.009416276,4.63E-06,0.014124414,0.784879384
120,445.2869923,2.93749269,118.8933898,0.979007304,0.191837457,0.00928297,4.07E-06,0.013924455,0.784951043
121,443.2673506,2.927266496,116.6089623,0.975184073,0.192089423,0.009154865,3.59E-06,0.013732297,0.785019824
122,441.3341025,2.917703416,114.4486222,0.971252178,0.192330063,0.009032491,3.18E-06,0.013548737,0.785085533
123,439.4831143,2.908862625,112.3808227,0.967575835,0.192559971,0.008915576,2.81E-06,0.013373364,0.785148283
124,437.6932427,2.900638993,110.3730586,0.963495364,0.19278206,0.008802633,2.47E-06,0.01320395,0.785208887
125,435.9272931,2.892712154,108.3626656,0.960185568,0.193001286,0.00869114,2.15E-06,0.01303671,0.785268712
126,434.1621071,2.885259048,106.347614,0.957222601,0.193220602,0.008579597,1.84E-06,0.012869396,0.78532856
127,432.4151182,2.878223229,104.3513035,0.954598357,0.193437671,0.008469197,1.56E-06,0.012703795,0.785387781
128,430.6805466,2.87161332,102.336477,0.951973112,0.193653403,0.008359477,1.29E-06,0.012539215,0.785446611
129,428.9755645,2.86513194,100.3283981,0.949600348,0.193865529,0.00825159,1.06E-06,0.012377385,0.785504436
130,427.2897384,2.858818887,98.32375978,0.946415208,0.194075189,0.008144947,8.60E-07,0.012217421,0.785561582
