z(cm),Xbar_CH3OH,Xbar_CO2,Xbar_H2O,Xbar_O2
18.0834,0.09043929,0.05858151,0.11723604,0.08469558
18.5,0.08689326,0.05793786,0.11594788,0.0866098
18.9167,0.08347117,0.05728668,0.11464461,0.08851154
19.3333,0.08017057,0.05662754,0.11332565,0.09040177
19.75,0.07698665,0.05595925,0.11198814,0.09228497
20.1667,0.07391539,0.05528036,0.11062963,0.09416317
20.5834,0.07094684,0.05459124,0.10925041,0.09603904
21.0,0.06808347,0.05389129,0.10784953,0.09791271
21.4167,0.06532495,0.05317965,0.10642552,0.09978608
21.8334,0.06267156,0.05245756,0.10498033,0.10165562
22.2501,0.06012122,0.05172403,0.10351246,0.10352412
22.6667,0.05767511,0.05098181,0.102027,0.10538713
23.0833,0.0553314,0.05023106,0.10052461,0.10724379
23.5,0.05308451,0.04947373,0.09900905,0.10909228
23.9166,0.05092888,0.04871541,0.09749152,0.11092345
24.3333,0.04885518,0.04795572,0.0959711,0.11273993
24.75,0.04686603,0.04719555,0.0944498,0.11454089
25.1667,0.04495408,0.04643829,0.09293445,0.11631896
25.5834,0.04311665,0.04568783,0.09143248,0.11806865
26.0,0.04135978,0.04494645,0.08994888,0.11978551
26.4167,0.03967722,0.04421273,0.08848048,0.1214722
26.8334,0.03806424,0.04348701,0.08702814,0.12313044
27.2501,0.03651826,0.04276844,0.08559011,0.12476114
27.6667,0.03503061,0.04205647,0.08416536,0.12636687
28.0834,0.03359596,0.04135038,0.08275229,0.12795209
28.5,0.03221805,0.04065023,0.08135106,0.12951416
28.9166,0.03089162,0.03995683,0.07996333,0.13105297
29.3333,0.02961162,0.03927377,0.07859638,0.13256292
29.75,0.02837615,0.03860476,0.07725768,0.13403845
30.1666,0.02718388,0.03795095,0.07594925,0.13547678
30.5833,0.02603748,0.03731542,0.07467724,0.13687333
31.0,0.02493788,0.03669678,0.0734393,0.13822812
31.4167,0.02388858,0.0360955,0.07223583,0.13954212
31.8333,0.02288605,0.03550901,0.07106226,0.14081889
32.25,0.02192495,0.03493942,0.06992232,0.14205647
32.6667,0.02101097,0.03438867,0.0688203,0.14325035
33.0834,0.02014034,0.03385447,0.06775102,0.14440506
33.5,0.01930787,0.03333864,0.0667187,0.14551948
33.9166,0.01851343,0.03283698,0.06571474,0.14659916
34.3333,0.0177525,0.0323466,0.06473349,0.14765222
34.75,0.0170243,0.03186807,0.06377573,0.14867592
35.1667,0.01632893,0.03139955,0.0628382,0.14967572
35.5833,0.01566176,0.03094006,0.06191867,0.15065247
36.0,0.01502449,0.03049172,0.0610214,0.15160341
36.4167,0.0144134,0.03005107,0.06013946,0.152534
36.8334,0.01382422,0.02961514,0.0592672,0.15345238
37.25,0.01325813,0.02918284,0.05840195,0.15435773
37.6667,0.0127113,0.0287527,0.05754119,0.15525635
38.0834,0.01218203,0.02832605,0.05668742,0.15614544
38.5,0.01166951,0.02790327,0.05584124,0.15702225
38.9167,0.0111742,0.02748622,0.05500676,0.1578858
39.3333,0.01069831,0.02707756,0.05418884,0.15872881
39.7499,0.01023775,0.02667811,0.05338938,0.15955205
40.1666,0.0097951,0.0262891,0.0526109,0.16035279
40.5833,0.00937003,0.0259079,0.05184808,0.16113565
41.0,0.0089597,0.02553342,0.0510987,0.16190333
41.4166,0.00856741,0.02516772,0.05036687,0.16265035
41.8333,0.0081908,0.02481036,0.04965166,0.16337942
42.25,0.00783032,0.02446211,0.04895463,0.16408868
42.6667,0.00748583,0.02412238,0.04827486,0.16477812
43.0833,0.00715565,0.0237912,0.04761203,0.16544863
43.5,0.00683832,0.02346584,0.04696095,0.1661057
43.9167,0.00653272,0.02314593,0.04632066,0.16674933
44.3333,0.00624018,0.02282869,0.04568583,0.16738508
44.75,0.00595912,0.02251368,0.04505534,0.16801385
45.1667,0.00569118,0.02220167,0.04443095,0.16863473
45.5834,0.00543605,0.02189092,0.04380918,0.16925052
46.0,0.00519236,0.0215855,0.04319776,0.16985467
46.4167,0.00496002,0.02128469,0.04259589,0.17044809
46.8334,0.00473821,0.02098636,0.04199885,0.17103542
47.2501,0.0045277,0.02069511,0.04141596,0.17160921
47.6667,0.00432748,0.02041189,0.0408491,0.17216574
48.0833,0.00413477,0.02013438,0.04029384,0.1727105
48.5,0.00395119,0.01986369,0.0397521,0.17324166
48.9166,0.00377594,0.01959956,0.03922356,0.17375828
49.3333,0.00360826,0.01934224,0.03870854,0.17426125
49.75,0.00344779,0.01909162,0.03820704,0.17475055
50.1667,0.00329398,0.01884678,0.03771702,0.17522804
50.5834,0.00314659,0.01860928,0.03724164,0.17569089
51.0,0.00300464,0.01837777,0.03677837,0.17614187
51.4167,0.00286856,0.01815108,0.03632485,0.17658192
51.8334,0.00273735,0.01792818,0.0358787,0.17701382
52.2501,0.00261143,0.0177081,0.03543836,0.1774394
52.6667,0.00249104,0.01749001,0.03500177,0.17785964
53.0834,0.00237578,0.01727293,0.03456735,0.17827729
53.5,0.00226544,0.01705835,0.03413794,0.17868862
53.9166,0.00216051,0.01684698,0.03371497,0.1790918
54.3333,0.00206153,0.01664083,0.0333024,0.17948496
54.75,0.00196818,0.01643868,0.03289786,0.17986994
55.1666,0.0018806,0.01624091,0.03250216,0.18024582
55.5833,0.00179775,0.01604629,0.03211274,0.18061444
56.0,0.00171965,0.01585341,0.03172661,0.18097952
56.4167,0.00164605,0.01566271,0.03134489,0.18134103
56.8333,0.00157599,0.0154727,0.0309647,0.18169898
57.25,0.00151003,0.01528404,0.03058701,0.1820543
57.6667,0.00144731,0.01509821,0.0302153,0.18240414
58.0834,0.00138712,0.01491683,0.02985226,0.18274571
58.5,0.00133011,0.01474074,0.0294998,0.18307624
58.9166,0.00127547,0.01456794,0.02915411,0.18340125
59.3333,0.00122346,0.01440232,0.02882265,0.1837124
59.75,0.00117226,0.01423324,0.02848418,0.18402921
60.1667,0.00111156,0.01398295,0.02798334,0.18449333
61.0,0.00103086,0.01360993,0.02723676,0.18518115
61.8334,0.00095659,0.01326576,0.02654804,0.18581699
62.6667,0.00088967,0.01294669,0.02590961,0.18640556
63.5,0.00082851,0.0126482,0.02531215,0.18695704
64.3333,0.00077258,0.01237094,0.02475742,0.18746859
65.1666,0.0007209,0.01211473,0.02424464,0.18794204
66.0,0.0006728,0.01187719,0.0237691,0.188382
66.8333,0.00062802,0.01165468,0.0233238,0.18879315
67.6667,0.00058597,0.01144415,0.02290257,0.18918199
68.5,0.00054634,0.01124159,0.02249717,0.18955692
69.3333,0.00050856,0.01104068,0.02209504,0.18992822
70.167,0.00047233,0.01083891,0.02169128,0.19030057
71.0,0.00043767,0.01063808,0.02128936,0.19067022
71.833,0.000405,0.0104406,0.02089422,0.19103435
72.667,0.00037482,0.01024817,0.02050904,0.19138832
73.5,0.00034703,0.01005962,0.02013176,0.19173492
74.333,0.00032144,0.00987514,0.01976254,0.19207322
75.167,0.00029798,0.00969512,0.01940234,0.19240319
76.0,0.00027664,0.00952016,0.01905226,0.19272297
76.834,0.00025727,0.00935123,0.01871408,0.19303255
77.667,0.00023961,0.00918625,0.01838397,0.19333378
78.5,0.00022367,0.00902326,0.01805765,0.19363137
79.333,0.00020949,0.00886215,0.01773526,0.19392528
80.167,0.00019705,0.00870362,0.01741809,0.19421366
81.0,0.00018619,0.00854957,0.0171098,0.19449462
81.834,0.00017645,0.00840162,0.01681372,0.19476346
82.667,0.00016733,0.00826075,0.01653195,0.19502014
83.5,0.00015821,0.00812626,0.01626272,0.19526468
84.333,0.00014863,0.00799748,0.01600493,0.19549983
85.166,0.00013832,0.00787213,0.01575405,0.19572843
86.0,0.00012743,0.00774867,0.01550703,0.19595419
86.833,0.00011645,0.00762539,0.01526035,0.19617905
87.667,0.00010616,0.00750392,0.01501727,0.19640021
88.5,9.685e-05,0.00737723,0.0147637,0.1966308
89.333,8.805e-05,0.00721989,0.01444877,0.19691681
91.0,7.664e-05,0.00696964,0.01394795,0.19737176
92.667,6.77e-05,0.00675286,0.01351411,0.19776583
94.333,6.008e-05,0.00656298,0.01313416,0.19811116
96.0,5.338e-05,0.00639517,0.01279831,0.1984162
97.667,4.744e-05,0.00624405,0.01249589,0.1986903
99.333,4.209e-05,0.00610358,0.01221475,0.19894474
101.0,3.725e-05,0.00596831,0.01194406,0.19919074
102.667,3.289e-05,0.0058354,0.01167806,0.19943209
104.333,2.896e-05,0.00570415,0.0114154,0.19966972
106.0,2.543e-05,0.00557464,0.01115623,0.19990457
107.667,2.232e-05,0.0054489,0.01090459,0.20013287
109.333,1.962e-05,0.0053285,0.01066365,0.20035088
111.0,1.728e-05,0.00521322,0.01043292,0.20056044
112.667,1.524e-05,0.0051038,0.01021396,0.20075875
114.333,1.346e-05,0.00500264,0.0100115,0.20094298
116.0,1.192e-05,0.0049107,0.00982752,0.20110937
117.667,1.059e-05,0.00482586,0.00965773,0.20126355
119.333,9.42e-06,0.00474496,0.00949583,0.20141022
121.0,8.4e-06,0.00466437,0.00933455,0.20155597
122.667,7.48e-06,0.00458285,0.00917141,0.20170362
124.333,6.67e-06,0.00450335,0.00901231,0.20184751
126.0,5.97e-06,0.00442857,0.00886266,0.20198295
127.667,5.34e-06,0.00435701,0.00871943,0.20211275
129.333,4.78e-06,0.00428561,0.00857655,0.20224256
131.0,4.27e-06,0.00421467,0.00843458,0.2023705
132.667,3.81e-06,0.0041464,0.00829797,0.20249468
134.333,3.4e-06,0.00408221,0.0081695,0.20261041
136.0,3.04e-06,0.00402071,0.00804643,0.20272237
137.667,2.71e-06,0.00395885,0.00792262,0.20283435
139.333,2.41e-06,0.00389601,0.00779687,0.20294821
141.0,2.14e-06,0.00383155,0.00766788,0.2030649
142.667,1.9e-06,0.0037644,0.0075335,0.20318631
144.333,1.69e-06,0.00369447,0.00739353,0.20331243
146.0,1.5e-06,0.00362411,0.00725273,0.20344043
147.667,1.34e-06,0.0035569,0.00711822,0.20356187
149.333,1.21e-06,0.0034847,0.00697374,0.20369271
151.0,1.16e-06,0.00344474,0.00689377,0.2037652
