z(cm),T_mean(K),T_rms(K),uz_mean(m/s),uz_rms(m/s),uz'T'(K-m/s),uz'ur'(m/s)^2
94.333,412.456,103.34408546,2.37293,0.79989062,82.66396434,0.53748382
96.0,409.514,99.26736624,2.36727,0.79376571,78.79503129,0.53459522
97.667,406.655,95.54726579,2.36168,0.78596374,75.09668633,0.53199889
99.333,403.839,92.23556798,2.35538,0.77789652,71.7497276,0.52857767
101.0,401.107,89.34606874,2.34886,0.77064713,68.85429151,0.52367333
102.667,398.56,86.85395788,2.34281,0.7643337,66.38540671,0.51859735
104.333,396.184,84.52680048,2.33695,0.75898748,64.15478358,0.51509378
106.0,393.923,82.12648781,2.33103,0.75418433,61.93850999,0.51267019
107.667,391.794,79.63780509,2.3259,0.74880037,59.63281823,0.50935139
109.333,389.785,77.11809126,2.32139,0.74249781,57.26001399,0.50456646
111.0,387.798,74.59886058,2.31544,0.73656907,54.94721362,0.49970975
112.667,385.773,72.1071425,2.30708,0.73247253,52.81650075,0.49614384
114.333,383.755,69.71578014,2.29807,0.72952656,50.85951318,0.49352856
116.0,381.831,67.52429193,2.2908,0.72601791,49.02384504,0.49061582
117.667,380.033,65.54288672,2.28593,0.72168899,47.3015798,0.48678948
119.333,378.336,63.73476288,2.28234,0.71754721,45.73270135,0.48298972
121.0,376.739,62.06391866,2.2786,0.71433536,44.3344514,0.48082902
122.667,375.232,60.45717493,2.27396,0.71171132,43.02805564,0.48045623
124.333,373.782,58.84810957,2.26835,0.70878135,41.71044246,0.48029701
126.0,372.387,57.23748772,2.26213,0.70498794,40.35173874,0.47869047
127.667,371.077,55.68366008,2.25571,0.70076886,39.02137519,0.47536881
129.333,369.867,54.23633468,2.24897,0.69698565,37.80194713,0.47129995
131.0,368.729,52.8752305,2.24176,0.69375428,36.68241742,0.46746183
132.667,367.627,51.57208547,2.23322,0.69133422,35.65354734,0.46495289
134.333,366.533,50.33100436,2.22276,0.69053168,34.75515296,0.46448499
136.0,365.437,49.17397686,2.21072,0.69087626,33.97313298,0.46529397
137.667,364.381,48.12421428,2.19839,0.69102243,33.25491154,0.46657848
139.333,363.394,47.16820963,2.18534,0.68966876,32.5304407,0.46649844
141.0,362.453,46.2640249,2.17191,0.68735799,31.79994695,0.46502768
142.667,361.521,45.38259578,2.1572,0.68324081,31.00724135,0.46070734
144.333,360.572,44.50988654,2.1431,0.68088545,30.30613426,0.45875249
146.0,359.589,43.61994956,2.12697,0.67505407,29.44582457,0.45132947
147.667,358.565,42.761782,2.11077,0.67933718,29.04966827,0.46501362
149.333,357.387,41.46818057,2.08886,0.66947069,27.76173131,0.441621
151.0,356.729,40.55625722,2.0727,0.64823067,26.28980975,0.39471593
