z(cm),Xbar_CH3OH,Xbar_CO2,Xbar_H2O,Xbar_O2
18.0834,0.0761607,0.05627383,0.11261774,0.09187999
18.5,0.07309615,0.05551262,0.11109441,0.09390582
18.9167,0.07015854,0.05474792,0.10956389,0.09591166
19.3333,0.06733746,0.05398091,0.10802895,0.09789834
19.75,0.06463417,0.05321706,0.1065005,0.09985414
20.1667,0.06203931,0.05246231,0.10499,0.10177083
20.5834,0.05954325,0.05171583,0.10349607,0.10365191
21.0,0.05713977,0.05097803,0.1020194,0.10549914
21.4167,0.0548195,0.05024495,0.10055239,0.10731968
21.8334,0.05258916,0.04951407,0.0990898,0.10911643
22.2501,0.05043948,0.04878655,0.09763386,0.11089108
22.6667,0.04836655,0.04805974,0.09617937,0.11264907
23.0833,0.04637113,0.04733242,0.09472378,0.11439046
23.5,0.04445303,0.0466087,0.09327546,0.11610891
23.9166,0.04261164,0.04588691,0.09183096,0.11780807
24.3333,0.04084465,0.04516969,0.09039551,0.11948339
24.75,0.03914837,0.04445771,0.08897075,0.12113388
25.1667,0.03751721,0.04375424,0.08756298,0.12275582
25.5834,0.03595326,0.0430631,0.08617982,0.12434102
26.0,0.03445177,0.04238599,0.08482467,0.12588848
26.4167,0.03300892,0.0417288,0.08350945,0.12738621
26.8334,0.03162306,0.0410904,0.08223185,0.12883873
27.2501,0.03028948,0.04046981,0.08098997,0.13024776
27.6667,0.02900495,0.03986193,0.07977349,0.13162238
28.0834,0.02777351,0.03926794,0.07858483,0.13296174
28.5,0.02659529,0.03869318,0.07743442,0.13425485
28.9166,0.02546782,0.03813536,0.07631819,0.13550528
29.3333,0.02439198,0.03758945,0.07522574,0.13672405
29.75,0.02336585,0.03705214,0.07415049,0.13791754
30.1666,0.02238153,0.03651948,0.07308442,0.13909384
30.5833,0.02144155,0.0359888,0.07202253,0.14025669
31.0,0.02054395,0.0354585,0.07096107,0.14141066
31.4167,0.0196833,0.03492662,0.06989668,0.14255929
31.8333,0.01886031,0.03439399,0.06883077,0.1437008
32.25,0.01807419,0.03386138,0.06776504,0.14483606
32.6667,0.0173233,0.0333317,0.06670493,0.14595774
33.0834,0.01660647,0.03280727,0.06565544,0.14706301
33.5,0.01592245,0.03229139,0.06462298,0.14814632
33.9166,0.01527025,0.03178522,0.06361003,0.14920489
34.3333,0.0146455,0.03129241,0.06262379,0.15023306
34.75,0.01404757,0.03081289,0.06166426,0.15123079
35.1667,0.01347776,0.03034399,0.06072568,0.15220457
35.5833,0.01293071,0.02988569,0.05980849,0.15315331
36.0,0.01240823,0.0294364,0.05890943,0.15408074
36.4167,0.01190614,0.02899438,0.05802487,0.15499136
36.8334,0.0114214,0.02856097,0.05715761,0.15588232
37.25,0.01095472,0.02813979,0.0563146,0.15674808
37.6667,0.0105038,0.02772883,0.05549204,0.15759226
38.0834,0.01007068,0.02733099,0.05469594,0.15840751
38.5,0.00965332,0.02694865,0.05393084,0.15919099
38.9167,0.00925136,0.02658203,0.05319709,0.15994357
39.3333,0.00886669,0.02623165,0.05249598,0.16066345
39.7499,0.0084998,0.025895,0.05182217,0.16135432
40.1666,0.0081498,0.02557436,0.05118056,0.16201336
40.5833,0.00781461,0.02526675,0.05056486,0.16264514
41.0,0.00749481,0.02496987,0.04997068,0.16325336
41.4166,0.00718804,0.02468302,0.04939676,0.16384072
41.8333,0.00689132,0.0244002,0.04883081,0.16441735
42.25,0.00660684,0.02412123,0.04827256,0.16498512
42.6667,0.00633093,0.02384539,0.04772055,0.16554487
43.0833,0.00606341,0.023571,0.04717132,0.16609849
43.5,0.00580539,0.02329821,0.04662536,0.1666478
43.9167,0.00555503,0.02302591,0.04608047,0.16719553
44.3333,0.00531393,0.02275115,0.04553049,0.16774547
44.75,0.00508253,0.02247281,0.04497354,0.16829947
45.1667,0.0048613,0.02219117,0.04440993,0.16885848
45.5834,0.00465124,0.02190765,0.04384266,0.16941972
46.0,0.00445174,0.02162519,0.04327738,0.1699758
46.4167,0.0042609,0.02134386,0.04271426,0.17052851
46.8334,0.00408044,0.02106754,0.04216133,0.17107045
47.2501,0.00390979,0.02079623,0.04161828,0.1716007
47.6667,0.0037477,0.02053056,0.04108669,0.17211918
48.0833,0.00359365,0.02027119,0.04056766,0.17262406
48.5,0.00344764,0.02001657,0.04005804,0.17311902
48.9166,0.00330984,0.01976805,0.03956069,0.17360128
49.3333,0.00317785,0.01952597,0.03907622,0.17406984
49.75,0.00305152,0.0192887,0.03860148,0.17452841
50.1667,0.00292994,0.01905437,0.03813252,0.17498068
50.5834,0.002813,0.01882331,0.03767014,0.1754248
51.0,0.00269993,0.01859306,0.03720928,0.17586631
51.4167,0.00258974,0.01836188,0.03674663,0.17630891
51.8334,0.00248301,0.0181304,0.03628328,0.17675076
52.2501,0.00238009,0.01789923,0.03582066,0.17719184
52.6667,0.00228052,0.01766821,0.03535845,0.17763123
53.0834,0.00218433,0.01743807,0.03489793,0.17806984
53.5,0.00209123,0.01720932,0.03444019,0.17850397
53.9166,0.00200148,0.01698319,0.03398744,0.17893269
54.3333,0.00191485,0.01675827,0.03353733,0.17935968
54.75,0.00183126,0.01653571,0.03309191,0.17978216
55.1666,0.00175152,0.01631784,0.03265592,0.18019274
55.5833,0.00167527,0.01610532,0.03223063,0.18059414
56.0,0.00160224,0.01589931,0.03181843,0.18098172
56.4167,0.00153206,0.01570195,0.03142343,0.1813536
56.8333,0.00146567,0.01551358,0.03104659,0.18170791
57.25,0.00140276,0.01533276,0.0306846,0.18204747
57.6667,0.00134289,0.01516061,0.03033999,0.18237129
58.0834,0.00128599,0.01499511,0.03000897,0.18268216
58.5,0.00123158,0.01483304,0.02968457,0.18298662
58.9166,0.00117937,0.01467302,0.02936425,0.1832856
59.3333,0.00112974,0.01451901,0.02905612,0.1835744
59.75,0.00108007,0.01435611,0.02873003,0.18387819
60.1667,0.00102135,0.01410901,0.02823557,0.18433213
61.0,0.00094405,0.01374102,0.02749904,0.18500604
61.8334,0.00087288,0.01340791,0.02683243,0.18561768
62.6667,0.00080779,0.0131112,0.02623865,0.18616422
63.5,0.00074723,0.01283942,0.02569488,0.18666612
64.3333,0.00069096,0.01258401,0.02518354,0.18713743
65.1666,0.00063879,0.01233628,0.02468798,0.18759489
66.0,0.00059035,0.01209209,0.02419918,0.18804509
66.8333,0.00054543,0.0118511,0.02371696,0.18848799
67.6667,0.00050446,0.01161507,0.0232445,0.18892081
68.5,0.00046755,0.01138655,0.02278723,0.18933979
69.3333,0.00043421,0.01116521,0.02234434,0.18974583
70.167,0.00040385,0.01095033,0.02191425,0.19013894
71.0,0.00037592,0.01073945,0.02149219,0.19052377
71.833,0.00035009,0.01052996,0.02107294,0.19090592
72.667,0.0003263,0.01032357,0.02065999,0.19128255
73.5,0.0003044,0.0101234,0.02025937,0.19164714
74.333,0.00028424,0.00993067,0.01987364,0.19199872
75.167,0.00026575,0.00974579,0.01950377,0.19233632
76.0,0.00024877,0.00957019,0.01915229,0.19265716
76.834,0.00023281,0.00940192,0.01881556,0.19296403
77.667,0.00021775,0.00923903,0.01848961,0.19326157
78.5,0.00020339,0.009081,0.01817332,0.19355074
79.333,0.00018955,0.00892699,0.01786511,0.19383246
80.167,0.0001763,0.00877641,0.01756387,0.19410673
81.0,0.00016374,0.00863096,0.01727261,0.19437171
81.834,0.00015195,0.00849109,0.01699279,0.1946264
82.667,0.00014104,0.00835922,0.01672886,0.19486615
83.5,0.000131,0.00823554,0.01648146,0.19509094
84.333,0.00012179,0.00811947,0.016249,0.19530173
85.166,0.00011342,0.00800906,0.01602799,0.19550223
86.0,0.00010582,0.00790235,0.01581452,0.19569619
86.833,9.888e-05,0.00779844,0.01560655,0.19588457
87.667,9.257e-05,0.00769699,0.01540363,0.19606829
88.5,8.674e-05,0.00759065,0.01519074,0.19626142
89.333,8.062e-05,0.00745243,0.01491414,0.19651089
91.0,7.159e-05,0.00722771,0.01446449,0.19691705
92.667,6.376e-05,0.00703138,0.01407153,0.19727261
94.333,5.667e-05,0.00684779,0.01370412,0.19760477
96.0,5.029e-05,0.00667083,0.01334998,0.1979248
97.667,4.473e-05,0.00649997,0.01300802,0.19823455
99.333,3.995e-05,0.00633275,0.01267339,0.19853778
101.0,3.575e-05,0.00617163,0.01235094,0.1988298
102.667,3.196e-05,0.00602204,0.01205158,0.19910028
104.333,2.848e-05,0.00588274,0.0117728,0.19935292
106.0,2.528e-05,0.00575008,0.01150733,0.19959339
107.667,2.242e-05,0.00562497,0.01125694,0.1998198
109.333,1.991e-05,0.00550682,0.0110205,0.20003401
111.0,1.775e-05,0.0053901,0.0107869,0.20024544
112.667,1.588e-05,0.00527149,0.01054955,0.20046065
114.333,1.423e-05,0.00515357,0.01031356,0.20067402
116.0,1.276e-05,0.00504151,0.01008929,0.20087614
117.667,1.143e-05,0.00493693,0.00988002,0.20106603
119.333,1.021e-05,0.00483838,0.00968279,0.20124374
121.0,9.11e-06,0.0047458,0.0094975,0.20141204
122.667,8.12e-06,0.0046585,0.00932281,0.20157002
124.333,7.25e-06,0.00457452,0.00915473,0.20172144
126.0,6.49e-06,0.00449379,0.00899317,0.20186722
127.667,5.83e-06,0.00441806,0.00884163,0.20200454
129.333,5.24e-06,0.00434814,0.00870171,0.20213152
131.0,4.7e-06,0.00428243,0.00857019,0.20225005
132.667,4.21e-06,0.00421885,0.00844297,0.20236483
134.333,3.78e-06,0.00415584,0.00831685,0.20247867
136.0,3.4e-06,0.00409286,0.00819083,0.20259344
137.667,3.06e-06,0.0040322,0.00806943,0.20270259
139.333,2.77e-06,0.00397555,0.00795606,0.20280516
141.0,2.51e-06,0.00392159,0.00784806,0.20290302
142.667,2.27e-06,0.00386819,0.00774118,0.20299994
144.333,2.06e-06,0.00381388,0.00763251,0.20309782
146.0,1.86e-06,0.00375763,0.00751995,0.20319947
147.667,1.68e-06,0.00369912,0.00740285,0.20330582
149.333,1.53e-06,0.00363163,0.00726778,0.20342818
151.0,1.47e-06,0.00359385,0.00719216,0.20349596
