s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.7000040E+001, 1.4211421E+001, 0.0000000E+000,-4.2440160E+000,-7.6925466E+000,-5.9999385E-001, 1.8908476E-003, 0.0000000E+000, 0.0000000E+000, 1.6646617E+000, 1.6767557E+000, 7.0170491E-002, 3.1603143E-004,-2.7639612E-037,-4.1895123E-034
 1.7500372E+001, 1.4616637E+001, 0.0000000E+000,-4.3780273E+000,-8.2606506E+000,-6.1344661E-001, 1.9063238E-003, 0.0000000E+000, 0.0000000E+000, 1.3820989E+000, 1.3664188E+000, 7.0170491E-002, 3.1603143E-004,-4.3140938E-037,-6.3701371E-034
 1.8000473E+001, 1.3855969E+001, 0.0000000E+000,-4.1477875E+000,-8.0216550E+000,-6.0620779E-001, 1.8844800E-003, 0.0000000E+000, 0.0000000E+000, 1.0611173E+000, 1.0822030E+000, 7.0170491E-002, 3.1603143E-004,-6.3514074E-037,-9.2102271E-034
 1.8500061E+001, 1.4613131E+001, 0.0000000E+000,-4.3807651E+000,-8.7161997E+000,-6.4568831E-001, 1.9078524E-003, 0.0000000E+000, 0.0000000E+000, 8.7263124E-001, 8.7238593E-001, 7.0170491E-002, 3.1603143E-004,-8.8956738E-037,-1.2706105E-033
 1.9000050E+001, 1.4605041E+001, 0.0000000E+000,-4.3637624E+000,-8.4122817E+000,-6.7861507E-001, 1.9092076E-003, 0.0000000E+000, 0.0000000E+000, 1.1447442E+000, 1.1522909E+000, 7.0170491E-002, 3.1603143E-004,-1.2169362E-036,-1.7159910E-033
 1.9500471E+001, 1.4051959E+001, 0.0000000E+000,-4.2083028E+000,-8.4125281E+000,-6.7255183E-001, 1.9332634E-003, 0.0000000E+000, 0.0000000E+000, 7.9562859E-001, 7.6050994E-001, 7.0170491E-002, 3.1603143E-004,-1.5920544E-036,-2.2204261E-033
 2.0000111E+001, 1.4210104E+001, 0.0000000E+000,-4.2530616E+000,-8.3710336E+000,-6.8907039E-001, 1.9521287E-003, 0.0000000E+000, 0.0000000E+000, 9.0961017E-001, 8.9889019E-001, 7.0170491E-002, 3.1603143E-004,-1.9413678E-036,-2.6838785E-033
 2.0500423E+001, 1.4762446E+001, 0.0000000E+000,-4.4253172E+000,-7.9229422E+000,-7.0474436E-001, 1.9406623E-003, 0.0000000E+000, 0.0000000E+000, 1.6860734E+000, 1.7113830E+000, 7.0170491E-002, 3.1603143E-004,-2.1898195E-036,-3.0093387E-033
 2.1000120E+001, 1.4222054E+001, 0.0000000E+000,-4.2583803E+000,-9.1997864E+000,-7.1012178E-001, 1.9082368E-003, 0.0000000E+000, 0.0000000E+000, 1.0237786E-001, 5.5673978E-002, 7.0170491E-002, 3.1603143E-004,-2.2761614E-036,-3.1141160E-033
 2.1500490E+001, 1.4933493E+001, 0.0000000E+000,-4.4666876E+000,-8.6405114E+000,-6.8424001E-001, 1.8928701E-003, 0.0000000E+000, 0.0000000E+000, 1.1272706E+000, 1.1439471E+000, 7.0170491E-002, 3.1603143E-004,-2.2852837E-036,-3.1157390E-033
