cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.0439394E+001, 7.9457476E+000, 4.1533281E+000, 9.1000000E+000, 3.4509795E+002, 3.8623879E+002, 3.7892423E+002, 3.9428262E+002, 4.0400196E+002, 4.1515716E+002, 1.8388897E+002, 2.4006323E+002, 2.0400556E+002, 1.8226038E+002, 1.8023871E+002, 1.7122904E+002,-1.0620482E+001, 3.5833938E-011, 8.0595466E-005, 7.7767404E-003, 2.9872910E-002, 4.4181123E-002, 2.3341835E-010, 8.0482515E-004, 4.4171553E-002, 5.7602590E-002, 5.2546209E-002
 1.0936364E+001, 8.0666962E+000, 4.4561735E+000, 9.5800000E+000, 3.2683207E+002, 3.6533417E+002, 3.6172705E+002, 3.7774536E+002, 3.8308582E+002, 4.0006659E+002, 1.3465020E+002, 2.0987038E+002, 1.8918767E+002, 1.6578458E+002, 1.5739671E+002, 1.5567261E+002,-1.0126506E+001, 1.7472811E-009, 6.1898783E-004, 1.4740682E-002, 3.7569261E-002, 5.1495791E-002, 1.4372878E-008, 5.1993708E-003, 7.5671694E-002, 6.6408190E-002, 5.6544558E-002
 1.1433333E+001, 8.2242317E+000, 4.7835864E+000, 1.0060000E+001, 3.1498693E+002, 3.5392040E+002, 3.5045686E+002, 3.6322318E+002, 3.6533804E+002, 3.8493415E+002, 1.0335511E+002, 1.9947913E+002, 1.7389872E+002, 1.5395690E+002, 1.3380904E+002, 1.4282875E+002,-9.6325301E+000, 9.2516645E-008, 2.7117732E-003, 2.5379330E-002, 4.7130007E-002, 5.8218036E-002, 8.0805400E-007, 1.5262793E-002, 1.1700603E-001, 8.2593167E-002, 6.0950839E-002
 1.1930303E+001, 8.4094454E+000, 5.1298941E+000, 1.0540000E+001, 3.0712407E+002, 3.4361852E+002, 3.4267098E+002, 3.5073602E+002, 3.5128569E+002, 3.6831345E+002, 7.6592784E+001, 1.7749144E+002, 1.5701247E+002, 1.4184725E+002, 1.1221103E+002, 1.2812502E+002,-9.1385542E+000, 3.7224911E-006, 7.6359679E-003, 3.5118071E-002, 5.8487723E-002, 6.5151347E-002, 2.9803968E-005, 2.9479912E-002, 1.2616949E-001, 9.8038339E-002, 6.7429091E-002
 1.2427273E+001, 8.6140155E+000, 5.4790047E+000, 1.1020000E+001, 3.0070267E+002, 3.3186638E+002, 3.3723544E+002, 3.4009872E+002, 3.3936908E+002, 3.5271970E+002, 4.2672965E+001, 1.4711746E+002, 1.4937633E+002, 1.2760808E+002, 9.5817044E+001, 1.1019097E+002,-8.6445783E+000, 9.2330462E-005, 1.5143274E-002, 4.7629123E-002, 6.9910266E-002, 7.1694379E-002, 5.9545234E-004, 4.4087447E-002, 1.4394027E-001, 1.0705488E-001, 7.2662617E-002
 1.2924242E+001, 8.8246031E+000, 5.8281113E+000, 1.1500000E+001, 2.9633055E+002, 3.1974316E+002, 3.2702849E+002, 3.2782773E+002, 3.2933346E+002, 3.4006206E+002, 1.1174773E+001, 1.1992108E+002, 1.2579001E+002, 9.7339262E+001, 8.0437786E+001, 8.9289608E+001,-8.1506024E+000, 1.1037034E-003, 2.5080769E-002, 6.3280451E-002, 8.1735276E-002, 7.8816263E-002, 6.0115830E-003, 5.7814854E-002, 1.6514814E-001, 1.2095954E-001, 7.7154658E-002
 1.3421212E+001, 9.0254081E+000, 6.1606217E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.6566265E+000, 5.0462628E-003, 3.8739572E-002, 8.0556871E-002, 9.5153930E-002, 8.6181373E-002, 2.0728677E-002, 7.7928989E-002, 1.8257268E-001, 1.4221406E-001, 8.0588695E-002
 1.3918182E+001, 9.2144389E+000, 6.4750272E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.1626506E+000, 1.2988832E-002, 5.7093732E-002, 1.0029642E-001, 1.1020224E-001, 9.2744059E-002, 3.5891083E-002, 1.0335283E-001, 2.0587724E-001, 1.6547856E-001, 8.5101987E-002
 1.4415152E+001, 9.4014924E+000, 6.7771667E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6686747E+000, 2.6023781E-002, 8.0066290E-002, 1.2422264E-001, 1.2509421E-001, 1.0022003E-001, 4.9885082E-002, 1.3974872E-001, 2.3840478E-001, 1.8851490E-001, 9.2590683E-002
 1.4912121E+001, 9.5846204E+000, 7.0678574E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1746988E+000, 4.4996887E-002, 1.0737193E-001, 1.5234693E-001, 1.3842132E-001, 1.0824672E-001, 6.3362221E-002, 1.8448954E-001, 2.7312803E-001, 2.1039442E-001, 1.0227646E-001
