X_125, X_250, XO2_125, XO2_250
-0.042188, -0.042188, 0.156268, 0.123679
-0.039063, -0.039063, 0.150492, 0.119678
-0.035938, -0.035938, 0.144471, 0.115140
-0.032813, -0.032813, 0.137448, 0.110627
-0.029688, -0.029688, 0.129399, 0.105840
-0.026563, -0.026563, 0.121461, 0.101495
-0.023438, -0.023438, 0.113454, 0.098335
-0.020313, -0.020313, 0.105074, 0.095501
-0.017188, -0.017188, 0.096591, 0.093015
-0.014063, -0.014063, 0.087614, 0.090664
-0.010938, -0.010938, 0.080797, 0.088655
-0.007813, -0.007813, 0.075054, 0.086736
-0.004688, -0.004688, 0.069518, 0.084503
-0.001563, -0.001563, 0.065233, 0.082787
0.001563, 0.001563, 0.063457, 0.081726
0.004688, 0.004688, 0.065893, 0.081308
0.007813, 0.007813, 0.070772, 0.081178
0.010938, 0.010938, 0.078629, 0.082160
0.014063, 0.014063, 0.087792, 0.084869
0.017188, 0.017188, 0.096520, 0.088664
0.020313, 0.020313, 0.104704, 0.092945
0.023438, 0.023438, 0.114349, 0.097814
0.026563, 0.026563, 0.124585, 0.103941
0.029688, 0.029688, 0.133567, 0.109439
0.032813, 0.032813, 0.141195, 0.113931
0.035938, 0.035938, 0.147945, 0.118065
0.039063, 0.039063, 0.154114, 0.122626
0.042188, 0.042188, 0.159904, 0.127332
0.045313, 0.045313, 0.165025, 0.132106
0.048438, 0.048438, 0.169810, 0.137098
0.051563, 0.051563, 0.173494, 0.141792
0.054688, 0.054688, 0.175638, 0.145680
0.057813, 0.057813, 0.177129, 0.149153
0.060938, 0.060938, 0.178516, 0.152710
0.064063, 0.064063, 0.179484, 0.156234
0.067188, 0.067188, 0.180106, 0.159936
0.070313, 0.070313, 0.180536, 0.163992
0.073438, 0.073438, 0.180855, 0.168256
0.076563, 0.076563, 0.180994, 0.172399
0.079688, 0.079688, 0.181020, 0.175998
0.082813, 0.082813, 0.181022, 0.179151
0.085938, 0.085938, 0.181023, 0.181753
0.089063, 0.089063, 0.181023, 0.183995
0.092188, 0.092188, 0.181023, 0.186033
0.095313, 0.095313, 0.181023, 0.187638
0.098438, 0.098438, 0.181023, 0.188940
0.101564, 0.101564, 0.181023, 0.190194
0.104689, 0.104689, 0.181023, 0.191418
0.107814, 0.107814, 0.181023, 0.192647
0.110939, 0.110939, 0.181023, 0.193925
0.114064, 0.114064, 0.181023, 0.195197
0.117189, 0.117189, 0.181023, 0.196428
0.120314, 0.120314, 0.181023, 0.197743
0.123439, 0.123439, 0.181023, 0.199180
0.126564, 0.126564, 0.181023, 0.200510
0.129689, 0.129689, 0.181023, 0.201647
0.132814, 0.132814, 0.181023, 0.202725
0.135939, 0.135939, 0.181023, 0.203756
0.139064, 0.139064, 0.181023, 0.204725
0.142189, 0.142189, 0.181023, 0.205619
0.145314, 0.145314, 0.181023, 0.206401
0.148439, 0.148439, 0.181023, 0.207010
0.151564, 0.151564, 0.181024, 0.207398
0.154689, 0.154689, 0.181027, 0.207630
0.157814, 0.157814, 0.181036, 0.207746
0.160939, 0.160939, 0.181062, 0.207796
0.164064, 0.164064, 0.181132, 0.207814
0.167189, 0.167189, 0.181308, 0.207820
0.170314, 0.170314, 0.181698, 0.207822
0.173439, 0.173439, 0.182415, 0.207823
0.176564, 0.176564, 0.183464, 0.207823
0.179689, 0.179689, 0.184752, 0.207823
0.182814, 0.182814, 0.186250, 0.207823
0.185939, 0.185939, 0.187895, 0.207823
0.189064, 0.189064, 0.189497, 0.207823
0.192189, 0.192189, 0.190937, 0.207823
0.195314, 0.195314, 0.192185, 0.207823
0.198439, 0.198439, 0.193306, 0.207823
0.201565, 0.201565, 0.194412, 0.207823
0.204690, 0.204690, 0.195670, 0.207823
0.207815, 0.207815, 0.197193, 0.207823
0.210940, 0.210940, 0.198974, 0.207823
0.214065, 0.214065, 0.200907, 0.207823
0.217190, 0.217190, 0.202864, 0.207823
0.220315, 0.220315, 0.204701, 0.207823
0.223440, 0.223440, 0.206201, 0.207823
0.226565, 0.226565, 0.207166, 0.207823
0.229690, 0.229690, 0.207619, 0.207823
0.232815, 0.232815, 0.207775, 0.207823
0.235940, 0.235940, 0.207814, 0.207823
0.239065, 0.239065, 0.207821, 0.207823
0.242190, 0.242190, 0.207823, 0.207823
0.245315, 0.245315, 0.207823, 0.207823
0.248440, 0.248440, 0.207823, 0.207823
