s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0.899820036,3.408809054,3.336145692,2.242933065,2.10814226,3.165006568,1.799798952,1.802831995,1.80700331,1.796128142,1.747374047,1.74699248,1.750089445,1.750837967,1.741512018,1.739832608,1.741530891,1.742370698,1.737896273,1.737141125,1.73725313,1.739670046,1.735013812,1.736978529,1.734360066,1.737636469,1.737334112,1.735955943,1.734120902,1.736307375,0.478108789,0.455922036,0.443645378,0.434195136,0.428706287,0.426150727
0.99980004,4.814904706,13.57326229,6.154131086,4.388108704,12.39051113,1.928003756,1.93667283,1.949485266,1.912464553,1.714926741,1.717661364,1.729899346,1.732000332,1.671293313,1.669584549,1.675183218,1.684282295,1.655849266,1.6542873,1.655916459,1.665021742,1.648700163,1.649763116,1.648141404,1.655352555,1.649049594,1.647585224,1.646190109,1.650445978,0.544442431,0.49850931,0.469307018,0.446448248,0.435121198,0.430681964
1.099780044,6.698764831,17.35689594,12.24284822,10.74379861,15.84282945,1.679432179,1.696675831,1.705993158,1.680718317,1.597030849,1.596864821,1.602236446,1.603142644,1.580156692,1.578462934,1.581131618,1.584629038,1.573736929,1.572665344,1.573254927,1.577373521,1.570280939,1.571384886,1.569611693,1.573453945,1.57181808,1.57061119,1.569137623,1.571577227,0.544442431,0.49850931,0.469307018,0.446448248,0.435121198,0.430681964
1.199760048,7.547064001,22.10346802,18.48032836,18.49912896,19.42264987,2.241271985,2.050483038,2.050306307,1.958083201,1.619738211,1.625984639,1.637738965,1.62414122,1.537136359,1.538636214,1.547853673,1.556161117,1.514623914,1.514508243,1.518608175,1.529714903,1.506464512,1.507626302,1.507615038,1.516251922,1.506242631,1.505223041,1.504468738,1.509609688,0.599978758,0.550907913,0.501118956,0.459687697,0.442399134,0.435024843
1.299740052,7.284913224,20.72668243,18.66356059,20.10524175,21.16447398,10.49641145,3.681118619,1.709600835,5.476795623,1.49488547,1.496392483,1.50257843,1.497078459,1.459415271,1.458689026,1.46300709,1.467126641,1.449638928,1.44893642,1.450635857,1.45609983,1.445832203,1.446737124,1.445876873,1.450413237,1.446984625,1.446102524,1.44500732,1.447845858,0.599978758,0.550907913,0.501118956,0.459687697,0.442399134,0.435024843
1.399720056,6.635178965,18.84984302,21.81966586,20.06728802,16.74796076,15.59292703,12.40926951,9.059692742,8.045284834,1.454114643,1.440775222,1.428408758,1.41643153,1.400436848,1.395155548,1.396898891,1.401167506,1.392756068,1.391305212,1.392972204,1.397208639,1.391546702,1.392399083,1.391686305,1.39400651,1.394031298,1.393427341,1.392293858,1.393180443,0.583627749,0.542855513,0.493615424,0.453870638,0.439372247,0.432281262
1.49970006,6.382177969,20.02616431,20.14971208,21.89545204,2.823496796,17.30867988,19.25759724,13.88783944,1.398879487,3.754313564,1.648161339,1.356490926,1.376028358,1.351887516,1.348239722,1.350903179,1.354956523,1.346446039,1.344713398,1.346018152,1.349930859,1.345311023,1.345803562,1.345122259,1.347756675,1.347589206,1.347081631,1.346076062,1.347491999,0.583627749,0.542855513,0.493615424,0.453870638,0.439372247,0.432281262
1.600618011,6.025817675,22.47348235,19.11511185,18.1881029,2.16965752,16.34489257,15.17249955,11.68315742,0.657477633,20.46941959,19.97354516,13.7724265,1.376680394,1.278449072,1.298535847,1.311400483,1.309805795,1.303116478,1.300585251,1.301681052,1.303296533,1.302166727,1.302155275,1.301683965,1.30338747,1.305006911,1.304604289,1.303749437,1.304712405,0.569520999,0.531387714,0.490377831,0.45300953,0.438840851,0.431572393
1.704173847,6.452120962,25.69586665,18.98892955,17.61274252,2.173478113,18.68614891,15.02580295,12.03036924,0.656821421,18.47484308,17.95190761,14.92906758,1.300759469,16.65779828,16.13876821,13.17351144,1.25467168,1.259569968,1.256721026,1.259034293,1.265148226,1.261271643,1.26013615,1.260123515,1.263201173,1.264908866,1.264397511,1.263905918,1.265097338,0.569520999,0.531387714,0.490377831,0.45300953,0.438840851,0.431572393
1.800474453,7.095957815,23.50526526,18.89298837,21.46510682,13.28282963,20.27753426,14.80776723,10.76088736,7.105320825,21.7648075,20.13737647,13.06841103,1.504839896,16.84642413,14.42427995,0.176094296,1.264381455,13.21797283,13.1977338,5.189437464,1.214961511,1.226221785,1.224031519,1.224882301,1.229900763,1.230091177,1.229176423,1.229392437,1.230914456,0.587318218,0.540009622,0.495643083,0.45633558,0.441010744,0.433041243
1.896732317,7.861078606,24.91715608,21.82309187,23.42889271,2.82880189,15.25041902,13.90665302,11.70490986,6.540362659,21.65534078,14.12184406,0.360767609,2.576466315,19.2242864,19.40980724,13.18985206,1.222880074,14.67518094,0.077973194,2.313559251,1.333476485,4.187409052,3.140350342,1.196547622,1.202211225,1.196980179,1.194993388,1.195704565,1.198245408,0.587318218,0.540009622,0.495643083,0.45633558,0.441010744,0.433041243
1.995382914,8.520566377,22.97358529,24.94175527,28.05347863,3.076505941,19.72340347,13.54972564,16.40647603,11.36899968,17.40748143,13.59440682,0.472301729,1.704602688,21.82004046,14.68910432,12.87380435,1.178644075,12.95117281,12.62105842,12.76499953,1.163958496,2.783558429,12.94774953,7.088438184,1.409242687,1.11909089,1.114797746,1.161270991,1.171633442,0.618316371,0.567376149,0.512758235,0.464310031,0.445783621,0.435749269
2.102444554,9.592323136,24.18517391,25.9045578,24.44020669,3.064573408,20.20864641,18.78878667,18.49202863,8.066856104,17.05643197,15.16211455,14.53384243,0.317351302,15.09012996,12.82023636,0.186616853,1.417440302,16.87487284,15.19063607,12.74557197,1.124474577,0.061743742,3.665151757,0.057493134,1.084540916,0.04119248,13.0136854,7.625163139,1.157214428,0.618316371,0.567376149,0.512758235,0.464310031,0.445783621,0.435749269
2.197374154,9.089160314,27.39086337,28.21005448,26.20977068,3.058572226,19.06909195,21.90009908,17.71780541,0.918969218,23.26398336,21.53332136,19.7536634,0.40205292,10.02908884,13.49076825,14.07423016,1.900081719,14.51776054,5.179925171,12.89197577,1.115150814,12.83704404,12.83209399,0.065104498,1.114809497,2.856922246,0.052450756,0.049485072,1.030729682,0.659615029,0.593451014,0.528824111,0.471461935,0.450205778,0.438300932
2.298912065,8.651194872,26.55895221,27.17673586,25.0736745,3.058327186,19.18002482,17.12054731,16.10494782,0.915337306,23.83190278,23.40965482,17.00541883,0.401996086,18.26250238,17.94354384,14.26907928,1.030649495,0.194996102,16.31359224,14.46601503,1.117947355,13.25397397,0.072145952,0.068121089,1.05097849,0.048645864,0.443287447,0.049231444,1.088166159,0.659615029,0.593451014,0.528824111,0.471461935,0.450205778,0.438300932
2.397238559,9.73490662,25.03788085,23.81736816,18.41807799,2.955427803,22.00235794,18.80790027,18.70490287,0.855107561,19.12907953,16.28189325,15.98197449,1.968460256,20.79432587,18.89964209,13.77024445,0.723015948,12.69657366,12.76858785,0.178391559,1.267880312,13.65029195,13.43601238,3.59867943,1.061038555,5.854635411,0.052367098,0.052601792,1.167430927,0.634806508,0.579632138,0.519814663,0.46835493,0.448906133,0.437863748
2.496912021,10.17493817,25.99784588,26.52099736,18.26753955,3.302914011,22.91053462,18.65380706,16.81984911,1.017414753,22.58333216,25.21502935,24.87640899,0.464262069,15.10552826,12.85989638,0.263174343,1.002033075,15.03206894,14.16379892,13.54552184,1.039751384,8.891322709,13.15913032,3.658004638,1.131052826,0.066970024,7.114681576,14.30160944,0.941789552,0.670180227,0.609970433,0.541914307,0.47810028,0.454121471,0.440426258
2.599441377,10.11568179,28.06429072,28.9576846,20.71873105,12.70901155,21.28802381,18.63940361,14.47341447,1.017260884,24.23307561,19.63935005,17.75188088,1.455023721,20.19120307,20.18477626,20.08335062,1.183906237,12.64807649,0.177385875,0.150163767,1.319639705,0.109969321,0.114418122,0.095736041,1.011787767,12.67322612,0.074211269,5.485476037,1.077290526,0.670180227,0.609970433,0.541914307,0.47810028,0.454121471,0.440426258
2.696710167,11.80703175,32.6954661,29.71875533,23.2165504,3.73318243,22.09164815,19.3244814,1.737151326,0.937828727,24.62066176,20.41680616,18.18461058,0.394057889,20.67205414,18.96968685,15.49560846,0.893500206,18.93420871,14.06356877,2.92387518,1.567520365,0.095955884,0.094538737,12.95052348,0.999670115,5.909421262,0.068758052,0.064942537,0.947173928,0.673131611,0.610684788,0.542851236,0.478936747,0.454838379,0.441003686
2.798466345,12.00891637,34.48286893,29.4938543,21.02628523,12.87997704,26.3293521,16.14147507,1.836490493,0.999846673,30.7397042,19.24221858,16.11846713,0.452987227,20.11548913,19.10905539,16.33216207,1.254274038,18.0119225,14.41185318,13.14472962,0.705873527,14.19364184,12.70148615,14.09923301,1.066416132,12.83804574,0.065271975,0.062483552,1.159832721,0.702527613,0.637639797,0.561077681,0.488849681,0.461019556,0.444334575
2.898661979,12.11220398,35.9279379,28.1738775,23.89344039,15.48847347,26.55086759,17.64102337,11.06187542,0.999809011,27.47303085,15.68918345,0.823391449,0.45201108,24.43083732,18.67036439,17.49198049,0.749971745,18.55683692,16.58334633,14.40164247,0.919561779,16.92835988,0.131778407,0.103510554,1.272964739,12.65274485,12.66977862,12.79793286,1.034332137,0.702527613,0.637639797,0.561077681,0.488849681,0.461019556,0.444334575
3.00162875,12.93015898,39.12173195,28.88670015,26.81699272,18.88812742,27.57332854,17.09442067,1.834744518,1.006657003,29.53744575,17.86454448,0.790398328,0.448387553,23.07672433,0.51470554,0.378481455,0.878594296,22.70373096,20.82581254,17.63843261,0.919564314,18.52369421,17.24401871,0.113150861,0.870749684,17.22160248,7.896279242,0.080175703,0.963751478,0.703092764,0.642385012,0.566212731,0.491883101,0.463556571,0.446131502
3.101346451,14.02077476,39.47602824,31.03713687,27.96515702,16.85377831,31.21306635,16.09860684,1.996430376,1.068428028,28.68955685,15.4848422,0.839923549,0.471560654,26.30719667,16.2164635,1.214543632,1.036869305,22.79658994,13.32229692,0.214715931,0.837378695,18.68600711,17.21180408,12.65832109,0.847434965,19.16070993,14.77168366,12.76092373,1.34517455,0.720852971,0.664182245,0.581434325,0.499364224,0.46808139,0.448035946
3.201165334,13.89329571,38.76424628,33.94574709,26.72950618,4.052308775,30.32026035,22.50385834,2.271635229,1.161441598,27.73959152,13.55727908,0.849389551,0.487370519,26.55056175,0.511981938,0.382234748,0.899859048,22.74235013,12.89548779,0.214233426,0.885411768,23.38540921,19.00320894,0.131868512,0.913385599,19.22350572,16.04689345,0.086855931,1.712482167,0.734520308,0.674670681,0.588539916,0.503422811,0.471092321,0.449993609
3.301721312,14.06263795,38.0539142,34.03464348,25.69699427,4.038884487,30.16413405,23.56519615,16.65920555,1.164422049,30.10872065,14.56046377,0.844206856,0.487190136,22.76586459,0.502923143,0.375804103,0.747069852,24.47259668,0.293629408,0.212505147,0.928911515,21.77199745,0.200115823,4.4134929,0.907384603,17.84912629,16.80260892,0.088050111,0.92723673,0.734520308,0.674670681,0.588539916,0.503422811,0.471092321,0.449993609
3.39803717,14.91737029,37.66544839,29.6038915,28.11784818,4.132604963,29.42095216,20.82374273,16.48918902,8.268670952,28.48441713,20.31846717,1.030940933,0.558294099,25.80714929,15.56363841,0.433302392,0.915246886,20.0189501,0.314041084,0.225346255,0.97686827,21.93433097,14.71894088,10.67110823,0.917220198,18.53680556,0.148938654,0.090265738,0.543477703,0.736370291,0.680449292,0.596483188,0.509112591,0.474847253,0.451984593
3.49708465,15.20207749,39.27818619,34.0943785,30.8753547,4.547790392,27.84153682,20.47781011,17.1620365,1.273784043,28.94801056,21.93526032,0.765813623,0.485827144,24.47977986,0.477799952,6.152999867,0.88777488,19.48716305,0.342504487,0.229288784,0.825320711,17.82526112,0.200870277,0.691141859,0.935454694,17.58021186,0.150139651,3.467536686,0.499405483,0.763010808,0.687959747,0.596868625,0.508736653,0.474379866,0.45361017
3.600727209,15.33398519,39.1857042,34.046112,30.41681143,4.567236333,29.91771991,21.73219951,15.54463068,1.380317506,30.00963293,22.32643171,0.947188729,0.551154479,25.88453658,16.56395542,0.426427978,1.009809403,23.78340072,12.95659529,0.195461748,0.885919326,16.96633975,0.189507326,0.124934812,0.840702177,15.48796863,13.23214293,0.086915531,0.785706584,0.770925145,0.702963484,0.608821898,0.514331854,0.477389441,0.454227733
3.698287693,15.10996407,37.48013205,32.69122056,27.45193893,13.27785103,31.08681525,22.19439978,16.57278959,1.328220819,29.69580638,23.11571422,0.967653537,0.560553216,29.50118989,23.56233478,15.90909286,1.373633263,21.36071535,0.688031459,0.232057182,0.80875719,21.04616531,14.6372215,13.0058106,0.899712607,14.65470357,0.142798397,0.087851826,0.770912206,0.758641136,0.702443782,0.612412378,0.517197823,0.479671597,0.45483263
3.798134463,14.70094351,38.08445577,32.75638864,27.57540178,13.29250506,30.47173536,20.28508684,13.54480872,1.32734381,29.68299263,21.79506451,0.971011305,0.561058999,26.66512814,16.91928776,13.37653286,0.657670597,23.20148979,14.50286293,15.1739807,0.89617606,20.02046318,13.18178373,0.143124201,0.863544108,18.72297087,13.6842269,0.086867967,0.820844976,0.758641136,0.702443782,0.612412378,0.517197823,0.479671597,0.45483263
3.89903498,15.27535316,38.7990115,33.66448241,26.56753122,13.2394498,29.42490049,21.04328793,2.524790891,1.258614957,30.65044228,18.76473391,1.00244845,0.565554886,27.35995506,19.4010438,0.494596725,0.768522838,22.55640414,14.94973393,15.34994361,0.87897208,23.36998619,15.86059124,0.147155428,1.039002898,15.20035778,0.170478328,0.096062188,0.830022673,0.747374345,0.694955771,0.609436514,0.517442116,0.48089769,0.455848655
4.000388491,16.38384241,37.03155902,32.64922704,26.85152623,15.92463565,30.04428121,18.24189557,2.910547818,1.435299405,29.96245413,16.57927069,1.093548587,0.621279367,24.36917929,15.72894818,0.47350123,0.823495494,22.71588094,15.13160185,0.272021451,1.328869618,22.30182585,0.268103174,12.92128033,0.78758158,18.81299263,15.56902334,12.87993853,0.797024261,0.773494089,0.7128882,0.621852264,0.52396088,0.484785544,0.458676881
4.09692844,18.78316584,38.06415291,33.26179383,29.17341041,28.13765086,26.70852332,19.50425706,13.09922531,2.981580553,25.19662796,17.81665561,0.941672475,0.594939698,24.05152647,0.813532223,0.529155043,0.871976486,25.44104844,15.00532051,0.292590363,0.625232868,22.45986686,0.247637062,0.158713524,0.809720391,20.56239853,12.94792441,0.11699336,0.796243436,0.826258729,0.741273368,0.633943619,0.529392356,0.488224669,0.461881951
4.198221537,17.55578579,35.01746784,34.96105243,34.38438108,26.99341172,27.10336423,21.20491395,16.38367549,11.22387554,31.7558195,18.30912512,1.108257083,2.273059112,24.57335929,0.597166899,0.440221655,0.855163796,18.55916381,12.90909583,0.257359672,0.626643343,19.34460836,12.71369271,0.425703431,0.896803478,19.66868404,12.67093298,0.117476648,0.931389643,0.827993704,0.748615365,0.63881714,0.531482483,0.489654818,0.462660286
4.297619372,15.89702737,35.7428742,38.04770022,34.94068699,19.85015104,26.70959656,26.91910894,24.06921673,18.76694156,23.71995049,16.68399515,1.107937096,1.296813714,26.46073232,15.8961479,0.443352781,1.073725463,21.8697392,0.367393722,0.252815724,1.134467335,15.41869711,13.99659696,13.00176239,1.006422516,16.51223086,12.65480363,0.116683174,0.73636007,0.827993704,0.748615365,0.63881714,0.531482483,0.489654818,0.462660286
4.399314177,14.28964819,38.06290283,35.19617433,31.26274939,5.447479137,26.66117614,26.2391727,24.38974759,15.65783121,31.70457032,24.62190447,16.26448355,1.305453955,23.66119198,17.7883322,13.56337698,1.07453997,18.51702358,0.354348776,0.239720014,0.688749313,20.5252224,17.27226155,6.748788083,0.501458995,16.10665144,12.78444783,0.099681283,0.816226569,0.784453489,0.714734808,0.61498039,0.520390715,0.483537309,0.459957801
4.497697043,15.27182141,35.76702019,33.30334789,26.18264359,4.032982027,29.90076122,21.55457621,14.68577084,1.35849023,30.0049092,30.0831286,22.22478523,4.667888259,30.08753485,25.27888603,17.23405519,0.687452542,18.10200229,0.328493353,0.230233975,0.671913477,15.77807228,13.77333488,0.163809202,0.735475768,17.74381742,14.13240594,12.9480803,1.185946169,0.75923281,0.696908826,0.610169541,0.51799819,0.481729708,0.457745333
4.599271224,17.45160537,36.48955569,37.38690342,33.45812563,4.969109229,25.96348034,17.59022459,2.520107016,1.372448879,25.66620149,16.92833297,13.48265428,0.770082821,24.36065194,19.68182654,14.08427972,0.659957308,24.25820533,23.43423082,23.23404292,3.106795927,12.5164192,0.272224812,0.170145176,0.781556486,14.64778445,15.35580027,13.30583362,0.845408906,0.798211312,0.719355803,0.621066307,0.52436122,0.48604504,0.461377242
4.698059008,18.51006444,34.52032562,36.9579747,39.63254379,16.56344294,29.05568975,25.1560973,18.30943958,1.903904981,24.19712329,1.416304139,1.010547653,0.663602591,20.62643296,0.604312473,0.445463849,0.777480254,19.50353784,17.43742669,14.91872982,12.9939698,19.37550561,13.81255032,14.40387686,0.899733244,12.72211025,0.23286113,0.135441567,0.498712927,0.855968662,0.768431157,0.64868551,0.533817465,0.490692107,0.46438727
4.799801029,18.97200887,42.61135699,38.32234406,32.32371831,17.99990348,27.25083983,26.34044281,21.63505726,2.055531203,27.64614963,26.33978025,14.45393494,1.888606944,20.30317114,13.18105599,0.511371375,0.806431966,17.65628435,0.376535426,0.291679571,0.213922929,16.29536172,15.99758325,16.00185876,1.052682581,15.08232207,0.205495086,12.92614464,0.728228311,0.860240741,0.786154499,0.662584485,0.541522298,0.495484385,0.464634117
4.899210115,17.84171849,41.94685462,40.06236164,33.73944757,19.26608784,28.03680458,22.95987925,16.06092697,2.05076807,29.28596318,25.07747068,20.20212394,0.755151433,25.6354723,22.02286955,13.2951327,1.080627563,16.1759306,0.375881261,0.28490252,0.213491636,17.49257939,19.02124974,16.37765215,4.044025425,13.50986925,14.99047378,15.26660502,0.834380921,0.860240741,0.786154499,0.662584485,0.541522298,0.495484385,0.464634117
5.000628356,15.87242839,41.76242119,39.3184721,33.72301555,6.283760572,31.81347257,24.82894225,12.9766866,5.539124151,28.18321786,21.71126261,13.92013982,4.080700813,22.04989103,16.77679068,11.213973,3.021368196,17.93427455,16.31680333,9.88712849,0.26980285,16.1171432,11.94746511,9.308199477,1.93803624,16.23135471,15.30482723,10.55382604,4.42203227,0.845315167,0.789657447,0.679402564,0.560377482,0.512201718,0.475748749
5.099300989,17.06467622,42.08698941,39.73434295,33.81844333,5.236961242,32.34783691,25.51828191,14.20375779,5.562235598,27.98739601,21.23497026,12.9458445,4.071690967,21.33995401,15.37283721,10.37871762,3.663592499,17.40696648,15.53725609,9.544896487,0.374202751,16.30179314,13.76674264,10.39891773,2.006740021,14.88441269,14.9596607,8.993082037,4.257612504,0.850370571,0.793558001,0.681454784,0.561731935,0.513462089,0.476909222
5.201460824,19.18262861,42.42294545,39.71095015,33.64103821,5.202941171,33.19906707,25.54550891,14.43109755,5.613260399,27.8670475,21.88649312,13.81540302,4.114023267,21.53745773,15.34525617,9.93707867,3.673623699,17.28722686,14.82774621,8.993144388,0.87775313,16.50220821,13.75844168,11.53980186,2.180278041,15.17072429,15.19288182,8.916253829,3.846125901,0.857513241,0.802543533,0.688779405,0.565434626,0.515768968,0.477988615
5.298912942,18.81296675,42.46560988,39.16007981,32.98259392,5.950757505,33.94413428,25.42273435,13.67720876,4.770771596,27.33681295,20.56949255,12.62570679,4.096620319,21.22227482,15.35957178,11.15674273,3.991792809,17.46528584,15.09110098,10.23616112,1.646959534,17.40272962,14.18205934,11.40944399,3.206349773,15.68876549,15.24826703,9.385000179,3.848682155,0.857407529,0.806167784,0.694450704,0.570540287,0.519565873,0.479886121
5.39886054,18.95273097,42.61805417,38.70691678,32.95168738,7.010652006,34.47145447,24.91600865,12.64077427,3.682049303,26.77657242,19.6563767,11.11732216,4.111923899,20.63485432,14.00684639,9.99798814,3.963942376,16.80614984,14.62186123,11.36317738,1.656823613,18.26383573,15.84915348,13.12313467,3.215086501,16.6288622,16.15545676,11.23201509,3.944683323,0.86028061,0.810502194,0.698966366,0.574060722,0.522508153,0.481773564
5.501188974,18.21697535,42.7920095,38.60537068,33.26025266,8.77396879,34.66400123,24.76146747,12.29035982,2.785817752,26.08356709,18.79909902,10.12057534,3.93640863,19.71466347,13.04547783,9.494998172,3.935533136,15.90711593,13.16341957,9.838724902,1.664774297,18.41540377,16.25815806,14.24289396,4.107867624,17.26344718,17.81166163,12.87273901,5.142421902,0.86428196,0.814776391,0.703201905,0.577444005,0.52517936,0.48356888
5.598881666,19.2248249,43.15423482,39.25529208,33.50306344,10.79366776,35.66267813,25.72150985,12.36414404,2.818287691,25.19872857,18.36236319,9.073729994,3.969377184,18.61658055,12.70738421,9.406440803,4.656306511,14.76621056,10.86287281,9.053187824,1.663911507,17.87544539,14.04927754,12.06059357,2.816862178,17.28434197,18.6074081,14.4075089,6.264216559,0.87009626,0.821366622,0.708804204,0.580873973,0.527635465,0.485297372
5.697673035,21.0182782,43.57594952,39.37984274,33.48839747,12.57955096,36.38242292,26.61322099,13.69430063,4.223880746,25.29429693,19.33497236,9.079050139,3.968159332,18.33135289,12.57368837,10.49811523,4.673751422,14.05593704,10.37980245,8.873503224,1.66979512,17.1642,12.29956974,10.59906082,2.815356459,16.66162877,16.54084048,12.35375069,5.119785761,0.868968539,0.82186097,0.710789133,0.583286658,0.529435335,0.486495428
5.801481303,21.61773131,44.19359799,38.86809841,33.43731874,14.28008464,37.11663565,26.88321141,13.76679251,4.810414883,25.21681192,19.78370309,9.933982673,3.967996455,19.74050793,13.48725248,11.24930954,4.675459698,13.95232428,10.16450485,8.656459416,2.47905054,17.13191518,12.25957927,11.15474438,4.017257113,15.85962516,14.62610926,10.84425646,5.120575072,0.871171578,0.825113955,0.713514161,0.585413237,0.530975491,0.487623923
5.898704339,19.43774534,44.39041454,38.65566128,33.18856762,15.29915722,37.86146287,27.03062217,14.68091976,6.32638063,25.18100095,18.82863464,8.693119052,3.527767003,20.29859194,15.0234438,12.8009892,5.44669892,15.36403436,11.00757407,8.666512338,2.483083755,17.61026732,12.04543933,9.712215866,3.937294859,15.47922319,14.42391736,10.55018715,3.967690687,0.87295356,0.830191908,0.718778739,0.588746147,0.533060904,0.488801057
5.998049598,18.89119543,44.11225689,38.39754938,32.84018266,15.22962718,38.36155366,27.69818155,16.22266529,7.357941792,25.50994989,18.81652099,8.543232416,2.970197341,20.35297057,15.19675384,12.18246618,5.580159028,17.10575119,12.34313881,10.19531315,3.285028347,19.7851019,13.37752918,10.96615151,3.943967496,15.80472859,14.16132771,10.30149874,3.972340854,0.873663449,0.836552002,0.727724251,0.595907226,0.537889414,0.491321658
6.098258938,19.68234513,43.78055107,37.70393642,31.44076877,15.18968088,38.7180525,28.04782012,17.40899277,7.397514184,25.64144988,19.53082476,9.74382106,3.920416517,20.345961,15.36606593,12.06332648,4.443842522,17.23866554,12.51975007,10.61335855,4.903599799,22.13425993,15.11070218,12.9035316,5.130000919,18.39544189,15.10606953,11.73831226,3.983854966,0.877835096,0.841397981,0.731302747,0.598118336,0.540130236,0.493118702
