r, Q_conv, Q_rad, Q_total
122.0,     0.00,     0.50,     0.50
123.0,     0.00,     0.54,     0.54
124.0,     0.00,     0.52,     0.52
125.0,     0.00,     0.53,     0.53
126.0,     0.00,     0.47,     0.47
127.0,     0.00,     0.51,     0.51
128.0,     0.00,     0.49,     0.49
129.0,     0.00,     0.53,     0.53
130.0,     0.00,     0.43,     0.43
131.0,     0.00,     0.50,     0.50
132.0,     0.00,     0.48,     0.48
133.0,     0.00,     0.46,     0.46
134.0,     0.00,     0.41,     0.41
135.0,     0.00,     0.46,     0.46
136.0,     0.00,     0.46,     0.46
137.0,     0.00,     0.43,     0.43
138.0,     0.00,     0.38,     0.38
139.0,     0.00,     0.41,     0.41
140.0,     0.00,     0.46,     0.46
141.0,     0.00,     0.42,     0.42
142.0,     0.00,     0.35,     0.35
143.0,     0.00,     0.41,     0.41
144.0,     0.00,     0.40,     0.40
145.0,     0.00,     0.41,     0.41
146.0,     0.00,     0.34,     0.34
147.0,     0.00,     0.38,     0.38
148.0,     0.00,     0.39,     0.39
149.0,     0.00,     0.40,     0.40
150.0,     0.00,     0.33,     0.33
151.0,     0.00,     0.35,     0.35
152.0,     0.00,     0.41,     0.41
153.0,     0.00,     0.34,     0.34
154.0,     0.00,     0.32,     0.32
155.0,     0.00,     0.35,     0.35
156.0,     0.00,     0.36,     0.36
157.0,     0.00,     0.34,     0.34
158.0,     0.00,     0.29,     0.29
159.0,     0.00,     0.33,     0.33
160.0,     0.00,     0.37,     0.37
161.0,     0.00,     0.34,     0.34
162.0,     0.00,     0.28,     0.28
163.0,     0.00,     0.35,     0.35
164.0,     0.00,     0.32,     0.32
165.0,     0.00,     0.34,     0.34
166.0,     0.00,     0.29,     0.29
167.0,     0.00,     0.30,     0.30
168.0,     0.00,     0.31,     0.31
169.0,     0.00,     0.35,     0.35
170.0,     0.00,     0.26,     0.26
171.0,     0.00,     0.29,     0.29
172.0,     0.00,     0.33,     0.33
173.0,     0.00,     0.29,     0.29
174.0,     0.00,     0.26,     0.26
175.0,     0.00,     0.29,     0.29
176.0,     0.00,     0.28,     0.28
177.0,     0.00,     0.33,     0.33
178.0,     0.00,     0.24,     0.24
179.0,     0.00,     0.28,     0.28
180.0,     0.00,     0.28,     0.28
181.0,     0.00,     0.30,     0.30
182.0,     0.00,     0.23,     0.23
183.0,     0.00,     0.27,     0.27
184.0,     0.00,     0.29,     0.29
185.0,     0.00,     0.27,     0.27
186.0,     0.00,     0.23,     0.23
187.0,     0.00,     0.25,     0.25
188.0,     0.00,     0.29,     0.29
189.0,     0.00,     0.28,     0.28
190.0,     0.00,     0.22,     0.22
191.0,     0.00,     0.24,     0.24
192.0,     0.00,     0.27,     0.27
193.0,     0.00,     0.27,     0.27
194.0,     0.00,     0.22,     0.22
195.0,     0.00,     0.25,     0.25
196.0,     0.00,     0.25,     0.25
197.0,     0.00,     0.28,     0.28
198.0,     0.00,     0.22,     0.22
199.0,     0.00,     0.24,     0.24
200.0,     0.00,     0.25,     0.25
201.0,     0.00,     0.23,     0.23
202.0,     0.00,     0.21,     0.21
203.0,     0.00,     0.23,     0.23
204.0,     0.00,     0.24,     0.24
205.0,     0.00,     0.23,     0.23
206.0,     0.00,     0.21,     0.21
207.0,     0.00,     0.22,     0.22
208.0,     0.00,     0.25,     0.25
209.0,     0.00,     0.23,     0.23
210.0,     0.00,     0.19,     0.19
211.0,     0.00,     0.22,     0.22
212.0,     0.00,     0.22,     0.22
213.0,     0.00,     0.25,     0.25
214.0,     0.00,     0.19,     0.19
215.0,     0.00,     0.21,     0.21
216.0,     0.00,     0.23,     0.23
217.0,     0.00,     0.24,     0.24
218.0,     0.00,     0.18,     0.18
219.0,     0.00,     0.17,     0.17
