z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
17.0,     2.44,     0.63,     0.01,     0.19,  1216.31,   191.04
17.5,     2.49,     0.65,     0.01,     0.20,  1219.98,   193.35
18.0,     2.53,     0.67,     0.01,     0.21,  1223.14,   196.03
18.5,     2.58,     0.68,     0.01,     0.21,  1225.85,   198.95
19.0,     2.62,     0.70,     0.01,     0.22,  1228.13,   202.05
19.5,     2.66,     0.72,     0.01,     0.22,  1229.97,   205.33
20.0,     2.70,     0.74,     0.01,     0.23,  1231.36,   208.79
20.5,     2.74,     0.76,     0.01,     0.23,  1232.17,   212.57
21.0,     2.78,     0.78,     0.01,     0.24,  1232.38,   216.69
21.5,     2.81,     0.79,     0.01,     0.24,  1232.04,   221.19
22.0,     2.85,     0.81,     0.01,     0.25,  1231.18,   226.01
22.5,     2.88,     0.83,     0.00,     0.25,  1229.79,   231.13
23.0,     2.91,     0.85,     0.00,     0.26,  1227.83,   236.57
23.5,     2.94,     0.86,     0.00,     0.27,  1225.30,   242.31
24.0,     2.97,     0.88,     0.00,     0.27,  1222.21,   248.25
24.5,     2.99,     0.90,     0.00,     0.28,  1218.54,   254.45
25.0,     3.02,     0.92,     0.00,     0.28,  1214.30,   260.97
25.5,     3.04,     0.93,     0.00,     0.29,  1209.53,   267.75
26.0,     3.06,     0.95,     0.00,     0.29,  1204.26,   274.70
26.5,     3.08,     0.97,    -0.00,     0.30,  1198.56,   281.74
27.0,     3.10,     0.98,    -0.00,     0.30,  1192.55,   288.70
27.5,     3.12,     1.00,    -0.00,     0.31,  1186.29,   295.51
28.0,     3.14,     1.02,    -0.00,     0.31,  1179.86,   302.07
28.5,     3.15,     1.03,    -0.00,     0.31,  1173.29,   308.35
29.0,     3.17,     1.04,    -0.00,     0.32,  1166.56,   314.38
29.5,     3.18,     1.06,    -0.00,     0.32,  1159.62,   320.18
30.0,     3.19,     1.07,    -0.00,     0.33,  1152.42,   325.78
30.5,     3.21,     1.08,    -0.00,     0.33,  1144.99,   331.21
31.0,     3.22,     1.09,    -0.00,     0.34,  1137.38,   336.46
31.5,     3.23,     1.11,    -0.00,     0.34,  1129.59,   341.55
32.0,     3.24,     1.12,    -0.00,     0.35,  1121.61,   346.45
32.5,     3.24,     1.13,    -0.00,     0.35,  1113.41,   351.13
33.0,     3.25,     1.14,    -0.01,     0.36,  1105.04,   355.57
33.5,     3.26,     1.15,    -0.01,     0.36,  1096.51,   359.75
34.0,     3.26,     1.16,    -0.01,     0.37,  1087.91,   363.66
34.5,     3.27,     1.17,    -0.01,     0.37,  1079.27,   367.29
35.0,     3.27,     1.17,    -0.01,     0.37,  1070.61,   370.64
35.5,     3.28,     1.18,    -0.01,     0.38,  1061.97,   373.74
36.0,     3.28,     1.19,    -0.01,     0.38,  1053.37,   376.61
36.5,     3.28,     1.19,    -0.01,     0.38,  1044.86,   379.28
37.0,     3.28,     1.20,    -0.01,     0.39,  1036.43,   381.75
37.5,     3.29,     1.20,    -0.01,     0.39,  1028.05,   384.03
38.0,     3.29,     1.21,    -0.01,     0.39,  1019.74,   386.11
38.5,     3.29,     1.21,    -0.01,     0.40,  1011.44,   388.02
39.0,     3.29,     1.22,    -0.01,     0.40,  1003.14,   389.75
39.5,     3.29,     1.22,    -0.01,     0.40,   994.84,   391.31
40.0,     3.29,     1.22,    -0.01,     0.41,   986.52,   392.73
40.5,     3.29,     1.23,    -0.01,     0.41,   978.23,   393.97
41.0,     3.29,     1.23,    -0.01,     0.41,   970.01,   394.98
41.5,     3.29,     1.23,    -0.01,     0.42,   961.78,   395.74
42.0,     3.28,     1.23,    -0.01,     0.42,   953.57,   396.25
42.5,     3.28,     1.23,    -0.01,     0.42,   945.34,   396.51
43.0,     3.28,     1.23,    -0.01,     0.43,   937.14,   396.56
43.5,     3.27,     1.24,    -0.02,     0.43,   928.94,   396.37
44.0,     3.27,     1.24,    -0.02,     0.43,   920.78,   395.99
44.5,     3.26,     1.24,    -0.02,     0.43,   912.61,   395.42
45.0,     3.26,     1.24,    -0.02,     0.44,   904.48,   394.72
45.5,     3.26,     1.24,    -0.02,     0.44,   896.39,   393.94
46.0,     3.25,     1.24,    -0.02,     0.44,   888.36,   393.09
46.5,     3.24,     1.24,    -0.02,     0.44,   880.40,   392.07
47.0,     3.24,     1.23,    -0.02,     0.44,   872.50,   390.96
47.5,     3.23,     1.24,    -0.02,     0.45,   864.56,   389.64
48.0,     3.23,     1.23,    -0.02,     0.45,   856.75,   388.26
48.5,     3.22,     1.24,    -0.02,     0.45,   848.76,   386.66
49.0,     3.21,     1.23,    -0.02,     0.45,   841.33,   384.83
49.5,     3.21,     1.25,    -0.02,     0.46,   833.54,   386.04
50.0,     3.19,     1.25,    -0.02,     0.47,   821.08,   380.14
51.0,     3.15,     1.18,    -0.02,     0.45,   798.41,   360.26
52.0,     3.15,     1.18,    -0.02,     0.46,   784.93,   353.86
53.0,     3.14,     1.18,    -0.02,     0.46,   772.17,   348.28
54.0,     3.13,     1.18,    -0.02,     0.46,   759.82,   342.95
55.0,     3.12,     1.18,    -0.02,     0.47,   747.86,   337.68
56.0,     3.11,     1.17,    -0.02,     0.47,   736.27,   332.41
57.0,     3.10,     1.17,    -0.02,     0.47,   725.04,   327.08
58.0,     3.09,     1.16,    -0.02,     0.47,   714.10,   321.65
59.0,     3.08,     1.16,    -0.02,     0.48,   703.37,   316.01
60.0,     3.07,     1.16,    -0.02,     0.48,   692.85,   310.22
61.0,     3.06,     1.15,    -0.01,     0.48,   682.54,   304.36
62.0,     3.05,     1.15,    -0.01,     0.48,   672.46,   298.48
63.0,     3.03,     1.15,    -0.01,     0.48,   662.64,   292.63
64.0,     3.02,     1.14,    -0.01,     0.48,   653.09,   286.82
65.0,     3.01,     1.14,    -0.01,     0.48,   643.83,   281.05
66.0,     3.00,     1.14,    -0.01,     0.48,   634.88,   275.34
67.0,     2.99,     1.13,    -0.01,     0.48,   626.22,   269.67
68.0,     2.97,     1.13,    -0.01,     0.48,   617.84,   264.04
69.0,     2.96,     1.13,    -0.01,     0.48,   609.76,   258.40
70.0,     2.95,     1.12,    -0.01,     0.48,   601.98,   252.80
71.0,     2.94,     1.12,    -0.01,     0.48,   594.52,   247.25
72.0,     2.93,     1.12,    -0.01,     0.48,   587.37,   241.78
73.0,     2.92,     1.11,    -0.01,     0.48,   580.49,   236.38
74.0,     2.91,     1.11,    -0.01,     0.48,   573.82,   230.94
75.0,     2.90,     1.10,    -0.01,     0.49,   567.34,   225.46
76.0,     2.89,     1.09,    -0.01,     0.49,   561.00,   219.90
77.0,     2.88,     1.09,    -0.01,     0.49,   554.78,   214.31
78.0,     2.87,     1.08,    -0.01,     0.49,   548.78,   208.55
79.0,     2.86,     1.09,    -0.01,     0.51,   543.08,   204.08
80.0,     2.84,     1.08,    -0.01,     0.50,   534.58,   194.84
82.0,     2.78,     0.97,    -0.01,     0.47,   518.34,   173.11
84.0,     2.76,     0.96,    -0.00,     0.47,   509.13,   163.30
86.0,     2.74,     0.95,    -0.00,     0.48,   500.51,   154.80
88.0,     2.72,     0.94,    -0.00,     0.48,   492.39,   147.13
90.0,     2.71,     0.94,    -0.00,     0.48,   484.70,   140.00
92.0,     2.69,     0.94,    -0.00,     0.48,   477.44,   133.33
94.0,     2.67,     0.93,    -0.00,     0.48,   470.60,   127.16
96.0,     2.65,     0.92,    -0.00,     0.48,   464.21,   121.46
98.0,     2.63,     0.92,    -0.01,     0.48,   458.23,   116.14
100.0,     2.61,     0.91,    -0.01,     0.48,   452.66,   111.15
102.0,     2.59,     0.91,    -0.01,     0.49,   447.44,   106.43
104.0,     2.57,     0.90,    -0.00,     0.49,   442.57,   101.99
106.0,     2.55,     0.90,    -0.00,     0.49,   437.98,    97.84
108.0,     2.53,     0.89,    -0.01,     0.49,   433.63,    93.91
110.0,     2.52,     0.89,    -0.01,     0.49,   429.51,    90.21
112.0,     2.50,     0.88,    -0.01,     0.49,   425.61,    86.75
114.0,     2.48,     0.87,    -0.01,     0.49,   421.88,    83.49
116.0,     2.46,     0.87,    -0.01,     0.49,   418.32,    80.42
118.0,     2.44,     0.87,    -0.01,     0.49,   414.93,    77.53
120.0,     2.42,     0.86,    -0.01,     0.49,   411.70,    74.80
