z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
33.0,     3.32,     1.01,    -0.00,     0.25,  1107.01,   253.56
34.0,     3.36,     1.03,    -0.00,     0.26,  1099.15,   259.34
35.0,     3.39,     1.05,    -0.00,     0.26,  1090.94,   265.01
36.0,     3.42,     1.08,    -0.00,     0.27,  1082.46,   270.64
37.0,     3.44,     1.10,    -0.00,     0.27,  1073.68,   276.23
38.0,     3.47,     1.12,    -0.00,     0.28,  1064.64,   281.79
39.0,     3.49,     1.14,    -0.00,     0.28,  1055.35,   287.35
40.0,     3.51,     1.16,    -0.00,     0.29,  1045.90,   292.85
41.0,     3.53,     1.17,    -0.00,     0.29,  1036.30,   298.24
42.0,     3.54,     1.19,    -0.00,     0.30,  1026.60,   303.47
43.0,     3.56,     1.21,    -0.00,     0.30,  1016.71,   308.55
44.0,     3.57,     1.22,    -0.00,     0.31,  1006.67,   313.47
45.0,     3.58,     1.24,    -0.00,     0.31,   996.50,   318.17
46.0,     3.59,     1.25,    -0.00,     0.32,   986.15,   322.64
47.0,     3.60,     1.26,    -0.00,     0.32,   975.61,   326.87
48.0,     3.60,     1.28,    -0.00,     0.33,   964.82,   330.84
49.0,     3.60,     1.29,    -0.00,     0.33,   953.79,   334.51
50.0,     3.60,     1.30,    -0.00,     0.34,   942.50,   337.85
51.0,     3.60,     1.31,    -0.00,     0.34,   930.97,   340.82
52.0,     3.59,     1.32,    -0.00,     0.34,   919.20,   343.40
53.0,     3.59,     1.33,    -0.00,     0.35,   907.22,   345.52
54.0,     3.58,     1.34,    -0.00,     0.35,   895.06,   347.15
55.0,     3.57,     1.35,    -0.00,     0.36,   882.76,   348.29
56.0,     3.56,     1.36,    -0.00,     0.36,   870.38,   348.96
57.0,     3.54,     1.37,    -0.00,     0.36,   857.98,   349.14
58.0,     3.53,     1.37,    -0.00,     0.37,   845.61,   348.82
59.0,     3.52,     1.38,    -0.00,     0.37,   833.28,   348.06
60.0,     3.50,     1.39,    -0.01,     0.37,   821.02,   346.84
61.0,     3.49,     1.39,    -0.01,     0.38,   808.81,   345.13
62.0,     3.47,     1.39,    -0.01,     0.38,   796.63,   342.97
63.0,     3.45,     1.39,    -0.01,     0.39,   784.52,   340.41
64.0,     3.44,     1.40,    -0.01,     0.39,   772.47,   337.41
65.0,     3.42,     1.40,    -0.01,     0.39,   760.55,   334.06
66.0,     3.40,     1.40,    -0.01,     0.39,   748.76,   330.35
67.0,     3.38,     1.39,    -0.01,     0.40,   737.13,   326.28
68.0,     3.36,     1.39,    -0.01,     0.40,   725.73,   321.94
69.0,     3.35,     1.39,    -0.01,     0.40,   714.59,   317.32
70.0,     3.33,     1.39,    -0.01,     0.41,   703.69,   312.46
71.0,     3.31,     1.38,    -0.01,     0.41,   692.99,   307.38
72.0,     3.29,     1.38,    -0.01,     0.41,   682.52,   302.14
73.0,     3.27,     1.38,    -0.01,     0.42,   672.24,   296.77
74.0,     3.25,     1.37,    -0.01,     0.42,   662.25,   291.36
75.0,     3.23,     1.37,    -0.01,     0.42,   652.46,   285.81
76.0,     3.21,     1.36,    -0.00,     0.42,   642.98,   280.21
77.0,     3.19,     1.37,    -0.00,     0.43,   633.66,   274.57
78.0,     3.17,     1.35,    -0.00,     0.43,   624.51,   268.43
79.0,     3.15,     1.37,    -0.00,     0.44,   616.75,   266.47
80.0,     3.12,     1.36,    -0.00,     0.45,   602.27,   254.68
82.0,     3.01,     1.16,    -0.00,     0.42,   573.16,   220.35
84.0,     2.97,     1.16,    -0.00,     0.43,   560.03,   208.97
86.0,     2.94,     1.15,    -0.00,     0.43,   547.93,   198.81
88.0,     2.92,     1.14,    -0.00,     0.43,   536.77,   189.60
90.0,     2.90,     1.13,    -0.00,     0.43,   526.39,   181.05
92.0,     2.87,     1.12,    -0.00,     0.44,   516.71,   173.02
94.0,     2.85,     1.12,    -0.00,     0.44,   507.59,   165.37
96.0,     2.83,     1.11,    -0.00,     0.44,   499.00,   158.04
98.0,     2.80,     1.10,    -0.00,     0.44,   490.85,   151.01
100.0,     2.78,     1.09,    -0.00,     0.44,   483.12,   144.31
102.0,     2.75,     1.09,    -0.00,     0.44,   475.79,   138.00
104.0,     2.73,     1.08,    -0.00,     0.44,   468.86,   132.06
106.0,     2.70,     1.07,     0.00,     0.44,   462.31,   126.48
108.0,     2.67,     1.06,     0.00,     0.44,   456.15,   121.25
110.0,     2.65,     1.05,     0.01,     0.44,   450.38,   116.28
112.0,     2.62,     1.05,     0.01,     0.44,   444.97,   111.57
114.0,     2.60,     1.04,     0.01,     0.44,   439.92,   107.13
116.0,     2.58,     1.03,     0.01,     0.44,   435.20,   102.96
118.0,     2.56,     1.02,     0.01,     0.44,   430.80,    99.05
120.0,     2.53,     1.01,     0.01,     0.44,   426.66,    95.40
