z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
34.0,     3.33,     0.74,     0.02,     0.41,  1240.42,   163.57
35.0,     3.42,     0.76,     0.02,     0.41,  1246.04,   163.79
36.0,     3.51,     0.77,     0.02,     0.41,  1251.40,   163.88
37.0,     3.60,     0.79,     0.01,     0.41,  1256.50,   163.92
38.0,     3.69,     0.81,     0.01,     0.41,  1261.33,   164.02
39.0,     3.77,     0.82,     0.01,     0.42,  1265.89,   164.28
40.0,     3.85,     0.84,     0.01,     0.42,  1270.18,   164.73
41.0,     3.93,     0.86,     0.01,     0.42,  1274.24,   165.38
42.0,     4.01,     0.87,     0.01,     0.42,  1278.09,   166.21
43.0,     4.08,     0.89,     0.01,     0.43,  1281.70,   167.19
44.0,     4.16,     0.90,     0.01,     0.43,  1285.07,   168.32
45.0,     4.23,     0.92,     0.01,     0.43,  1288.23,   169.60
46.0,     4.30,     0.94,     0.01,     0.44,  1291.14,   171.03
47.0,     4.37,     0.95,     0.01,     0.44,  1293.85,   172.60
48.0,     4.44,     0.97,     0.01,     0.45,  1296.31,   174.39
49.0,     4.50,     0.99,     0.01,     0.45,  1298.57,   176.32
50.0,     4.57,     1.00,     0.01,     0.45,  1300.59,   178.39
51.0,     4.63,     1.02,     0.01,     0.46,  1302.37,   180.61
52.0,     4.69,     1.04,     0.01,     0.46,  1303.92,   182.91
53.0,     4.75,     1.05,     0.00,     0.47,  1305.23,   185.36
54.0,     4.80,     1.07,     0.00,     0.47,  1306.32,   187.96
55.0,     4.86,     1.09,     0.00,     0.47,  1307.17,   190.71
56.0,     4.91,     1.11,     0.00,     0.48,  1307.80,   193.59
57.0,     4.96,     1.12,     0.00,     0.48,  1308.20,   196.59
58.0,     5.02,     1.14,     0.00,     0.49,  1308.41,   199.68
59.0,     5.07,     1.16,    -0.00,     0.49,  1308.45,   202.83
60.0,     5.11,     1.18,    -0.00,     0.50,  1308.32,   206.03
61.0,     5.16,     1.19,    -0.00,     0.50,  1308.03,   209.21
62.0,     5.21,     1.21,    -0.00,     0.51,  1307.58,   212.42
63.0,     5.25,     1.22,    -0.00,     0.51,  1306.94,   215.65
64.0,     5.30,     1.24,    -0.00,     0.52,  1306.12,   218.93
65.0,     5.34,     1.25,    -0.00,     0.52,  1305.12,   222.32
66.0,     5.38,     1.27,    -0.00,     0.53,  1303.95,   225.86
67.0,     5.42,     1.28,    -0.00,     0.53,  1302.62,   229.57
68.0,     5.46,     1.30,    -0.00,     0.54,  1301.15,   233.41
69.0,     5.50,     1.31,    -0.00,     0.54,  1299.59,   237.28
70.0,     5.54,     1.33,    -0.01,     0.55,  1297.95,   241.20
71.0,     5.58,     1.34,    -0.01,     0.55,  1296.20,   245.15
72.0,     5.61,     1.36,    -0.01,     0.56,  1294.38,   249.12
73.0,     5.65,     1.37,    -0.01,     0.57,  1292.46,   253.12
74.0,     5.68,     1.39,    -0.01,     0.57,  1290.46,   257.08
75.0,     5.71,     1.40,    -0.01,     0.58,  1288.31,   260.98
76.0,     5.74,     1.41,    -0.01,     0.59,  1285.99,   264.82
77.0,     5.77,     1.43,    -0.01,     0.59,  1283.44,   268.64
78.0,     5.80,     1.44,    -0.01,     0.60,  1280.58,   272.44
79.0,     5.83,     1.46,    -0.01,     0.61,  1277.41,   276.27
80.0,     5.85,     1.47,    -0.01,     0.61,  1273.92,   280.18
81.0,     5.88,     1.49,    -0.01,     0.62,  1270.11,   284.19
82.0,     5.90,     1.50,    -0.01,     0.62,  1266.03,   288.35
83.0,     5.92,     1.52,    -0.01,     0.63,  1261.70,   292.71
84.0,     5.94,     1.54,    -0.01,     0.63,  1257.21,   297.18
85.0,     5.96,     1.55,    -0.01,     0.64,  1252.56,   301.75
86.0,     5.98,     1.57,    -0.01,     0.65,  1247.84,   306.33
87.0,     6.00,     1.59,    -0.01,     0.65,  1243.12,   310.90
88.0,     6.01,     1.60,    -0.02,     0.66,  1238.40,   315.39
89.0,     6.03,     1.62,    -0.02,     0.66,  1233.71,   319.81
90.0,     6.04,     1.64,    -0.02,     0.67,  1229.08,   324.09
91.0,     6.06,     1.65,    -0.02,     0.67,  1224.50,   328.22
92.0,     6.07,     1.67,    -0.02,     0.68,  1219.94,   332.19
93.0,     6.08,     1.68,    -0.02,     0.69,  1215.36,   335.97
94.0,     6.09,     1.69,    -0.02,     0.69,  1210.91,   339.56
95.0,     6.11,     1.71,    -0.02,     0.70,  1206.39,   342.89
96.0,     6.12,     1.72,    -0.02,     0.70,  1202.17,   346.10
97.0,     6.13,     1.74,    -0.02,     0.71,  1197.59,   349.13
98.0,     6.14,     1.75,    -0.02,     0.72,  1193.87,   351.46
99.0,     6.15,     1.78,    -0.02,     0.73,  1188.85,   357.81
100.0,     6.15,     1.79,    -0.02,     0.74,  1180.38,   358.17
102.0,     6.15,     1.75,    -0.02,     0.74,  1167.17,   348.50
104.0,     6.18,     1.77,    -0.02,     0.75,  1158.47,   350.10
106.0,     6.21,     1.79,    -0.02,     0.76,  1149.94,   352.34
108.0,     6.23,     1.80,    -0.02,     0.77,  1141.36,   354.89
110.0,     6.25,     1.82,    -0.02,     0.79,  1132.62,   357.63
112.0,     6.26,     1.84,    -0.02,     0.80,  1123.75,   360.43
114.0,     6.27,     1.85,    -0.02,     0.81,  1114.76,   363.16
116.0,     6.28,     1.87,    -0.02,     0.82,  1105.59,   365.72
118.0,     6.29,     1.88,    -0.02,     0.82,  1096.34,   368.06
120.0,     6.29,     1.89,    -0.02,     0.83,  1086.96,   370.07
122.0,     6.30,     1.91,    -0.02,     0.84,  1077.43,   371.78
124.0,     6.30,     1.92,    -0.02,     0.85,  1067.75,   373.23
126.0,     6.30,     1.94,    -0.03,     0.86,  1057.84,   374.36
128.0,     6.30,     1.95,    -0.03,     0.87,  1047.72,   375.21
130.0,     6.30,     1.96,    -0.03,     0.87,  1037.31,   375.81
132.0,     6.29,     1.97,    -0.03,     0.88,  1026.63,   376.19
134.0,     6.29,     1.98,    -0.03,     0.89,  1015.71,   376.34
136.0,     6.28,     1.99,    -0.02,     0.90,  1004.62,   376.30
138.0,     6.27,     2.00,    -0.02,     0.90,   993.37,   376.01
140.0,     6.26,     2.01,    -0.02,     0.91,   982.06,   375.58
142.0,     6.24,     2.02,    -0.02,     0.92,   970.80,   375.01
144.0,     6.23,     2.03,    -0.02,     0.92,   959.64,   374.29
146.0,     6.21,     2.03,    -0.02,     0.93,   948.60,   373.41
148.0,     6.20,     2.04,    -0.02,     0.94,   937.72,   372.37
150.0,     6.18,     2.05,    -0.02,     0.94,   926.91,   371.21
152.0,     6.16,     2.05,    -0.01,     0.95,   916.35,   370.07
154.0,     6.14,     2.07,    -0.01,     0.96,   905.57,   368.65
156.0,     6.12,     2.06,    -0.01,     0.96,   895.54,   366.82
158.0,     6.10,     2.11,    -0.01,     0.99,   884.72,   367.99
160.0,     6.07,     2.11,    -0.01,     0.99,   868.31,   360.94
164.0,     5.98,     1.94,    -0.01,     0.95,   838.90,   338.07
168.0,     5.95,     1.96,    -0.01,     0.96,   820.67,   331.04
172.0,     5.92,     1.97,    -0.01,     0.96,   803.35,   324.98
176.0,     5.88,     1.98,    -0.01,     0.97,   786.53,   319.10
180.0,     5.85,     1.98,    -0.01,     0.97,   770.20,   313.15
184.0,     5.81,     1.99,    -0.01,     0.97,   754.40,   307.13
188.0,     5.78,     1.99,    -0.01,     0.97,   739.21,   301.03
192.0,     5.74,     2.00,    -0.01,     0.98,   724.68,   294.78
196.0,     5.70,     2.00,    -0.01,     0.99,   710.90,   288.52
200.0,     5.67,     2.00,    -0.01,     0.99,   697.67,   282.03
204.0,     5.63,     2.00,    -0.00,     1.00,   684.74,   275.18
208.0,     5.59,     2.00,    -0.00,     1.00,   672.14,   268.16
212.0,     5.55,     2.00,     0.00,     1.00,   659.93,   261.04
216.0,     5.51,     2.00,     0.00,     1.00,   648.29,   253.91
220.0,     5.47,     2.00,     0.00,     1.00,   637.25,   246.80
