r, Q_conv, Q_rad, Q_total
150.0,     0.00,     0.51,     0.51
151.0,     0.00,     0.58,     0.58
152.0,     0.00,     0.70,     0.70
153.0,     0.00,     0.57,     0.57
154.0,     0.00,     0.50,     0.50
155.0,     0.00,     0.59,     0.59
156.0,     0.00,     0.61,     0.61
157.0,     0.00,     0.57,     0.57
158.0,     0.00,     0.46,     0.46
159.0,     0.00,     0.54,     0.54
160.0,     0.00,     0.63,     0.63
161.0,     0.00,     0.56,     0.56
162.0,     0.00,     0.43,     0.43
163.0,     0.00,     0.60,     0.60
164.0,     0.00,     0.52,     0.52
165.0,     0.00,     0.57,     0.57
166.0,     0.00,     0.46,     0.46
167.0,     0.00,     0.50,     0.50
168.0,     0.00,     0.52,     0.52
169.0,     0.00,     0.60,     0.60
170.0,     0.00,     0.39,     0.39
171.0,     0.00,     0.47,     0.47
172.0,     0.00,     0.55,     0.55
173.0,     0.00,     0.48,     0.48
174.0,     0.00,     0.40,     0.40
175.0,     0.00,     0.46,     0.46
176.0,     0.00,     0.45,     0.45
177.0,     0.00,     0.56,     0.56
178.0,     0.00,     0.37,     0.37
179.0,     0.00,     0.45,     0.45
180.0,     0.00,     0.45,     0.45
181.0,     0.00,     0.49,     0.49
182.0,     0.00,     0.34,     0.34
183.0,     0.00,     0.43,     0.43
184.0,     0.00,     0.47,     0.47
185.0,     0.00,     0.42,     0.42
186.0,     0.00,     0.34,     0.34
187.0,     0.00,     0.39,     0.39
188.0,     0.00,     0.46,     0.46
189.0,     0.00,     0.43,     0.43
190.0,     0.00,     0.31,     0.31
191.0,     0.00,     0.37,     0.37
192.0,     0.00,     0.42,     0.42
193.0,     0.00,     0.40,     0.40
194.0,     0.00,     0.31,     0.31
195.0,     0.00,     0.37,     0.37
196.0,     0.00,     0.38,     0.38
197.0,     0.00,     0.43,     0.43
198.0,     0.00,     0.31,     0.31
199.0,     0.00,     0.35,     0.35
200.0,     0.00,     0.38,     0.38
201.0,     0.00,     0.33,     0.33
202.0,     0.00,     0.30,     0.30
203.0,     0.00,     0.34,     0.34
204.0,     0.00,     0.34,     0.34
205.0,     0.00,     0.33,     0.33
206.0,     0.00,     0.29,     0.29
207.0,     0.00,     0.30,     0.30
208.0,     0.00,     0.35,     0.35
209.0,     0.00,     0.32,     0.32
210.0,     0.00,     0.24,     0.24
211.0,     0.00,     0.30,     0.30
212.0,     0.00,     0.30,     0.30
213.0,     0.00,     0.34,     0.34
214.0,     0.00,     0.23,     0.23
215.0,     0.00,     0.27,     0.27
216.0,     0.00,     0.30,     0.30
217.0,     0.00,     0.33,     0.33
218.0,     0.00,     0.22,     0.22
219.0,     0.00,     0.17,     0.17
