z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
33.0,     3.21,     0.72,     0.00,     0.41,  1227.34,   166.28
34.0,     3.31,     0.74,     0.00,     0.41,  1233.24,   166.31
35.0,     3.40,     0.75,     0.00,     0.41,  1238.91,   166.35
36.0,     3.49,     0.77,     0.00,     0.41,  1244.30,   166.46
37.0,     3.58,     0.79,     0.00,     0.41,  1249.36,   166.67
38.0,     3.66,     0.80,     0.00,     0.41,  1254.07,   167.10
39.0,     3.75,     0.82,     0.00,     0.41,  1258.48,   167.76
40.0,     3.83,     0.84,     0.00,     0.42,  1262.59,   168.67
41.0,     3.91,     0.85,    -0.00,     0.42,  1266.45,   169.78
42.0,     3.98,     0.87,    -0.00,     0.42,  1270.09,   171.03
43.0,     4.06,     0.89,    -0.00,     0.42,  1273.53,   172.41
44.0,     4.13,     0.91,    -0.00,     0.42,  1276.80,   173.85
45.0,     4.20,     0.92,    -0.00,     0.43,  1279.88,   175.36
46.0,     4.27,     0.94,    -0.00,     0.43,  1282.70,   177.01
47.0,     4.34,     0.96,    -0.00,     0.43,  1285.25,   178.84
48.0,     4.41,     0.97,    -0.00,     0.44,  1287.55,   180.84
49.0,     4.47,     0.99,    -0.01,     0.44,  1289.58,   183.01
50.0,     4.53,     1.01,    -0.01,     0.45,  1291.36,   185.31
51.0,     4.60,     1.03,    -0.01,     0.45,  1292.88,   187.73
52.0,     4.65,     1.04,    -0.01,     0.45,  1294.16,   190.25
53.0,     4.71,     1.06,    -0.01,     0.46,  1295.22,   192.91
54.0,     4.77,     1.08,    -0.01,     0.46,  1296.09,   195.73
55.0,     4.82,     1.10,    -0.01,     0.47,  1296.83,   198.60
56.0,     4.88,     1.11,    -0.01,     0.47,  1297.47,   201.45
57.0,     4.93,     1.13,    -0.01,     0.47,  1298.04,   204.24
58.0,     4.98,     1.15,    -0.01,     0.48,  1298.52,   206.97
59.0,     5.03,     1.16,    -0.01,     0.48,  1298.90,   209.65
60.0,     5.08,     1.18,    -0.01,     0.49,  1299.13,   212.33
61.0,     5.13,     1.19,    -0.01,     0.50,  1299.15,   215.10
62.0,     5.18,     1.21,    -0.01,     0.50,  1298.94,   218.02
63.0,     5.22,     1.22,    -0.01,     0.51,  1298.49,   221.10
64.0,     5.27,     1.24,    -0.01,     0.51,  1297.79,   224.37
65.0,     5.31,     1.25,    -0.01,     0.52,  1296.87,   227.86
66.0,     5.35,     1.27,    -0.01,     0.53,  1295.73,   231.57
67.0,     5.39,     1.29,    -0.01,     0.53,  1294.37,   235.47
68.0,     5.43,     1.31,    -0.01,     0.54,  1292.84,   239.49
69.0,     5.47,     1.32,    -0.01,     0.54,  1291.12,   243.62
70.0,     5.50,     1.34,    -0.01,     0.55,  1289.30,   247.70
71.0,     5.54,     1.36,    -0.00,     0.55,  1287.35,   251.74
72.0,     5.57,     1.37,    -0.00,     0.56,  1285.32,   255.69
73.0,     5.61,     1.39,    -0.00,     0.56,  1283.19,   259.54
74.0,     5.64,     1.40,    -0.00,     0.57,  1280.94,   263.31
75.0,     5.67,     1.42,    -0.00,     0.58,  1278.57,   266.97
76.0,     5.70,     1.43,    -0.00,     0.58,  1276.01,   270.57
77.0,     5.73,     1.45,    -0.00,     0.59,  1273.25,   274.15
78.0,     5.76,     1.46,     0.00,     0.59,  1270.25,   277.77
79.0,     5.79,     1.48,     0.00,     0.60,  1267.01,   281.49
80.0,     5.81,     1.49,     0.00,     0.60,  1263.55,   285.34
81.0,     5.84,     1.51,     0.00,     0.61,  1259.84,   289.33
82.0,     5.86,     1.52,     0.00,     0.62,  1255.97,   293.39
83.0,     5.88,     1.54,     0.00,     0.62,  1251.93,   297.52
84.0,     5.90,     1.56,     0.00,     0.63,  1247.81,   301.66
85.0,     5.92,     1.57,     0.00,     0.63,  1243.56,   305.82
86.0,     5.94,     1.59,     0.00,     0.64,  1239.21,   309.99
87.0,     5.96,     1.61,     0.00,     0.64,  1234.79,   314.16
88.0,     5.97,     1.62,     0.00,     0.65,  1230.29,   318.27
89.0,     5.99,     1.64,     0.00,     0.66,  1225.76,   322.26
90.0,     6.01,     1.65,     0.00,     0.66,  1221.24,   326.09
91.0,     6.02,     1.67,     0.00,     0.67,  1216.69,   329.78
92.0,     6.04,     1.68,     0.00,     0.67,  1212.15,   333.31
93.0,     6.05,     1.69,     0.00,     0.68,  1207.59,   336.75
94.0,     6.07,     1.71,     0.00,     0.68,  1203.08,   340.10
95.0,     6.08,     1.72,     0.00,     0.69,  1198.47,   343.30
96.0,     6.09,     1.73,     0.00,     0.70,  1194.08,   346.49
97.0,     6.10,     1.75,     0.00,     0.71,  1189.38,   349.57
98.0,     6.11,     1.76,     0.00,     0.71,  1185.36,   352.10
99.0,     6.12,     1.79,     0.00,     0.73,  1180.38,   358.70
100.0,     6.13,     1.81,     0.00,     0.74,  1171.28,   359.51
102.0,     6.11,     1.77,     0.00,     0.73,  1155.93,   350.97
104.0,     6.14,     1.79,     0.00,     0.74,  1147.00,   353.23
106.0,     6.18,     1.81,     0.00,     0.76,  1138.34,   356.12
108.0,     6.20,     1.83,     0.00,     0.77,  1129.67,   359.26
110.0,     6.22,     1.85,     0.01,     0.78,  1120.98,   362.39
112.0,     6.23,     1.86,     0.01,     0.79,  1112.20,   365.47
114.0,     6.24,     1.88,     0.01,     0.80,  1103.41,   368.39
116.0,     6.25,     1.89,     0.01,     0.81,  1094.51,   371.15
118.0,     6.26,     1.91,     0.01,     0.82,  1085.50,   373.72
120.0,     6.27,     1.92,     0.01,     0.82,  1076.36,   376.10
122.0,     6.27,     1.94,     0.01,     0.83,  1066.96,   378.23
124.0,     6.28,     1.95,     0.01,     0.84,  1057.35,   380.12
126.0,     6.28,     1.96,     0.01,     0.85,  1047.44,   381.79
128.0,     6.28,     1.98,     0.01,     0.86,  1037.41,   383.16
130.0,     6.28,     1.99,     0.01,     0.86,  1027.18,   384.22
132.0,     6.28,     2.01,     0.01,     0.87,  1016.77,   385.02
134.0,     6.27,     2.02,     0.01,     0.88,  1006.26,   385.60
136.0,     6.27,     2.03,     0.01,     0.88,   995.66,   385.95
138.0,     6.26,     2.05,     0.01,     0.89,   985.08,   386.10
140.0,     6.25,     2.06,     0.01,     0.90,   974.53,   386.00
142.0,     6.24,     2.07,     0.01,     0.90,   963.94,   385.59
144.0,     6.23,     2.08,     0.01,     0.91,   953.31,   384.83
146.0,     6.22,     2.09,     0.01,     0.91,   942.55,   383.70
148.0,     6.20,     2.10,     0.01,     0.92,   931.73,   382.25
150.0,     6.19,     2.11,     0.01,     0.93,   920.95,   380.43
152.0,     6.17,     2.11,     0.01,     0.93,   910.38,   378.44
154.0,     6.15,     2.13,     0.01,     0.94,   899.61,   376.09
156.0,     6.14,     2.12,     0.01,     0.94,   889.41,   373.25
158.0,     6.12,     2.16,     0.01,     0.97,   878.76,   373.20
160.0,     6.08,     2.16,     0.01,     0.98,   862.04,   365.36
164.0,     5.97,     2.00,     0.01,     0.94,   831.55,   341.73
168.0,     5.94,     2.01,     0.01,     0.95,   813.79,   333.74
172.0,     5.91,     2.02,     0.01,     0.95,   796.90,   326.92
176.0,     5.87,     2.03,     0.01,     0.96,   780.57,   320.58
180.0,     5.83,     2.04,     0.01,     0.97,   764.82,   314.38
184.0,     5.79,     2.04,     0.00,     0.97,   749.66,   308.15
188.0,     5.76,     2.05,     0.00,     0.98,   735.03,   301.71
192.0,     5.72,     2.05,    -0.00,     0.99,   720.75,   294.84
196.0,     5.67,     2.05,    -0.00,     0.99,   706.82,   287.67
200.0,     5.63,     2.04,    -0.01,     1.00,   693.32,   280.37
204.0,     5.58,     2.04,    -0.01,     1.00,   680.22,   273.04
208.0,     5.54,     2.04,    -0.01,     1.01,   667.48,   265.76
212.0,     5.49,     2.03,    -0.01,     1.02,   655.06,   258.51
216.0,     5.44,     2.03,    -0.01,     1.02,   643.00,   251.33
220.0,     5.39,     2.02,    -0.01,     1.03,   631.39,   244.34
