r, Q_conv, Q_rad, Q_total
156.0,     0.00,     0.46,     0.46
157.0,     0.00,     0.44,     0.44
158.0,     0.00,     0.37,     0.37
159.0,     0.00,     0.41,     0.41
160.0,     0.00,     0.46,     0.46
161.0,     0.00,     0.43,     0.43
162.0,     0.00,     0.35,     0.35
163.0,     0.00,     0.45,     0.45
164.0,     0.00,     0.40,     0.40
165.0,     0.00,     0.43,     0.43
166.0,     0.00,     0.37,     0.37
167.0,     0.00,     0.39,     0.39
168.0,     0.00,     0.40,     0.40
169.0,     0.00,     0.45,     0.45
170.0,     0.00,     0.33,     0.33
171.0,     0.00,     0.37,     0.37
172.0,     0.00,     0.42,     0.42
173.0,     0.00,     0.38,     0.38
174.0,     0.00,     0.33,     0.33
175.0,     0.00,     0.37,     0.37
176.0,     0.00,     0.36,     0.36
177.0,     0.00,     0.43,     0.43
178.0,     0.00,     0.31,     0.31
179.0,     0.00,     0.36,     0.36
180.0,     0.00,     0.36,     0.36
181.0,     0.00,     0.39,     0.39
182.0,     0.00,     0.30,     0.30
183.0,     0.00,     0.35,     0.35
184.0,     0.00,     0.37,     0.37
185.0,     0.00,     0.35,     0.35
186.0,     0.00,     0.30,     0.30
187.0,     0.00,     0.33,     0.33
188.0,     0.00,     0.37,     0.37
189.0,     0.00,     0.36,     0.36
190.0,     0.00,     0.28,     0.28
191.0,     0.00,     0.32,     0.32
192.0,     0.00,     0.35,     0.35
193.0,     0.00,     0.35,     0.35
194.0,     0.00,     0.29,     0.29
195.0,     0.00,     0.33,     0.33
196.0,     0.00,     0.33,     0.33
197.0,     0.00,     0.37,     0.37
198.0,     0.00,     0.29,     0.29
199.0,     0.00,     0.32,     0.32
200.0,     0.00,     0.34,     0.34
201.0,     0.00,     0.31,     0.31
202.0,     0.00,     0.28,     0.28
203.0,     0.00,     0.31,     0.31
204.0,     0.00,     0.32,     0.32
205.0,     0.00,     0.31,     0.31
206.0,     0.00,     0.28,     0.28
207.0,     0.00,     0.29,     0.29
208.0,     0.00,     0.33,     0.33
209.0,     0.00,     0.31,     0.31
210.0,     0.00,     0.25,     0.25
211.0,     0.00,     0.29,     0.29
212.0,     0.00,     0.30,     0.30
213.0,     0.00,     0.33,     0.33
214.0,     0.00,     0.25,     0.25
215.0,     0.00,     0.28,     0.28
216.0,     0.00,     0.30,     0.30
217.0,     0.00,     0.33,     0.33
218.0,     0.00,     0.24,     0.24
219.0,     0.00,     0.24,     0.24
