z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
33.0,     3.33,     1.00,    -0.01,     0.25,  1109.41,   251.84
34.0,     3.36,     1.02,    -0.01,     0.25,  1101.65,   257.23
35.0,     3.39,     1.05,    -0.01,     0.26,  1093.51,   262.73
36.0,     3.42,     1.07,    -0.01,     0.26,  1084.99,   268.32
37.0,     3.44,     1.09,    -0.01,     0.26,  1076.12,   274.00
38.0,     3.47,     1.11,    -0.01,     0.27,  1066.91,   279.77
39.0,     3.49,     1.13,    -0.01,     0.27,  1057.47,   285.53
40.0,     3.51,     1.15,    -0.01,     0.28,  1047.83,   291.21
41.0,     3.53,     1.17,    -0.01,     0.28,  1038.01,   296.76
42.0,     3.54,     1.19,    -0.01,     0.28,  1028.06,   302.18
43.0,     3.56,     1.20,    -0.01,     0.29,  1017.95,   307.51
44.0,     3.57,     1.22,    -0.01,     0.29,  1007.71,   312.72
45.0,     3.58,     1.23,    -0.01,     0.30,   997.31,   317.77
46.0,     3.59,     1.25,    -0.01,     0.30,   986.74,   322.58
47.0,     3.60,     1.26,    -0.01,     0.31,   975.99,   327.14
48.0,     3.60,     1.27,    -0.01,     0.31,   965.05,   331.36
49.0,     3.60,     1.29,    -0.01,     0.32,   953.93,   335.21
50.0,     3.60,     1.30,    -0.01,     0.32,   942.60,   338.67
51.0,     3.60,     1.31,    -0.01,     0.33,   931.12,   341.70
52.0,     3.60,     1.32,    -0.01,     0.33,   919.47,   344.28
53.0,     3.59,     1.33,    -0.01,     0.34,   907.63,   346.39
54.0,     3.59,     1.34,    -0.01,     0.34,   895.60,   347.98
55.0,     3.58,     1.35,    -0.01,     0.35,   883.40,   349.05
56.0,     3.57,     1.35,    -0.01,     0.35,   871.07,   349.56
57.0,     3.56,     1.36,    -0.01,     0.35,   858.62,   349.51
58.0,     3.54,     1.37,    -0.01,     0.36,   846.16,   349.00
59.0,     3.53,     1.38,    -0.02,     0.36,   833.67,   348.00
60.0,     3.51,     1.38,    -0.02,     0.37,   821.28,   346.57
61.0,     3.50,     1.39,    -0.02,     0.37,   809.00,   344.70
62.0,     3.48,     1.39,    -0.02,     0.37,   796.87,   342.44
63.0,     3.47,     1.39,    -0.02,     0.38,   784.87,   339.84
64.0,     3.45,     1.39,    -0.02,     0.38,   773.00,   336.93
65.0,     3.43,     1.39,    -0.02,     0.38,   761.25,   333.74
66.0,     3.41,     1.39,    -0.02,     0.39,   749.61,   330.29
67.0,     3.39,     1.39,    -0.02,     0.39,   738.15,   326.62
68.0,     3.37,     1.39,    -0.02,     0.39,   726.87,   322.74
69.0,     3.35,     1.40,    -0.02,     0.40,   715.83,   318.67
70.0,     3.33,     1.39,    -0.02,     0.40,   705.05,   314.35
71.0,     3.31,     1.39,    -0.02,     0.40,   694.48,   309.78
72.0,     3.29,     1.39,    -0.02,     0.40,   684.18,   304.98
73.0,     3.27,     1.39,    -0.02,     0.41,   674.13,   299.98
74.0,     3.25,     1.38,    -0.02,     0.41,   664.36,   294.85
75.0,     3.24,     1.38,    -0.02,     0.41,   654.80,   289.54
76.0,     3.22,     1.37,    -0.02,     0.42,   645.55,   284.21
77.0,     3.20,     1.38,    -0.02,     0.42,   636.47,   278.81
78.0,     3.18,     1.36,    -0.02,     0.42,   627.66,   272.98
79.0,     3.16,     1.39,    -0.02,     0.43,   620.33,   271.26
80.0,     3.14,     1.37,    -0.02,     0.44,   606.25,   259.57
82.0,     3.04,     1.18,    -0.02,     0.41,   577.53,   225.28
84.0,     3.00,     1.17,    -0.02,     0.42,   564.54,   213.58
86.0,     2.97,     1.17,    -0.02,     0.42,   552.44,   202.97
88.0,     2.95,     1.16,    -0.02,     0.42,   541.17,   193.15
90.0,     2.93,     1.15,    -0.02,     0.43,   530.64,   184.08
92.0,     2.90,     1.14,    -0.02,     0.43,   520.78,   175.63
94.0,     2.88,     1.13,    -0.02,     0.43,   511.49,   167.68
96.0,     2.86,     1.12,    -0.02,     0.43,   502.80,   160.28
98.0,     2.83,     1.12,    -0.02,     0.43,   494.63,   153.33
100.0,     2.81,     1.11,    -0.02,     0.44,   486.99,   146.78
102.0,     2.78,     1.10,    -0.02,     0.44,   479.83,   140.63
104.0,     2.76,     1.09,    -0.02,     0.44,   473.10,   134.79
106.0,     2.74,     1.08,    -0.02,     0.44,   466.71,   129.22
108.0,     2.72,     1.07,    -0.01,     0.44,   460.65,   123.94
110.0,     2.69,     1.06,    -0.01,     0.44,   454.93,   118.93
112.0,     2.67,     1.05,    -0.01,     0.44,   449.54,   114.17
114.0,     2.65,     1.04,    -0.01,     0.44,   444.45,   109.67
116.0,     2.63,     1.03,    -0.01,     0.44,   439.61,   105.37
118.0,     2.61,     1.02,    -0.01,     0.44,   435.04,   101.30
120.0,     2.58,     1.01,    -0.01,     0.44,   430.68,    97.41
