x (m),W_rms (m/s)
 3.625000000e-01, 1.327400000e-01
 3.875000000e-01, 1.294360000e-01
 4.125000000e-01, 7.733990000e-02
 4.375000000e-01, 7.152670000e-02
 4.625000000e-01, 6.744240000e-02
 4.875000000e-01, 5.359760000e-02
 5.125000000e-01, 5.546190000e-02
 5.375000000e-01, 4.987240000e-02
 5.625000000e-01, 4.886720000e-02
 5.875000000e-01, 3.853680000e-02
 6.125000000e-01, 4.601860000e-02
 6.375000000e-01, 3.481350000e-02
 6.625000000e-01, 4.463240000e-02
 6.875000000e-01, 3.794620000e-02
 7.125000000e-01, 4.530500000e-02
 7.375000000e-01, 3.696200000e-02
 7.625000000e-01, 4.462940000e-02
 7.875000000e-01, 3.704870000e-02
 8.125000000e-01, 4.243370000e-02
 8.375000000e-01, 3.908270000e-02
 8.625000000e-01, 4.105340000e-02
 8.875000000e-01, 3.816440000e-02
 9.125000000e-01, 4.272900000e-02
 9.375000000e-01, 3.920240000e-02
 9.625000000e-01, 4.213070000e-02
 9.875000000e-01, 4.112940000e-02
 1.012500000e+00, 4.319750000e-02
 1.037500000e+00, 4.273980000e-02
 1.062500000e+00, 4.431880000e-02
 1.087500000e+00, 4.503610000e-02
 1.112500000e+00, 4.574150000e-02
 1.137500000e+00, 4.669680000e-02
 1.162500000e+00, 4.802330000e-02
 1.187500000e+00, 4.840530000e-02
 1.212500000e+00, 5.008500000e-02
 1.237500000e+00, 5.090860000e-02
 1.262500000e+00, 5.193930000e-02
 1.287500000e+00, 5.463000000e-02
 1.312500000e+00, 5.436410000e-02
 1.337500000e+00, 5.698900000e-02
 1.362500000e+00, 5.731630000e-02
 1.387500000e+00, 5.930140000e-02
 1.412500000e+00, 5.978530000e-02
 1.437500000e+00, 6.150770000e-02
 1.462500000e+00, 6.310900000e-02
 1.487500000e+00, 6.495370000e-02
 1.512500000e+00, 6.685700000e-02
 1.537500000e+00, 6.878150000e-02
 1.562500000e+00, 7.056880000e-02
 1.587500000e+00, 7.201310000e-02
 1.612500000e+00, 7.296990000e-02
 1.637500000e+00, 7.327970000e-02
 1.662500000e+00, 7.285830000e-02
 1.687500000e+00, 7.175260000e-02
 1.712500000e+00, 7.008470000e-02
 1.737500000e+00, 6.650760000e-02
 1.762500000e+00, 6.377420000e-02
 1.787500000e+00, 6.106550000e-02
 1.812500000e+00, 5.874290000e-02
 1.837500000e+00, 5.581120000e-02
 1.862500000e+00, 5.226630000e-02
 1.887500000e+00, 4.812140000e-02
 1.912500000e+00, 4.414460000e-02
 1.937500000e+00, 4.104750000e-02
 1.962500000e+00, 3.996360000e-02
 1.987500000e+00, 3.870660000e-02
 2.012500000e+00, 3.746640000e-02
 2.037500000e+00, 3.790550000e-02
 2.062500000e+00, 3.901660000e-02
 2.087500000e+00, 3.971170000e-02
 2.112500000e+00, 4.173800000e-02
 2.137500000e+00, 4.529870000e-02
 2.162500000e+00, 4.790300000e-02
 2.187500000e+00, 5.456840000e-02
 2.212500000e+00, 6.409980000e-02
 2.237500000e+00, 7.262260000e-02
 2.262500000e+00, 7.837720000e-02
 2.287500000e+00, 7.617790000e-02
 2.312500000e+00, 7.161340000e-02
 2.337500000e+00, 6.648290000e-02
 2.362500000e+00, 7.836650000e-02
 2.387500000e+00, 7.337180000e-02
 2.412500000e+00, 6.912840000e-02
 2.437500000e+00, 6.492270000e-02
 2.462500000e+00, 6.490310000e-02
 2.487500000e+00, 6.338710000e-02
 2.512500000e+00, 5.375900000e-02
 2.537500000e+00, 5.212270000e-02
 2.562500000e+00, 4.972800000e-02
 2.587500000e+00, 4.510760000e-02
 2.612500000e+00, 4.418150000e-02
 2.637500000e+00, 4.021790000e-02
 2.662500000e+00, 4.148570000e-02
 2.687500000e+00, 3.411080000e-02
 2.712500000e+00, 3.337900000e-02
 2.737500000e+00, 3.676350000e-02
 2.762500000e+00, 2.955500000e-02
 2.787500000e+00, 3.755890000e-02
 2.812500000e+00, 4.692880000e-02
 2.837500000e+00, 4.990350000e-02
 2.862500000e+00, 4.746870000e-02
 2.887500000e+00, 3.517020000e-02
 2.912500000e+00, 3.367800000e-02
 2.937500000e+00, 4.453140000e-02
 2.962500000e+00, 5.436920000e-02
 2.987500000e+00, 4.304950000e-02
 3.012500000e+00, 4.736180000e-02
 3.037500000e+00, 6.527940000e-02
 3.062500000e+00, 6.026190000e-02
 3.087500000e+00, 4.101510000e-02
