x (m),U_rms (m/s) 
-1.687500000e+00, 6.052080000e-02
-1.662500000e+00, 5.872670000e-02
-1.637500000e+00, 5.556790000e-02
-1.612500000e+00, 5.087400000e-02
-1.587500000e+00, 4.600780000e-02
-1.562500000e+00, 4.194410000e-02
-1.537500000e+00, 3.860140000e-02
-1.512500000e+00, 3.565510000e-02
-1.487500000e+00, 3.286440000e-02
-1.462500000e+00, 3.032880000e-02
-1.437500000e+00, 2.831280000e-02
-1.412500000e+00, 2.720150000e-02
-1.387500000e+00, 2.647220000e-02
-1.362500000e+00, 2.691970000e-02
-1.337500000e+00, 2.689800000e-02
-1.312500000e+00, 2.739890000e-02
-1.287500000e+00, 2.748670000e-02
-1.262500000e+00, 2.736150000e-02
-1.237500000e+00, 2.636100000e-02
-1.212500000e+00, 2.637430000e-02
-1.187500000e+00, 2.778840000e-02
-1.162500000e+00, 2.577230000e-02
-1.137500000e+00, 2.751230000e-02
-1.112500000e+00, 2.930510000e-02
-1.087500000e+00, 2.865490000e-02
-1.062500000e+00, 3.069340000e-02
-1.037500000e+00, 3.347140000e-02
-1.012500000e+00, 3.419600000e-02
-9.875000000e-01, 3.480790000e-02
-9.625000000e-01, 3.652930000e-02
-9.375000000e-01, 3.683020000e-02
-9.125000000e-01, 3.543100000e-02
-8.875000000e-01, 3.301340000e-02
-8.625000000e-01, 3.203750000e-02
-8.375000000e-01, 3.070770000e-02
-8.125000000e-01, 2.846830000e-02
-7.875000000e-01, 2.734780000e-02
-7.625000000e-01, 2.694070000e-02
-7.375000000e-01, 2.606150000e-02
-7.125000000e-01, 2.379260000e-02
-6.875000000e-01, 2.643340000e-02
-6.625000000e-01, 2.681660000e-02
-6.375000000e-01, 2.626230000e-02
-6.125000000e-01, 2.756030000e-02
-5.875000000e-01, 3.003120000e-02
-5.625000000e-01, 3.645660000e-02
-5.375000000e-01, 4.028630000e-02
-5.125000000e-01, 4.875300000e-02
-4.875000000e-01, 6.524200000e-02
-4.625000000e-01, 7.667300000e-02
-4.375000000e-01, 9.278860000e-02
-4.125000000e-01, 1.068590000e-01
-3.875000000e-01, 1.297570000e-01
-3.625000000e-01, 1.634640000e-01
-3.375000000e-01, 1.749010000e-01
-3.125000000e-01, 1.712880000e-01
-2.875000000e-01, 1.876500000e-01
-2.625000000e-01, 2.212070000e-01
-2.375000000e-01, 2.544820000e-01
-2.125000000e-01, 2.712780000e-01
-1.875000000e-01, 2.704000000e-01
-1.625000000e-01, 2.689740000e-01
-1.375000000e-01, 2.572560000e-01
-1.125000000e-01, 2.588660000e-01
-8.750000000e-02, 2.857840000e-01
-6.250000000e-02, 3.052950000e-01
-3.750000000e-02, 3.123060000e-01
-1.250000000e-02, 2.966050000e-01
 1.250000000e-02, 2.964150000e-01
 3.750000000e-02, 3.087920000e-01
 6.250000000e-02, 3.209490000e-01
 8.750000000e-02, 2.860640000e-01
 1.125000000e-01, 2.693300000e-01
 1.375000000e-01, 2.672150000e-01
 1.625000000e-01, 2.622700000e-01
 1.875000000e-01, 2.665080000e-01
 2.125000000e-01, 2.473460000e-01
 2.375000000e-01, 2.093720000e-01
 2.625000000e-01, 1.955590000e-01
 2.875000000e-01, 1.885620000e-01
 3.125000000e-01, 1.704100000e-01
 3.375000000e-01, 1.628180000e-01
 3.625000000e-01, 1.586510000e-01
 3.875000000e-01, 1.691410000e-01
 4.125000000e-01, 1.571680000e-01
 4.375000000e-01, 1.162740000e-01
 4.625000000e-01, 9.335350000e-02
 4.875000000e-01, 7.697240000e-02
 5.125000000e-01, 5.575030000e-02
 5.375000000e-01, 4.468050000e-02
 5.625000000e-01, 3.758040000e-02
 5.875000000e-01, 3.421650000e-02
 6.125000000e-01, 2.945990000e-02
 6.375000000e-01, 2.678280000e-02
 6.625000000e-01, 2.927530000e-02
 6.875000000e-01, 2.605880000e-02
 7.125000000e-01, 2.546720000e-02
 7.375000000e-01, 2.604230000e-02
 7.625000000e-01, 2.697090000e-02
 7.875000000e-01, 3.090840000e-02
 8.125000000e-01, 2.881430000e-02
 8.375000000e-01, 3.230940000e-02
 8.625000000e-01, 3.306300000e-02
 8.875000000e-01, 3.316840000e-02
 9.125000000e-01, 3.301300000e-02
 9.375000000e-01, 3.206830000e-02
 9.625000000e-01, 3.374550000e-02
 9.875000000e-01, 3.155380000e-02
 1.012500000e+00, 2.934400000e-02
 1.037500000e+00, 2.872090000e-02
 1.062500000e+00, 2.762840000e-02
 1.087500000e+00, 2.687350000e-02
 1.112500000e+00, 2.667770000e-02
 1.137500000e+00, 2.625470000e-02
 1.162500000e+00, 2.369750000e-02
 1.187500000e+00, 2.410680000e-02
 1.212500000e+00, 2.271360000e-02
 1.237500000e+00, 2.329030000e-02
 1.262500000e+00, 2.409340000e-02
 1.287500000e+00, 2.315720000e-02
 1.312500000e+00, 2.453560000e-02
 1.337500000e+00, 2.463850000e-02
 1.362500000e+00, 2.584010000e-02
 1.387500000e+00, 2.675590000e-02
 1.412500000e+00, 2.873250000e-02
 1.437500000e+00, 3.108650000e-02
 1.462500000e+00, 3.436060000e-02
 1.487500000e+00, 3.882780000e-02
 1.512500000e+00, 4.448850000e-02
 1.537500000e+00, 5.122580000e-02
 1.562500000e+00, 5.735410000e-02
 1.587500000e+00, 6.193450000e-02
 1.612500000e+00, 6.349160000e-02
 1.637500000e+00, 6.211370000e-02
 1.662500000e+00, 5.931100000e-02
 1.687500000e+00, 5.854980000e-02
 1.712500000e+00, 6.123070000e-02
 1.737500000e+00, 6.774860000e-02
 1.762500000e+00, 6.876430000e-02
 1.787500000e+00, 6.280640000e-02
 1.812500000e+00, 6.172670000e-02
 1.837500000e+00, 6.337860000e-02
 1.862500000e+00, 7.654110000e-02
 1.887500000e+00, 8.336310000e-02
 1.912500000e+00, 8.694710000e-02
 1.937500000e+00, 9.368450000e-02
 1.962500000e+00, 1.021540000e-01
 1.987500000e+00, 1.111860000e-01
 2.012500000e+00, 1.227070000e-01
 2.037500000e+00, 1.199120000e-01
 2.062500000e+00, 1.129400000e-01
 2.087500000e+00, 1.052720000e-01
 2.112500000e+00, 1.007090000e-01
 2.137500000e+00, 1.003720000e-01
 2.162500000e+00, 1.016420000e-01
 2.187500000e+00, 1.000310000e-01
 2.212500000e+00, 9.357440000e-02
 2.237500000e+00, 8.518620000e-02
 2.262500000e+00, 7.850130000e-02
 2.287500000e+00, 7.422370000e-02
 2.312500000e+00, 6.719350000e-02
 2.337500000e+00, 5.532950000e-02
 2.362500000e+00, 4.545020000e-02
 2.387500000e+00, 3.921900000e-02
 2.412500000e+00, 3.662820000e-02
 2.437500000e+00, 3.407730000e-02
 2.462500000e+00, 3.250000000e-02
 2.487500000e+00, 3.191660000e-02
 2.512500000e+00, 3.186170000e-02
 2.537500000e+00, 2.792820000e-02
 2.562500000e+00, 2.651500000e-02
 2.587500000e+00, 2.689510000e-02
 2.612500000e+00, 2.674980000e-02
 2.637500000e+00, 2.906270000e-02
 2.662500000e+00, 2.828500000e-02
 2.687500000e+00, 2.705510000e-02
 2.712500000e+00, 2.604940000e-02
 2.737500000e+00, 2.472230000e-02
 2.762500000e+00, 2.218810000e-02
 2.787500000e+00, 2.307430000e-02
 2.812500000e+00, 2.297930000e-02
 2.837500000e+00, 2.415220000e-02
 2.862500000e+00, 2.620740000e-02
 2.887500000e+00, 3.250430000e-02
 2.912500000e+00, 4.600610000e-02
 2.937500000e+00, 5.804090000e-02
 2.962500000e+00, 6.536500000e-02
 2.987500000e+00, 6.822070000e-02
 3.012500000e+00, 6.416410000e-02
 3.037500000e+00, 5.243380000e-02
 3.062500000e+00, 3.380910000e-02
 3.087500000e+00, 1.175450000e-02
