x (m),U_rms (m/s) 
-1.462500000e+00, 1.573200000e-02
-1.437500000e+00, 1.428530000e-02
-1.412500000e+00, 1.263410000e-02
-1.387500000e+00, 1.167520000e-02
-1.362500000e+00, 9.890210000e-03
-1.337500000e+00, 1.015600000e-02
-1.312500000e+00, 9.674860000e-03
-1.287500000e+00, 9.800240000e-03
-1.262500000e+00, 9.866530000e-03
-1.237500000e+00, 1.076340000e-02
-1.212500000e+00, 1.162590000e-02
-1.187500000e+00, 1.152570000e-02
-1.162500000e+00, 1.299020000e-02
-1.137500000e+00, 1.262260000e-02
-1.112500000e+00, 1.400930000e-02
-1.087500000e+00, 1.479820000e-02
-1.062500000e+00, 1.470050000e-02
-1.037500000e+00, 1.584200000e-02
-1.012500000e+00, 1.559130000e-02
-9.875000000e-01, 1.610670000e-02
-9.625000000e-01, 1.570480000e-02
-9.375000000e-01, 1.612510000e-02
-9.125000000e-01, 1.612930000e-02
-8.875000000e-01, 1.657200000e-02
-8.625000000e-01, 1.741150000e-02
-8.375000000e-01, 1.644730000e-02
-8.125000000e-01, 1.740780000e-02
-7.875000000e-01, 1.792760000e-02
-7.625000000e-01, 1.756080000e-02
-7.375000000e-01, 1.807200000e-02
-7.125000000e-01, 1.979420000e-02
-6.875000000e-01, 2.219260000e-02
-6.625000000e-01, 2.451000000e-02
-6.375000000e-01, 2.468310000e-02
-6.125000000e-01, 2.841940000e-02
-5.875000000e-01, 3.200720000e-02
-5.625000000e-01, 3.430740000e-02
-5.375000000e-01, 3.914950000e-02
-5.125000000e-01, 4.492700000e-02
-4.875000000e-01, 5.360810000e-02
-4.625000000e-01, 6.200020000e-02
-4.375000000e-01, 7.930180000e-02
-4.125000000e-01, 9.986930000e-02
-3.875000000e-01, 1.033230000e-01
-3.625000000e-01, 1.323570000e-01
-3.375000000e-01, 1.697110000e-01
-3.125000000e-01, 1.919640000e-01
-2.875000000e-01, 2.298460000e-01
-2.625000000e-01, 2.534720000e-01
-2.375000000e-01, 2.623350000e-01
-2.125000000e-01, 2.889600000e-01
-1.875000000e-01, 3.106540000e-01
-1.625000000e-01, 3.072940000e-01
-1.375000000e-01, 3.185990000e-01
-1.125000000e-01, 3.305790000e-01
-8.750000000e-02, 3.443600000e-01
-6.250000000e-02, 3.655180000e-01
-3.750000000e-02, 3.881590000e-01
-1.250000000e-02, 3.951180000e-01
 1.250000000e-02, 3.701820000e-01
 3.750000000e-02, 3.851470000e-01
 6.250000000e-02, 3.767450000e-01
 8.750000000e-02, 3.546550000e-01
 1.125000000e-01, 3.342790000e-01
 1.375000000e-01, 3.118270000e-01
 1.625000000e-01, 2.907180000e-01
 1.875000000e-01, 2.579660000e-01
 2.125000000e-01, 2.340870000e-01
 2.375000000e-01, 2.403690000e-01
 2.625000000e-01, 2.396350000e-01
 2.875000000e-01, 2.201340000e-01
 3.125000000e-01, 1.987780000e-01
 3.375000000e-01, 1.863700000e-01
 3.625000000e-01, 1.535060000e-01
 3.875000000e-01, 1.089650000e-01
 4.125000000e-01, 8.493020000e-02
 4.375000000e-01, 7.687590000e-02
 4.625000000e-01, 6.413270000e-02
 4.875000000e-01, 5.222200000e-02
 5.125000000e-01, 4.818190000e-02
 5.375000000e-01, 4.256090000e-02
 5.625000000e-01, 3.495340000e-02
 5.875000000e-01, 3.368170000e-02
 6.125000000e-01, 3.068580000e-02
 6.375000000e-01, 2.892060000e-02
 6.625000000e-01, 2.666750000e-02
 6.875000000e-01, 2.476320000e-02
 7.125000000e-01, 2.516060000e-02
 7.375000000e-01, 2.340150000e-02
 7.625000000e-01, 2.269790000e-02
 7.875000000e-01, 2.157370000e-02
 8.125000000e-01, 2.107730000e-02
 8.375000000e-01, 2.158980000e-02
 8.625000000e-01, 1.947930000e-02
 8.875000000e-01, 1.896540000e-02
 9.125000000e-01, 1.894590000e-02
 9.375000000e-01, 1.909210000e-02
 9.625000000e-01, 1.728660000e-02
 9.875000000e-01, 1.771070000e-02
 1.012500000e+00, 1.750670000e-02
 1.037500000e+00, 1.549050000e-02
 1.062500000e+00, 1.612340000e-02
 1.087500000e+00, 1.524310000e-02
 1.112500000e+00, 1.422510000e-02
 1.137500000e+00, 1.437640000e-02
 1.162500000e+00, 1.305770000e-02
 1.187500000e+00, 1.279060000e-02
 1.212500000e+00, 1.246840000e-02
 1.237500000e+00, 1.134680000e-02
 1.262500000e+00, 1.157780000e-02
 1.287500000e+00, 1.054260000e-02
 1.312500000e+00, 1.074310000e-02
 1.337500000e+00, 1.074520000e-02
 1.362500000e+00, 1.097400000e-02
 1.387500000e+00, 1.208830000e-02
 1.412500000e+00, 1.377400000e-02
 1.437500000e+00, 1.647630000e-02
 1.462500000e+00, 1.955670000e-02
 1.487500000e+00, 2.337260000e-02
 1.512500000e+00, 2.693760000e-02
 1.537500000e+00, 3.042440000e-02
 1.562500000e+00, 3.194210000e-02
 1.587500000e+00, 3.273140000e-02
 1.612500000e+00, 3.155560000e-02
 1.637500000e+00, 2.880000000e-02
 1.662500000e+00, 2.748400000e-02
 1.687500000e+00, 2.548890000e-02
 1.712500000e+00, 2.641700000e-02
 1.737500000e+00, 2.639930000e-02
 1.762500000e+00, 3.015850000e-02
 1.787500000e+00, 3.283900000e-02
 1.812500000e+00, 3.773910000e-02
 1.837500000e+00, 4.285820000e-02
 1.862500000e+00, 4.689250000e-02
 1.887500000e+00, 5.133150000e-02
 1.912500000e+00, 5.609000000e-02
 1.937500000e+00, 6.012720000e-02
 1.962500000e+00, 6.358720000e-02
 1.987500000e+00, 6.566940000e-02
 2.012500000e+00, 6.592600000e-02
 2.037500000e+00, 6.500940000e-02
 2.062500000e+00, 6.337390000e-02
 2.087500000e+00, 6.243230000e-02
 2.112500000e+00, 6.291160000e-02
 2.137500000e+00, 6.451620000e-02
 2.162500000e+00, 6.606010000e-02
 2.187500000e+00, 6.660030000e-02
 2.212500000e+00, 6.426260000e-02
 2.237500000e+00, 5.843400000e-02
 2.262500000e+00, 4.913140000e-02
 2.287500000e+00, 4.130380000e-02
 2.312500000e+00, 3.684830000e-02
 2.337500000e+00, 3.428970000e-02
 2.362500000e+00, 3.294870000e-02
 2.387500000e+00, 2.668010000e-02
 2.412500000e+00, 1.981370000e-02
 2.437500000e+00, 1.784650000e-02
 2.462500000e+00, 1.762660000e-02
 2.487500000e+00, 1.659770000e-02
 2.512500000e+00, 1.825110000e-02
 2.537500000e+00, 1.915360000e-02
 2.562500000e+00, 1.900570000e-02
 2.587500000e+00, 1.883730000e-02
 2.612500000e+00, 2.114560000e-02
 2.637500000e+00, 2.080780000e-02
 2.662500000e+00, 2.107890000e-02
 2.687500000e+00, 2.289980000e-02
 2.712500000e+00, 2.265860000e-02
 2.737500000e+00, 2.325750000e-02
 2.762500000e+00, 2.388370000e-02
 2.787500000e+00, 2.083870000e-02
 2.812500000e+00, 1.901490000e-02
 2.837500000e+00, 2.129820000e-02
 2.862500000e+00, 2.868410000e-02
 2.887500000e+00, 3.450820000e-02
 2.912500000e+00, 3.716650000e-02
 2.937500000e+00, 3.726510000e-02
 2.962500000e+00, 3.942750000e-02
 2.987500000e+00, 4.037100000e-02
 3.012500000e+00, 3.769560000e-02
 3.037500000e+00, 3.135620000e-02
 3.062500000e+00, 2.096440000e-02
 3.087500000e+00, 7.550830000e-03
