x (m),W (m/s) 
-1.562500000e+00,-1.065230000e-01
-1.537500000e+00,-1.010990000e-01
-1.512500000e+00,-9.427330000e-02
-1.487500000e+00,-9.117400000e-02
-1.462500000e+00,-8.195310000e-02
-1.437500000e+00,-8.418350000e-02
-1.412500000e+00,-6.676110000e-02
-1.387500000e+00,-7.869070000e-02
-1.362500000e+00,-5.252310000e-02
-1.337500000e+00,-6.989560000e-02
-1.312500000e+00,-4.230070000e-02
-1.287500000e+00,-6.213930000e-02
-1.262500000e+00,-3.074980000e-02
-1.237500000e+00,-5.081980000e-02
-1.212500000e+00,-2.632980000e-02
-1.187500000e+00,-3.481540000e-02
-1.162500000e+00,-2.226350000e-02
-1.137500000e+00,-2.286880000e-02
-1.112500000e+00,-1.156140000e-02
-1.087500000e+00,-1.598320000e-02
-1.062500000e+00,-6.454160000e-03
-1.037500000e+00,-8.560040000e-03
-1.012500000e+00,-1.676870000e-03
-9.875000000e-01,-7.082840000e-03
-9.625000000e-01,-4.285710000e-05
-9.375000000e-01,-7.211880000e-03
-9.125000000e-01,-7.693480000e-03
-8.875000000e-01,-1.347390000e-02
-8.625000000e-01,-1.510630000e-02
-8.375000000e-01,-1.976550000e-02
-8.125000000e-01,-1.989620000e-02
-7.875000000e-01,-2.300170000e-02
-7.625000000e-01,-2.302530000e-02
-7.375000000e-01,-2.494200000e-02
-7.125000000e-01,-2.900400000e-02
-6.875000000e-01,-2.254620000e-02
-6.625000000e-01,-4.057170000e-02
-6.375000000e-01,-2.283790000e-02
-6.125000000e-01,-4.455020000e-02
-5.875000000e-01,-2.749830000e-02
-5.625000000e-01,-5.550630000e-02
-5.375000000e-01,-3.336740000e-02
-5.125000000e-01,-7.135050000e-02
-4.875000000e-01,-4.681290000e-02
-4.625000000e-01,-5.743910000e-02
-4.375000000e-01, 1.106590000e-02
-4.125000000e-01,-3.698340000e-02
-3.875000000e-01, 1.209070000e-01
-3.625000000e-01, 1.161560000e-01
-3.375000000e-01, 3.045610000e-01
-3.125000000e-01, 4.307060000e-01
-2.875000000e-01, 6.098600000e-01
-2.625000000e-01, 7.416050000e-01
-2.375000000e-01, 9.333340000e-01
-2.125000000e-01, 1.147870000e+00
-1.875000000e-01, 1.333570000e+00
-1.625000000e-01, 1.568840000e+00
-1.375000000e-01, 1.742610000e+00
-1.125000000e-01, 1.863200000e+00
-8.750000000e-02, 2.017280000e+00
-6.250000000e-02, 2.161080000e+00
-3.750000000e-02, 2.239040000e+00
-1.250000000e-02, 2.265800000e+00
 1.250000000e-02, 2.252270000e+00
 3.750000000e-02, 2.195190000e+00
 6.250000000e-02, 2.144440000e+00
 8.750000000e-02, 2.028750000e+00
 1.125000000e-01, 1.875560000e+00
 1.375000000e-01, 1.721430000e+00
 1.625000000e-01, 1.540970000e+00
 1.875000000e-01, 1.305370000e+00
 2.125000000e-01, 1.141220000e+00
 2.375000000e-01, 9.841350000e-01
 2.625000000e-01, 7.423630000e-01
 2.875000000e-01, 5.485120000e-01
 3.125000000e-01, 4.111180000e-01
 3.375000000e-01, 2.764650000e-01
 3.625000000e-01, 1.314480000e-01
 3.875000000e-01, 4.027040000e-02
 4.125000000e-01, 9.326400000e-03
 4.375000000e-01,-5.457950000e-03
 4.625000000e-01,-6.907480000e-02
 4.875000000e-01,-3.489130000e-02
 5.125000000e-01,-6.814420000e-02
 5.375000000e-01,-3.887210000e-02
 5.625000000e-01,-4.617310000e-02
 5.875000000e-01,-2.999860000e-02
 6.125000000e-01,-4.146340000e-02
 6.375000000e-01,-2.716960000e-02
 6.625000000e-01,-3.069300000e-02
 6.875000000e-01,-2.610200000e-02
 7.125000000e-01,-2.731810000e-02
 7.375000000e-01,-1.910260000e-02
 7.625000000e-01,-2.730310000e-02
 7.875000000e-01,-1.312320000e-02
 8.125000000e-01,-2.327580000e-02
 8.375000000e-01,-1.391390000e-02
 8.625000000e-01,-1.629830000e-02
 8.875000000e-01,-1.396270000e-02
 9.125000000e-01,-1.305340000e-02
 9.375000000e-01,-1.037100000e-02
 9.625000000e-01,-7.556780000e-03
 9.875000000e-01,-9.615750000e-03
 1.012500000e+00,-7.555840000e-03
 1.037500000e+00,-7.516720000e-03
 1.062500000e+00,-9.455360000e-03
 1.087500000e+00,-1.817640000e-02
 1.112500000e+00,-9.632320000e-03
 1.137500000e+00,-2.634490000e-02
 1.162500000e+00,-1.517290000e-02
 1.187500000e+00,-3.299600000e-02
 1.212500000e+00,-2.345340000e-02
 1.237500000e+00,-4.182080000e-02
 1.262500000e+00,-3.164140000e-02
 1.287500000e+00,-5.093780000e-02
 1.312500000e+00,-4.090720000e-02
 1.337500000e+00,-6.050940000e-02
 1.362500000e+00,-5.091630000e-02
 1.387500000e+00,-6.812860000e-02
 1.412500000e+00,-6.436950000e-02
 1.437500000e+00,-7.516600000e-02
 1.462500000e+00,-7.680060000e-02
 1.487500000e+00,-8.366280000e-02
 1.512500000e+00,-8.737350000e-02
 1.537500000e+00,-9.267220000e-02
 1.562500000e+00,-9.725100000e-02
 1.587500000e+00,-1.034860000e-01
 1.612500000e+00,-1.088370000e-01
 1.637500000e+00,-1.141860000e-01
 1.662500000e+00,-1.200990000e-01
 1.687500000e+00,-1.270790000e-01
 1.712500000e+00,-1.335670000e-01
 1.737500000e+00,-1.352440000e-01
 1.762500000e+00,-1.341330000e-01
 1.787500000e+00,-1.312270000e-01
 1.812500000e+00,-1.364120000e-01
 1.837500000e+00,-1.337370000e-01
 1.862500000e+00,-1.255030000e-01
 1.887500000e+00,-1.151010000e-01
 1.912500000e+00,-1.023400000e-01
 1.937500000e+00,-7.827610000e-02
 1.962500000e+00,-4.844750000e-02
 1.987500000e+00,-8.784310000e-03
 2.012500000e+00, 4.398200000e-02
 2.037500000e+00, 9.510030000e-02
 2.062500000e+00, 1.470030000e-01
 2.087500000e+00, 1.919740000e-01
 2.112500000e+00, 2.303720000e-01
 2.137500000e+00, 2.550000000e-01
 2.162500000e+00, 2.802330000e-01
 2.187500000e+00, 3.021060000e-01
 2.212500000e+00, 3.275960000e-01
 2.237500000e+00, 3.304010000e-01
 2.262500000e+00, 3.422470000e-01
 2.287500000e+00, 3.398590000e-01
 2.312500000e+00, 3.471600000e-01
 2.337500000e+00, 3.665860000e-01
 2.362500000e+00, 3.974080000e-01
 2.387500000e+00, 3.939150000e-01
 2.412500000e+00, 4.067630000e-01
 2.437500000e+00, 3.860560000e-01
 2.462500000e+00, 3.825160000e-01
 2.487500000e+00, 3.611240000e-01
 2.512500000e+00, 3.658860000e-01
 2.537500000e+00, 3.430630000e-01
 2.562500000e+00, 3.509590000e-01
 2.587500000e+00, 3.459660000e-01
 2.612500000e+00, 3.402950000e-01
 2.637500000e+00, 3.403490000e-01
 2.662500000e+00, 3.396690000e-01
 2.687500000e+00, 3.404190000e-01
 2.712500000e+00, 3.373060000e-01
 2.737500000e+00, 3.370060000e-01
 2.762500000e+00, 3.233220000e-01
 2.787500000e+00, 3.396680000e-01
 2.812500000e+00, 2.517750000e-01
 2.837500000e+00, 3.303050000e-01
 2.862500000e+00, 3.154870000e-01
 2.887500000e+00, 2.378570000e-01
 2.912500000e+00, 2.012880000e-01
 2.937500000e+00, 2.075870000e-01
 2.962500000e+00, 2.273120000e-01
 2.987500000e+00, 2.365590000e-01
 3.012500000e+00, 2.212290000e-01
 3.037500000e+00, 1.850780000e-01
 3.062500000e+00, 1.358680000e-01
 3.087500000e+00, 7.451560000e-02
