x (m),W_rms (m/s)
-8.625000000e-01, 4.063550000e-02
-8.375000000e-01, 3.404210000e-02
-8.125000000e-01, 4.007150000e-02
-7.875000000e-01, 3.064750000e-02
-7.625000000e-01, 3.876900000e-02
-7.375000000e-01, 2.864970000e-02
-7.125000000e-01, 3.667220000e-02
-6.875000000e-01, 2.997080000e-02
-6.625000000e-01, 3.391890000e-02
-6.375000000e-01, 3.386580000e-02
-6.125000000e-01, 3.648840000e-02
-5.875000000e-01, 3.656450000e-02
-5.625000000e-01, 4.562080000e-02
-5.375000000e-01, 4.463040000e-02
-5.125000000e-01, 5.198180000e-02
-4.875000000e-01, 6.008810000e-02
-4.625000000e-01, 6.363260000e-02
-4.375000000e-01, 7.818330000e-02
-4.125000000e-01, 8.660210000e-02
-3.875000000e-01, 1.307720000e-01
-3.625000000e-01, 1.785840000e-01
-3.375000000e-01, 2.254190000e-01
-3.125000000e-01, 2.229380000e-01
-2.875000000e-01, 3.439970000e-01
-2.625000000e-01, 3.845860000e-01
-2.375000000e-01, 4.832230000e-01
-2.125000000e-01, 5.586500000e-01
-1.875000000e-01, 6.277940000e-01
-1.625000000e-01, 7.200910000e-01
-1.375000000e-01, 7.809490000e-01
-1.125000000e-01, 8.154320000e-01
-8.750000000e-02, 8.110220000e-01
-6.250000000e-02, 7.915540000e-01
-3.750000000e-02, 7.083390000e-01
-1.250000000e-02, 6.903750000e-01
 1.250000000e-02, 7.476940000e-01
 3.750000000e-02, 8.116240000e-01
 6.250000000e-02, 9.074960000e-01
 8.750000000e-02, 9.056710000e-01
 1.125000000e-01, 8.449020000e-01
 1.375000000e-01, 8.109440000e-01
 1.625000000e-01, 7.237790000e-01
 1.875000000e-01, 6.385790000e-01
 2.125000000e-01, 5.759470000e-01
 2.375000000e-01, 5.083830000e-01
 2.625000000e-01, 4.142120000e-01
 2.875000000e-01, 3.782080000e-01
 3.125000000e-01, 3.178060000e-01
 3.375000000e-01, 2.129480000e-01
 3.625000000e-01, 1.878890000e-01
 3.875000000e-01, 1.713130000e-01
 4.125000000e-01, 1.148960000e-01
 4.375000000e-01, 1.004820000e-01
 4.625000000e-01, 7.757420000e-02
 4.875000000e-01, 7.037690000e-02
 5.125000000e-01, 5.225530000e-02
 5.375000000e-01, 3.934130000e-02
 5.625000000e-01, 4.443560000e-02
 5.875000000e-01, 3.676140000e-02
 6.125000000e-01, 3.386790000e-02
 6.375000000e-01, 3.418000000e-02
 6.625000000e-01, 3.633490000e-02
 6.875000000e-01, 3.209830000e-02
 7.125000000e-01, 3.616130000e-02
 7.375000000e-01, 3.389450000e-02
 7.625000000e-01, 3.660770000e-02
 7.875000000e-01, 3.327360000e-02
 8.125000000e-01, 3.810810000e-02
 8.375000000e-01, 3.522660000e-02
 8.625000000e-01, 3.919620000e-02
 8.875000000e-01, 3.656250000e-02
 9.125000000e-01, 3.999490000e-02
 9.375000000e-01, 3.984670000e-02
 9.625000000e-01, 4.183820000e-02
 9.875000000e-01, 4.277990000e-02
 1.012500000e+00, 4.405010000e-02
 1.037500000e+00, 4.657700000e-02
 1.062500000e+00, 4.660050000e-02
 1.087500000e+00, 4.836460000e-02
 1.112500000e+00, 4.973300000e-02
 1.137500000e+00, 5.059990000e-02
 1.162500000e+00, 5.252320000e-02
 1.187500000e+00, 5.356640000e-02
 1.212500000e+00, 5.510140000e-02
 1.237500000e+00, 5.701470000e-02
 1.262500000e+00, 5.813940000e-02
 1.287500000e+00, 6.018610000e-02
 1.312500000e+00, 6.174790000e-02
 1.337500000e+00, 6.354420000e-02
 1.362500000e+00, 6.560520000e-02
 1.387500000e+00, 6.748710000e-02
 1.412500000e+00, 6.965690000e-02
 1.437500000e+00, 7.195140000e-02
 1.462500000e+00, 7.430710000e-02
 1.487500000e+00, 7.708880000e-02
 1.512500000e+00, 8.000080000e-02
 1.537500000e+00, 8.351060000e-02
 1.562500000e+00, 8.758640000e-02
 1.587500000e+00, 9.180600000e-02
 1.612500000e+00, 9.582820000e-02
 1.637500000e+00, 9.923670000e-02
 1.662500000e+00, 1.016340000e-01
 1.687500000e+00, 1.013300000e-01
 1.712500000e+00, 9.938750000e-02
 1.737500000e+00, 9.466810000e-02
 1.762500000e+00, 9.126920000e-02
 1.787500000e+00, 8.606550000e-02
 1.812500000e+00, 8.045020000e-02
 1.837500000e+00, 7.338850000e-02
 1.862500000e+00, 6.707840000e-02
 1.887500000e+00, 6.192580000e-02
 1.912500000e+00, 5.617520000e-02
 1.937500000e+00, 5.006560000e-02
 1.962500000e+00, 4.531240000e-02
 1.987500000e+00, 3.585660000e-02
 2.012500000e+00, 3.241430000e-02
 2.037500000e+00, 3.359450000e-02
 2.062500000e+00, 4.077630000e-02
 2.087500000e+00, 4.983050000e-02
 2.112500000e+00, 6.052080000e-02
 2.137500000e+00, 7.074230000e-02
 2.162500000e+00, 8.046710000e-02
 2.187500000e+00, 9.317590000e-02
 2.212500000e+00, 9.840200000e-02
 2.237500000e+00, 8.971330000e-02
 2.262500000e+00, 8.982760000e-02
 2.287500000e+00, 8.946120000e-02
 2.312500000e+00, 1.069530000e-01
 2.337500000e+00, 1.160800000e-01
 2.362500000e+00, 1.137890000e-01
 2.387500000e+00, 1.103930000e-01
 2.412500000e+00, 1.044960000e-01
 2.437500000e+00, 1.033050000e-01
 2.462500000e+00, 9.250860000e-02
 2.487500000e+00, 9.379470000e-02
 2.512500000e+00, 8.592130000e-02
 2.537500000e+00, 7.892690000e-02
 2.562500000e+00, 6.665290000e-02
 2.587500000e+00, 6.715980000e-02
 2.612500000e+00, 5.488010000e-02
 2.637500000e+00, 5.222800000e-02
 2.662500000e+00, 4.734740000e-02
 2.687500000e+00, 4.028230000e-02
 2.712500000e+00, 3.328240000e-02
 2.737500000e+00, 3.362340000e-02
 2.762500000e+00, 3.492460000e-02
 2.787500000e+00, 3.498660000e-02
 2.812500000e+00, 5.410490000e-02
 2.837500000e+00, 4.312870000e-02
 2.862500000e+00, 4.229730000e-02
 2.887500000e+00, 3.723050000e-02
 2.912500000e+00, 4.486190000e-02
 2.937500000e+00, 5.937310000e-02
 2.962500000e+00, 6.421730000e-02
 2.987500000e+00, 4.129430000e-02
 3.012500000e+00, 5.466290000e-02
 3.037500000e+00, 6.834310000e-02
 3.062500000e+00, 6.177870000e-02
 3.087500000e+00, 4.930850000e-02
