x (m),U (m/s)
-3.750000000e-02, 2.134450000e-01
-1.250000000e-02, 6.942870000e-02
 1.250000000e-02,-8.032030000e-02
 3.750000000e-02,-2.335500000e-01
 6.250000000e-02,-3.684160000e-01
 8.750000000e-02,-4.739050000e-01
 1.125000000e-01,-5.331860000e-01
 1.375000000e-01,-5.663170000e-01
 1.625000000e-01,-5.930640000e-01
 1.875000000e-01,-6.134490000e-01
 2.125000000e-01,-6.110500000e-01
 2.375000000e-01,-5.636630000e-01
 2.625000000e-01,-4.885900000e-01
 2.875000000e-01,-4.176040000e-01
 3.125000000e-01,-3.411460000e-01
 3.375000000e-01,-2.905430000e-01
 3.625000000e-01,-2.455460000e-01
 3.875000000e-01,-1.933980000e-01
 4.125000000e-01,-1.647620000e-01
 4.375000000e-01,-1.599320000e-01
 4.625000000e-01,-1.616560000e-01
 4.875000000e-01,-1.460100000e-01
 5.125000000e-01,-1.451640000e-01
 5.375000000e-01,-1.417840000e-01
 5.625000000e-01,-1.347340000e-01
 5.875000000e-01,-1.290850000e-01
 6.125000000e-01,-1.239560000e-01
 6.375000000e-01,-1.193640000e-01
 6.625000000e-01,-1.115740000e-01
 6.875000000e-01,-1.118750000e-01
 7.125000000e-01,-1.097710000e-01
 7.375000000e-01,-1.082800000e-01
 7.625000000e-01,-1.079250000e-01
 7.875000000e-01,-1.061320000e-01
 8.125000000e-01,-1.049420000e-01
 8.375000000e-01,-1.026850000e-01
 8.625000000e-01,-1.003090000e-01
 8.875000000e-01,-9.756180000e-02
 9.125000000e-01,-9.584560000e-02
 9.375000000e-01,-9.307370000e-02
 9.625000000e-01,-8.885670000e-02
 9.875000000e-01,-8.590060000e-02
 1.012500000e+00,-8.159330000e-02
 1.037500000e+00,-7.786010000e-02
 1.062500000e+00,-7.258030000e-02
 1.087500000e+00,-6.985760000e-02
 1.112500000e+00,-6.642980000e-02
 1.137500000e+00,-6.433220000e-02
 1.162500000e+00,-6.238010000e-02
 1.187500000e+00,-6.115890000e-02
 1.212500000e+00,-6.003630000e-02
 1.237500000e+00,-5.919290000e-02
 1.262500000e+00,-5.874970000e-02
 1.287500000e+00,-5.966100000e-02
 1.312500000e+00,-5.913390000e-02
 1.337500000e+00,-5.957840000e-02
 1.362500000e+00,-5.981970000e-02
 1.387500000e+00,-5.952130000e-02
 1.412500000e+00,-6.020640000e-02
 1.437500000e+00,-5.984440000e-02
 1.462500000e+00,-5.994680000e-02
 1.487500000e+00,-5.917530000e-02
 1.512500000e+00,-5.821060000e-02
 1.537500000e+00,-5.661590000e-02
 1.562500000e+00,-5.537550000e-02
 1.587500000e+00,-5.473300000e-02
 1.612500000e+00,-5.603450000e-02
 1.637500000e+00,-5.959130000e-02
 1.662500000e+00,-6.513760000e-02
 1.687500000e+00,-7.016320000e-02
 1.712500000e+00,-7.378910000e-02
 1.737500000e+00,-6.991680000e-02
 1.762500000e+00,-7.186630000e-02
 1.787500000e+00,-8.539340000e-02
 1.812500000e+00,-9.946040000e-02
 1.837500000e+00,-1.201520000e-01
 1.862500000e+00,-1.246620000e-01
 1.887500000e+00,-1.344230000e-01
 1.912500000e+00,-1.473670000e-01
 1.937500000e+00,-1.576680000e-01
 1.962500000e+00,-1.677230000e-01
 1.987500000e+00,-1.773060000e-01
 2.012500000e+00,-1.851720000e-01
 2.037500000e+00,-1.938380000e-01
 2.062500000e+00,-1.993530000e-01
 2.087500000e+00,-1.994600000e-01
 2.112500000e+00,-1.947930000e-01
 2.137500000e+00,-1.862700000e-01
 2.162500000e+00,-1.771360000e-01
 2.187500000e+00,-1.699920000e-01
 2.212500000e+00,-1.632610000e-01
 2.237500000e+00,-1.554450000e-01
 2.262500000e+00,-1.443200000e-01
 2.287500000e+00,-1.305770000e-01
 2.312500000e+00,-1.203460000e-01
 2.337500000e+00,-1.134160000e-01
 2.362500000e+00,-1.062520000e-01
 2.387500000e+00,-9.719630000e-02
 2.412500000e+00,-8.435500000e-02
 2.437500000e+00,-7.344880000e-02
 2.462500000e+00,-6.153410000e-02
 2.487500000e+00,-5.159700000e-02
 2.512500000e+00,-4.388610000e-02
 2.537500000e+00,-3.470210000e-02
 2.562500000e+00,-2.679090000e-02
 2.587500000e+00,-2.034860000e-02
 2.612500000e+00,-1.302270000e-02
 2.637500000e+00,-6.158410000e-03
 2.662500000e+00,-4.278970000e-04
 2.687500000e+00, 5.327950000e-03
 2.712500000e+00, 1.092260000e-02
 2.737500000e+00, 1.688070000e-02
 2.762500000e+00, 2.324880000e-02
 2.787500000e+00, 2.824430000e-02
 2.812500000e+00, 3.293530000e-02
 2.837500000e+00, 4.177490000e-02
 2.862500000e+00, 4.624080000e-02
 2.887500000e+00, 4.177940000e-02
 2.912500000e+00, 4.248170000e-02
 2.937500000e+00, 5.460570000e-02
 2.962500000e+00, 6.944930000e-02
 2.987500000e+00, 7.711250000e-02
 3.012500000e+00, 7.472930000e-02
 3.037500000e+00, 6.430380000e-02
 3.062500000e+00, 4.468470000e-02
 3.087500000e+00, 1.607830000e-02
