x (m),U (m/s)
 1.762500000e+00,-1.569970000e-01
 1.787500000e+00,-1.643430000e-01
 1.812500000e+00,-1.732660000e-01
 1.837500000e+00,-1.819500000e-01
 1.862500000e+00,-1.905710000e-01
 1.887500000e+00,-1.994910000e-01
 1.912500000e+00,-2.076300000e-01
 1.937500000e+00,-2.144490000e-01
 1.962500000e+00,-2.202690000e-01
 1.987500000e+00,-2.332130000e-01
 2.012500000e+00,-2.336050000e-01
 2.037500000e+00,-2.315430000e-01
 2.062500000e+00,-2.265770000e-01
 2.087500000e+00,-2.196900000e-01
 2.112500000e+00,-2.117090000e-01
 2.137500000e+00,-2.046200000e-01
 2.162500000e+00,-1.995350000e-01
 2.187500000e+00,-1.951000000e-01
 2.212500000e+00,-1.894610000e-01
 2.237500000e+00,-1.810690000e-01
 2.262500000e+00,-1.711240000e-01
 2.287500000e+00,-1.626450000e-01
 2.312500000e+00,-1.559010000e-01
 2.337500000e+00,-1.467230000e-01
 2.362500000e+00,-1.325650000e-01
 2.387500000e+00,-1.176950000e-01
 2.412500000e+00,-1.059130000e-01
 2.437500000e+00,-9.490750000e-02
 2.462500000e+00,-8.469140000e-02
 2.487500000e+00,-7.552630000e-02
 2.512500000e+00,-6.798200000e-02
 2.537500000e+00,-6.270640000e-02
 2.562500000e+00,-5.612610000e-02
 2.587500000e+00,-4.868940000e-02
 2.612500000e+00,-4.301040000e-02
 2.637500000e+00,-3.702950000e-02
 2.662500000e+00,-3.138960000e-02
 2.687500000e+00,-2.658500000e-02
 2.712500000e+00,-2.163400000e-02
 2.737500000e+00,-1.731790000e-02
 2.762500000e+00,-1.348330000e-02
 2.787500000e+00,-1.024630000e-02
 2.812500000e+00,-6.592040000e-03
 2.837500000e+00,-3.760710000e-03
 2.862500000e+00,-1.435820000e-03
 2.887500000e+00, 5.950620000e-05
 2.912500000e+00,-1.069310000e-03
 2.937500000e+00,-1.181480000e-03
 2.962500000e+00, 1.901410000e-03
 2.987500000e+00, 6.035440000e-03
 3.012500000e+00, 8.820230000e-03
 3.037500000e+00, 8.898180000e-03
 3.062500000e+00, 6.090720000e-03
 3.087500000e+00, 2.025400000e-03
