x (m),Y_He (-)
 1.262500000e+00, 4.507330000e-08
 1.287500000e+00, 4.667420000e-08
 1.312500000e+00, 4.686580000e-08
 1.337500000e+00, 4.855140000e-08
 1.362500000e+00, 5.143910000e-08
 1.387500000e+00, 5.342700000e-08
 1.412500000e+00, 5.501940000e-08
 1.437500000e+00, 5.791810000e-08
 1.462500000e+00, 6.051160000e-08
 1.487500000e+00, 6.127100000e-08
 1.512500000e+00, 6.182600000e-08
 1.537500000e+00, 6.126570000e-08
 1.562500000e+00, 5.951750000e-08
 1.587500000e+00, 5.555330000e-08
 1.612500000e+00, 5.258880000e-08
 1.637500000e+00, 5.429950000e-08
 1.662500000e+00, 5.422190000e-08
 1.687500000e+00, 5.517970000e-08
 1.712500000e+00, 5.553080000e-08
 1.737500000e+00, 5.287960000e-08
 1.762500000e+00, 5.200450000e-08
 1.787500000e+00, 5.229000000e-08
 1.812500000e+00, 5.185610000e-08
 1.837500000e+00, 5.277830000e-08
 1.862500000e+00, 5.248150000e-08
 1.887500000e+00, 5.373290000e-08
 1.912500000e+00, 5.515610000e-08
 1.937500000e+00, 6.086210000e-08
 1.962500000e+00, 6.106870000e-08
 1.987500000e+00, 6.140670000e-08
 2.012500000e+00, 6.241990000e-08
 2.037500000e+00, 6.248010000e-08
 2.062500000e+00, 6.248610000e-08
 2.087500000e+00, 6.101240000e-08
 2.112500000e+00, 6.101160000e-08
 2.137500000e+00, 6.226860000e-08
 2.162500000e+00, 6.348140000e-08
 2.187500000e+00, 6.483000000e-08
 2.212500000e+00, 6.498230000e-08
 2.237500000e+00, 6.454710000e-08
 2.262500000e+00, 6.412020000e-08
 2.287500000e+00, 6.363200000e-08
 2.312500000e+00, 6.602240000e-08
 2.337500000e+00, 7.176890000e-08
 2.362500000e+00, 6.844240000e-08
 2.387500000e+00, 6.819240000e-08
 2.412500000e+00, 6.798040000e-08
 2.437500000e+00, 6.843610000e-08
 2.462500000e+00, 6.718060000e-08
 2.487500000e+00, 6.223750000e-08
 2.512500000e+00, 5.880450000e-08
 2.537500000e+00, 5.521300000e-08
 2.562500000e+00, 5.308200000e-08
 2.587500000e+00, 5.396630000e-08
 2.612500000e+00, 5.156610000e-08
 2.637500000e+00, 5.100390000e-08
 2.662500000e+00, 4.933070000e-08
 2.687500000e+00, 5.049450000e-08
 2.712500000e+00, 4.967180000e-08
 2.737500000e+00, 5.000610000e-08
 2.762500000e+00, 5.039720000e-08
 2.787500000e+00, 5.132760000e-08
 2.812500000e+00, 5.551800000e-08
 2.837500000e+00, 5.809140000e-08
 2.862500000e+00, 6.674250000e-08
 2.887500000e+00, 6.408200000e-08
 2.912500000e+00, 6.699600000e-08
 2.937500000e+00, 6.923570000e-08
 2.962500000e+00, 6.784750000e-08
 2.987500000e+00, 7.260480000e-08
 3.012500000e+00, 8.718750000e-08
 3.037500000e+00, 8.891850000e-08
 3.062500000e+00, 9.672840000e-08
 3.087500000e+00, 9.675510000e-08
