x (m),W (m/s) 
 1.262500000e+00,-2.560340000e-02
 1.287500000e+00,-2.836050000e-02
 1.312500000e+00,-3.082300000e-02
 1.337500000e+00,-3.354170000e-02
 1.362500000e+00,-3.638630000e-02
 1.387500000e+00,-3.920190000e-02
 1.412500000e+00,-4.215190000e-02
 1.437500000e+00,-4.520870000e-02
 1.462500000e+00,-4.823270000e-02
 1.487500000e+00,-5.145670000e-02
 1.512500000e+00,-5.462580000e-02
 1.537500000e+00,-5.800590000e-02
 1.562500000e+00,-6.091800000e-02
 1.587500000e+00,-6.449300000e-02
 1.612500000e+00,-6.778950000e-02
 1.637500000e+00,-7.046220000e-02
 1.662500000e+00,-7.273220000e-02
 1.687500000e+00,-7.236700000e-02
 1.712500000e+00,-6.993470000e-02
 1.737500000e+00,-6.272570000e-02
 1.762500000e+00,-5.715890000e-02
 1.787500000e+00,-4.999260000e-02
 1.812500000e+00,-4.234030000e-02
 1.837500000e+00,-3.223430000e-02
 1.862500000e+00,-2.130980000e-02
 1.887500000e+00,-9.623580000e-03
 1.912500000e+00, 4.368030000e-03
 1.937500000e+00, 2.096620000e-02
 1.962500000e+00, 3.940440000e-02
 1.987500000e+00, 6.689400000e-02
 2.012500000e+00, 8.622010000e-02
 2.037500000e+00, 1.049060000e-01
 2.062500000e+00, 1.254160000e-01
 2.087500000e+00, 1.444620000e-01
 2.112500000e+00, 1.626710000e-01
 2.137500000e+00, 1.812670000e-01
 2.162500000e+00, 1.996230000e-01
 2.187500000e+00, 2.214530000e-01
 2.212500000e+00, 2.394350000e-01
 2.237500000e+00, 2.458180000e-01
 2.262500000e+00, 2.616840000e-01
 2.287500000e+00, 2.727000000e-01
 2.312500000e+00, 2.922380000e-01
 2.337500000e+00, 3.035070000e-01
 2.362500000e+00, 3.018130000e-01
 2.387500000e+00, 2.897780000e-01
 2.412500000e+00, 2.954640000e-01
 2.437500000e+00, 2.749690000e-01
 2.462500000e+00, 2.943540000e-01
 2.487500000e+00, 2.768170000e-01
 2.512500000e+00, 2.866980000e-01
 2.537500000e+00, 2.787830000e-01
 2.562500000e+00, 2.926420000e-01
 2.587500000e+00, 2.787200000e-01
 2.612500000e+00, 2.873040000e-01
 2.637500000e+00, 2.844950000e-01
 2.662500000e+00, 2.863990000e-01
 2.687500000e+00, 2.835900000e-01
 2.712500000e+00, 2.823350000e-01
 2.737500000e+00, 2.846030000e-01
 2.762500000e+00, 2.710000000e-01
 2.787500000e+00, 2.950080000e-01
 2.812500000e+00, 2.048590000e-01
 2.837500000e+00, 2.658470000e-01
 2.862500000e+00, 2.833120000e-01
 2.887500000e+00, 2.429650000e-01
 2.912500000e+00, 1.916160000e-01
 2.937500000e+00, 1.496930000e-01
 2.962500000e+00, 1.442550000e-01
 2.987500000e+00, 1.836620000e-01
 3.012500000e+00, 2.264620000e-01
 3.037500000e+00, 2.446540000e-01
 3.062500000e+00, 2.359260000e-01
 3.087500000e+00, 1.853330000e-01
