x (m),Y_He_rms (-)
-4.375000000e-01, 3.286870000e-05
-4.125000000e-01, 1.757540000e-04
-3.875000000e-01, 6.305810000e-04
-3.625000000e-01, 3.746400000e-03
-3.375000000e-01, 1.253730000e-02
-3.125000000e-01, 2.256470000e-02
-2.875000000e-01, 3.066520000e-02
-2.625000000e-01, 4.219830000e-02
-2.375000000e-01, 5.774330000e-02
-2.125000000e-01, 7.086280000e-02
-1.875000000e-01, 8.427510000e-02
-1.625000000e-01, 1.043170000e-01
-1.375000000e-01, 1.281270000e-01
-1.125000000e-01, 1.483460000e-01
-8.750000000e-02, 1.640340000e-01
-6.250000000e-02, 1.641520000e-01
-3.750000000e-02, 1.558860000e-01
-1.250000000e-02, 1.560990000e-01
 1.250000000e-02, 1.687620000e-01
 3.750000000e-02, 1.781620000e-01
 6.250000000e-02, 1.854840000e-01
 8.750000000e-02, 1.788000000e-01
 1.125000000e-01, 1.560790000e-01
 1.375000000e-01, 1.292250000e-01
 1.625000000e-01, 9.983720000e-02
 1.875000000e-01, 7.469430000e-02
 2.125000000e-01, 5.864200000e-02
 2.375000000e-01, 4.592100000e-02
 2.625000000e-01, 3.628870000e-02
 2.875000000e-01, 2.519580000e-02
 3.125000000e-01, 1.613610000e-02
 3.375000000e-01, 9.852200000e-03
 3.625000000e-01, 4.040250000e-03
 3.875000000e-01, 3.262790000e-03
 4.125000000e-01, 6.099770000e-04
 4.375000000e-01, 3.125300000e-04
 4.625000000e-01, 8.131730000e-06
 4.875000000e-01, 1.469420000e-06
 5.125000000e-01, 9.377420000e-07
 5.375000000e-01, 2.621520000e-07
 5.625000000e-01, 2.920030000e-08
 5.875000000e-01, 4.125530000e-09
 6.125000000e-01, 4.168540000e-09
 6.375000000e-01, 5.806290000e-09
 6.625000000e-01, 5.469310000e-09
 6.875000000e-01, 6.847270000e-09
 7.125000000e-01, 5.066900000e-09
 7.375000000e-01, 6.582900000e-09
 7.625000000e-01, 6.843600000e-09
 7.875000000e-01, 7.760610000e-09
 8.125000000e-01, 8.132590000e-09
 8.375000000e-01, 9.191580000e-09
 8.625000000e-01, 9.323380000e-09
 8.875000000e-01, 9.137850000e-09
 9.125000000e-01, 8.465160000e-09
 9.375000000e-01, 7.949580000e-09
 9.625000000e-01, 9.114650000e-09
 9.875000000e-01, 9.634620000e-09
 1.012500000e+00, 1.013940000e-08
 1.037500000e+00, 1.150550000e-08
 1.062500000e+00, 1.266110000e-08
 1.087500000e+00, 1.253100000e-08
 1.112500000e+00, 1.236910000e-08
 1.137500000e+00, 1.325940000e-08
 1.162500000e+00, 1.268660000e-08
 1.187500000e+00, 1.207470000e-08
 1.212500000e+00, 1.205650000e-08
 1.237500000e+00, 1.203710000e-08
 1.262500000e+00, 1.243090000e-08
 1.287500000e+00, 1.173070000e-08
 1.312500000e+00, 1.363780000e-08
 1.337500000e+00, 1.608470000e-08
 1.362500000e+00, 1.667490000e-08
 1.387500000e+00, 1.822570000e-08
 1.412500000e+00, 1.663860000e-08
 1.437500000e+00, 1.828240000e-08
 1.462500000e+00, 2.039530000e-08
 1.487500000e+00, 2.206500000e-08
 1.512500000e+00, 2.412540000e-08
 1.537500000e+00, 2.594610000e-08
 1.562500000e+00, 3.147440000e-08
 1.587500000e+00, 3.210090000e-08
 1.612500000e+00, 2.476090000e-08
 1.637500000e+00, 2.449650000e-08
 1.662500000e+00, 2.288900000e-08
 1.687500000e+00, 2.215980000e-08
 1.712500000e+00, 2.224880000e-08
 1.737500000e+00, 1.941750000e-08
 1.762500000e+00, 1.988440000e-08
 1.787500000e+00, 1.960640000e-08
 1.812500000e+00, 2.101050000e-08
 1.837500000e+00, 2.059910000e-08
 1.862500000e+00, 2.170140000e-08
 1.887500000e+00, 2.085240000e-08
 1.912500000e+00, 1.999900000e-08
 1.937500000e+00, 2.284800000e-08
 1.962500000e+00, 2.355730000e-08
 1.987500000e+00, 2.388400000e-08
 2.012500000e+00, 2.378840000e-08
 2.037500000e+00, 2.408120000e-08
 2.062500000e+00, 2.425220000e-08
 2.087500000e+00, 2.421150000e-08
 2.112500000e+00, 2.511060000e-08
 2.137500000e+00, 2.589760000e-08
 2.162500000e+00, 2.886000000e-08
 2.187500000e+00, 2.936600000e-08
 2.212500000e+00, 3.138540000e-08
 2.237500000e+00, 3.100390000e-08
 2.262500000e+00, 3.084610000e-08
 2.287500000e+00, 2.967850000e-08
 2.312500000e+00, 3.449650000e-08
 2.337500000e+00, 4.881760000e-08
 2.362500000e+00, 3.846670000e-08
 2.387500000e+00, 3.957150000e-08
 2.412500000e+00, 3.884270000e-08
 2.437500000e+00, 4.439000000e-08
 2.462500000e+00, 4.788580000e-08
 2.487500000e+00, 4.527170000e-08
 2.512500000e+00, 3.707730000e-08
 2.537500000e+00, 3.033210000e-08
 2.562500000e+00, 2.722920000e-08
 2.587500000e+00, 2.812160000e-08
 2.612500000e+00, 2.369620000e-08
 2.637500000e+00, 2.628440000e-08
 2.662500000e+00, 2.465790000e-08
 2.687500000e+00, 2.578220000e-08
 2.712500000e+00, 2.373680000e-08
 2.737500000e+00, 2.492890000e-08
 2.762500000e+00, 2.303120000e-08
 2.787500000e+00, 2.238960000e-08
 2.812500000e+00, 2.456730000e-08
 2.837500000e+00, 2.985530000e-08
 2.862500000e+00, 3.823480000e-08
 2.887500000e+00, 3.309780000e-08
 2.912500000e+00, 3.465900000e-08
 2.937500000e+00, 3.533040000e-08
 2.962500000e+00, 3.478520000e-08
 2.987500000e+00, 4.278490000e-08
 3.012500000e+00, 5.430360000e-08
 3.037500000e+00, 5.710850000e-08
 3.062500000e+00, 6.289060000e-08
 3.087500000e+00, 5.884760000e-08
