x (m),W_rms (m/s)
-1.737500000e+00, 9.942870000e-02
-1.712500000e+00, 1.027240000e-01
-1.687500000e+00, 1.003970000e-01
-1.662500000e+00, 9.514820000e-02
-1.637500000e+00, 9.052120000e-02
-1.612500000e+00, 8.728320000e-02
-1.587500000e+00, 8.503040000e-02
-1.562500000e+00, 8.235830000e-02
-1.537500000e+00, 7.961920000e-02
-1.512500000e+00, 7.736070000e-02
-1.487500000e+00, 7.546660000e-02
-1.462500000e+00, 7.481900000e-02
-1.437500000e+00, 7.176800000e-02
-1.412500000e+00, 7.442600000e-02
-1.387500000e+00, 6.606070000e-02
-1.362500000e+00, 7.581700000e-02
-1.337500000e+00, 5.834470000e-02
-1.312500000e+00, 7.637390000e-02
-1.287500000e+00, 5.155460000e-02
-1.262500000e+00, 7.479940000e-02
-1.237500000e+00, 4.694190000e-02
-1.212500000e+00, 7.113940000e-02
-1.187500000e+00, 5.064460000e-02
-1.162500000e+00, 5.972440000e-02
-1.137500000e+00, 5.724980000e-02
-1.112500000e+00, 5.161170000e-02
-1.087500000e+00, 5.051960000e-02
-1.062500000e+00, 5.507280000e-02
-1.037500000e+00, 4.548690000e-02
-1.012500000e+00, 5.426900000e-02
-9.875000000e-01, 3.757290000e-02
-9.625000000e-01, 4.410100000e-02
-9.375000000e-01, 2.952080000e-02
-9.125000000e-01, 3.889070000e-02
-8.875000000e-01, 2.773210000e-02
-8.625000000e-01, 2.898800000e-02
-8.375000000e-01, 2.956510000e-02
-8.125000000e-01, 2.112250000e-02
-7.875000000e-01, 2.550160000e-02
-7.625000000e-01, 2.185940000e-02
-7.375000000e-01, 2.211070000e-02
-7.125000000e-01, 2.732340000e-02
-6.875000000e-01, 2.120850000e-02
-6.625000000e-01, 2.982860000e-02
-6.375000000e-01, 2.881900000e-02
-6.125000000e-01, 2.780810000e-02
-5.875000000e-01, 2.946260000e-02
-5.625000000e-01, 3.795450000e-02
-5.375000000e-01, 4.353460000e-02
-5.125000000e-01, 4.557600000e-02
-4.875000000e-01, 8.076340000e-02
-4.625000000e-01, 1.449150000e-01
-4.375000000e-01, 1.348160000e-01
-4.125000000e-01, 1.755310000e-01
-3.875000000e-01, 2.363190000e-01
-3.625000000e-01, 2.776740000e-01
-3.375000000e-01, 2.770660000e-01
-3.125000000e-01, 3.400300000e-01
-2.875000000e-01, 3.867340000e-01
-2.625000000e-01, 4.526190000e-01
-2.375000000e-01, 4.968650000e-01
-2.125000000e-01, 5.696450000e-01
-1.875000000e-01, 6.094090000e-01
-1.625000000e-01, 5.820220000e-01
-1.375000000e-01, 5.770580000e-01
-1.125000000e-01, 5.987910000e-01
-8.750000000e-02, 5.460780000e-01
-6.250000000e-02, 4.835650000e-01
-3.750000000e-02, 4.148230000e-01
-1.250000000e-02, 3.560740000e-01
 1.250000000e-02, 3.530690000e-01
 3.750000000e-02, 4.118010000e-01
 6.250000000e-02, 4.905800000e-01
 8.750000000e-02, 5.707700000e-01
 1.125000000e-01, 5.860710000e-01
 1.375000000e-01, 6.035010000e-01
 1.625000000e-01, 6.144620000e-01
 1.875000000e-01, 6.385200000e-01
 2.125000000e-01, 6.187130000e-01
 2.375000000e-01, 5.444870000e-01
 2.625000000e-01, 4.763200000e-01
 2.875000000e-01, 4.198830000e-01
 3.125000000e-01, 3.549890000e-01
 3.375000000e-01, 3.261170000e-01
 3.625000000e-01, 3.069950000e-01
 3.875000000e-01, 1.826640000e-01
 4.125000000e-01, 2.135860000e-01
 4.375000000e-01, 1.802790000e-01
 4.625000000e-01, 1.067240000e-01
 4.875000000e-01, 9.370850000e-02
 5.125000000e-01, 5.912910000e-02
 5.375000000e-01, 5.994200000e-02
 5.625000000e-01, 4.364310000e-02
 5.875000000e-01, 4.546600000e-02
 6.125000000e-01, 3.939900000e-02
 6.375000000e-01, 3.000490000e-02
 6.625000000e-01, 2.745190000e-02
 6.875000000e-01, 2.673850000e-02
 7.125000000e-01, 2.855090000e-02
 7.375000000e-01, 2.183270000e-02
 7.625000000e-01, 2.617960000e-02
 7.875000000e-01, 2.169040000e-02
 8.125000000e-01, 2.900510000e-02
 8.375000000e-01, 2.845480000e-02
 8.625000000e-01, 2.918290000e-02
 8.875000000e-01, 3.379340000e-02
 9.125000000e-01, 3.740150000e-02
 9.375000000e-01, 3.909860000e-02
 9.625000000e-01, 4.119500000e-02
 9.875000000e-01, 4.600700000e-02
 1.012500000e+00, 4.833670000e-02
 1.037500000e+00, 4.335360000e-02
 1.062500000e+00, 5.477940000e-02
 1.087500000e+00, 4.621690000e-02
 1.112500000e+00, 5.497780000e-02
 1.137500000e+00, 5.272800000e-02
 1.162500000e+00, 5.607660000e-02
 1.187500000e+00, 5.126360000e-02
 1.212500000e+00, 6.482300000e-02
 1.237500000e+00, 4.775990000e-02
 1.262500000e+00, 6.837510000e-02
 1.287500000e+00, 5.114740000e-02
 1.312500000e+00, 6.985520000e-02
 1.337500000e+00, 5.734200000e-02
 1.362500000e+00, 6.972110000e-02
 1.387500000e+00, 6.478070000e-02
 1.412500000e+00, 7.077340000e-02
 1.437500000e+00, 7.083640000e-02
 1.462500000e+00, 7.386250000e-02
 1.487500000e+00, 7.522390000e-02
 1.512500000e+00, 7.692560000e-02
 1.537500000e+00, 7.844410000e-02
 1.562500000e+00, 8.020880000e-02
 1.587500000e+00, 8.353340000e-02
 1.612500000e+00, 8.645860000e-02
 1.637500000e+00, 8.954970000e-02
 1.662500000e+00, 9.336140000e-02
 1.687500000e+00, 9.883800000e-02
 1.712500000e+00, 1.042280000e-01
 1.737500000e+00, 1.039680000e-01
 1.762500000e+00, 9.651910000e-02
 1.787500000e+00, 9.557180000e-02
 1.812500000e+00, 1.023820000e-01
 1.837500000e+00, 1.049890000e-01
 1.862500000e+00, 9.996330000e-02
 1.887500000e+00, 9.484620000e-02
 1.912500000e+00, 9.141970000e-02
 1.937500000e+00, 8.137430000e-02
 1.962500000e+00, 6.659760000e-02
 1.987500000e+00, 4.761540000e-02
 2.012500000e+00, 3.819450000e-02
 2.037500000e+00, 4.430200000e-02
 2.062500000e+00, 6.945890000e-02
 2.087500000e+00, 8.827980000e-02
 2.112500000e+00, 9.601800000e-02
 2.137500000e+00, 9.024140000e-02
 2.162500000e+00, 8.845870000e-02
 2.187500000e+00, 8.608850000e-02
 2.212500000e+00, 9.345230000e-02
 2.237500000e+00, 8.758530000e-02
 2.262500000e+00, 9.028280000e-02
 2.287500000e+00, 9.391240000e-02
 2.312500000e+00, 1.114080000e-01
 2.337500000e+00, 1.206750000e-01
 2.362500000e+00, 1.313370000e-01
 2.387500000e+00, 1.277570000e-01
 2.412500000e+00, 1.120240000e-01
 2.437500000e+00, 1.129900000e-01
 2.462500000e+00, 1.063170000e-01
 2.487500000e+00, 1.073200000e-01
 2.512500000e+00, 8.852060000e-02
 2.537500000e+00, 1.043950000e-01
 2.562500000e+00, 8.154970000e-02
 2.587500000e+00, 7.538930000e-02
 2.612500000e+00, 7.061850000e-02
 2.637500000e+00, 6.221730000e-02
 2.662500000e+00, 5.651970000e-02
 2.687500000e+00, 4.542740000e-02
 2.712500000e+00, 3.645000000e-02
 2.737500000e+00, 3.278330000e-02
 2.762500000e+00, 3.761970000e-02
 2.787500000e+00, 2.654050000e-02
 2.812500000e+00, 6.352160000e-02
 2.837500000e+00, 3.961440000e-02
 2.862500000e+00, 2.858120000e-02
 2.887500000e+00, 4.969480000e-02
 2.912500000e+00, 7.562300000e-02
 2.937500000e+00, 8.031980000e-02
 2.962500000e+00, 5.880380000e-02
 2.987500000e+00, 5.968480000e-02
 3.012500000e+00, 5.883690000e-02
 3.037500000e+00, 6.030070000e-02
 3.062500000e+00, 6.788440000e-02
 3.087500000e+00, 9.040370000e-02
