x (m),U (m/s)
 9.875000000e-01,-8.820750000e-02
 1.012500000e+00,-8.803230000e-02
 1.037500000e+00,-8.871450000e-02
 1.062500000e+00,-8.894250000e-02
 1.087500000e+00,-8.958880000e-02
 1.112500000e+00,-8.996460000e-02
 1.137500000e+00,-9.092350000e-02
 1.162500000e+00,-9.140080000e-02
 1.187500000e+00,-9.257670000e-02
 1.212500000e+00,-9.356890000e-02
 1.237500000e+00,-9.473340000e-02
 1.262500000e+00,-9.630580000e-02
 1.287500000e+00,-9.712960000e-02
 1.312500000e+00,-9.913090000e-02
 1.337500000e+00,-1.006870000e-01
 1.362500000e+00,-1.027710000e-01
 1.387500000e+00,-1.047060000e-01
 1.412500000e+00,-1.072080000e-01
 1.437500000e+00,-1.092720000e-01
 1.462500000e+00,-1.113520000e-01
 1.487500000e+00,-1.133590000e-01
 1.512500000e+00,-1.153310000e-01
 1.537500000e+00,-1.173930000e-01
 1.562500000e+00,-1.197690000e-01
 1.587500000e+00,-1.227030000e-01
 1.612500000e+00,-1.261930000e-01
 1.637500000e+00,-1.300630000e-01
 1.662500000e+00,-1.342390000e-01
 1.687500000e+00,-1.387310000e-01
 1.712500000e+00,-1.434090000e-01
 1.737500000e+00,-1.459550000e-01
 1.762500000e+00,-1.507570000e-01
 1.787500000e+00,-1.554020000e-01
 1.812500000e+00,-1.605310000e-01
 1.837500000e+00,-1.661790000e-01
 1.862500000e+00,-1.722600000e-01
 1.887500000e+00,-1.784380000e-01
 1.912500000e+00,-1.834770000e-01
 1.937500000e+00,-1.911560000e-01
 1.962500000e+00,-1.937070000e-01
 1.987500000e+00,-1.949060000e-01
 2.012500000e+00,-1.945480000e-01
 2.037500000e+00,-1.930420000e-01
 2.062500000e+00,-1.908050000e-01
 2.087500000e+00,-1.884630000e-01
 2.112500000e+00,-1.862860000e-01
 2.137500000e+00,-1.833970000e-01
 2.162500000e+00,-1.792440000e-01
 2.187500000e+00,-1.742490000e-01
 2.212500000e+00,-1.682630000e-01
 2.237500000e+00,-1.598540000e-01
 2.262500000e+00,-1.482790000e-01
 2.287500000e+00,-1.351390000e-01
 2.312500000e+00,-1.235510000e-01
 2.337500000e+00,-1.165790000e-01
 2.362500000e+00,-1.112170000e-01
 2.387500000e+00,-1.036490000e-01
 2.412500000e+00,-9.718930000e-02
 2.437500000e+00,-9.239840000e-02
 2.462500000e+00,-8.447830000e-02
 2.487500000e+00,-7.718160000e-02
 2.512500000e+00,-7.362020000e-02
 2.537500000e+00,-6.836200000e-02
 2.562500000e+00,-6.225060000e-02
 2.587500000e+00,-5.654300000e-02
 2.612500000e+00,-5.119260000e-02
 2.637500000e+00,-4.631400000e-02
 2.662500000e+00,-4.237050000e-02
 2.687500000e+00,-3.900550000e-02
 2.712500000e+00,-3.597640000e-02
 2.737500000e+00,-3.347930000e-02
 2.762500000e+00,-2.974890000e-02
 2.787500000e+00,-2.605480000e-02
 2.812500000e+00,-2.299640000e-02
 2.837500000e+00,-1.998850000e-02
 2.862500000e+00,-1.595520000e-02
 2.887500000e+00,-1.168730000e-02
 2.912500000e+00,-8.952640000e-03
 2.937500000e+00,-8.067260000e-03
 2.962500000e+00,-9.469250000e-03
 2.987500000e+00,-1.085770000e-02
 3.012500000e+00,-1.037810000e-02
 3.037500000e+00,-8.853410000e-03
 3.062500000e+00,-6.283400000e-03
 3.087500000e+00,-2.354760000e-03
