x (m),Y_He_rms (-)
-6.375000000e-01, 9.662980000e-09
-6.125000000e-01, 9.986290000e-09
-5.875000000e-01, 9.184720000e-09
-5.625000000e-01, 8.015480000e-09
-5.375000000e-01, 7.530900000e-09
-5.125000000e-01, 1.070170000e-08
-4.875000000e-01, 3.198530000e-08
-4.625000000e-01, 9.331170000e-07
-4.375000000e-01, 3.770990000e-05
-4.125000000e-01, 8.995180000e-04
-3.875000000e-01, 1.817420000e-03
-3.625000000e-01, 4.283180000e-03
-3.375000000e-01, 9.382230000e-03
-3.125000000e-01, 1.403140000e-02
-2.875000000e-01, 2.651990000e-02
-2.625000000e-01, 4.243740000e-02
-2.375000000e-01, 6.259570000e-02
-2.125000000e-01, 8.250820000e-02
-1.875000000e-01, 9.722390000e-02
-1.625000000e-01, 1.167840000e-01
-1.375000000e-01, 1.368580000e-01
-1.125000000e-01, 1.528610000e-01
-8.750000000e-02, 1.594000000e-01
-6.250000000e-02, 1.540920000e-01
-3.750000000e-02, 1.374950000e-01
-1.250000000e-02, 1.393870000e-01
 1.250000000e-02, 1.513110000e-01
 3.750000000e-02, 1.717570000e-01
 6.250000000e-02, 1.882370000e-01
 8.750000000e-02, 1.891560000e-01
 1.125000000e-01, 1.687520000e-01
 1.375000000e-01, 1.406560000e-01
 1.625000000e-01, 1.111820000e-01
 1.875000000e-01, 9.584730000e-02
 2.125000000e-01, 8.373360000e-02
 2.375000000e-01, 6.333690000e-02
 2.625000000e-01, 4.855450000e-02
 2.875000000e-01, 3.967570000e-02
 3.125000000e-01, 3.237620000e-02
 3.375000000e-01, 1.866630000e-02
 3.625000000e-01, 8.754140000e-03
 3.875000000e-01, 7.030190000e-03
 4.125000000e-01, 1.125760000e-03
 4.375000000e-01, 1.097250000e-03
 4.625000000e-01, 1.228630000e-04
 4.875000000e-01, 1.415030000e-04
 5.125000000e-01, 2.686880000e-05
 5.375000000e-01, 3.781040000e-07
 5.625000000e-01, 1.220990000e-08
 5.875000000e-01, 7.984770000e-09
 6.125000000e-01, 8.301420000e-09
 6.375000000e-01, 8.176850000e-09
 6.625000000e-01, 8.097080000e-09
 6.875000000e-01, 7.984850000e-09
 7.125000000e-01, 9.141960000e-09
 7.375000000e-01, 9.642440000e-09
 7.625000000e-01, 1.054190000e-08
 7.875000000e-01, 1.147170000e-08
 8.125000000e-01, 1.312520000e-08
 8.375000000e-01, 1.229650000e-08
 8.625000000e-01, 1.011820000e-08
 8.875000000e-01, 9.355380000e-09
 9.125000000e-01, 1.068420000e-08
 9.375000000e-01, 9.414860000e-09
 9.625000000e-01, 1.073470000e-08
 9.875000000e-01, 1.154160000e-08
 1.012500000e+00, 1.253220000e-08
 1.037500000e+00, 1.059900000e-08
 1.062500000e+00, 1.096930000e-08
 1.087500000e+00, 1.233120000e-08
 1.112500000e+00, 1.277480000e-08
 1.137500000e+00, 1.488030000e-08
 1.162500000e+00, 1.470800000e-08
 1.187500000e+00, 1.560890000e-08
 1.212500000e+00, 1.576410000e-08
 1.237500000e+00, 1.647000000e-08
 1.262500000e+00, 1.630310000e-08
 1.287500000e+00, 1.570400000e-08
 1.312500000e+00, 1.578060000e-08
 1.337500000e+00, 1.554800000e-08
 1.362500000e+00, 1.525070000e-08
 1.387500000e+00, 1.520410000e-08
 1.412500000e+00, 1.346060000e-08
 1.437500000e+00, 1.393000000e-08
 1.462500000e+00, 1.382230000e-08
 1.487500000e+00, 1.402000000e-08
 1.512500000e+00, 1.428880000e-08
 1.537500000e+00, 1.488100000e-08
 1.562500000e+00, 1.854350000e-08
 1.587500000e+00, 2.519600000e-08
 1.612500000e+00, 3.786820000e-08
 1.637500000e+00, 2.856030000e-08
 1.662500000e+00, 1.921740000e-08
 1.687500000e+00, 1.792990000e-08
 1.712500000e+00, 1.849640000e-08
 1.737500000e+00, 1.818410000e-08
 1.762500000e+00, 1.736850000e-08
 1.787500000e+00, 1.521200000e-08
 1.812500000e+00, 1.358700000e-08
 1.837500000e+00, 1.335310000e-08
 1.862500000e+00, 1.297160000e-08
 1.887500000e+00, 1.355910000e-08
 1.912500000e+00, 1.520010000e-08
 1.937500000e+00, 1.420150000e-08
 1.962500000e+00, 1.556400000e-08
 1.987500000e+00, 1.818130000e-08
 2.012500000e+00, 1.889270000e-08
 2.037500000e+00, 1.900630000e-08
 2.062500000e+00, 1.856490000e-08
 2.087500000e+00, 2.130200000e-08
 2.112500000e+00, 2.159720000e-08
 2.137500000e+00, 2.175680000e-08
 2.162500000e+00, 2.337350000e-08
 2.187500000e+00, 2.353470000e-08
 2.212500000e+00, 2.479580000e-08
 2.237500000e+00, 2.627600000e-08
 2.262500000e+00, 2.820460000e-08
 2.287500000e+00, 3.122900000e-08
 2.312500000e+00, 3.422760000e-08
 2.337500000e+00, 3.512420000e-08
 2.362500000e+00, 2.903420000e-08
 2.387500000e+00, 2.623890000e-08
 2.412500000e+00, 2.545030000e-08
 2.437500000e+00, 2.572000000e-08
 2.462500000e+00, 2.501540000e-08
 2.487500000e+00, 2.517000000e-08
 2.512500000e+00, 2.775890000e-08
 2.537500000e+00, 3.237390000e-08
 2.562500000e+00, 2.944750000e-08
 2.587500000e+00, 2.786280000e-08
 2.612500000e+00, 2.318580000e-08
 2.637500000e+00, 2.430540000e-08
 2.662500000e+00, 2.889660000e-08
 2.687500000e+00, 2.847830000e-08
 2.712500000e+00, 2.955060000e-08
 2.737500000e+00, 2.504580000e-08
 2.762500000e+00, 2.661110000e-08
 2.787500000e+00, 2.481280000e-08
 2.812500000e+00, 2.910330000e-08
 2.837500000e+00, 2.532230000e-08
 2.862500000e+00, 3.426480000e-08
 2.887500000e+00, 3.286440000e-08
 2.912500000e+00, 3.269320000e-08
 2.937500000e+00, 3.577950000e-08
 2.962500000e+00, 4.281130000e-08
 2.987500000e+00, 5.185560000e-08
 3.012500000e+00, 6.407930000e-08
 3.037500000e+00, 6.626490000e-08
 3.062500000e+00, 7.212350000e-08
 3.087500000e+00, 6.359290000e-08
