Z/Q^0.4 (-),V/Q^0.2 (-)
 1.715252802e-01, 1.752786129e+00
 1.743611239e-01, 1.748589739e+00
 1.772108590e-01, 1.736379221e+00
 1.800744856e-01, 1.738272497e+00
 1.829520037e-01, 1.734762141e+00
 1.858434133e-01, 1.730262826e+00
 1.887487143e-01, 1.724917105e+00
 1.916698912e-01, 1.718698250e+00
 1.946029752e-01, 1.710176280e+00
 1.975519351e-01, 1.698878990e+00
 2.005167709e-01, 1.687617338e+00
 2.034954983e-01, 1.671103515e+00
 2.064881171e-01, 1.659650308e+00
 2.094946273e-01, 1.648802950e+00
 2.125170135e-01, 1.639354388e+00
 2.155552757e-01, 1.631527362e+00
 2.186074294e-01, 1.624920942e+00
 2.216734745e-01, 1.619619769e+00
 2.247573801e-01, 1.613619197e+00
 2.278531926e-01, 1.605226415e+00
 2.309668656e-01, 1.593893487e+00
 2.340944301e-01, 1.580921205e+00
 2.372378705e-01, 1.568438947e+00
 2.403971869e-01, 1.558099432e+00
 2.435723793e-01, 1.552842806e+00
 2.467614631e-01, 1.550931711e+00
 2.499684074e-01, 1.548218758e+00
 2.531892431e-01, 1.541741526e+00
 2.564279393e-01, 1.535175199e+00
 2.596805270e-01, 1.531909854e+00
 2.629509751e-01, 1.529531009e+00
 2.662372992e-01, 1.524416936e+00
 2.695375148e-01, 1.517471953e+00
 2.728555908e-01, 1.505288165e+00
 2.761915273e-01, 1.493273657e+00
 2.795413552e-01, 1.484733868e+00
 2.829090436e-01, 1.478452646e+00
 2.862926079e-01, 1.473400940e+00
 2.896940327e-01, 1.465453635e+00
 2.931113335e-01, 1.457105401e+00
 2.965445103e-01, 1.448752712e+00
 2.999955474e-01, 1.441754272e+00
 3.034644451e-01, 1.435334953e+00
 3.069492187e-01, 1.430773271e+00
 3.104518528e-01, 1.427454469e+00
 3.139723473e-01, 1.421828098e+00
 3.175087178e-01, 1.415876529e+00
 3.210629487e-01, 1.411203478e+00
 3.246350401e-01, 1.405626109e+00
 3.282249920e-01, 1.399300340e+00
 3.318308198e-01, 1.389727044e+00
 3.354564926e-01, 1.378728224e+00
 3.390980413e-01, 1.370464630e+00
 3.427594350e-01, 1.364651159e+00
 3.464386891e-01, 1.355282783e+00
 3.501358037e-01, 1.342087762e+00
 3.538507788e-01, 1.329128844e+00
 3.575836143e-01, 1.318045383e+00
 3.613343103e-01, 1.308904200e+00
 3.651048512e-01, 1.305407208e+00
 3.688932526e-01, 1.301032626e+00
 3.727014989e-01, 1.297491086e+00
 3.765276057e-01, 1.295392891e+00
 3.803735574e-01, 1.291615248e+00
 3.842373696e-01, 1.285552310e+00
 3.881190423e-01, 1.280126403e+00
 3.920225444e-01, 1.275582540e+00
 3.959439070e-01, 1.268232174e+00
 3.998831300e-01, 1.258667789e+00
 4.038441824e-01, 1.248212450e+00
