Z/Q^0.4 (-),V/Q^0.2 (-)
 3.705323411e-01, 1.435394990e+00
 3.752720436e-01, 1.432139979e+00
 3.800320757e-01, 1.428981972e+00
 3.848182459e-01, 1.425285056e+00
 3.896276499e-01, 1.421324075e+00
 3.944573835e-01, 1.411844665e+00
 3.993132552e-01, 1.401723953e+00
 4.041952649e-01, 1.392298434e+00
 4.090976042e-01, 1.386041701e+00
 4.140260816e-01, 1.382237003e+00
 4.189777929e-01, 1.378545476e+00
 4.239556422e-01, 1.376723963e+00
 4.289567253e-01, 1.375737760e+00
 4.339810423e-01, 1.373183331e+00
 4.390314974e-01, 1.370612735e+00
 4.441080905e-01, 1.368581048e+00
 4.492079174e-01, 1.368559491e+00
 4.543338824e-01, 1.369475637e+00
 4.594859855e-01, 1.369033731e+00
 4.646613224e-01, 1.366139790e+00
 4.698627974e-01, 1.361823129e+00
 4.750904104e-01, 1.358384889e+00
 4.803441615e-01, 1.352214380e+00
 4.856211465e-01, 1.346377996e+00
 4.909271737e-01, 1.342427792e+00
 4.962564348e-01, 1.339285953e+00
 5.016147382e-01, 1.334554331e+00
 5.069991796e-01, 1.328831118e+00
 5.124097591e-01, 1.323151016e+00
 5.178464767e-01, 1.320257075e+00
 5.233093323e-01, 1.318047548e+00
 5.287983260e-01, 1.312960246e+00
 5.343163620e-01, 1.303329942e+00
 5.398605360e-01, 1.294777456e+00
 5.454337524e-01, 1.287572242e+00
 5.510331068e-01, 1.282086148e+00
 5.566615035e-01, 1.275915639e+00
 5.623160383e-01, 1.270424156e+00
 5.679967111e-01, 1.263968026e+00
 5.737093305e-01, 1.254569453e+00
 5.794480879e-01, 1.242826625e+00
 5.852129834e-01, 1.231940662e+00
 5.910098254e-01, 1.223560627e+00
