Z/Q^0.4 (-),dT (C)
 2.436568724e-01, 2.327710000e+02
 2.470466094e-01, 2.269680000e+02
 2.504494342e-01, 2.217200000e+02
 2.538718907e-01, 2.167730000e+02
 2.573096163e-01, 2.120620000e+02
 2.607647923e-01, 2.073350000e+02
 2.642374187e-01, 2.026790000e+02
 2.677274954e-01, 1.980510000e+02
 2.712328413e-01, 1.935980000e+02
 2.747578188e-01, 1.891310000e+02
 2.782980654e-01, 1.846850000e+02
 2.818579436e-01, 1.802830000e+02
 2.854330910e-01, 1.759820000e+02
 2.890278701e-01, 1.718850000e+02
 2.926400995e-01, 1.683230000e+02
 2.962675980e-01, 1.652680000e+02
 2.999147282e-01, 1.618890000e+02
 3.035814901e-01, 1.582330000e+02
 3.072635211e-01, 1.543410000e+02
 3.109651837e-01, 1.500610000e+02
 3.146842967e-01, 1.452310000e+02
 3.184230415e-01, 1.413180000e+02
 3.221792366e-01, 1.384710000e+02
 3.259528820e-01, 1.360750000e+02
 3.297461592e-01, 1.338390000e+02
 3.335590680e-01, 1.317820000e+02
 3.373894273e-01, 1.297010000e+02
 3.412394182e-01, 1.276740000e+02
 3.451090408e-01, 1.253680000e+02
 3.489961138e-01, 1.230090000e+02
 3.529028184e-01, 1.206760000e+02
 3.568291548e-01, 1.177710000e+02
 3.607751228e-01, 1.155090000e+02
 3.647385412e-01, 1.134100000e+02
 3.687237726e-01, 1.115360000e+02
 3.727264543e-01, 1.095920000e+02
 3.767509491e-01, 1.077120000e+02
 3.807950755e-01, 1.056000000e+02
 3.848588336e-01, 1.039540000e+02
 3.889422234e-01, 1.020780000e+02
 3.930452449e-01, 1.001150000e+02
 3.971678980e-01, 9.820600000e+01
 4.013123642e-01, 9.609900000e+01
 4.054764620e-01, 9.452500000e+01
 4.096623728e-01, 9.341600000e+01
 4.138679153e-01, 9.250100000e+01
 4.180952707e-01, 9.134900000e+01
 4.223422579e-01, 8.993000000e+01
 4.266088767e-01, 8.841800000e+01
 4.308994898e-01, 8.682100000e+01
 4.352097346e-01, 8.548000000e+01
 4.395396110e-01, 8.418900000e+01
 4.438934818e-01, 8.285100000e+01
