cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2,kW/m2
80,481.4991993,0.190225271,0.011203053,2.33E-06,0.021931872,0.776637475,,,,,,,,
82,475.001414,0.19093463,0.010790446,1.80E-06,0.02114698,0.77712614,,,,,,,,
84,468.8800757,0.191602614,0.010399224,1.41E-06,0.020407398,0.777589358,,,,,,,,
86,463.0332475,0.192233836,0.010030377,1.10E-06,0.01970861,0.778026081,,,,,,,,
88,457.4588203,0.192824098,0.009683617,8.55E-07,0.019054922,0.778436508,,,,,,,,
90,452.2951121,0.193375547,0.00936184,6.74E-07,0.018444467,0.778817472,,,,,,,,
92,447.2880072,0.193898688,0.009059761,5.32E-07,0.017865743,0.779175276,,,,,,,,
94,442.5892278,0.194395426,0.008773616,4.19E-07,0.017316272,0.779514267,,,,,,,,
96,438.1788156,0.194869999,0.008502297,3.29E-07,0.016791549,0.779835825,,,,,,,,
98,433.9856114,0.195327198,0.00824291,2.58E-07,0.01628627,0.780143365,,,,,,,,
100,429.9336133,0.195769413,0.00799268,2.02E-07,0.015797614,0.780440091,,,,,,,,
